R_kpc,hybrid_p5,hybrid_p16,hybrid_center,hybrid_p84,hybrid_p95,weight_McGaugh2018_Imig2025,weight_Wang2026_Lian2022,weight_McMillan2017,weight_deSalas2019_B2,weight_Barros2016_MI,center_McGaugh2018_Imig2025,center_Wang2026_Lian2022,center_McMillan2017,center_deSalas2019_B2,center_Barros2016_MI
1,145.45357,169.669371,185.973884,202.278398,277.511828,0.7,0.03,0.1,0.15,0.02,189.636842,161.433995,155.698533,184.05096,260.378897
1.0031058,145.568214,169.744359,186.017868,202.291377,277.427784,0.7,0.03,0.1,0.15,0.02,189.665582,161.544726,155.821252,184.116619,260.300041
1.0062213,145.682434,169.81835,186.060447,202.302544,277.340244,0.7,0.03,0.1,0.15,0.02,189.692754,161.654857,155.943517,184.18109,260.217906
1.0093465,145.796225,169.891336,186.101609,202.311882,277.249179,0.7,0.03,0.1,0.15,0.02,189.718345,161.764381,156.065323,184.244363,260.132463
1.0124814,145.909582,169.963304,186.141339,202.319374,277.154552,0.7,0.03,0.1,0.15,0.02,189.742338,161.873292,156.186665,184.306426,260.043678
1.015626,146.0225,170.034246,186.179625,202.325004,277.05633,0.7,0.03,0.1,0.15,0.02,189.764719,161.981582,156.307536,184.367266,259.95152
1.0187804,146.134976,170.104151,186.216452,202.328754,276.954476,0.7,0.03,0.1,0.15,0.02,189.785473,162.089249,156.427934,184.426875,259.855954
1.0219446,146.247004,170.17301,186.251809,202.330608,276.848955,0.7,0.03,0.1,0.15,0.02,189.804586,162.196284,156.547853,184.485241,259.756948
1.0251186,146.35858,170.240812,186.285681,202.330549,276.739733,0.7,0.03,0.1,0.15,0.02,189.822042,162.302681,156.667288,184.54235,259.654469
1.0283024,146.469699,170.307546,186.318052,202.328559,276.626773,0.7,0.03,0.1,0.15,0.02,189.837825,162.408433,156.786233,184.598193,259.548483
1.0314962,146.58036,170.373204,186.348913,202.324621,276.510034,0.7,0.03,0.1,0.15,0.02,189.851921,162.51354,156.904688,184.652759,259.438951
1.0346999,146.690555,170.437776,186.378246,202.318717,276.38948,0.7,0.03,0.1,0.15,0.02,189.864314,162.61799,157.022645,184.706035,259.32584
1.0379135,146.800278,170.501246,186.406037,202.310828,276.265078,0.7,0.03,0.1,0.15,0.02,189.874987,162.721777,157.140096,184.758008,259.209118
1.0411371,146.909527,170.563609,186.432274,202.300938,276.136784,0.7,0.03,0.1,0.15,0.02,189.883925,162.824896,157.25704,184.808669,259.088745
1.0443707,147.018296,170.624851,186.45694,202.289028,276.004563,0.7,0.03,0.1,0.15,0.02,189.891112,162.92734,157.37347,184.858003,258.964687
1.0476144,147.126583,170.684964,186.480021,202.275079,275.868371,0.7,0.03,0.1,0.15,0.02,189.896531,163.029105,157.489384,184.906001,258.836903
1.0508681,147.234377,170.743933,186.501503,202.259074,275.728175,0.7,0.03,0.1,0.15,0.02,189.900166,163.130181,157.604771,184.952648,258.705362
1.0541319,147.341678,170.801749,186.521371,202.240993,275.583932,0.7,0.03,0.1,0.15,0.02,189.902001,163.230562,157.71963,184.997932,258.570024
1.0574059,147.448483,170.858401,186.539608,202.220816,275.435596,0.7,0.03,0.1,0.15,0.02,189.902017,163.330245,157.833957,185.041842,258.430846
1.0606901,147.554784,170.913878,186.556202,202.198526,275.283129,0.7,0.03,0.1,0.15,0.02,189.9002,163.429222,157.947746,185.084365,258.287792
1.0639844,147.660574,170.968166,186.571134,202.174102,275.126494,0.7,0.03,0.1,0.15,0.02,189.89653,163.527483,158.060987,185.125487,258.140828
1.067289,147.765853,171.021255,186.58439,202.147525,274.965643,0.7,0.03,0.1,0.15,0.02,189.890991,163.625025,158.173681,185.165196,257.989907
