R_kpc,hybrid_p5,hybrid_p16,hybrid_center,hybrid_p84,hybrid_p95,weight_McGaugh2018_Imig2025,weight_Wang2026_Lian2022,weight_McMillan2017,weight_deSalas2019_B2,weight_Barros2016_MI,center_McGaugh2018_Imig2025,center_Wang2026_Lian2022,center_McMillan2017,center_deSalas2019_B2,center_Barros2016_MI
1,152.139433,171.776337,184.051366,196.326394,197.435657,0.801953461,0.198046539,0,0,0,189.636842,161.433995,155.698533,184.05096,260.378897
1.0031058,152.243788,171.858451,184.100913,196.343374,197.465579,0.802115933,0.197884067,0,0,0,189.665582,161.544726,155.821252,184.116619,260.300041
1.0062213,152.347579,171.939512,184.149067,196.358622,197.493869,0.802278799,0.197721201,0,0,0,189.692754,161.654857,155.943517,184.18109,260.217906
1.0093465,152.450797,172.019509,184.195817,196.372126,197.520512,0.802442058,0.197557942,0,0,0,189.718345,161.764381,156.065323,184.244363,260.132463
1.0124814,152.553437,172.098428,184.241147,196.383867,197.545492,0.802605709,0.197394291,0,0,0,189.742338,161.873292,156.186665,184.306426,260.043678
1.015626,152.655492,172.176259,184.285044,196.393829,197.568793,0.802769751,0.197230249,0,0,0,189.764719,161.981582,156.307536,184.367266,259.95152
1.0187804,152.75696,172.252991,184.327494,196.401997,197.590401,0.802934187,0.197065813,0,0,0,189.785473,162.089249,156.427934,184.426875,259.855954
1.0219446,152.857833,172.328613,184.368484,196.408356,197.6103,0.803099017,0.196900983,0,0,0,189.804586,162.196284,156.547853,184.485241,259.756948
1.0251186,152.958104,172.403111,184.408,196.412888,197.628473,0.803264239,0.196735761,0,0,0,189.822042,162.302681,156.667288,184.54235,259.654469
1.0283024,153.057767,172.476474,184.446025,196.415577,197.644906,0.803429851,0.196570149,0,0,0,189.837825,162.408433,156.786233,184.598193,259.548483
1.0314962,153.156823,172.548694,184.48255,196.416406,197.659581,0.803595864,0.196404136,0,0,0,189.851921,162.51354,156.904688,184.652759,259.438951
1.0346999,153.255259,172.619755,184.517557,196.41536,197.672484,0.80376227,0.19623773,0,0,0,189.864314,162.61799,157.022645,184.706035,259.32584
1.0379135,153.353071,172.689644,184.551032,196.41242,197.683596,0.803929068,0.196070932,0,0,0,189.874987,162.721777,157.140096,184.758008,259.209118
1.0411371,153.450253,172.758351,184.58296,196.407569,197.692901,0.804096262,0.195903738,0,0,0,189.883925,162.824896,157.25704,184.808669,259.088745
1.0443707,153.546798,172.825862,184.613327,196.400792,197.700384,0.80426385,0.19573615,0,0,0,189.891112,162.92734,157.37347,184.858003,258.964687
1.0476144,153.642704,172.892166,184.642118,196.39207,197.706026,0.804431836,0.195568164,0,0,0,189.896531,163.029105,157.489384,184.906001,258.836903
1.0508681,153.737961,172.957249,184.669317,196.381385,197.70981,0.804600215,0.195399785,0,0,0,189.900166,163.130181,157.604771,184.952648,258.705362
1.0541319,153.832562,173.021097,184.694909,196.368721,197.711721,0.804768988,0.195231012,0,0,0,189.902001,163.230562,157.71963,184.997932,258.570024
1.0574059,153.926506,173.0837,184.718878,196.354057,197.711737,0.804938161,0.195061839,0,0,0,189.902017,163.330245,157.833957,185.041842,258.430846
1.0606901,154.019785,173.145044,184.741211,196.337378,197.709846,0.805107731,0.194892269,0,0,0,189.9002,163.429222,157.947746,185.084365,258.287792
1.0639844,154.112388,173.205112,184.761888,196.318664,197.706025,0.805277692,0.194722308,0,0,0,189.89653,163.527483,158.060987,185.125487,258.140828
1.067289,154.204314,173.263895,184.780896,196.297898,197.700258,0.805448053,0.194551947,0,0,0,189.890991,163.625025,158.173681,185.165196,257.989907
1.0706038,154.295553,173.321376,184.798218,196.275061,197.692528,0.805618807,0.194381193,0,0,0,189.883566,163.721838,158.285817,185.203478,257.834995
1.0739289,154.3861,173.377542,184.813838,196.250134,197.682815,0.805789958,0.194210042,0,0,0,189.874237,163.817917,158.397393,185.240322,257.676048
1.0772644,154.475952,173.432381,184.827739,196.223097,197.6711,0.805961509,0.194038491,0,0,0,189.862985,163.913258,158.508405,185.275714,257.513021
1.0806102,154.565097,173.485876,184.839905,196.193933,197.657366,0.806133453,0.193866547,0,0,0,189.849793,164.007849,158.618844,185.309639,257.34588
1.0839664,154.65353,173.538014,184.850318,196.162622,197.641593,0.806305795,0.193694205,0,0,0,189.834643,164.101685,158.728706,185.342086,257.174577
1.0873331,154.741249,173.588781,184.858962,196.129143,197.62376,0.806478537,0.193521463,0,0,0,189.817515,164.194762,158.837988,185.37304,256.999068
1.0907102,154.82824,173.638161,184.86582,196.093479,197.603851,0.806651673,0.193348327,0,0,0,189.798392,164.287068,158.94668,185.402487,256.819314
1.0940978,154.9145,173.686139,184.870874,196.055609,197.581844,0.806825207,0.193174793,0,0,0,189.777254,164.378598,159.054778,185.430414,256.63527
1.0974959,155.000022,173.732699,184.874106,196.015512,197.557719,0.806999135,0.193000865,0,0,0,189.754082,164.469344,159.162276,185.456806,256.446891
1.1009045,155.084797,173.777828,184.875499,195.97317,197.531457,0.807173458,0.192826542,0,0,0,189.728858,164.559299,159.269166,185.481649,256.254134
1.1043238,155.168823,173.82151,184.875035,195.92856,197.503038,0.807348183,0.192651817,0,0,0,189.701561,164.648458,159.375449,185.50493,256.056945
1.1077536,155.252086,173.863727,184.872696,195.881666,197.472441,0.807523299,0.192476701,0,0,0,189.672173,164.736808,159.48111,185.526633,255.85529
1.1111941,155.334585,173.904465,184.868463,195.832462,197.439645,0.807698813,0.192301187,0,0,0,189.640672,164.824347,159.586151,185.546744,255.649112
1.1146453,155.416311,173.943707,184.862318,195.780928,197.404627,0.807874725,0.192125275,0,0,0,189.607038,164.911066,159.690562,185.565249,255.438365
1.1181073,155.497258,173.981438,184.854242,195.727045,197.36737,0.808051037,0.191948963,0,0,0,189.571252,164.996958,159.794341,185.582133,255.222998
1.1215799,155.577414,174.017639,184.844215,195.670792,197.32785,0.808227737,0.191772263,0,0,0,189.533293,165.082011,159.897474,185.597379,255.002974
1.1250634,155.656779,174.052296,184.832221,195.612145,197.286045,0.808404838,0.191595162,0,0,0,189.49314,165.166224,159.999963,185.610974,254.778229
1.1285577,155.735339,174.085389,184.818236,195.551083,197.241934,0.808582335,0.191417665,0,0,0,189.450771,165.249584,160.101798,185.622902,254.548719
1.1320628,155.813089,174.116903,184.802245,195.487587,197.195496,0.808760224,0.191239776,0,0,0,189.406167,165.332084,160.202972,185.633147,254.314395
1.1355788,155.890022,174.146818,184.784225,195.421632,197.146706,0.808938509,0.191061491,0,0,0,189.359305,165.413717,160.30348,185.641694,254.075203
1.1391058,155.966132,174.17512,184.764157,195.353195,197.095542,0.809117194,0.190882806,0,0,0,189.310162,165.494477,160.403319,185.648527,253.831083
1.1426436,156.041407,174.201786,184.742021,195.282257,197.041984,0.809296265,0.190703735,0,0,0,189.258719,165.57435,160.502474,185.65363,253.582
1.1461925,156.115843,174.226801,184.717797,195.208792,196.986005,0.809475736,0.190524264,0,0,0,189.204951,165.653334,160.600948,185.656987,253.32788
1.1497524,156.189433,174.250147,184.691463,195.132778,196.927583,0.809655601,0.190344399,0,0,0,189.148837,165.731419,160.698729,185.658581,253.068678
1.1533234,156.262166,174.271803,184.662998,195.054192,196.866694,0.809835861,0.190164139,0,0,0,189.090353,165.808596,160.795814,185.658397,252.804333
1.1569054,156.334034,174.29175,184.632381,194.973012,196.803314,0.81001651,0.18998349,0,0,0,189.029477,165.884855,160.892192,185.656418,252.534799
1.1604986,156.405033,174.30997,184.599591,194.889212,196.737419,0.810197557,0.189802443,0,0,0,188.966185,165.960191,160.987861,185.652626,252.260005
1.1641029,156.47515,174.326442,184.564607,194.802772,196.668986,0.810378992,0.189621008,0,0,0,188.900455,166.034592,161.08281,185.647005,251.979903
1.1677185,156.544383,174.341146,184.527404,194.713662,196.597986,0.810560826,0.189439174,0,0,0,188.832259,166.108054,161.177037,185.639538,251.694422
1.1713452,156.612716,174.354062,184.487964,194.621865,196.524398,0.810743045,0.189256955,0,0,0,188.761578,166.180562,161.270529,185.630207,251.40352
1.1749833,156.680149,174.36517,184.44626,194.527351,196.448193,0.810925662,0.189074338,0,0,0,188.688383,166.252115,161.363287,185.618994,251.107114
1.1786326,156.746668,174.374448,184.402273,194.430099,196.369348,0.811108665,0.188891335,0,0,0,188.612653,166.322697,161.455297,185.605883,250.805162
1.1822932,156.812265,174.381874,184.355979,194.330084,196.287838,0.811292057,0.188707943,0,0,0,188.534362,166.392302,161.546554,185.590855,250.497596
1.1859653,156.876935,174.387429,184.307353,194.227278,196.203631,0.811475845,0.188524155,0,0,0,188.453482,166.460923,161.637055,185.573892,250.184337
1.1896487,156.940667,174.391088,184.256374,194.12166,196.116707,0.811660018,0.188339982,0,0,0,188.369991,166.528548,161.726787,185.554976,249.865341
1.1933436,157.003453,174.39283,184.203015,194.013201,196.027034,0.811844582,0.188155418,0,0,0,188.28386,166.59517,161.815748,185.534088,249.540528
1.1970499,157.065283,174.392631,184.147256,193.90188,195.934588,0.81202953,0.18797047,0,0,0,188.195066,166.660777,161.903926,185.511211,249.209842
1.2007678,157.12615,174.39047,184.089067,193.787665,195.839338,0.812214871,0.187785129,0,0,0,188.103578,166.725363,161.991318,185.486323,248.873201
1.2044972,157.186044,174.386321,184.028428,193.670535,195.741258,0.812400595,0.187599405,0,0,0,188.009373,166.788916,162.077914,185.459408,248.530547
1.2082381,157.244956,174.380162,183.965314,193.550466,195.640323,0.812586702,0.187413298,0,0,0,187.912425,166.851427,162.163705,185.430445,248.181815
1.2119908,157.30288,174.371967,183.899694,193.427421,195.536495,0.812773204,0.187226796,0,0,0,187.812698,166.91289,162.24869,185.399414,247.826907
1.215755,157.359803,174.361712,183.83155,193.301387,195.429756,0.812960083,0.187039917,0,0,0,187.710175,166.97329,162.332855,185.366298,247.465783
1.219531,157.415718,174.34937,183.760848,193.172326,195.320066,0.81314735,0.18685265,0,0,0,187.604818,167.032621,162.416197,185.331074,247.098343
1.2233186,157.470614,174.334919,183.68757,193.040222,195.207405,0.813334995,0.186665005,0,0,0,187.496607,167.090871,162.498703,185.293724,246.724536
1.2271181,157.524484,174.318328,183.611682,192.905037,195.091734,0.813523029,0.186476971,0,0,0,187.385505,167.148032,162.580372,185.254226,246.344259
1.2309293,157.577316,174.299573,183.533163,192.766752,194.973029,0.81371144,0.18628856,0,0,0,187.271489,167.204092,162.66119,185.21256,245.957458
1.2347524,157.629105,174.278626,183.451981,192.625335,194.851255,0.813900234,0.186099766,0,0,0,187.154525,167.259044,162.741154,185.168706,245.564038
1.2385874,157.679836,174.255458,183.368109,192.480759,194.72638,0.81408941,0.18591059,0,0,0,187.034583,167.312875,162.820254,185.122641,245.163921
1.2424342,157.729502,174.230043,183.281522,192.333001,194.598378,0.814278959,0.185721041,0,0,0,186.911637,167.365575,162.89848,185.074346,244.75704
1.2462931,157.778094,174.202349,183.192187,192.182024,194.467208,0.814468893,0.185531107,0,0,0,186.785648,167.417136,162.975829,185.023797,244.343284
1.2501639,157.825858,174.175093,183.104557,192.034021,194.338503,0.8146592,0.1853408,0,0,0,186.662027,167.467818,163.053993,184.975972,243.936478
1.2540467,157.878397,174.20811,183.116138,192.024166,194.335436,0.814849882,0.185150118,0,0,0,186.659081,167.523566,163.170047,185.039633,243.839101
1.2579416,157.929884,174.239639,183.126005,192.012371,194.330461,0.815040941,0.184959059,0,0,0,186.654303,167.578199,163.285527,185.10208,243.738417
