arm,color,label,lw,segment,x_disp,y_disp
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.48220999,-11.011749
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.49842149,-11.010054
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.51462976,-11.008264
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.53083424,-11.006378
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.54703437,-11.004396
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.56322958,-11.002319
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.57941931,-11.000146
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.595603,-10.997878
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.61178009,-10.995513
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.62795001,-10.993053
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.6441122,-10.990498
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.6602661,-10.987846
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.67641114,-10.985099
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.69254676,-10.982256
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.7086724,-10.979318
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.72478749,-10.976284
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.74089146,-10.973154
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.75698376,-10.969929
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.77306381,-10.966608
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.78913106,-10.963192
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.80518494,-10.95968
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.82122488,-10.956073
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.83725032,-10.95237
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.8532607,-10.948572
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.86925544,-10.944679
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.88523399,-10.940691
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.90119579,-10.936607
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.91714026,-10.932428
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.93306684,-10.928154
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.94897497,-10.923785
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.96486409,-10.919321
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.98073363,-10.914762
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-0.99658302,-10.910108
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.0124117,-10.90536
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.0282191,-10.900517
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.0440047,-10.89558
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.0597679,-10.890548
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.0755081,-10.885421
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.0912249,-10.8802
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.1069175,-10.874886
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.1225855,-10.869477
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.1382283,-10.863974
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.1538453,-10.858377
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.169436,-10.852687
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.1849998,-10.846902
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.2005362,-10.841025
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.2160446,-10.835054
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.2315244,-10.828989
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.2469751,-10.822832
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.2623961,-10.816581
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.2777869,-10.810238
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.2931469,-10.803802
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.3084755,-10.797273
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.3237723,-10.790652
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.3390366,-10.783939
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.3542679,-10.777133
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.3694656,-10.770236
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.3846292,-10.763246
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.3997582,-10.756165
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.4148519,-10.748993
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.4299099,-10.741729
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.4449315,-10.734374
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.4599163,-10.726928
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.4748637,-10.719391
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.4897731,-10.711763
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.504644,-10.704045
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.5194759,-10.696237
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.5342681,-10.688339
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.5490203,-10.680351
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.5637317,-10.672273
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.5784019,-10.664106
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.5930303,-10.655849
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.6076165,-10.647503
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.6221598,-10.639069
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.6366597,-10.630546
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.6511157,-10.621934
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.6655272,-10.613235
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.6798938,-10.604447
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.6942148,-10.595572
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.7084898,-10.586609
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.7227181,-10.577558
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.7368994,-10.568421
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.751033,-10.559197
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.7651184,-10.549886
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.7791552,-10.540489
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.7931427,-10.531006
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.8070805,-10.521438
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.8209679,-10.511783
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.8348046,-10.502043
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.84859,-10.492219
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.8623235,-10.482309
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.8760047,-10.472315
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.889633,-10.462237
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.903208,-10.452075
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.916729,-10.441829
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.9301956,-10.4315
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.9436073,-10.421087
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.9569636,-10.410592
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.9702639,-10.400014
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.9835078,-10.389354
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-1.9966947,-10.378612
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.0098242,-10.367789
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.0228957,-10.356884
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.0359088,-10.345898
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.0488629,-10.334831
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.0617576,-10.323684
