dataset,source_paper,tracer,method,R_kpc,R_err_kpc,vc_kms,sigma_v_kms,mass_msun,sigma_mass_msun,kind,plotted,used_in_fit,note
"Wang2026_rotation_curve","Wang et al. 2026","Gaia phase-space spiral","circular-speed inference",6.23,,227.56,13.73,,,"direct_rotation",true,true,"Original Fig. 1 radial data; total uncertainty used in fits."
"Wang2026_rotation_curve","Wang et al. 2026","Gaia phase-space spiral","circular-speed inference",6.79,,227.74,14.25,,,"direct_rotation",true,true,"Original Fig. 1 radial data; total uncertainty used in fits."
"Wang2026_rotation_curve","Wang et al. 2026","Gaia phase-space spiral","circular-speed inference",7.21,,231.82,14.48,,,"direct_rotation",true,true,"Original Fig. 1 radial data; total uncertainty used in fits."
"Wang2026_rotation_curve","Wang et al. 2026","Gaia phase-space spiral","circular-speed inference",7.75,,231.14,14.91,,,"direct_rotation",true,true,"Original Fig. 1 radial data; total uncertainty used in fits."
"Wang2026_rotation_curve","Wang et al. 2026","Gaia phase-space spiral","circular-speed inference",8.22,,237.28,15.44,,,"direct_rotation",true,true,"Original Fig. 1 radial data; total uncertainty used in fits."
"Wang2026_rotation_curve","Wang et al. 2026","Gaia phase-space spiral","circular-speed inference",8.89,,241.44,16.11,,,"direct_rotation",true,true,"Original Fig. 1 radial data; total uncertainty used in fits."
"Wang2026_rotation_curve","Wang et al. 2026","Gaia phase-space spiral","circular-speed inference",9.31,,240.33,16.34,,,"direct_rotation",true,true,"Original Fig. 1 radial data; total uncertainty used in fits."
"Wang2026_rotation_curve","Wang et al. 2026","Gaia phase-space spiral","circular-speed inference",9.73,,238.46,16.53,,,"direct_rotation",true,true,"Original Fig. 1 radial data; total uncertainty used in fits."
"Wang2026_rotation_curve","Wang et al. 2026","Gaia phase-space spiral","circular-speed inference",10.29,,237.9,16.94,,,"direct_rotation",true,true,"Original Fig. 1 radial data; total uncertainty used in fits."
"Wang2026_rotation_curve","Wang et al. 2026","Gaia phase-space spiral","circular-speed inference",10.77,,236.31,17.24,,,"direct_rotation",true,true,"Original Fig. 1 radial data; total uncertainty used in fits."
"Wang2026_rotation_curve","Wang et al. 2026","Gaia phase-space spiral","circular-speed inference",11.24,,234.92,17.54,,,"direct_rotation",true,true,"Original Fig. 1 radial data; total uncertainty used in fits."
"Wang2026_rotation_curve","Wang et al. 2026","Gaia phase-space spiral","circular-speed inference",11.78,,234.51,18,,,"direct_rotation",true,true,"Original Fig. 1 radial data; total uncertainty used in fits."
"Wang2026_rotation_curve","Wang et al. 2026","Gaia phase-space spiral","circular-speed inference",12.24,,233.8,18.39,,,"direct_rotation",true,true,"Original Fig. 1 radial data; total uncertainty used in fits."
"Wang2026_rotation_curve","Wang et al. 2026","Gaia phase-space spiral","circular-speed inference",12.75,,231.21,18.69,,,"direct_rotation",true,true,"Original Fig. 1 radial data; total uncertainty used in fits."
"Wang2026_rotation_curve","Wang et al. 2026","Gaia phase-space spiral","circular-speed inference",13.26,,229.88,19.11,,,"direct_rotation",true,true,"Original Fig. 1 radial data; total uncertainty used in fits."
"Wang2026_rotation_curve","Wang et al. 2026","Gaia phase-space spiral","circular-speed inference",13.76,,227.32,19.45,,,"direct_rotation",true,true,"Original Fig. 1 radial data; total uncertainty used in fits."
"Wang2026_rotation_curve","Wang et al. 2026","Gaia phase-space spiral","circular-speed inference",14.24,,224.91,19.8,,,"direct_rotation",true,true,"Original Fig. 1 radial data; total uncertainty used in fits."
