R_kpc,z_kpc,sigma_z_kpc,Phi_kms2,sigma_Phi_kms2
7.79,0.3,0.019,180.5,28.5
7.79,0.421,0.025,311.8,26.5
7.79,0.516,0.018,478.8,46.4
7.79,0.621,0.025,568.9,35.8
7.79,0.726,0.018,666.7,54.8
7.79,0.84,0.025,908.8,45.2
7.79,0.944,0.018,1188.3,73.1
7.79,1.054,0.025,1269.3,53.4
8.17,0.292,0.019,160.3,26.9
8.17,0.414,0.025,288.5,25.5
8.17,0.524,0.018,454.2,45.2
8.17,0.645,0.025,568.8,35.8
8.17,0.718,0.018,696.2,56.0
8.17,0.795,0.025,876.6,44.4
8.17,0.921,0.018,1077.7,69.6
8.17,1.055,0.025,1294.8,54.0
8.66,0.289,0.025,152.9,18.5
8.66,0.379,0.018,240.6,32.9
8.66,0.481,0.025,365.2,28.7
8.66,0.586,0.018,515.6,48.2
8.66,0.702,0.025,653.6,38.3
9.14,0.309,0.025,143.3,18.0
9.14,0.387,0.018,249.9,33.5
9.14,0.474,0.025,360.6,28.5
9.14,0.583,0.018,491.6,47.0
9.14,0.704,0.025,638.0,37.9
9.14,0.791,0.018,803.4,60.1
9.54,0.367,0.018,222.2,31.6
9.54,0.42,0.025,298.3,25.9
9.54,0.539,0.018,385.6,41.7
9.54,0.673,0.025,540.3,34.9
9.88,0.283,0.018,133.8,24.5
9.88,0.35,0.025,186.5,20.5
9.88,0.488,0.018,248.0,33.4
9.88,0.649,0.025,450.7,31.8
10.24,0.32,0.025,135.0,17.4
10.24,0.444,0.018,195.9,29.7
10.24,0.587,0.025,430.4,31.1
10.64,0.304,0.025,118.9,16.4
10.64,0.425,0.018,177.6,28.3
10.64,0.566,0.025,385.6,29.5
10.95,0.296,0.025,108.9,15.7
10.95,0.415,0.018,156.8,26.6
10.95,0.553,0.025,333.2,27.4
