R_kpc,hybrid_p5,hybrid_p16,hybrid_center,hybrid_p84,hybrid_p95,weight_McGaugh2018_Imig2025,weight_Wang2026_Lian2022,weight_McMillan2017,weight_deSalas2019_B2,center_McGaugh2018_Imig2025,center_Wang2026_Lian2022,center_McMillan2017,center_deSalas2019_B2
1,145.45357,163.970704,179.029819,194.088934,199.189151,0.363291026,0.0679812507,0.194442326,0.374285397,189.636842,161.433995,155.698533,184.05096
1.0031058,145.568214,164.066463,179.09722,194.127976,199.260211,0.363556079,0.0679731081,0.194465651,0.374005162,189.665582,161.544726,155.821252,184.116619
1.0062213,145.682434,164.161431,179.163458,194.165485,199.329985,0.363821489,0.0679649994,0.194489041,0.373724471,189.692754,161.654857,155.943517,184.18109
1.0093465,145.796225,164.255598,179.228524,194.201451,199.398462,0.36408725,0.0679569251,0.194512495,0.37344333,189.718345,161.764381,156.065323,184.244363
1.0124814,145.909582,164.348956,179.292406,194.235857,199.46563,0.364353359,0.0679488855,0.194536014,0.373161742,189.742338,161.873292,156.186665,184.306426
1.015626,146.0225,164.441494,179.355091,194.268689,199.531474,0.36461981,0.0679408811,0.194559597,0.372879712,189.764719,161.981582,156.307536,184.367266
1.0187804,146.134976,164.533208,179.416571,194.299934,199.595985,0.364886608,0.067932912,0.194583245,0.372597235,189.785473,162.089249,156.427934,184.426875
1.0219446,146.247004,164.624086,179.476833,194.329579,199.659152,0.365153748,0.0679249787,0.194606958,0.372314315,189.804586,162.196284,156.547853,184.485241
1.0251186,146.35858,164.714121,179.535864,194.357608,199.720958,0.365421226,0.0679170816,0.194630735,0.372030957,189.822042,162.302681,156.667288,184.54235
1.0283024,146.469699,164.803302,179.593654,194.384007,199.781394,0.365689037,0.067909221,0.194654576,0.371747166,189.837825,162.408433,156.786233,184.598193
1.0314962,146.58036,164.891624,179.650193,194.408763,199.840448,0.365957193,0.067901397,0.194678482,0.371462927,189.851921,162.51354,156.904688,184.652759
1.0346999,146.690555,164.979077,179.705468,194.43186,199.898106,0.366225682,0.0678936101,0.194702453,0.371178255,189.864314,162.61799,157.022645,184.706035
1.0379135,146.800278,165.065648,179.759465,194.453283,199.954354,0.366494497,0.0678858609,0.194726488,0.370893153,189.874987,162.721777,157.140096,184.758008
1.0411371,146.909527,165.151331,179.812175,194.473018,200.009182,0.366763644,0.0678781495,0.194750588,0.370607618,189.883925,162.824896,157.25704,184.808669
1.0443707,147.018296,165.236116,179.863583,194.49105,200.062574,0.367033118,0.0678704762,0.194774752,0.370321654,189.891112,162.92734,157.37347,184.858003
1.0476144,147.126583,165.319996,179.91368,194.507364,200.11452,0.367302921,0.0678628414,0.194798981,0.370035256,189.896531,163.029105,157.489384,184.906001
1.0508681,147.234377,165.402957,179.96245,194.521944,200.165003,0.367573041,0.0678552457,0.194823274,0.369748439,189.900166,163.130181,157.604771,184.952648
1.0541319,147.341678,165.484991,180.009884,194.534776,200.214012,0.367843482,0.0678476893,0.194847632,0.369461197,189.902001,163.230562,157.71963,184.997932
1.0574059,147.448483,165.566091,180.055967,194.545843,200.261534,0.368114246,0.0678401724,0.194872054,0.369173528,189.902017,163.330245,157.833957,185.041842
1.0606901,147.554784,165.646245,180.100688,194.555131,200.307554,0.368385329,0.0678326954,0.194896541,0.368885434,189.9002,163.429222,157.947746,185.084365
