type,dataset,source_paper,tracer,method,R_kpc,z_kpc,vc_kms,sigma_vc_kms,Phi_kms2,sigma_Phi_kms2,sigma_z_kpc,in_chi2_fit
radial,Wang2026_rotation_curve,Wang et al. 2026,Gaia phase-space spiral,circular-speed inference,6.23,,227.56,13.73,,,,True
radial,Wang2026_rotation_curve,Wang et al. 2026,Gaia phase-space spiral,circular-speed inference,6.79,,227.74,14.25,,,,True
radial,Wang2026_rotation_curve,Wang et al. 2026,Gaia phase-space spiral,circular-speed inference,7.21,,231.82,14.48,,,,True
radial,Wang2026_rotation_curve,Wang et al. 2026,Gaia phase-space spiral,circular-speed inference,7.75,,231.14,14.91,,,,True
radial,Wang2026_rotation_curve,Wang et al. 2026,Gaia phase-space spiral,circular-speed inference,8.22,,237.28,15.44,,,,True
radial,Wang2026_rotation_curve,Wang et al. 2026,Gaia phase-space spiral,circular-speed inference,8.89,,241.44,16.11,,,,True
radial,Wang2026_rotation_curve,Wang et al. 2026,Gaia phase-space spiral,circular-speed inference,9.31,,240.33,16.34,,,,True
radial,Wang2026_rotation_curve,Wang et al. 2026,Gaia phase-space spiral,circular-speed inference,9.73,,238.46,16.53,,,,True
radial,Wang2026_rotation_curve,Wang et al. 2026,Gaia phase-space spiral,circular-speed inference,10.29,,237.9,16.94,,,,True
radial,Wang2026_rotation_curve,Wang et al. 2026,Gaia phase-space spiral,circular-speed inference,10.77,,236.31,17.24,,,,True
radial,Wang2026_rotation_curve,Wang et al. 2026,Gaia phase-space spiral,circular-speed inference,11.24,,234.92,17.54,,,,True
radial,Wang2026_rotation_curve,Wang et al. 2026,Gaia phase-space spiral,circular-speed inference,11.78,,234.51,18,,,,True
radial,Wang2026_rotation_curve,Wang et al. 2026,Gaia phase-space spiral,circular-speed inference,12.24,,233.8,18.39,,,,True
radial,Wang2026_rotation_curve,Wang et al. 2026,Gaia phase-space spiral,circular-speed inference,12.75,,231.21,18.69,,,,True
radial,Wang2026_rotation_curve,Wang et al. 2026,Gaia phase-space spiral,circular-speed inference,13.26,,229.88,19.11,,,,True
radial,Wang2026_rotation_curve,Wang et al. 2026,Gaia phase-space spiral,circular-speed inference,13.76,,227.32,19.45,,,,True
radial,Wang2026_rotation_curve,Wang et al. 2026,Gaia phase-space spiral,circular-speed inference,14.24,,224.91,19.8,,,,True
radial,Wang2026_rotation_curve,Wang et al. 2026,Gaia phase-space spiral,circular-speed inference,14.72,,223.29,20.24,,,,True
radial,Wang2026_rotation_curve,Wang et al. 2026,Gaia phase-space spiral,circular-speed inference,15.21,,220.41,20.6,,,,True
radial,Wang2026_rotation_curve,Wang et al. 2026,Gaia phase-space spiral,circular-speed inference,15.66,,221.13,21.27,,,,True
radial,Wang2026_rotation_curve,Wang et al. 2026,Gaia phase-space spiral,circular-speed inference,16.33,,218.37,21.96,,,,True
radial,Wang2026_rotation_curve,Wang et al. 2026,Gaia phase-space spiral,circular-speed inference,16.78,,217.71,22.55,,,,True
radial,Wang2026_rotation_curve,Wang et al. 2026,Gaia phase-space spiral,circular-speed inference,17.25,,217.99,23.34,,,,True
radial,Wang2026_rotation_curve,Wang et al. 2026,Gaia phase-space spiral,circular-speed inference,17.74,,214.01,23.75,,,,True
radial,Wang2026_rotation_curve,Wang et al. 2026,Gaia phase-space spiral,circular-speed inference,18.23,,216.89,24.87,,,,True
