scenario,label,s,chi2_radial,chi2_vertical,chi2_total,chi2_nu,chi2_nu_free_sR_sz,delta_chi2
fig2b_01,qcopula_01,1.954143044767969,489.95393779973426,105.37756617047567,595.33150397021,3.052982071642102,2.9154296628064365,29.73814938576129
fig2b_02,qcopula_02,1.951789708191463,463.8458450568142,170.08928036634097,633.9351254231551,3.2509493611443854,2.920001821174193,67.4547721153616
fig2b_03,qcopula_03,2.3676937934333737,389.1707056367346,85.32266016050296,474.4933657972376,2.4332993117807056,2.4004611673171254,8.80389933771528
fig2b_04,qcopula_04,1.9705968793620774,480.4959275954718,152.78755570993016,633.283483305402,3.2476076066943693,2.8716090295712413,76.19133156858118
fig2b_05,qcopula_05,2.5195381454304657,335.11994418133145,241.83612299708244,576.9560671784138,2.9587490624534043,2.328174163444121,125.29027947025435
fig2b_06,qcopula_06,2.486760812498384,313.0907635504469,116.23596824946112,429.32673179990803,2.201675547691836,2.1372903763659794,14.692398784907994
fig2b_07,qcopula_07,2.5650065241751614,316.1438073428391,110.9925059752516,427.13631331809074,2.1904426324004653,2.139945915962249,11.986805621414419
fig2b_08,qcopula_08,1.917344171914453,716.958965163898,70.6458559161859,787.6048210800839,4.038999082461968,4.039141369996568,4.011395300749655
fig2b_09,qcopula_09,2.5241594457171557,328.3567112317387,170.9747221582381,499.33143338997684,2.5606740173844966,2.2878400174182585,55.490470010834656
fig2b_10,qcopula_10,2.2138735155438978,396.772582922502,243.5816825619023,640.3542654844043,3.28386802812515,2.4795269032330403,159.32604625719455
fig2b_11,qcopula_11,1.8261219130267046,598.0858012646822,151.83799471529878,749.923795979981,3.845763056307595,3.5413461693009216,62.90263913560227
fig2b_12,qcopula_12,2.255129186279987,653.236577535761,411.39338724785324,1064.6299647836142,5.459640845044175,3.7227560837907188,342.4152845282148
fig2b_13,qcopula_13,1.860037772316974,773.3905517397019,92.7074768251755,866.0980285648774,4.441528351614756,4.391359730273252,14.174240891866475
fig2b_14,qcopula_14,2.1471161045074267,1442.9354442288313,140.01263965680283,1582.948083885634,8.11768248146479,7.824659839136193,64.96407509321261
fig2b_15,qcopula_15,1.9587758566358018,492.4828943831063,116.01091797424478,608.4938123573511,3.1204810890120567,2.941163391419197,37.90811442202687
fig2b_16,qcopula_16,2.029393651879304,668.1219228469382,99.52188633139872,767.6438091783369,3.9366349188632666,3.822837247781741,26.013383108679136
fig2b_17,qcopula_17,2.274709233380492,378.71361274150354,125.85269446361264,504.5663072051162,2.5875195241288007,2.4335755318810928,32.452654020184184
fig2b_18,qcopula_18,2.033212509185727,696.7511398335382,80.52116886047916,777.2723086940174,3.9860118394564994,3.9779637237178362,5.547346292757197
fig2b_19,qcopula_19,2.4283016616240136,430.3469553151914,98.30629933605816,528.6532546512495,2.7110423315448693,2.724380111143494,0.12351308941174466
fig2b_20,qcopula_20,2.117235109038206,579.7066063260136,225.21903846712354,804.925644793137,4.127823819451985,3.3668428619815884,151.7581295687089
fig2b_21,qcopula_21,1.9031313624157533,509.7632894514462,127.86159515414433,637.6248846055905,3.2698712031055925,3.0133419788492217,53.03654070884147
fig2b_22,qcopula_22,1.946023798400675,658.2940369669112,127.2219305213143,785.5159674882256,4.028287012760131,3.953378742736544,18.560491397336023
fig2b_23,qcopula_23,2.056421806362507,1815.6325642819725,119.54835905737227,1935.1809233393446,9.924004735073563,9.744288907025583,44.78887537638161
fig2b_24,qcopula_24,2.255939151745173,303.593500165239,217.8074201938715,521.4009203591105,2.673850873636464,2.118278822242092,110.45482884414469
fig2b_25,qcopula_25,2.4029620211273146,441.5973522334559,191.9829456780181,633.580297911474,3.2491297328793536,2.7282009209696922,104.30931924335368
fig2b_26,qcopula_26,1.850155579011742,580.4461931981845,106.27145426599968,686.7176474641841,3.52162896135479,3.441267896621619,19.111675519589994
fig2b_27,qcopula_27,2.2949158131747316,575.8308022848776,201.39494471127026,777.2257469961478,3.9857730615187066,3.3063765188461876,135.78870233998737
fig2b_28,qcopula_28,2.468605642834579,310.6167542630321,226.99937734738427,537.6161316104163,2.7570058031303404,2.2054309986399865,109.76251787425895
fig2b_29,qcopula_29,2.0250101535218676,1210.715829613597,100.63069069486393,1311.3465203084609,6.724853950299799,6.62902525784653,25.31562028623398
fig2b_30,qcopula_30,1.9595233388780184,336.8648097395354,269.9236046013217,606.7884143408571,3.1117354581582415,2.167772466763034,186.24055578882854
fig2b_31,qcopula_31,2.232647194373997,301.43860404574156,289.8308500030405,591.2694540487821,3.0321510464040107,2.1001337820774877,183.84350032574946
fig2b_32,qcopula_32,2.0513335757201094,616.340047373164,341.12946030915407,957.4695076823181,4.910100039396503,3.5243064226063074,273.7540616966944
fig2b_33,qcopula_33,2.613237864139632,339.88867178635803,99.71109075884732,439.59976254520535,2.254357756642079,2.247687337876297,3.548418997203669
fig2b_34,qcopula_34,2.546059786860978,324.7928701405056,106.06036506404273,430.85323520454835,2.2095037702797353,2.161043473028172,11.610801437082955
fig2b_35,qcopula_35,2.1735055469611972,443.8405869299495,137.70411855821573,581.5447054881652,2.9822805409649495,2.782376488638948,41.7636666922092
fig2b_36,qcopula_36,2.174862688594723,342.9803527229946,163.28350743499826,506.2638601579929,2.596224923887143,2.2647793203836932,66.89667200355643
fig2b_37,qcopula_37,2.264988816178589,863.3616175456032,108.2633122715411,971.6249298171442,4.982691947780227,4.995181313024872,2.5597550903189585
fig2b_38,qcopula_38,2.234690759630712,476.6165164478756,167.11145357257527,643.7279700204508,3.3011690770279527,3.07873462205226,46.4534533423124
fig2b_39,qcopula_39,2.0834773414867773,407.1622129229464,182.93834073484132,590.1005536577877,3.0261566854245525,2.6162395605987747,82.55007890162545
fig2b_40,qcopula_40,2.430038680184441,332.21549804822246,152.95639891561282,485.17189696383525,2.48806101007095,2.287008020544557,41.49234097819118
fig2b_41,qcopula_41,2.498990595915163,307.9330237236029,160.66693830319412,468.599962026797,2.403076728342549,2.2213847261221367,37.6513251591025
fig2b_42,qcopula_42,2.32341828670907,445.2699049906808,99.54553278024605,544.8154377709268,2.7939253219021887,2.761761038816334,9.03379624055799
fig2b_43,qcopula_43,1.977803925074752,812.1843217110822,70.88372387455034,883.0680455856326,4.528554079926321,4.544757131050423,1.3851621618506442
fig2b_44,qcopula_44,2.163583448425458,948.8562247843074,88.6587900114589,1037.5150147957663,5.320589819465468,5.289911471522283,11.272189320443431
fig2b_45,qcopula_45,2.454717207346739,359.1127149508334,92.28805015398162,451.400765104815,2.3148757184862307,2.3142804937709873,2.4303493132434255
