R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,169.247,169.229,169.233,169.317,169.08,169.247,169.434,169.019,168.84,169.032,169.437,168.761,170.211,169.06,168.831,170.775,169.687,168.911,168.915,169.321,171.43,169.018,170.549,170.962,171.552,172.1,169.318,171.383,172.369,172.476,170.234,169.532,172.267,172.217,173.656,174.195,173.944,173.108,172.623,173.218,172.331,172.687,174.76,173.163,173.965,175.666,174.916,176.317,174.501,174.375,173.336,174.302,174.885,175.049,174.416,175.524,175.625,177.621,176.98,176.26,176.332,175.66,175.8,178.108,177.196,176.763,178.212,178.072,178.185,177.19,177.488,177.958,177.968,179.018,177.221,179.697,178.725,177.942,178.259,179.969,181.024,179.902,178.879,179.689,179.975,180.571,180.214,179.896,182.186,180.823,181.007,181.248,182.508,180.926,182.446,183.573,182.131,180.815,180.75,182.555
1.02261,170.149,170.135,170.135,170.224,169.974,170.15,170.346,169.911,169.733,169.925,170.348,169.656,171.113,169.959,169.727,171.663,170.593,169.801,169.812,170.225,172.353,169.922,171.478,171.86,172.497,173.013,170.231,172.322,173.283,173.397,171.15,170.452,173.206,173.14,174.599,175.167,174.894,174.067,173.552,174.175,173.282,173.644,175.706,174.103,174.946,176.635,175.901,177.311,175.494,175.352,174.31,175.29,175.882,176.046,175.401,176.52,176.602,178.607,177.977,177.22,177.321,176.642,176.808,179.115,178.197,177.787,179.188,179.118,179.236,178.201,178.484,179.003,179.013,180.039,178.234,180.699,179.769,178.95,179.264,180.968,182.046,180.898,179.888,180.672,181.055,181.645,181.199,180.945,183.197,181.844,182.055,182.263,183.477,181.95,183.507,184.627,183.253,181.855,181.795,183.578
1.04573,171.022,171.012,171.007,171.1,170.839,171.023,171.228,170.773,170.596,170.787,171.23,170.522,171.984,170.828,170.592,172.52,171.469,170.661,170.678,171.1,173.245,170.797,172.377,172.727,173.413,173.895,171.114,173.232,174.166,174.286,172.037,171.342,174.116,174.033,175.511,176.11,175.814,174.996,174.451,175.104,174.205,174.572,176.621,175.012,175.899,177.574,176.858,178.277,176.461,176.301,175.255,176.25,176.85,177.015,176.359,177.488,177.549,179.564,178.946,178.151,178.281,177.595,177.789,180.093,179.17,178.784,180.133,180.138,180.26,179.185,179.452,180.022,180.032,181.031,179.219,181.672,180.786,179.93,180.24,181.938,183.039,181.864,180.868,181.625,182.11,182.693,182.154,181.968,184.178,182.836,183.076,183.247,184.414,182.946,184.541,185.652,184.351,182.867,182.812,184.571
1.06937,171.862,171.856,171.846,171.945,171.67,171.864,172.078,171.601,171.427,171.616,172.081,171.354,172.822,171.665,171.425,173.342,172.312,171.488,171.511,171.942,174.105,171.639,173.246,173.56,174.299,174.744,171.966,174.111,175.016,175.142,172.892,172.201,174.994,174.893,176.392,177.022,176.702,175.895,175.317,176.001,175.097,175.469,177.504,175.89,176.822,178.481,177.786,179.212,177.397,177.22,176.171,177.18,177.79,177.955,177.287,178.426,178.466,180.49,179.884,179.049,179.211,178.517,178.741,181.04,180.112,179.752,181.046,181.129,181.257,180.139,180.388,181.013,181.023,181.993,180.174,182.614,181.775,180.88,181.186,182.876,184.002,182.798,181.817,182.545,183.139,183.713,183.076,182.961,185.127,183.797,184.067,184.2,185.316,183.911,185.545,186.647,185.424,183.849,183.799,185.532
1.09355,172.668,172.665,172.651,172.755,172.466,172.67,172.894,172.394,172.222,172.41,172.897,172.152,173.625,172.466,172.223,174.129,173.121,172.28,172.31,172.75,174.931,172.447,174.08,174.357,175.151,175.557,172.783,174.956,175.83,175.964,173.712,173.026,175.838,175.719,177.238,177.902,177.556,176.76,176.149,176.865,175.956,176.333,178.352,176.733,177.712,179.355,178.68,180.115,178.302,178.105,177.054,178.078,178.697,178.863,178.183,179.333,179.349,181.382,180.789,179.912,180.108,179.406,179.661,181.955,181.022,180.69,181.924,182.091,182.224,181.061,181.292,181.974,181.984,182.923,181.097,183.521,182.733,181.797,182.099,183.779,184.93,183.697,182.733,183.43,184.138,184.704,183.962,183.923,186.041,184.724,185.026,185.119,186.181,184.842,186.517,187.609,186.468,184.799,184.755,186.459
1.11827,173.437,173.438,173.419,173.528,173.225,173.439,173.674,173.15,172.98,173.167,173.676,172.913,174.39,173.231,172.984,174.876,173.892,173.034,173.071,173.52,175.72,173.218,174.878,175.116,175.967,176.332,173.564,175.766,176.606,176.747,174.496,173.815,176.646,176.507,178.047,178.747,178.374,177.59,176.943,177.693,176.779,177.162,179.162,177.54,178.568,180.192,179.54,180.982,179.173,178.956,177.903,178.942,179.571,179.738,179.045,180.204,180.196,182.237,181.66,180.738,180.969,180.259,180.548,182.835,181.896,181.594,182.764,183.02,183.159,181.948,182.16,182.902,182.912,183.817,181.986,184.392,183.657,182.679,182.977,184.646,185.823,184.559,183.613,184.277,185.105,185.662,184.811,184.852,186.917,185.616,185.951,186.002,187.005,185.738,187.455,188.536,187.483,185.715,185.677,187.349
1.14355,174.166,174.172,174.147,174.262,173.944,174.168,174.414,173.865,173.698,173.883,174.417,173.633,175.115,173.955,173.704,175.581,174.624,173.747,173.792,174.251,176.469,173.95,175.638,175.833,176.746,177.067,174.306,176.537,177.341,177.49,175.24,174.565,177.414,177.255,178.816,179.553,179.152,178.382,177.698,178.484,177.564,177.953,179.932,178.307,179.388,180.991,180.363,181.813,180.008,179.769,178.715,179.77,180.408,180.575,179.869,181.039,181.005,183.054,182.492,181.524,181.793,181.075,181.398,183.677,182.733,182.462,183.565,183.914,184.059,182.799,182.99,183.796,183.805,184.675,182.838,185.224,184.547,183.523,183.816,185.473,186.678,185.382,184.456,185.084,186.039,186.586,185.619,185.745,187.754,186.469,186.84,186.845,187.785,186.596,188.356,189.425,188.466,186.593,186.562,188.2
1.16941,174.852,174.863,174.833,174.953,174.62,174.855,175.113,174.538,174.373,174.556,175.115,174.311,175.797,174.637,174.382,176.242,175.314,174.417,174.471,174.94,177.175,174.64,176.357,176.507,177.483,177.758,175.007,177.267,178.033,178.19,175.943,175.274,178.141,177.96,179.544,180.319,179.888,179.133,178.41,179.233,178.308,178.703,180.66,179.032,180.167,181.747,181.146,182.603,180.804,180.542,179.487,180.558,181.206,181.374,180.654,181.835,181.773,183.829,183.284,182.267,182.576,181.85,182.209,184.479,183.53,183.293,184.323,184.77,184.921,183.61,183.779,184.652,184.661,185.493,183.651,186.014,185.398,184.327,184.615,186.259,187.492,186.163,185.258,185.848,186.937,187.473,186.383,186.6,188.548,187.281,187.689,187.647,188.52,187.413,189.219,190.273,189.415,187.432,187.407,189.009
1.19584,175.493,175.509,175.473,175.6,175.25,175.497,175.767,175.164,175.003,175.183,175.769,174.943,176.432,175.273,175.015,176.856,175.957,175.042,175.104,175.583,177.837,175.284,177.031,177.134,178.178,178.402,175.662,177.953,178.678,178.843,176.6,175.939,178.824,178.619,180.226,181.042,180.579,179.84,179.076,179.939,179.009,179.41,181.342,179.712,180.904,182.459,181.886,183.35,181.558,181.272,180.216,181.304,181.962,182.131,181.397,182.588,182.497,184.559,184.033,182.965,183.316,182.581,182.98,185.237,184.283,184.082,185.035,185.587,185.745,184.379,184.525,185.468,185.477,186.268,184.422,186.76,186.209,185.089,185.371,186.999,188.261,186.898,186.016,186.566,187.797,188.321,187.102,187.413,189.296,188.05,188.497,188.404,189.206,188.186,190.04,191.079,190.327,188.229,188.211,189.773
1.22288,176.086,176.107,176.065,176.198,175.83,176.09,176.373,175.74,175.583,175.761,176.375,175.527,177.018,175.861,175.598,177.418,176.553,175.617,175.688,176.178,178.45,175.881,177.658,177.71,178.825,178.997,176.27,178.592,179.273,179.447,177.209,176.557,179.459,179.23,180.859,181.719,181.223,180.501,179.693,180.597,179.663,180.07,181.975,180.343,181.596,183.124,182.581,184.051,182.267,181.957,180.9,182.005,182.674,182.843,182.094,183.297,183.174,185.242,184.736,183.614,184.009,183.266,183.705,185.949,184.991,184.828,185.698,186.361,186.525,185.103,185.224,186.241,186.25,186.997,185.148,187.458,186.976,185.804,186.08,187.691,188.984,187.585,186.728,187.234,188.615,189.126,187.771,188.183,189.996,188.771,189.259,189.113,189.839,188.913,190.816,191.838,191.199,188.98,188.97,190.489
