R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,139.616,145.712,160.46,163.022,132.363,153.303,171.93,146.134,129.736,143.906,156.97,144.813,143.773,141.754,145.116,148.063,147.785,153.338,153.77,157.878,152.051,147.78,150.276,158.122,143.648,159.818,149.271,150.784,159.574,162.335,157.376,154.631,159.113,153.695,150.95,149.756,151.796,152.46,156.785,162.831,161.45,163.713,157.882,170.824,164.56,160.596,166.339,149.708,152.552,159.28,164.252,164.106,159.11,165.997,160.386,169.669,168.727,155.707,158.986,168.023,164.751,176.443,172.198,159.716,162.695,167.756,166.718,165.333,169.825,171.558,168.36,164.211,168.789,168.55,173.022,165.227,173.397,176.516,182.782,170.016,171.623,174.647,176.494,170.522,164.788,168.94,175.871,180.354,168.836,168.809,173.425,186.046,177.876,180.762,168.535,171.158,178.968,174.757,184.59,183.421
7.79,0.421,237.938,247.138,274.044,279.238,225.323,262.077,294.126,249.387,220.68,245.654,267.87,247.253,244.837,242.035,247.947,252.66,252.683,262.215,263.443,270.349,259.945,252.665,257.357,270.736,245.111,274.088,255.536,258.104,273.902,278.318,270.228,265.221,273.427,263.339,258.401,256.637,260.415,261.59,268.977,280.072,277.624,281.445,271.106,294.068,283.084,276.343,286.372,257.3,262.425,273.781,283.035,283.028,273.853,286.49,276.574,292.544,291.279,267.826,273.822,290.021,284.015,305.311,297.639,275.119,280.98,290.117,287.796,285.538,293.736,296.997,291.034,284.075,292.016,291.887,299.291,285.924,300.522,305.769,316.864,294.186,297.175,302.468,305.644,295.007,285.625,292.727,304.575,313.263,292.326,292.468,300.446,323.21,308.539,313.638,292.053,296.368,310.855,303.077,320.839,318.681
7.79,0.516,324.103,335.282,373.522,381.405,306.793,357.584,401.211,339.947,300.35,334.972,364.918,337.194,333.249,330.144,338.329,344.355,344.929,357.878,360.069,369.294,354.732,344.894,351.707,369.785,334.143,374.813,349.134,352.59,374.814,380.465,369.932,362.816,374.513,359.956,353.008,350.924,356.352,357.986,367.975,383.824,380.417,385.533,371.137,403.132,387.965,378.88,392.687,352.629,359.854,375.07,388.418,388.672,375.569,393.604,379.828,401.567,400.226,367.183,375.719,398.46,389.887,420.131,409.305,377.537,386.293,399.193,395.458,392.526,404.189,408.919,400.305,391.029,401.91,402.036,411.807,393.65,414.111,421.121,436.559,404.924,409.24,416.537,420.854,405.993,393.738,403.366,419.408,432.277,402.581,402.974,413.88,445.981,425.352,432.444,402.478,408.136,428.979,417.82,442.903,439.809
7.79,0.621,426.69,439.407,491.668,503.104,403.884,471.326,528.335,447.779,395.297,441.428,480.117,444.405,438.32,435.277,446.168,453.471,455.01,471.889,475.503,487.298,467.708,454.952,464.469,487.892,440.238,495.127,460.977,465.43,495.5,502.362,489.3,479.572,495.613,475.398,465.999,463.74,471.24,473.428,486.371,508.165,503.606,510.161,490.888,533.756,513.632,501.902,520.163,467.129,476.929,496.456,514.982,515.696,497.696,522.451,504.056,532.459,531.255,486.482,498.165,528.866,517.102,558.418,543.736,500.631,513.178,530.705,524.991,521.376,537.345,543.931,531.957,520.125,534.448,535.041,547.373,523.696,551.292,560.254,580.908,538.467,544.471,554.133,559.762,539.803,524.533,537.061,557.892,576.211,535.685,536.488,550.812,594.352,566.445,575.94,535.947,543.021,571.876,556.472,590.551,586.286
7.79,0.726,536.327,549.726,617.407,632.991,507.83,592.781,663.451,562.984,496.987,555.3,602.663,559.093,550.379,547.895,561.646,569.954,572.883,593.749,599.194,613.475,588.486,572.799,585.385,614.154,553.718,623.975,580.897,586.331,624.92,632.755,617.473,604.872,625.722,599.124,587.07,584.877,594.693,597.472,613.359,641.777,635.991,643.941,619.462,673.953,648.627,634.277,657.192,590.574,603.184,626.924,651.282,652.661,629.233,661.427,638.125,673.327,672.54,615.007,630.161,669.469,654.177,707.684,688.817,633.349,650.304,672.898,664.735,660.55,681.284,689.952,674.183,659.897,677.787,679.069,693.801,664.503,699.829,710.675,736.892,682.863,690.788,702.922,709.878,684.451,666.482,681.948,707.593,732.233,679.787,681.154,699.016,755.018,719.201,731.278,680.633,688.985,726.835,706.682,750.599,745.031
7.79,0.84,661.699,674.897,760.515,781.146,626.942,731.45,816.957,694.647,613.582,685.589,742.082,690.328,678.28,676.942,693.907,702.969,707.859,733.022,740.875,757.7,726.564,707.745,724.006,758.451,683.577,771.442,718.375,724.83,773.226,781.824,764.539,748.592,775.073,740.872,725.772,723.927,736.477,739.925,758.922,795.147,787.976,797.35,766.972,834.659,803.531,786.433,814.518,732.785,748.645,776.745,808.04,810.356,780.566,821.468,792.633,835.211,835.178,762.939,782.137,831.311,811.899,879.613,855.94,786.187,808.51,836.986,825.69,821.034,847.351,858.476,838.18,821.406,843.229,845.492,862.597,827.206,871.427,884.19,916.711,849.487,859.72,874.594,882.975,851.33,830.848,849.483,880.267,912.604,846.263,848.405,870.168,940.554,895.619,910.648,847.984,857.533,906.049,880.282,935.604,928.501
7.79,0.944,781.159,793.32,896.201,921.867,740.694,863.324,962.201,820.016,725.011,809.79,874.224,815.44,799.948,800.144,820.105,829.522,836.611,865.613,876.03,894.998,858.065,836.469,856.362,895.795,807.399,911.983,849.647,856.978,914.73,923.739,905.036,885.867,917.804,876.119,858.123,856.857,872.072,876.151,897.86,941.703,933.233,943.804,907.882,987.995,951.5,932.02,964.871,869.182,888.159,919.979,958.093,961.459,925.502,974.832,940.823,990.04,990.972,904.69,927.786,986.332,962.941,1044.36,1016.12,932.695,960.392,994.529,979.959,975.027,1006.76,1020.27,995.518,976.674,1002.1,1005.46,1024.48,983.613,1036.32,1050.69,1089.13,1009.44,1021.97,1039.37,1049.01,1011.51,989.156,1010.63,1045.95,1086.01,1006.26,1009.25,1034.59,1118.73,1065.08,1082.91,1009,1019.44,1078.42,1047.16,1113.43,1104.84
7.79,1.054,912.452,922.604,1044.55,1075.94,866.02,1007.92,1120.62,957.699,847.885,946.338,1018.64,953.004,933.466,935.81,958.981,968.39,978.244,1011.17,1024.69,1045.7,1002.49,978.075,1002.08,1046.52,943.587,1066.4,994.191,1002.38,1070.38,1079.5,1059.77,1037.04,1075.05,1024.91,1003.75,1003.39,1021.59,1026.35,1050.75,1103.13,1093.26,1104.97,1063.06,1156.61,1114.42,1092.59,1130.49,1020,1042.42,1077.84,1123.64,1128.33,1085.51,1144.2,1104.64,1160.7,1162.95,1061.28,1088.68,1157.45,1129.65,1226.25,1193.03,1094.58,1128.43,1168.83,1150.36,1145.32,1183.08,1199.26,1169.46,1148.68,1177.88,1182.62,1203.39,1156.86,1218.89,1234.75,1279.59,1186.38,1201.53,1221.58,1232.51,1188.66,1164.83,1189.22,1229.12,1278.05,1183.43,1187.47,1216.58,1315.82,1252.6,1273.51,1187.5,1198.65,1269.39,1231.97,1310.33,1300.07
8.17,0.292,118.104,125.38,136.28,136.437,111.188,128.722,146.327,122.766,109.376,120.328,132.951,121.785,124.05,119.095,122.155,125.144,124.192,129.55,129.11,132.738,128.744,124.394,125.837,133.661,121.428,134.793,125.754,126.828,133.843,137.619,132.322,129.978,133.085,130.033,127.068,125.508,126.609,128.198,132.922,136.334,136.059,137.686,133.514,144.945,139.398,134.874,139.899,124.767,127.226,134.55,136.55,136.997,133.955,138.368,133.396,143.123,140.794,130.999,132.96,140.029,138.4,147.064,144.152,134.427,135.272,139.538,139.405,138.541,142.166,142.575,140.232,136.187,140.494,139.508,145.151,136.489,144.167,147.633,152.6,141.077,142.92,145.412,146.652,142.709,136.124,140.383,147.322,149.689,140.731,140.455,145.004,154.881,148.212,150.883,140.59,143.016,148.549,145.731,153.52,152.595
8.17,0.414,204.514,216.354,236.804,237.589,192.204,223.644,254.791,212.819,188.909,208.567,230.792,211.218,214.82,206.492,212.022,217.053,215.715,225.223,224.77,231.055,223.777,216.085,218.9,232.707,210.52,235.019,218.753,220.598,233.506,239.928,230.92,226.562,232.413,226.459,221.04,218.482,220.651,223.515,231.823,238.339,237.842,240.618,233.061,253.757,243.83,235.914,244.851,217.79,222.296,235.115,239.111,240.119,234.382,242.699,233.675,250.959,247.06,229.007,232.687,245.656,242.583,258.751,253.356,235.394,237.35,245.235,244.625,243.236,250.011,250.867,246.38,239.345,247.038,245.459,255.358,239.904,253.981,260.093,269.078,248.066,251.559,256.025,258.172,251.033,239.657,247.205,259.491,264.351,247.681,247.327,255.437,273.682,261.426,266.257,247.652,251.784,262.326,256.98,271.377,269.622
