draw_id,draw_label,model_key,model_name,k,source,dof,chi2_radial,chi2_vertical,chi2_total,chi2_nu,chi2_nu_rad,chi2_nu_vert
1,b1,baryonic,Baryonic Newtonian,0,qcopula,196,67766.3781,774.2657,68540.6438,349.6972,345.7468,3.9503
2,b2,baryonic,Baryonic Newtonian,0,qcopula,196,69209.4407,803.8521,70013.2928,357.2107,353.1094,4.1013
3,b3,baryonic,Baryonic Newtonian,0,qcopula,196,67207.1254,721.9020,67929.0274,346.5767,342.8935,3.6832
4,b4,baryonic,Baryonic Newtonian,0,qcopula,196,65900.9938,596.2708,66497.2646,339.2718,336.2296,3.0422
5,b5,baryonic,Baryonic Newtonian,0,qcopula,196,67480.4768,748.4280,68228.9048,348.1067,344.2881,3.8185
6,b6,baryonic,Baryonic Newtonian,0,qcopula,196,68112.8344,806.0536,68918.8880,351.6270,347.5145,4.1125
7,b7,baryonic,Baryonic Newtonian,0,qcopula,196,65421.5370,568.0279,65989.5649,336.6815,333.7834,2.8981
8,b8,baryonic,Baryonic Newtonian,0,qcopula,196,66961.8378,710.4802,67672.3180,345.2669,341.6420,3.6249
9,b9,baryonic,Baryonic Newtonian,0,qcopula,196,63604.4676,790.2839,64394.7515,328.5447,324.5126,4.0321
10,b10,baryonic,Baryonic Newtonian,0,qcopula,196,61187.4807,862.3379,62049.8186,316.5807,312.1810,4.3997
11,b11,baryonic,Baryonic Newtonian,0,qcopula,196,68495.0448,793.1103,69288.1551,353.5110,349.4645,4.0465
12,b12,baryonic,Baryonic Newtonian,0,qcopula,196,60869.8441,1068.1769,61938.0210,316.0103,310.5604,5.4499
13,b13,baryonic,Baryonic Newtonian,0,qcopula,196,67822.1081,679.4825,68501.5906,349.4979,346.0312,3.4667
14,b14,baryonic,Baryonic Newtonian,0,qcopula,196,54125.2669,1198.5034,55323.7703,282.2641,276.1493,6.1148
15,b15,baryonic,Baryonic Newtonian,0,qcopula,196,53326.4644,1130.9235,54457.3879,277.8438,272.0738,5.7700
16,b16,baryonic,Baryonic Newtonian,0,qcopula,196,68389.0910,716.5767,69105.6677,352.5799,348.9239,3.6560
17,b17,baryonic,Baryonic Newtonian,0,qcopula,196,52057.9323,948.2336,53006.1659,270.4396,265.6017,4.8379
18,b18,baryonic,Baryonic Newtonian,0,qcopula,196,64996.7823,528.0208,65524.8031,334.3102,331.6162,2.6940
19,b19,baryonic,Baryonic Newtonian,0,qcopula,196,49550.5956,742.3980,50292.9936,256.5969,252.8092,3.7877
20,b20,baryonic,Baryonic Newtonian,0,qcopula,196,55591.1937,694.9430,56286.1367,287.1742,283.6285,3.5456
21,b21,baryonic,Baryonic Newtonian,0,qcopula,196,57015.8823,564.0261,57579.9084,293.7750,290.8974,2.8777
22,b22,baryonic,Baryonic Newtonian,0,qcopula,196,50930.2928,850.6675,51780.9603,264.1886,259.8484,4.3401
23,b23,baryonic,Baryonic Newtonian,0,qcopula,196,49059.4441,881.2014,49940.6455,254.7992,250.3033,4.4959
24,b24,baryonic,Baryonic Newtonian,0,qcopula,196,57617.4484,512.1823,58129.6307,296.5797,293.9666,2.6132
25,b25,baryonic,Baryonic Newtonian,0,qcopula,196,53914.9305,1182.7973,55097.7278,281.1109,275.0762,6.0347
26,b26,baryonic,Baryonic Newtonian,0,qcopula,196,48490.1272,605.7829,49095.9101,250.4893,247.3986,3.0907
27,b27,baryonic,Baryonic Newtonian,0,qcopula,196,47851.6671,746.5853,48598.2524,247.9503,244.1412,3.8091
28,b28,baryonic,Baryonic Newtonian,0,qcopula,196,48406.0174,760.7556,49166.7730,250.8509,246.9695,3.8814
29,b29,baryonic,Baryonic Newtonian,0,qcopula,196,46094.2826,621.3216,46715.6042,238.3449,235.1749,3.1700
30,b30,baryonic,Baryonic Newtonian,0,qcopula,196,48482.8224,558.7018,49041.5242,250.2119,247.3613,2.8505
31,b31,baryonic,Baryonic Newtonian,0,qcopula,196,44616.9184,591.4192,45208.3376,230.6548,227.6373,3.0174
32,b32,baryonic,Baryonic Newtonian,0,qcopula,196,44781.9674,653.7714,45435.7388,231.8150,228.4794,3.3356
33,b33,baryonic,Baryonic Newtonian,0,qcopula,196,43012.0930,596.4701,43608.5631,222.4927,219.4495,3.0432
34,b34,baryonic,Baryonic Newtonian,0,qcopula,196,47016.9526,620.9187,47637.8713,243.0504,239.8824,3.1680
35,b35,baryonic,Baryonic Newtonian,0,qcopula,196,46594.2721,716.5164,47310.7885,241.3816,237.7259,3.6557
36,b36,baryonic,Baryonic Newtonian,0,qcopula,196,43726.1771,737.5280,44463.7051,226.8556,223.0927,3.7629
37,b37,baryonic,Baryonic Newtonian,0,qcopula,196,42757.1606,706.6988,43463.8594,221.7544,218.1488,3.6056
38,b38,baryonic,Baryonic Newtonian,0,qcopula,196,42788.9542,616.8120,43405.7662,221.4580,218.3110,3.1470
39,b39,baryonic,Baryonic Newtonian,0,qcopula,196,44693.1395,522.6334,45215.7729,230.6927,228.0262,2.6665
40,b40,baryonic,Baryonic Newtonian,0,qcopula,196,40626.8556,513.2404,41140.0960,209.8984,207.2799,2.6186
41,b41,baryonic,Baryonic Newtonian,0,qcopula,196,40402.9838,470.4791,40873.4629,208.5381,206.1377,2.4004
42,b42,baryonic,Baryonic Newtonian,0,qcopula,196,41532.0687,484.6395,42016.7082,214.3710,211.8983,2.4727
43,b43,baryonic,Baryonic Newtonian,0,qcopula,196,42161.2053,498.2179,42659.4232,217.6501,215.1082,2.5419
44,b44,baryonic,Baryonic Newtonian,0,qcopula,196,39978.7880,347.5106,40326.2986,205.7464,203.9734,1.7730
45,b45,baryonic,Baryonic Newtonian,0,qcopula,196,39361.8555,397.3374,39759.1929,202.8530,200.8258,2.0272
46,b46,baryonic,Baryonic Newtonian,0,qcopula,196,37988.7135,452.6847,38441.3982,196.1296,193.8200,2.3096
47,b47,baryonic,Baryonic Newtonian,0,qcopula,196,37280.9316,419.5202,37700.4518,192.3492,190.2088,2.1404
48,b48,baryonic,Baryonic Newtonian,0,qcopula,196,37239.3089,615.6225,37854.9314,193.1374,189.9965,3.1409
49,b49,baryonic,Baryonic Newtonian,0,qcopula,196,35720.4175,565.5246,36285.9421,185.1324,182.2470,2.8853
50,b50,baryonic,Baryonic Newtonian,0,qcopula,196,38567.7001,437.1040,39004.8041,199.0041,196.7740,2.2301
51,b51,baryonic,Baryonic Newtonian,0,qcopula,196,34902.8732,462.8745,35365.7477,180.4375,178.0759,2.3616
52,b52,baryonic,Baryonic Newtonian,0,qcopula,196,33327.8492,407.5409,33735.3901,172.1193,170.0400,2.0793
53,b53,baryonic,Baryonic Newtonian,0,qcopula,196,35028.7982,402.6588,35431.4570,180.7727,178.7184,2.0544
54,b54,baryonic,Baryonic Newtonian,0,qcopula,196,32637.3766,374.1878,33011.5644,168.4263,166.5172,1.9091
55,b55,baryonic,Baryonic Newtonian,0,qcopula,196,32600.6893,452.9885,33053.6778,168.6412,166.3300,2.3112
56,b56,baryonic,Baryonic Newtonian,0,qcopula,196,33949.2690,301.3461,34250.6151,174.7480,173.2106,1.5375
57,b57,baryonic,Baryonic Newtonian,0,qcopula,196,32243.8973,343.6269,32587.5242,166.2629,164.5097,1.7532
58,b58,baryonic,Baryonic Newtonian,0,qcopula,196,34846.7060,433.4694,35280.1754,180.0009,177.7893,2.2116
59,b59,baryonic,Baryonic Newtonian,0,qcopula,196,33670.9587,433.8838,34104.8425,174.0043,171.7906,2.2137
60,b60,baryonic,Baryonic Newtonian,0,qcopula,196,32585.3863,352.0903,32937.4766,168.0483,166.2520,1.7964
61,b61,baryonic,Baryonic Newtonian,0,qcopula,196,33002.1621,321.3500,33323.5121,170.0179,168.3784,1.6395
62,b62,baryonic,Baryonic Newtonian,0,qcopula,196,29448.3651,241.0449,29689.4100,151.4766,150.2468,1.2298
