R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,173.939,172.405,177.601,171.811,179.637,172.384,173.529,172.748,166.871,177.652,168.842,169.289,173.191,173.437,176.016,180.6,168.676,173.479,167.06,167.279,180.703,168.309,168.264,177.137,181.293,168.196,178.564,180.535,173.495,172.202,178.363,179.434,166.436,180.837,178.442,167.141,167.739,168.18,177.961,179.217,177.368,167.233,176.488,179.894,178.535,175.05,176.428,168.476,176.191,170.113,167.285,167.358,176.97,175.634,167.193,168.472,180.734,172.518,176.9,170.475,167.964,180.758,173.338,172.606,168.189,178.467,166.799,168.321,180.825,179.03,179.206,176.358,176.373,167.323,167.061,177.923,182.205,180.48,167.787,173.459,170.979,167.779,169.744,173.781,178.432,174.414,167.543,168.073,181.874,169.079,174.56,173.676,175.199,179.594,180.769,166.697,181.356,168.105,177.048,178.892
1.02261,174.835,173.259,178.564,172.761,180.674,173.349,174.521,173.675,167.763,178.569,169.732,170.241,174.038,174.351,176.835,181.543,169.608,174.446,167.938,168.223,181.598,169.186,169.143,178.027,182.236,169.087,179.619,181.48,174.33,173.125,179.283,180.401,167.327,181.762,179.328,168.041,168.613,169.067,178.944,180.207,178.28,168.1,177.451,180.718,179.508,175.895,177.447,169.409,177.183,171.021,168.158,168.242,177.813,176.509,168.073,169.353,181.648,173.422,177.756,171.421,168.845,181.594,174.329,173.458,169.071,179.486,167.699,169.203,181.799,179.9,180.159,177.173,177.269,168.22,167.942,178.959,183.138,181.439,168.662,174.425,171.897,168.668,170.657,174.731,179.366,175.361,168.434,168.949,182.815,170.002,175.55,174.543,176.201,180.456,181.655,167.581,182.272,168.994,178.037,179.734
1.04573,175.699,174.078,179.496,173.682,181.684,174.286,175.486,174.571,168.625,179.453,170.592,171.166,174.849,175.232,177.615,182.452,170.511,175.384,168.786,169.139,182.457,170.032,169.99,178.883,183.145,169.947,180.648,182.392,175.13,174.017,180.168,181.337,168.189,182.653,180.179,168.911,169.455,169.924,179.898,181.167,179.157,168.936,178.384,181.502,180.451,176.704,178.439,170.314,178.146,171.899,168.999,169.097,178.619,177.349,168.922,170.202,182.527,174.294,178.576,172.34,169.696,182.39,175.292,174.276,169.923,180.477,168.571,170.054,182.74,180.733,181.08,177.95,178.131,169.088,168.793,179.968,184.036,182.367,169.506,175.362,172.785,169.528,171.54,175.652,180.267,176.277,169.294,169.795,183.723,170.895,176.513,175.375,177.175,181.28,182.505,168.436,183.153,169.853,178.998,180.537
1.06937,176.527,174.861,180.396,174.573,182.664,175.193,176.422,175.435,169.456,180.301,171.419,172.062,175.622,176.08,178.354,183.325,171.384,176.292,169.601,170.027,183.277,170.844,170.804,179.702,184.019,170.775,181.65,183.269,175.89,174.876,181.018,182.239,169.019,183.507,180.992,169.75,170.265,170.747,180.819,182.094,179.999,169.738,179.284,182.244,181.362,177.473,179.402,171.189,179.079,172.744,169.807,169.918,179.385,178.152,169.739,171.019,183.367,175.133,179.357,173.228,170.514,183.144,176.226,175.057,170.742,181.438,169.411,170.873,183.648,181.527,181.967,178.686,178.957,169.924,169.612,180.948,184.898,183.26,170.317,176.268,173.641,170.355,172.39,176.541,181.132,177.161,170.123,170.607,184.594,171.758,177.446,176.17,178.12,182.064,183.315,169.259,183.997,170.679,179.928,181.3
1.09355,177.318,175.604,181.26,175.431,183.612,176.068,177.326,176.264,170.253,181.111,172.211,172.926,176.355,176.892,179.049,184.16,172.224,177.166,170.381,170.884,184.055,171.621,171.583,180.481,184.854,171.568,182.621,184.107,176.61,175.701,181.829,183.105,169.815,184.321,181.764,170.556,171.039,171.536,181.707,182.987,180.802,170.504,180.149,182.94,182.237,178.201,180.334,172.031,179.978,173.555,170.58,170.705,180.108,178.915,170.52,171.799,184.168,175.935,180.095,174.084,171.296,183.853,177.129,175.798,171.526,182.367,170.218,171.656,184.519,182.278,182.818,179.377,179.744,170.726,170.396,181.897,185.72,184.116,171.092,177.142,174.463,171.148,173.207,177.395,181.961,178.01,170.917,171.383,185.426,172.587,178.348,176.926,179.033,182.805,184.084,170.047,184.8,171.471,180.824,182.019
1.11827,178.069,176.305,182.086,176.253,184.526,176.908,178.198,177.055,171.013,181.879,172.965,173.757,177.045,177.665,179.698,184.955,173.03,178.006,171.124,171.707,184.79,172.359,172.323,181.218,185.647,172.324,183.561,184.905,177.285,176.488,182.599,183.933,170.575,185.093,182.493,171.325,171.774,172.288,182.558,183.843,181.564,171.232,180.978,183.587,183.074,178.885,181.233,172.839,180.843,174.329,171.315,171.455,180.786,179.635,171.265,172.542,184.926,176.698,180.789,174.905,172.04,184.513,177.999,176.497,172.272,183.261,170.989,172.401,185.352,182.985,183.628,180.021,180.489,171.492,171.142,182.813,186.499,184.932,171.829,177.98,175.247,171.904,173.987,178.214,182.748,178.823,171.674,172.122,186.216,173.381,179.215,177.639,179.912,183.5,184.807,170.798,185.56,172.225,181.685,182.691
1.14355,178.776,176.96,182.872,177.037,185.404,177.71,179.033,177.806,171.735,182.604,173.679,174.551,177.688,178.396,180.296,185.705,173.798,178.808,171.826,172.495,185.476,173.056,173.022,181.909,186.396,173.04,184.465,185.659,177.912,177.235,183.325,184.719,171.297,185.82,183.175,172.056,172.469,172.999,183.369,184.66,182.281,171.919,181.766,184.182,183.871,179.521,182.096,173.61,181.671,175.063,172.009,172.165,181.414,180.31,171.969,173.243,185.637,177.42,181.435,175.689,172.744,185.122,178.832,177.15,172.977,184.118,171.721,173.105,186.142,183.643,184.397,180.614,181.19,172.219,171.849,183.693,187.233,185.706,172.525,178.781,175.992,172.62,174.727,178.993,183.493,179.595,172.391,172.819,186.961,174.136,180.045,178.308,180.756,184.146,185.482,171.51,186.273,172.938,182.507,183.312
1.16941,179.437,177.567,183.614,177.781,186.242,178.473,179.829,178.514,172.414,183.282,174.349,175.306,178.282,179.083,180.84,186.408,174.527,179.569,172.486,173.245,186.112,173.709,173.678,182.551,187.098,173.713,185.333,186.367,178.489,177.94,184.003,185.461,171.976,186.498,183.807,172.746,173.12,173.667,184.138,185.434,182.952,172.562,182.512,184.721,184.625,180.106,182.92,174.342,182.457,175.754,172.66,172.832,181.99,180.935,172.63,173.901,186.3,178.097,182.03,176.433,173.405,185.675,179.627,177.754,173.639,184.935,172.413,173.766,186.888,184.249,185.12,181.153,181.843,172.904,172.513,184.536,187.918,186.434,173.177,179.541,176.694,173.293,175.426,179.73,184.191,180.325,173.066,173.473,187.658,174.851,180.837,178.928,181.56,184.739,186.106,172.18,186.937,173.61,183.289,183.88
1.19584,180.05,178.123,184.311,178.482,187.039,179.194,180.585,179.176,173.049,183.909,174.974,176.021,178.823,179.722,181.327,187.061,175.213,180.288,173.1,173.954,186.694,174.316,174.287,183.141,187.75,174.341,186.161,187.025,179.013,178.598,184.631,186.156,172.612,187.124,184.385,173.391,173.724,174.289,184.863,186.163,183.572,173.158,183.212,185.2,185.333,180.636,183.704,175.031,183.201,176.4,173.264,173.454,182.511,181.509,173.246,174.513,186.909,178.726,182.57,177.134,174.02,186.168,180.381,178.307,174.255,185.71,173.06,174.381,187.586,184.801,185.795,181.634,182.445,173.545,173.131,185.338,188.55,187.113,173.783,180.258,177.351,173.921,176.079,180.423,184.84,181.01,173.696,174.08,188.305,175.522,181.586,179.497,182.323,185.276,186.675,172.805,187.548,174.235,184.027,184.391
1.22288,180.609,178.623,184.957,179.136,187.791,179.869,181.296,179.79,173.637,184.484,175.549,176.691,179.308,180.311,181.754,187.661,175.853,180.96,173.664,174.62,187.219,174.872,174.847,183.676,188.347,174.92,186.947,187.629,179.478,179.208,185.205,186.8,173.2,187.696,184.907,173.989,174.278,174.862,185.539,186.843,184.138,173.704,183.864,185.617,185.992,181.109,184.444,175.674,183.899,176.997,173.819,174.027,182.972,182.027,173.812,175.074,187.463,179.305,183.052,177.79,174.585,186.599,181.091,178.804,174.821,186.44,173.661,174.946,188.233,185.294,186.419,182.054,182.992,174.138,173.701,186.096,189.128,187.741,174.339,180.928,177.96,174.5,176.685,181.068,185.437,181.646,174.278,174.637,188.896,176.146,182.29,180.01,183.041,185.754,187.186,173.382,188.103,174.812,184.718,184.84
