R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,160.895,160.669,175.956,153.336,166.853,181.231,182.754,166.424,175.37,151.167,154.453,132.484,163.64,203.259,159.947,163.578,171.642,171.038,191.213,147.281,154.863,171.635,197.143,162.451,160.517,163.891,148.693,168.222,191.623,142.715,154.558,134.234,186.827,181.745,168.968,164.04,194.076,174.299,161.395,175.982,180.515,178.116,171.442,190.629,184.354,179.05,130.53,170.964,175.229,194.441,194.823,183.968,154.628,152.88,158.837,161.515,157.968,157.148,197.929,175.949,173.452,186.137,174.996,157.48,168.094,156.175,180.696,164.605,183.491,182.255,147.009,147.946,160.342,168.557,174.307,181.088,170.284,176.335,177.097,195.712,176.218,162.078,149.06,170.648,164.485,181.079,149.027,179.705,176.243,134.062,149.159,154.96,140.846,173.264,194.357,176.084,184.611,158.405,155.787,191.709
7.79,0.421,276.739,276.336,304.732,263.347,288.642,314.346,317.171,286.521,303.971,260.239,264.793,228.401,281.167,351.992,275.114,281.302,296.576,294.847,331.871,252.872,265.753,295.631,340.725,280.417,277.433,281.652,256.754,290.84,331.191,245.067,266.483,229.738,324.536,315.277,291.176,282.995,336.345,301.13,277.517,304.687,312.673,308.855,295.306,329.723,319.853,309.597,224.663,296.604,303.375,335.844,338.22,318.602,265.032,261.822,274.008,277.234,272.006,270.758,342.901,303.505,299.317,321.457,301.792,269.945,289.3,269.506,313.223,283.013,318.596,314.854,252.253,254.715,275.044,290.867,301.747,314.206,294.709,305.628,305.9,339.804,304.101,278.772,255.576,294.31,284.101,312.263,256.434,310.208,305.389,229.371,256.416,267.515,241.756,298.582,336.919,305.214,318.996,272.008,267.417,332.566
7.79,0.516,379.293,378.716,419.638,360.658,397.275,433.295,437.359,392.892,418.856,357.1,362.099,314.07,384.99,484.243,377.083,385.451,407.743,404.642,457.523,346.355,363.688,405.44,468.111,385.373,381.687,385.711,353.177,400.096,455.093,335.75,366.018,314.127,447.776,434.613,399.535,388.72,463.117,413.91,380.268,419.476,430.539,425.67,405.008,453.354,440.932,425.742,308.585,409.065,417.671,461.213,466.311,438.6,362.354,357.77,376.45,379.347,373.186,371.64,471.951,416.651,411.064,441.525,414.246,369.048,396.568,370.405,431.549,387.705,439.472,432.629,345.339,349.58,376.18,399.548,415.408,433.225,405.708,421.112,420.358,468.51,417.595,382.065,349.624,404.055,390.595,428.488,351.773,426.022,420.702,313.55,351.495,367.784,331.17,409.618,464.001,420.571,438.373,372.367,366.045,458.287
7.79,0.621,502.262,501.449,558.22,477.335,528.332,576.879,582.505,520.435,557.556,473.661,478.438,417.858,509.209,642.995,499.367,510.236,541.532,536.386,609.072,458.605,480.931,537.027,620.772,511.752,507.488,510.249,469.716,531.771,603.704,444.732,485.898,415.431,596.693,578.677,529.564,515.901,615.648,549.524,503.416,557.859,572.582,566.691,536.488,601.809,587.059,565.421,410.127,545.112,555.473,611.392,620.761,583.104,478.665,472.367,499.815,501.424,494.78,492.948,627.051,552.404,545.261,585.513,549.161,487.424,525.075,492.035,574.286,513.054,585.527,574.038,457.012,463.809,497.021,530.218,552.446,576.971,539.603,560.507,557.885,623.674,553.816,505.9,462.247,535.828,518.891,567.735,466.47,564.991,559.852,414.566,465.752,488.715,438.679,542.728,616.964,559.836,581.709,492.505,484.162,609.793
7.79,0.726,634.497,633.387,708.042,602.87,670.136,732.207,739.583,657.532,707.663,599.577,603.203,530.917,642.441,813.532,630.884,644.297,685.877,678.074,772.791,579.632,606.846,678.334,784.518,648.247,643.686,643.867,596.199,674.076,763.284,562.352,615.462,524.75,757.926,734.536,669.441,653.113,779.977,695.673,635.78,707.396,725.976,719.271,677.711,761.422,745.079,715.925,520.618,692.702,704.402,772.415,787.542,739.009,603.343,595.143,633.104,632.275,625.883,623.809,793.915,698.352,689.69,740.139,694.212,614.217,663.067,623.613,728.59,647.595,743.677,726.129,577.296,587.295,626.478,671.08,700.556,732.568,684.43,711.331,705.954,791.173,700.309,639.039,583.287,677.65,657.521,717.16,590.338,714.37,710.368,523.533,589.011,619.6,554.816,685.724,781.827,710.554,735.869,621.484,611.071,773.307
7.79,0.84,786.407,784.898,880.872,747.209,833.891,911.45,920.897,814.93,880.98,744.882,746.22,662.446,795.111,1008.96,781.987,798.165,852.115,840.787,961.429,719.107,751.369,840.379,971.947,805.639,801.089,797.028,742.768,838.231,946.155,698.011,764.998,650.922,944.099,914.402,830.129,811.178,968.826,863.787,787.773,879.827,902.715,895.38,839.701,944.542,927.347,888.991,649.065,863.5,876.152,956.678,979.609,918.473,746.196,735.766,786.881,782.148,776.873,774.567,985.414,865.88,855.638,917.369,860.725,759.377,821.329,775.597,906.548,801.864,926.321,900.725,715.781,729.886,774.695,833.211,871.373,912.229,851.605,885.436,876.121,983.991,868.491,791.959,722.338,840.623,817.438,888.352,733.245,885.771,884.078,649.258,731.091,770.835,688.92,849.756,971.373,884.573,912.837,769.45,756.802,961.531
7.79,0.944,931.687,929.733,1046.72,885.395,991.22,1083.49,1094.96,965.347,1047.43,884.463,882.742,789.778,940.759,1195.26,926.505,945.189,1011.42,996.304,1142.19,852.957,889.498,995.043,1150.44,956.664,952.447,943.19,884.098,995.782,1120.51,828.282,908.629,772.23,1122.87,1087.04,983.772,962.716,1149.34,1024.69,933.077,1045.23,1072.11,1064.44,994.358,1119.32,1102.2,1054.56,773.346,1027.89,1040.93,1132.12,1163.56,1090.32,882.502,869.91,934.528,925.082,921.626,919.117,1168.21,1025.91,1014.31,1086.39,1019.81,897.773,972.417,921.692,1077.26,949.119,1101.74,1067.49,848.557,866.934,916.005,988.51,1035.26,1084.76,1012.15,1052.61,1038.84,1168.57,1029.16,938.182,855.368,996.481,970.943,1051.57,870.487,1049.42,1050.84,770.102,867.441,916.241,817.867,1006.36,1152.63,1051.7,1081.87,910.786,896.155,1141.73
7.79,1.054,1091.85,1089.32,1230.1,1037.93,1165.4,1273.71,1287.45,1131.03,1231.6,1039.03,1033,931.864,1100.92,1399.82,1085.83,1107.14,1187.34,1167.61,1341.71,1001.08,1041.71,1165.17,1346.27,1123.67,1120.18,1103.98,1041.16,1170.03,1312.02,972.509,1067.64,906.762,1320.61,1277.94,1153.09,1130.16,1348.1,1202.14,1093.21,1228.05,1259.16,1251.4,1164.54,1311.5,1295.43,1237.05,911.975,1210.18,1223.07,1324.57,1366.47,1279.9,1032.46,1017.46,1097.92,1082.23,1081.6,1078.86,1369.21,1202.09,1189.13,1272.12,1194.97,1049.9,1138.66,1083.55,1265.93,1111.14,1295.83,1251.04,995.35,1018.77,1071.33,1159.95,1216.43,1275.65,1189.79,1237.54,1218.13,1372.09,1206.03,1099.36,1002.12,1168.25,1140.75,1230.9,1022.42,1229.46,1235.29,904.085,1018.3,1077.35,960.847,1178.68,1352.3,1236.62,1267.91,1066.42,1049.8,1340.44
8.17,0.292,135.58,132.497,147.296,128.616,135.837,150.325,151.632,141.304,144.293,124.859,129.175,107.62,138.212,174.434,134.12,138.796,143.114,144.625,159.302,123.327,130.358,142.901,169.796,132.777,133.049,137.424,123.693,137.346,163.736,116.311,124.857,111.415,155.351,151.108,141.183,135.928,161.864,143.202,134.47,145.614,148.678,147.87,145.917,162.017,153.527,146.524,106.507,142.33,144.061,161.178,162.857,154.075,129.61,128.141,130.582,135.609,132.448,127.479,165.596,151.649,145.736,157.773,150.214,132.081,140.655,126.24,150.326,138.968,153.043,152.21,121.746,119.85,134.231,142.442,145.061,150.095,139.154,145.874,147.206,163.077,150.856,138.302,123.753,142.771,138.281,153.297,121.327,149.027,145.564,111.384,122.457,124.579,117.195,144.12,162.45,145.984,158.624,132.668,132.194,159.652
8.17,0.414,237.038,231.514,259.431,224.43,238.72,265.077,267.568,247.396,254.105,218.282,224.965,188.076,241.43,307.503,234.464,242.664,251.357,253.544,281.265,215.061,227.341,250.173,298.69,232.818,233.551,240.08,216.862,241.253,287.988,202.72,218.576,193.519,274.443,266.535,247.3,238.26,285.419,251.441,234.899,256.192,261.741,260.674,255.64,285.172,270.913,257.516,185.838,251.011,253.458,283.135,287.714,271.461,225.718,222.957,228.805,236.615,231.748,223.055,291.899,266.195,255.776,277.208,263.556,230.085,246.089,221.203,264.954,242.911,270.272,267.379,212.122,209.451,233.994,249.99,255.268,264.737,244.689,256.942,258.471,288.129,264.941,241.878,215.499,250.343,242.846,268.885,211.95,261.517,256.293,193.403,213.755,218.345,204.219,252.423,286.528,257.178,278.912,231.491,230.64,281.76
