R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,198.748,201.868,197.303,183.931,182.259,184.448,180.535,190.484,180.254,201.378,189.573,181.077,196.877,193.203,201.377,195.901,180.606,192.846,177.579,176.953,202.128,180.809,181.564,200.087,202.013,178.799,185.413,201.824,206.163,192.304,196.09,193.841,174.245,203.194,200.537,175.929,190.191,186.181,187.701,194.726,202.065,179.323,192.572,207.902,193.013,205.496,192.158,184.891,191.543,196.117,181.612,181.802,206.968,194.877,183.356,179.298,202.919,193.523,200.332,185.454,186.23,210.245,182.759,202.578,184.316,189,178.463,182.925,198.701,203.221,195.74,203.725,196.506,177.908,178.145,193.568,203.906,200.684,182.229,184.888,187.67,175.096,184.148,191.907,197.431,193.713,180.506,182.386,203.393,186.894,185.469,200.93,187.806,203.741,206.321,176.281,205.361,179.741,191.92,206.301
1.02261,198.418,201.534,197.242,184.463,183.149,185.281,181.73,190.18,181.132,200.702,189.387,181.546,197.357,193.121,202.034,198.018,181.488,192.565,178.041,177.527,203.247,181.598,182.103,200.045,202.179,180.288,186.953,202.009,205.632,192.259,196.433,194.523,174.586,203.359,200.825,176.557,189.909,187.137,190.774,195.093,202.342,179.749,193.38,208.186,193.736,205.858,192.105,184.94,191.548,196.366,182.307,182.131,207.004,195.33,183.182,180.059,203.369,193.302,201.142,186.345,186.195,210.51,184,202.579,184.989,190.123,179.056,183.314,199.537,203.829,196.733,203.409,196.564,178.524,178.766,193.495,204.035,201.162,182.94,186.462,187.923,176.023,184.754,192.024,198.035,194.202,180.795,183.159,203.528,186.51,186.755,200.608,188.373,204.334,206.548,176.866,205.558,180.436,192.306,206.574
1.04573,198.01,201.124,197.099,184.922,185.612,186.392,182.504,190.338,181.615,200.226,189.645,181.945,197.397,193.898,201.961,199.775,182.295,192.589,178.776,178.037,203.511,182.328,182.826,199.918,202.248,180.955,188.757,201.982,205.619,191.37,197.725,194.9,175.381,203.426,201.633,177.125,190.088,187.082,191.861,196.263,202.222,180.128,193.731,208.369,194.002,205.815,191.978,184.567,191.848,196.077,182.94,182.705,207.203,196.414,182.972,180.433,203.454,193.742,201.852,186.594,186.442,210.673,185.158,202.307,185.417,190.405,179.584,183.941,199.948,204.328,197.603,203.288,197.047,179.076,179.323,193.195,204.064,201.251,183.588,188.284,187.777,176.887,185.62,192.074,197.88,194.249,181.335,183.871,203.565,185.873,187.431,200.209,188.918,204.818,206.675,177.111,205.654,181.34,192.61,206.75
1.06937,197.525,200.639,197.535,185.647,188.634,186.692,183.407,190.351,182.027,199.768,189.434,181.933,197.709,194.308,202.109,201.066,183.02,192.317,179.481,179.063,203.976,182.996,183.34,200.019,202.471,181.556,189.338,201.812,205.515,191.009,197.87,195.923,175.856,203.139,201.605,177.627,189.992,187.588,192.117,196.357,202.01,180.693,193.993,208.447,194.178,205.372,192.134,185.207,192.062,196.35,183.507,183.393,207.045,196.68,183.046,180.945,203.683,193.75,203.122,187.175,186.631,210.728,185.878,202.209,185.83,190.6,180.045,183.933,200.243,204.711,198.02,202.784,197.707,179.562,179.814,193.117,203.987,201.238,184.17,189.095,188.04,177.596,186.076,192.054,198.286,194.577,182.411,184.521,203.495,185.832,187.378,199.731,188.8,204.911,206.696,177.574,205.644,181.9,192.825,206.561
1.09355,196.744,200.038,196.667,185.677,189.61,186.917,184.421,190.653,182.684,199.6,188.875,182.525,197.601,194.988,202.468,202.384,183.027,192.083,180.223,179.724,204.168,183.613,183.646,200.284,202.328,182.105,189.468,201.7,205.079,190.608,198.899,196.888,176.272,203.002,201.705,178.584,189.834,188.329,192.646,196.305,202.01,181.202,194.177,208.426,195.244,205.474,191.851,185.12,191.488,196.482,184.018,184.233,206.797,196.866,183.07,181.54,203.556,193.412,203.287,188.109,186.474,209.847,186.463,201.39,186.022,191.067,180.73,184.445,199.855,204.436,198.012,202.48,198.654,179.988,180.245,193.448,204.661,200.894,184.202,190.143,188.653,178.188,186.469,192.322,198.269,194.135,182.808,185.12,203.547,185.734,188.606,199.518,189.326,204.637,206.616,177.976,205.305,182.404,193.658,206.54
1.11827,196.724,199.869,196.512,186.224,190.018,187.085,185.026,190.917,183.283,199.462,188.968,183.048,196.778,194.951,202.455,203.057,183.316,192.293,180.708,180.625,204.025,184.22,184.257,199.656,202.09,183.121,189.531,201.235,204.505,190.867,198.862,197.507,176.647,202.772,201.905,178.985,190.298,188.732,194.129,196.603,201.934,181.683,194.651,208.107,195.631,204.594,190.817,184.875,191.224,196.18,184.261,184.335,206.239,197.339,183.068,182.126,203.576,193.618,203.709,188.417,186.619,209.584,187.438,201.19,185.935,191.448,181.379,184.954,199.669,204.372,198.845,202.111,198.735,180.382,180.642,193.798,204.527,200.649,184.48,191.138,188.719,178.671,186.521,192.206,198.48,194.361,183.465,185.702,203.267,185.586,189.511,198.925,189.43,204.57,206.454,178.337,205.116,182.89,193.716,206.443
1.14355,195.31,198.309,196.35,186.718,192.626,187.488,186.091,191.082,183.48,199.203,188.69,183.145,196.584,195.155,202.323,202.83,183.82,191.738,181.116,181.136,203.693,184.749,184.787,199.401,201.964,183.563,189.83,201.172,203.582,190.702,199.013,197.69,176.943,202.179,201.692,179.305,190.198,189.334,195.421,196.712,201.164,182.085,194.337,207.894,196.152,203.93,190.399,184.609,190.873,196.473,184.67,184.465,205.82,198.005,182.995,182.634,203.227,193.78,204.304,187.922,186.349,209.355,187.906,200.808,186.329,191.791,182.189,185.353,199.633,203.918,199.201,201.91,198.466,181.226,180.956,193.636,204.093,200.324,184.92,191.72,188.71,179.074,187.103,192.667,198.26,194.482,183.733,186.207,202.858,185.07,189.891,197.842,189.431,204.38,206.164,178.617,204.797,183.293,193.75,206.22
1.16941,194.651,197.348,196.066,186.783,193.653,187.448,186.387,191.142,183.584,198.537,188.929,183.145,196.599,195.568,201.654,202.815,184.216,191.436,181.441,181.542,203.114,185.198,185.234,198.59,201.563,184.151,190.33,200.712,203.157,190.139,199.02,198.436,177.156,201.458,201.35,179.3,190.04,189.55,195.561,196.381,200.287,182.404,194.894,207.444,196.204,203.472,190.547,184.579,190.758,196.091,184.994,184.9,205.526,197.263,182.568,183.059,202.742,193.838,204.445,187.993,186.431,208.788,188.255,200.176,186.632,192.481,182.346,185.674,199.187,203.609,199.11,201.58,198.551,181.435,181.436,192.714,203.52,199.868,185.276,192.626,188.917,179.394,186.983,192.682,198.046,194.495,184.19,186.63,202.519,184.958,189.818,196.851,189.324,204.059,205.738,178.811,204.34,183.853,193.5,205.866
1.19584,193.509,196.94,195.353,186.841,194.748,187.61,187.501,190.474,183.587,197.473,189.065,183.343,197.112,195.75,200.94,202.675,184.201,190.422,181.678,181.836,202.573,185.56,185.4,197.977,200.808,184.794,190.988,200.111,201.55,190.115,199.063,198.39,177.279,200.836,200.869,179.449,190.131,189.667,196.063,196.112,199.582,182.426,194.666,206.625,196.105,202.318,190.554,183.829,190.843,195.926,185.228,185.034,204.61,197.651,182.354,183.59,202.323,192.569,204.159,187.956,186.619,208.283,189.415,198.862,186.591,192.754,182.675,185.901,198.601,203.161,198.864,200.671,198.568,181.803,181.316,191.91,202.796,199.271,185.542,193.322,189.308,179.836,187.064,192.373,197.985,194.391,183.984,186.967,201.819,184.427,189.629,195.706,189.101,204.085,204.958,178.676,203.738,184.308,193.211,205.371
1.22288,193.209,196.726,194.52,186.586,195.757,187.33,188.118,190.324,183.757,196.045,188.826,183.116,196.861,195.105,200.37,202.134,184.359,190.248,181.82,182.009,202.102,185.83,185.67,197.053,200.003,185.011,190.802,199.563,200.829,189.683,199.066,197.814,177.521,199.837,200.242,179.951,189.783,189.191,196.263,195.592,197.918,182.568,194.608,205.996,195.562,201.4,190.103,183.598,191.088,195.674,185.366,185.064,203.564,197.243,182.313,183.825,201.531,192.439,204.005,187.508,186.459,207.432,189.469,197.613,186.705,193.144,182.621,185.56,198.111,202.81,198.196,199.989,197.855,182.056,181.586,191.501,201.914,198.524,185.506,193.903,189.29,179.963,187.036,191.463,197.107,193.863,184.188,187.212,200.962,184.26,189.318,194.794,189.063,203.46,204.035,178.687,203.176,184.649,193.092,204.528
