R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,179.029,178.21,190.622,171.402,179.73,194.604,195.8,185.299,188.218,166.705,173.724,146.542,182.882,220.462,177.973,181.527,186.956,188.858,205.122,163.741,173.634,189.409,215.289,177.157,174.32,182.959,163.317,181.458,209.598,160.004,169.184,150.958,199.503,194.829,185.226,179.801,209.307,189.399,178.226,189.578,193.682,192.434,190.057,207.401,198.236,193.829,145.368,184.54,188.838,210.783,209.253,199.636,174.018,172.466,174.072,180.914,174.233,173.37,213.217,194.772,191.156,203.423,193.199,177.155,186.591,170.312,194.602,183.735,196.443,197.91,163.847,163.808,179.04,185.679,188.992,193.667,182.915,189.338,193.174,210.678,195.558,181.048,167.736,187.841,180.518,198.945,165.697,196.362,189.005,151.508,165.723,169.736,157.289,189.64,208.721,189.636,201.49,177.157,174.025,206.068
7.79,0.421,312.432,310.862,333.602,298.908,313.991,340.671,342.853,323.674,329.261,290.827,302.726,256.078,319.041,385.851,310.596,316.634,326.72,329.924,359.248,285.275,302.704,330.616,376.441,309.366,304.607,319.183,285.542,316.896,366.571,279.099,295.274,262.66,349.49,341.032,323.18,314.02,366.325,330.851,310.649,331.452,338.591,337.038,331.947,362.735,347.179,338.687,253.874,323.329,330.165,368.008,366.622,349.441,303.198,300.374,303.998,315.418,304.024,302.69,372.991,340.554,334.164,355.482,337.622,308.671,325.706,297.337,340.596,320.667,344.092,345.668,285.399,285.938,311.847,324.571,330.652,338.969,319.574,331.227,337.545,369.262,342.167,316.113,292.337,328.154,315.662,347.43,289.248,342.995,330.512,263.712,289.021,296.6,274.124,330.814,365.192,331.892,352.222,308.917,303.317,360.83
7.79,0.516,432.886,430.554,462.988,414.053,435.341,472.823,475.923,448.675,456.832,403.03,419.052,355.633,441.854,535.077,430.357,438.504,453.006,457.307,498.629,395.01,419.17,457.964,521.732,428.84,422.493,442.063,396.408,439.221,508.211,386.849,409.25,363.563,485.247,473.287,447.588,435.306,508.127,458.533,430.015,459.666,469.455,467.986,460.023,502.92,481.963,469.42,352.451,449.197,457.899,509.505,508.954,484.903,419.657,415.653,421.482,436.675,421.264,419.583,517.126,472.278,463.382,492.609,468.044,427.192,451.228,412.197,472.651,444.239,477.76,478.895,395.111,396.462,431.438,450.155,458.81,470.41,443.048,459.553,467.87,512.737,474.747,438.132,404.819,454.87,437.988,481.289,401.044,475.248,458.429,365.117,400.453,411.455,379.774,458.013,506.453,460.631,488.261,427.785,419.95,500.725
7.79,0.621,579.833,576.476,620.971,554.623,583.439,634.098,638.328,601.173,612.526,540.15,560.868,478.029,591.51,716.565,576.475,587.03,607.049,612.613,668.568,529.036,561.24,613.047,698.374,574.672,566.562,591.809,532.298,588.409,680.58,518.693,548.476,486.995,650.935,634.661,599.119,583.335,680.79,614.11,575.424,616.038,628.911,627.939,616.117,673.545,646.452,628.638,473.63,603.209,613.705,681.283,682.48,650.122,561.602,556.145,564.999,584.397,564.376,562.341,692.433,632.917,620.983,659.447,627.03,571.578,604.188,552.534,633.78,594.877,640.953,641.003,529.061,531.671,577,603.468,615.269,630.802,593.66,616.156,626.651,687.685,636.531,587.051,542.137,609.376,587.494,644.155,537.789,636.235,614.467,489.213,536.62,551.927,509.038,612.775,678.409,617.826,653.918,572.715,562.19,671.217
7.79,0.726,740.433,735.844,793.748,708.425,745.409,810.357,815.828,767.791,782.741,690.391,715.768,613.111,754.829,913.991,736.187,749.179,775.358,782.172,854.042,675.831,716.526,782.142,890.48,734.18,724.377,755.245,681.682,751.438,868.26,663.359,700.93,622.497,832.014,811.003,764.433,745.212,868.929,783.871,734.124,786.863,802.905,802.916,786.455,859.382,826.196,802.255,607.362,772.057,783.935,867.853,871.825,830.53,716.602,709.553,722.131,745.579,720.939,718.575,883.195,808.303,793.096,841.1,800.557,729.136,771.103,706.249,809.845,759.331,819.384,817.579,675.703,679.977,735.699,771.12,786.356,806.098,758.27,787.342,799.861,878.584,813.26,749.865,692.388,778.09,751.221,821.518,687.741,811.657,784.972,625.489,685.803,705.928,650.917,781.383,865.742,789.757,834.484,731.021,717.638,857.19
7.79,0.84,928.084,921.912,995.506,888.383,934.583,1015.98,1022.88,962.381,981.398,866.356,896.749,772.403,945.401,1143.29,922.813,938.443,971.796,980,1070.09,847.783,898.061,979.193,1113.63,920.574,909.03,945.972,857.116,941.713,1086.53,833.096,879.311,781.67,1043.2,1016.69,957.173,934.36,1087.77,981.733,919.303,986.124,1005.6,1007.24,985.129,1075.54,1035.84,1004.44,765.105,969.652,982.532,1084.3,1092.32,1040.87,897.656,888.768,905.953,933.663,904.019,901.301,1104.8,1012.92,993.919,1052.38,1002.95,913.053,965.802,886.137,1015.22,951.282,1027.59,1023.02,847.41,853.846,920.759,967.008,986.126,1010.59,950.384,987.114,1001.7,1100.88,1019.53,940.175,868.244,974.946,942.767,1027.91,863.517,1015.87,983.878,785.633,860.553,886.291,817.464,977.684,1083.6,990.513,1044.72,915.934,899.333,1073.71
7.79,0.944,1110.43,1102.58,1191.37,1063.52,1118.29,1215.39,1223.65,1151.37,1174.14,1037.75,1072.64,928.547,1130.35,1364.7,1104.17,1122.19,1162.43,1171.93,1279.28,1015.33,1074.58,1170.16,1329.15,1101.69,1088.67,1131.09,1028.4,1126.37,1297.58,998.712,1052.87,937.219,1247.92,1216.11,1144.06,1118.14,1299.38,1173.49,1099.03,1179.37,1201.92,1205.57,1177.83,1284.57,1239.1,1200.2,919.789,1161.85,1175.16,1293.1,1305.74,1244.73,1073.58,1062.94,1084.77,1116.22,1082.07,1079.01,1318.81,1211.41,1188.75,1256.7,1199.25,1091.64,1154.68,1061.19,1214.38,1137.61,1229.54,1221.79,1014.65,1023.34,1100.28,1157.32,1180.05,1208.89,1136.81,1180.92,1197.26,1316.03,1219.69,1125.18,1039.45,1165.94,1129.09,1227.63,1034.85,1213.54,1176.79,942.186,1030.8,1061.91,980.072,1167.76,1294.22,1185.38,1248.27,1095.59,1075.99,1283.25
7.79,1.054,1314.4,1304.52,1410.22,1259.72,1323.66,1437.96,1447.71,1362.63,1389.39,1229.93,1269.42,1104.71,1336.96,1610.75,1307.04,1327.54,1375.38,1386.27,1512.4,1203.29,1272.18,1383.17,1568.73,1304.26,1289.83,1337.91,1220.89,1332.66,1532.45,1184.71,1247.25,1112.24,1476.34,1438.68,1352.67,1323.7,1534.89,1387.39,1299.85,1395.1,1420.8,1427.12,1392.98,1517.23,1465.9,1418.38,1094.37,1377.02,1390.23,1524.97,1543.49,1472.15,1270.35,1257.79,1285,1320.19,1281.4,1277.93,1556.69,1433.04,1406.31,1484.14,1418.39,1291.26,1365.58,1257.28,1436.67,1345.81,1454.99,1443.14,1202.2,1213.53,1300.76,1370.15,1396.72,1430.24,1345.06,1397.35,1415.37,1555.66,1443.23,1332.19,1231.31,1379.24,1337.69,1450.08,1227.09,1433.77,1392.16,1118.39,1221.72,1258.73,1162.85,1379.62,1528.59,1403.1,1475.1,1296.51,1273.74,1516.64
8.17,0.292,151.664,147.988,160.407,144.696,147.444,162.292,163.317,157.999,155.776,138.801,146.182,120.337,155.174,189.529,150.086,154.799,156.776,160.392,171.627,138.082,147.067,158.555,185.686,145.902,145.491,154.264,136.86,149.242,179.531,131.658,137.918,126.426,166.718,162.851,155.637,149.998,175.253,156.542,149.454,157.827,160.392,160.567,162.403,176.794,165.921,159.592,119.904,154.548,156.242,175.547,175.597,167.943,146.739,145.467,144.177,152.708,147.022,141.851,179.043,168.292,161.361,172.994,166.365,149.438,156.985,138.965,162.72,155.836,164.699,166.068,136.838,133.993,150.775,157.673,158.137,161.424,150.563,157.58,161.4,176.265,167.868,155.13,140.299,157.998,152.63,169.062,136.176,163.699,157.088,127.015,137.262,137.716,131.941,158.62,175.189,158.122,173.608,149.25,148.451,172.365
8.17,0.414,269.354,262.638,285.776,256.742,262.044,289.124,291.048,280.939,277.177,246.298,259.136,213.632,275.511,337.829,266.544,274.82,278.807,285.224,306.029,244.71,260.916,281.624,330.616,259.191,258.554,273.916,243.321,265.158,319.722,233.557,244.821,223.681,297.286,290.132,276.342,266.531,312.319,278.245,265.007,280.733,285.279,286.187,288.764,314.862,295.816,283.772,212.76,275.562,277.932,312.005,313.311,299.325,260.134,257.769,256.122,270.97,261.034,251.931,318.916,299.634,287.171,307.789,296.008,264.957,278.899,246.774,289.857,276.803,293.694,295.224,242.448,237.868,267.235,280.593,281.541,287.503,267.616,280.465,286.99,314.626,299.121,275.688,248.743,280.936,271.679,300.561,241.787,290.997,279.45,224.812,243.502,244.741,233.851,281.556,312.124,281.569,309.018,264.808,263.305,307.304
8.17,0.524,392.989,383.023,417.875,374.446,382.633,422.718,425.63,410.178,404.96,359.361,377.596,312.252,401.791,493.597,388.906,400.77,407.137,416.412,447.584,356.678,380.434,410.775,482.672,378.361,377.566,399.516,355.651,387.036,466.96,340.849,357.325,325.838,434.908,424.19,403.005,389.076,456.483,406.124,386.165,410,416.549,418.627,421.498,459.919,432.711,414.254,310.865,403.345,405.963,454.976,458.41,437.685,379.044,375.492,373.923,395.02,380.854,367.775,465.853,437.749,419.513,449.277,432.246,386.063,406.917,360.279,423.741,403.813,429.7,430.765,353.337,347.294,389.232,409.971,411.492,420.272,390.735,409.822,418.933,460.47,437.302,402.394,362.63,410.163,397.125,438.518,353.027,424.63,408.179,327.587,355.239,357.564,341.025,410.438,456.1,411.605,451.244,386.083,383.811,449.375
