R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,177.918,177.82,189.62,170.023,178.921,193.927,195.063,184.072,187.779,165.501,172.864,145.646,181.941,219.764,177.006,179.851,185.964,187.738,204.868,162.337,172.098,189.118,214.487,176.542,173.32,182.056,162.203,180.689,208.901,159.334,168.636,149.562,198.807,194.034,184.214,178.855,209.398,189.309,177.11,188.759,193.383,192.241,188.591,206.673,197.487,193.949,144.349,183.537,188.248,210.926,209.141,199.051,172.951,171.219,173.257,180.007,172.863,173.121,213.072,192.956,190.477,202.668,191.471,176.221,185.906,169.437,193.946,182.782,195.511,197.318,162.437,163.19,177.881,184.391,188.36,192.893,182.15,188.521,192.955,210.575,194.261,179.503,166.698,187.045,179.163,198.018,164.874,196.325,188.184,150.041,164.568,169.587,155.92,188.942,208.178,188.911,199.972,176.154,172.322,205.796
7.79,0.421,310.245,310.093,331.629,296.193,312.398,339.337,341.402,321.256,328.397,288.455,301.032,254.311,317.188,384.478,308.692,313.332,324.766,327.717,358.748,282.509,299.678,330.043,374.862,308.153,302.635,317.406,283.347,315.381,365.199,277.779,294.193,259.909,348.119,339.465,321.185,312.157,366.504,330.674,308.451,329.838,338.002,336.658,329.06,361.302,345.703,338.922,251.866,321.353,329.003,368.289,366.402,348.289,301.097,297.919,302.392,313.631,301.324,302.2,372.705,336.979,332.827,353.995,334.219,306.832,324.358,295.613,339.303,318.79,342.255,344.503,282.621,284.721,309.566,322.035,329.408,337.443,318.066,329.616,337.114,369.058,339.613,313.069,290.292,326.586,312.992,345.605,287.629,342.92,328.894,260.823,286.747,296.307,271.428,329.44,364.123,330.463,349.232,306.941,299.963,360.293
7.79,0.516,429.6,429.398,460.022,409.973,432.946,470.819,473.742,445.043,455.532,399.466,416.507,352.976,439.07,533.015,427.496,433.542,450.07,453.993,497.878,390.854,414.624,457.105,519.361,427.018,419.529,439.392,393.107,436.945,506.151,384.865,407.626,359.429,483.186,470.932,444.591,432.506,508.396,458.267,426.713,457.24,468.57,467.416,455.687,500.767,479.746,469.773,349.432,446.226,456.152,509.927,508.623,483.173,416.501,411.966,419.068,433.991,417.207,418.847,516.697,466.908,461.375,490.375,462.931,424.43,449.204,409.606,470.707,441.42,474.998,477.145,390.936,394.633,428.01,446.345,456.94,468.116,440.779,457.131,467.222,512.431,470.912,433.56,401.748,452.514,433.976,478.547,398.611,475.137,455.996,360.776,397.036,411.014,375.722,455.95,504.847,458.483,483.769,424.816,414.91,499.918
7.79,0.621,575.073,574.803,616.674,548.713,579.966,631.194,635.167,595.913,610.643,534.984,557.183,474.176,587.478,713.58,572.332,579.842,602.796,607.812,667.481,523.014,554.655,611.802,694.941,572.032,562.264,587.942,527.515,585.11,677.596,515.82,546.123,481.004,647.948,631.248,594.778,579.278,681.18,613.725,570.64,612.522,627.629,627.113,609.836,670.428,643.239,629.149,469.253,598.902,611.173,681.894,682.002,647.617,557.032,550.805,561.502,580.511,558.497,561.275,691.811,625.14,618.076,656.212,619.624,567.578,601.257,548.779,630.964,590.794,636.95,638.469,523.011,529.021,572.036,597.949,612.56,627.476,590.37,612.645,625.713,687.242,630.977,580.429,537.688,605.965,581.68,640.185,534.263,636.074,610.939,482.921,531.669,551.288,503.165,609.787,676.083,614.713,647.411,568.416,554.888,670.049
7.79,0.726,733.928,733.557,787.871,700.346,740.657,806.386,811.505,760.602,780.167,683.326,710.732,607.837,749.319,909.913,730.524,739.352,769.543,775.61,852.557,667.596,707.523,780.441,885.79,730.571,718.497,749.96,675.138,746.925,864.183,659.432,697.713,614.303,827.927,806.334,758.498,739.665,869.462,783.345,727.583,782.053,801.152,801.787,777.871,855.123,821.803,802.955,601.373,766.165,780.473,868.688,871.171,827.106,710.356,702.255,717.349,740.269,712.9,717.119,882.345,797.674,789.123,836.68,790.434,723.67,767.097,701.112,805.995,753.751,813.907,814.115,667.43,676.355,728.915,763.575,782.652,801.547,753.768,782.539,798.579,877.978,805.672,740.813,686.308,773.428,743.27,816.092,682.921,811.438,780.143,616.885,679.033,705.056,642.885,777.298,862.562,785.5,825.591,725.145,707.656,855.593
7.79,0.84,919.374,918.85,987.633,877.564,928.212,1010.66,1017.09,952.758,977.949,856.889,890.009,765.329,938.027,1137.84,915.231,925.283,964.007,971.216,1068.1,836.75,886.005,976.917,1107.35,915.74,901.148,938.898,848.346,935.664,1081.07,827.838,875.003,770.692,1037.72,1010.43,949.226,926.931,1088.48,981.029,910.544,979.678,1003.25,1005.73,973.638,1069.84,1029.96,1005.38,757.074,961.754,977.894,1085.41,1091.44,1036.28,889.296,878.999,899.548,926.557,893.249,899.353,1103.66,998.691,988.601,1046.46,989.396,905.737,960.441,879.251,1010.07,943.814,1020.25,1018.39,836.326,848.995,911.678,956.904,981.165,1004.49,944.347,980.675,999.983,1100.07,1009.37,928.056,860.105,968.704,932.116,1020.64,857.061,1015.57,977.403,774.107,851.484,885.124,806.703,972.216,1079.34,984.809,1032.82,908.068,885.965,1071.57
7.79,0.944,1099.43,1098.72,1181.42,1049.85,1110.23,1208.66,1216.32,1139.22,1169.78,1025.78,1064.13,919.596,1121.04,1357.82,1094.6,1105.56,1152.59,1160.84,1276.77,1001.38,1059.35,1167.28,1321.24,1095.58,1078.7,1122.16,1017.31,1118.72,1290.69,992.071,1047.42,923.343,1241,1208.2,1134.02,1108.76,1300.29,1172.6,1087.97,1171.22,1198.96,1203.66,1163.32,1277.37,1231.66,1201.39,909.63,1151.86,1169.3,1294.51,1304.64,1238.95,1063.02,1050.6,1076.67,1107.25,1068.45,1076.55,1317.38,1193.45,1182.04,1249.24,1182.13,1082.4,1147.91,1052.48,1207.87,1128.18,1220.26,1215.93,1000.64,1017.21,1088.81,1144.56,1173.78,1201.17,1129.17,1172.78,1195.1,1315.01,1206.87,1109.87,1029.17,1158.06,1115.62,1218.46,1026.7,1213.17,1168.6,927.618,1019.33,1060.44,966.471,1160.85,1288.84,1178.17,1233.23,1085.65,1059.1,1280.55
7.79,1.054,1300.69,1299.7,1397.81,1242.67,1313.6,1429.57,1438.57,1347.48,1383.95,1215,1258.81,1093.53,1325.36,1602.17,1295.1,1306.8,1363.1,1372.45,1509.27,1185.89,1253.18,1379.59,1558.87,1296.64,1277.39,1326.78,1207.04,1323.12,1523.87,1176.44,1240.46,1094.92,1467.7,1428.81,1340.16,1311.99,1536.01,1386.29,1286.06,1384.93,1417.1,1424.74,1374.89,1508.26,1456.63,1419.86,1081.69,1364.55,1382.91,1526.73,1542.12,1464.94,1257.19,1242.41,1274.9,1309.01,1264.41,1274.87,1554.91,1410.65,1397.95,1474.84,1397.05,1279.75,1357.14,1246.41,1428.54,1334.06,1443.41,1435.84,1184.72,1205.88,1286.46,1354.23,1388.9,1420.6,1335.51,1387.18,1412.67,1554.39,1427.25,1313.11,1218.49,1369.42,1320.9,1438.66,1216.92,1433.31,1381.93,1100.21,1207.42,1256.89,1145.88,1371.01,1521.89,1394.1,1456.35,1284.13,1252.68,1513.28
8.17,0.292,150.616,147.627,159.428,143.378,146.617,161.627,162.59,156.852,155.347,137.606,145.385,119.399,154.305,188.895,149.178,153.193,155.817,159.345,171.391,136.707,145.601,158.289,184.961,145.306,144.475,153.426,135.74,148.47,178.894,131.025,137.386,125.05,166.025,162.057,154.673,149.081,175.339,156.463,148.389,157.006,160.109,160.389,161.03,176.124,165.193,159.71,118.856,153.535,155.661,175.68,175.497,167.396,145.747,144.304,143.386,151.871,145.678,141.621,178.911,166.603,160.733,172.3,164.738,148.574,156.351,138.079,162.087,154.955,163.756,165.515,135.453,133.397,149.693,156.444,157.53,160.634,149.769,156.75,161.199,176.172,166.679,153.672,139.323,157.251,151.304,168.204,135.386,163.668,156.237,125.576,136.137,137.579,130.594,157.967,174.679,157.404,172.177,148.313,146.82,172.112
8.17,0.414,267.247,261.913,283.809,254.092,260.381,287.786,289.586,278.634,276.316,243.896,257.535,211.745,273.765,336.555,264.719,271.592,276.88,283.119,305.555,241.945,257.969,281.091,329.159,257.992,256.51,272.231,241.068,263.605,318.442,232.283,243.752,220.916,295.891,288.535,274.405,264.686,312.492,278.086,262.865,279.083,284.709,285.829,286.006,313.515,294.353,284.008,210.652,273.525,276.765,312.273,313.11,298.225,258.141,255.431,254.532,269.288,258.332,251.469,318.652,296.239,285.907,306.394,292.738,263.221,277.625,244.991,288.584,275.033,291.799,294.112,239.664,236.67,265.061,278.123,280.322,285.914,266.018,278.796,286.587,314.44,296.73,272.758,246.783,279.436,269.013,298.837,240.198,290.934,277.739,221.92,241.242,244.466,231.142,280.244,311.097,280.126,306.142,262.925,260.027,306.796
