R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,199.257017,199.699178,199.069772,198.606865,199.161282,199.372979,198.475088,198.984098,197.683119,197.407644,199.487517,197.293142,199.241008,194.888914,194.597361,199.425791,194.192260,198.321114,193.340525,195.606738,195.357687,193.649992,192.927433,196.142260,194.426110,193.200233,192.438249,192.641304,193.398361,194.323638,191.354396,191.258433,190.969962,193.451448,196.269965,195.127278,195.391604,192.851037,193.986526,192.652692,191.215481,191.953015,196.647674,194.077127,193.867045,196.375181,195.295655,196.816138,194.576021,195.472521,192.724925,193.782040,195.225529,194.570482,194.135199,195.538529,195.154010,198.367370,197.251014,196.294017,196.538630,194.554099,194.746490,198.264046,196.403333,195.342324,198.348722,196.962088,196.528469,195.474113,196.751154,196.330809,196.322167,197.208571,196.038854,199.164795,196.249046,196.360347,196.493721,205.315182,216.163677,204.757393,197.589781,205.115349,198.771856,201.789784,212.329950,197.206122,215.825348,215.191070,215.458574,215.300323,215.695284,214.847606,215.351735,215.628028,211.809337,213.475771,204.520965,215.057885
1.0031058,199.429084,199.872135,199.241534,198.777820,199.333190,199.545253,198.645859,199.155697,197.851231,197.576298,199.660058,197.461087,199.413196,195.051312,194.759164,199.598307,194.353465,198.491610,193.500209,195.772067,195.522645,193.811824,193.089301,196.308626,194.590804,193.362690,192.599073,192.803096,193.561189,194.488430,191.513150,191.418337,191.129176,193.614662,196.439014,195.295026,195.559354,193.014306,194.151214,192.815779,191.376194,192.114927,196.813141,194.242598,194.033288,196.540247,195.463935,196.982989,194.744618,195.640918,192.889938,193.949193,195.394831,194.738614,194.302775,195.705358,195.316866,198.529157,197.414781,196.453679,196.702321,194.716210,194.912356,198.426111,196.565192,195.507642,198.506121,197.128016,196.694185,195.635737,196.911257,196.495966,196.487056,197.367543,196.200774,199.317038,196.410332,196.519661,196.651564,205.458958,216.313290,204.899080,197.747400,205.256782,198.950698,201.961471,212.472040,197.368981,215.975202,215.336343,215.608485,215.443227,215.842745,214.994100,215.501078,215.778230,211.963814,213.626945,204.678395,215.206872
1.0062213,199.600679,200.044610,199.412803,198.948291,199.504615,199.717045,198.816147,199.326813,198.018849,197.744477,199.832118,197.628537,199.584903,195.213192,194.920447,199.770352,194.514160,198.661611,193.659373,195.936888,195.687095,193.973147,193.250669,196.474496,194.755009,193.524647,192.759396,192.964376,193.723526,194.652732,191.671401,191.577737,191.287897,193.777384,196.607592,195.462300,195.726630,193.177082,194.315420,192.978382,191.536411,192.276345,196.978105,194.407604,194.199056,196.704807,195.631739,197.149342,194.912758,195.808840,193.054474,194.115886,195.563674,194.906277,194.469881,195.871699,195.479213,198.690395,197.578019,196.612801,196.865483,194.877820,195.077741,198.587637,196.726529,195.672456,198.662928,197.293452,196.859408,195.796837,197.070817,196.660609,196.651440,197.525970,196.362171,199.468657,196.571092,196.678421,196.808843,205.601981,216.462099,205.040002,197.904444,205.397441,199.129124,202.132662,212.613286,197.531324,216.124252,215.480782,215.757591,215.585277,215.989381,215.139789,215.649615,215.927637,212.117566,213.777354,204.835179,215.355055
1.0093465,199.771781,200.216603,199.583579,199.118259,199.675547,199.888344,198.985941,199.497436,198.185962,197.912141,200.003695,197.795481,199.756126,195.374543,195.081212,199.941904,194.674326,198.831129,193.818005,196.101201,195.851047,194.133949,193.411525,196.639868,194.918706,193.686112,192.919207,193.125165,193.885349,194.816532,191.829129,191.736634,191.446103,193.939604,196.775677,195.629092,195.893422,193.339354,194.479132,193.140489,191.696133,192.437278,197.142564,194.572114,194.364338,196.868860,195.799076,197.315199,195.080430,195.976285,193.218541,194.282111,195.732050,195.073470,194.636517,196.037552,195.641040,198.851074,197.740737,196.771363,197.028135,195.038919,195.242634,198.748612,196.887335,195.836778,198.819155,197.458376,197.024117,195.957404,197.229815,196.824759,196.815321,197.683822,196.523035,199.619632,196.731306,196.836636,196.965557,205.744250,216.610094,205.180150,198.060904,205.537316,199.307123,202.303357,212.753698,197.693130,216.272488,215.624375,215.905892,215.726451,216.135192,215.284642,215.797338,216.076240,212.270581,213.926988,204.991326,215.502422
1.0124814,199.942380,200.388104,199.753861,199.287743,199.845986,200.059161,199.155231,199.667556,198.352560,198.079309,200.174780,197.961920,199.926847,195.535375,195.241437,200.112973,194.833951,199.000142,193.976106,196.265006,196.014481,194.294240,193.571870,196.804722,195.081903,193.847056,193.078505,193.285432,194.046670,194.979841,191.986342,191.895017,191.603784,194.101312,196.943281,195.795399,196.059720,193.501131,194.642341,193.302091,191.855349,192.597695,197.306499,194.736129,194.529144,197.032386,195.965916,197.480539,195.247624,196.143254,193.382110,194.447846,195.899948,195.240184,194.802674,196.202905,195.802346,199.011195,197.902906,196.929365,197.190248,195.199485,195.407035,198.909026,197.047589,196.000597,198.974780,197.622787,197.188322,196.117437,197.388261,196.988384,196.978678,197.841099,196.683355,199.769962,196.890975,196.994296,197.121706,205.885736,216.757265,205.319504,198.216778,205.676398,199.484696,202.473526,212.893256,197.854398,216.419909,215.767124,216.053378,215.866770,216.280169,215.428660,215.944255,216.224028,212.422851,214.075837,205.146827,215.648974
1.015626,200.112485,200.559102,199.923640,199.456713,200.015921,200.229464,199.324026,199.837182,198.518632,198.245971,200.345361,198.127842,200.097073,195.695657,195.401132,200.283529,194.993046,199.168650,194.133655,196.428293,196.177397,194.453991,193.731693,196.969069,195.244580,194.007477,193.237271,193.445177,194.207468,195.142628,192.143011,192.052877,191.760950,194.262507,197.110392,195.961213,196.225524,193.662403,194.805047,193.463187,192.014049,192.757607,197.469909,194.899638,194.693454,197.195395,196.132279,197.645372,195.414340,196.309727,193.545199,194.613112,196.067377,195.406418,194.968350,196.367759,195.963122,199.170747,198.064546,197.086807,197.351831,195.359519,195.570934,199.068870,197.207300,196.163901,199.129804,197.786675,197.352003,196.276935,197.546143,197.151495,197.141511,197.997801,196.843142,199.919649,197.050106,197.151371,197.277269,206.026448,216.903592,205.458082,198.372068,205.814695,199.661832,202.643189,213.031949,198.015109,216.566505,215.908998,216.200039,216.006193,216.424290,215.571822,216.090327,216.370991,212.574374,214.223890,205.301661,215.794699
1.0187804,200.282078,200.729587,200.092916,199.625169,200.185353,200.399264,199.492307,200.006294,198.684190,198.412108,200.515430,198.293249,200.266798,195.855411,195.560278,200.453582,195.151600,199.336654,194.290673,196.591051,196.339785,194.613221,193.890995,197.132888,195.406739,194.167378,193.395516,193.604400,194.367753,195.304904,192.299157,192.210213,191.917593,194.423180,197.277002,196.126534,196.390834,193.823162,194.967230,193.623778,192.172234,192.917005,197.632784,195.062652,194.857268,197.357868,196.298145,197.809687,195.580578,196.475704,193.707791,194.777879,196.234308,195.572163,195.133537,196.532104,196.123368,199.329720,198.225636,197.243679,197.512874,195.519031,195.734331,199.228144,197.366450,196.326693,199.284216,197.950042,197.515160,196.435890,197.703453,197.314071,197.303819,198.153929,197.002375,200.068671,197.208673,197.307892,197.432247,206.166366,217.049085,205.595847,198.526754,205.952179,199.838532,202.812315,213.169768,198.175283,216.712258,216.050017,216.345875,216.144731,216.567566,215.714139,216.235574,216.517120,212.725132,214.371147,205.455839,215.939579
1.0219446,200.451168,200.899581,200.261679,199.793121,200.354263,200.568552,199.660064,200.174904,198.849222,198.577729,200.684996,198.458120,200.435999,196.014615,195.718884,200.623133,195.309595,199.504134,194.447119,196.753281,196.501644,194.771900,194.049766,197.296180,195.568379,194.326756,193.553218,193.763102,194.527506,195.466658,192.454759,192.367015,192.073691,194.583331,197.443109,196.291341,196.555630,193.983406,195.128909,193.783844,192.329903,193.075877,197.795136,195.225150,195.020577,197.519814,196.463504,197.973476,195.746318,196.641185,193.869884,194.942156,196.400761,195.737428,195.298235,196.695941,196.283074,199.488124,198.386167,197.399970,197.673358,195.677992,195.897206,199.386847,197.525048,196.488962,199.438018,198.112875,197.677794,196.594280,197.860191,197.476124,197.465594,198.309462,197.161054,200.217039,197.366683,197.463818,197.586629,206.305490,217.193724,205.732817,198.680834,206.088859,200.014785,202.980926,213.306724,198.334890,216.857165,216.190161,216.490866,216.282375,216.709967,215.855590,216.379976,216.662404,212.875134,214.517579,205.609340,216.083623
1.0251186,200.619734,201.069041,200.429918,199.960548,200.522658,200.737327,199.827317,200.342979,199.013708,198.742813,200.854039,198.622465,200.604686,196.173260,195.876920,200.792160,195.467039,199.671099,194.603024,196.914982,196.662965,194.930049,194.207995,197.458933,195.729490,194.485593,193.710378,193.921262,194.686726,195.627881,192.609807,192.523283,192.229264,194.742950,197.608705,196.455645,196.719922,194.143126,195.290055,193.943394,192.487036,193.234225,197.956932,195.387123,195.183379,197.681213,196.628367,198.136727,195.911571,196.806159,194.031459,195.105944,196.566716,195.902183,195.462432,196.859249,196.442229,199.645929,198.546139,197.555671,197.833301,195.836410,196.059568,199.544970,197.683084,196.650708,199.591198,198.275166,197.839894,196.752127,198.016335,197.637642,197.626835,198.464389,197.319170,200.364723,197.524117,197.619169,197.740417,206.443821,217.337508,205.868973,198.834310,206.224704,200.190592,203.148990,213.442785,198.493940,217.001229,216.329410,216.635002,216.419112,216.851503,215.996176,216.523533,216.806853,213.024350,214.663206,205.762165,216.226822
1.0283024,200.787766,201.237988,200.597633,200.127441,200.690530,200.905567,199.994024,200.510530,199.177659,198.907372,201.022568,198.786264,200.772860,196.331344,196.034406,200.960664,195.623922,199.837529,194.758346,197.076124,196.823737,195.087626,194.365672,197.621159,195.890061,194.643887,193.866995,194.078879,194.845402,195.788581,192.764311,192.679008,192.384282,194.902035,197.773788,196.619434,196.883689,194.302311,195.450667,194.102408,192.643633,193.392046,198.118194,195.548579,195.345665,197.842065,196.792711,198.299451,196.076315,196.970617,194.192534,195.269212,196.732162,196.066428,195.626129,197.022037,196.600824,199.803146,198.705541,197.710792,197.992675,195.994276,196.221408,199.702492,197.840537,196.811910,199.743746,198.436914,198.001450,196.909399,198.171897,197.798606,197.787521,198.618722,197.476712,200.511742,197.680984,197.773925,197.893598,206.581327,217.480419,206.004293,198.987161,206.359726,200.365942,203.316518,213.577961,198.652412,217.144417,216.467764,216.778283,216.554924,216.992163,216.135875,216.666214,216.950437,213.172789,214.807997,205.914293,216.369144
