R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,324.634415,324.878551,327.494641,347.736515,326.387477,322.541543,331.164140,338.962747,314.084475,309.171787,324.314892,278.860092,331.750651,252.558309,257.882691,330.370684,275.365641,338.422981,285.873249,307.762017,316.122448,278.467187,275.095696,335.768416,253.336225,296.299382,279.301297,280.691118,289.754536,301.596140,286.705593,281.699723,284.752796,288.560334,280.117218,272.704770,273.631247,278.704303,290.040593,287.173145,286.687198,291.471127,286.551757,299.671691,290.368138,281.496546,286.894753,265.226585,266.161156,283.179922,278.620870,276.551267,276.103041,278.505594,270.651675,287.876007,281.533098,272.438433,273.032319,281.969119,281.047290,286.845224,281.118987,273.451136,270.215544,271.990105,279.567042,272.999009,274.371549,275.386688,276.692525,266.173178,272.299632,271.547828,281.035255,269.830181,276.979550,283.056527,290.147166,278.047195,276.541353,283.689955,283.852234,282.092262,269.141010,269.360018,285.723687,278.742463,272.922723,273.590528,276.880037,286.845158,287.092400,284.090805,273.017962,276.337466,281.097139,277.579302,280.324102,282.805845
7.79,0.421,554.128520,554.280473,559.308791,594.757920,557.276029,550.369689,566.512922,579.101757,534.905420,529.274683,553.468333,476.134994,566.767695,431.241887,440.577423,564.202127,471.281569,579.182768,490.446637,528.811028,540.040913,476.969579,471.573973,576.661552,432.124352,509.006644,479.132492,481.481676,498.134833,518.079188,493.119787,484.084316,490.105362,495.669255,480.807247,468.472151,470.474925,479.386369,498.935461,494.874165,494.042051,502.171366,493.353595,517.006183,500.722865,485.534468,495.014751,457.083549,459.087421,488.241030,481.226150,478.041203,476.686280,481.776471,467.897233,497.673900,487.165398,470.253516,471.709105,487.937397,486.036425,497.430131,487.159174,472.727452,467.961252,471.562211,484.046391,472.952147,475.872753,477.901282,479.681007,461.740778,472.411537,471.315167,487.605514,468.050508,481.138198,491.727211,504.305617,482.212704,479.802751,492.379525,492.871261,489.369130,467.419631,467.862802,496.001713,484.384503,473.614723,474.801021,480.670585,498.228526,498.729571,493.319906,473.978523,479.566850,488.259744,482.013616,487.036723,491.117527
7.79,0.516,755.120199,755.090296,762.428535,811.273955,759.533287,749.848864,773.133575,789.403528,727.790137,722.844382,754.126097,649.511159,772.744422,588.570332,601.436944,769.064778,643.841533,790.549012,670.989608,724.070872,736.288784,651.924032,644.924462,788.950933,589.301312,696.870810,655.533555,658.699539,682.397618,709.185149,675.774771,663.036052,671.969735,678.654835,658.051988,641.597394,644.716378,657.055568,683.788836,679.022979,677.904961,688.890334,676.549873,709.811321,687.337065,666.687915,679.769206,627.430531,630.524549,670.202653,661.370166,657.388703,655.010594,662.841489,643.551769,684.318687,670.358925,646.110466,648.491992,671.439227,668.559692,685.429563,671.003891,650.161468,644.406788,649.818901,666.360418,651.397753,655.900515,658.939832,660.940659,636.595801,651.273591,649.951823,672.179759,645.222838,663.785369,678.413356,695.909874,664.583352,661.463754,678.886767,679.719235,674.557191,644.804529,645.504461,683.972447,668.388349,653.065760,654.712973,662.915747,687.246416,688.001203,680.368250,653.741717,661.248069,673.537595,664.864076,671.959451,677.366999
7.79,0.621,993.923018,993.596749,1003.820156,1068.416919,999.861761,986.827925,1019.042051,1039.079465,956.531293,953.643835,992.510744,856.448718,1017.551085,776.832325,793.843991,1012.491849,850.068027,1042.015687,886.955948,957.655708,969.554022,861.078424,852.332589,1042.180878,777.131680,921.608424,866.629854,870.734772,903.068370,937.657931,894.661917,877.398789,890.041647,897.679568,870.208772,849.072033,853.663894,870.101370,905.289565,899.974948,898.547036,912.815530,896.249791,941.146657,911.321433,884.317340,901.632979,832.217132,836.725303,888.702812,878.007396,873.262273,869.485984,880.883476,855.102332,908.797981,890.956993,857.642515,861.260078,892.417041,888.284229,912.114436,892.630570,863.812456,857.212763,864.937769,886.050542,866.612418,873.178068,877.522687,879.614060,847.811526,867.224702,865.699712,894.916496,859.159565,884.389170,903.886454,927.254297,884.637254,880.756766,903.967140,905.219487,898.028672,859.082639,860.163170,910.860388,890.622397,869.803565,871.995421,883.007485,915.406817,916.488023,906.121528,870.911695,880.608981,897.235584,885.694264,895.268608,902.181654
7.79,0.726,1248.256793,1247.543622,1260.945273,1341.919262,1255.824505,1239.214046,1281.326369,1304.629900,1199.774966,1200.359777,1246.386982,1078.197953,1278.305876,979.274591,1000.585869,1271.733232,1071.255311,1310.054433,1118.664115,1208.113619,1218.091907,1085.432526,1074.993562,1312.703168,978.833361,1162.622536,1093.245051,1098.306597,1140.007722,1182.476889,1129.854445,1107.682209,1124.488613,1132.757426,1097.987163,1072.117962,1078.414840,1099.208737,1143.244865,1137.616977,1135.904372,1153.513642,1132.466852,1189.845756,1152.273158,1118.704510,1140.418899,1053.046492,1059.160601,1123.918377,1111.531797,1106.177406,1100.755189,1116.220219,1083.521711,1150.731107,1129.016989,1085.793485,1090.843319,1130.894639,1125.357268,1156.987799,1132.034161,1094.444561,1087.283519,1097.604605,1123.301642,1099.256023,1108.181695,1114.011305,1116.028408,1076.504115,1100.885119,1099.204384,1135.751264,1090.690061,1123.101919,1147.843673,1177.419468,1122.571715,1117.971171,1147.322556,1149.003964,1139.662232,1091.012902,1092.593547,1156.212548,1131.059304,1104.402761,1107.164384,1121.176092,1162.100407,1163.549109,1150.194305,1106.025763,1117.943152,1139.180142,1124.650412,1136.831479,1145.271677
7.79,0.84,1537.954407,1536.742366,1553.829939,1652.893076,1547.365299,1526.707408,1580.393446,1606.621879,1476.577056,1482.277857,1535.559386,1332.367686,1575.291259,1212.162454,1238.211648,1566.964924,1324.920251,1615.452243,1384.349024,1494.988938,1501.312490,1342.717174,1330.506263,1621.421182,1210.601928,1438.775418,1353.253724,1359.353754,1411.792428,1462.758300,1399.812813,1371.999252,1393.706927,1402.343119,1359.329641,1328.339014,1336.690936,1362.408682,1416.310874,1410.557150,1408.576485,1429.807767,1403.727745,1475.289190,1429.036347,1388.238532,1414.804263,1307.358537,1315.375408,1394.299076,1380.247117,1374.402915,1366.989196,1387.290143,1346.763956,1429.022034,1403.167220,1348.517052,1355.283281,1405.531096,1398.351835,1439.155179,1407.935736,1360.180106,1352.690419,1366.064721,1396.693325,1367.581107,1379.324926,1386.920057,1388.698624,1340.642366,1370.569248,1368.762655,1413.513931,1357.980942,1398.579467,1429.333069,1465.873578,1397.009895,1391.677809,1427.958385,1430.081664,1418.359709,1358.749528,1361.000529,1439.189159,1408.465887,1375.259443,1378.656278,1396.064948,1446.556156,1448.435120,1431.624508,1377.513777,1391.835342,1418.251935,1400.420917,1415.498462,1425.603424
7.79,0.944,1812.854188,1811.125976,1831.743584,1947.380618,1823.993139,1799.540320,1864.408614,1892.699594,1739.101114,1750.560351,1809.961644,1575.071180,1857.049205,1435.370743,1465.751374,1847.041818,1567.233009,1905.245602,1638.026580,1768.518858,1770.208164,1588.452118,1574.687691,1914.713174,1432.517259,1702.209200,1601.673793,1608.709364,1671.327787,1729.913698,1657.763890,1624.581994,1651.040856,1659.744281,1609.007323,1573.399206,1583.782683,1614.120462,1677.164931,1671.465649,1669.286824,1693.778762,1663.017637,1747.925984,1693.601984,1646.187100,1677.189411,1551.119012,1560.988150,1652.969676,1637.541213,1631.408443,1622.031645,1647.051258,1599.178484,1695.363754,1665.818869,1600.280938,1608.727889,1668.650641,1659.896877,1709.586434,1672.423976,1614.938390,1607.383945,1623.715679,1658.769143,1625.022423,1639.531609,1648.850164,1650.280049,1594.383276,1629.451851,1627.564588,1679.955902,1614.631278,1662.957423,1699.432648,1742.451204,1660.292344,1654.341424,1697.113728,1699.597160,1685.716098,1615.788883,1618.764894,1710.618922,1674.632046,1635.344978,1639.331568,1659.929104,1719.325807,1721.616826,1701.501133,1638.231578,1654.720474,1685.950289,1665.097796,1682.837844,1694.458406
7.79,1.054,2113.657039,2111.325813,2135.817045,2268.881406,2126.655313,2098.119009,2175.372868,2205.161027,2026.318497,2044.901135,2110.224198,1842.352859,2165.262397,1682.134504,1717.060405,2153.406213,1834.160802,2222.261959,1917.277022,2069.106108,2064.639158,1859.088756,1843.749344,2235.843007,1677.637566,1991.889849,1875.326078,1883.327385,1957.008910,2023.447332,1941.873792,1902.830050,1934.554632,1943.061707,1884.012521,1843.613456,1856.288078,1891.608318,1964.392517,1958.908590,1956.579230,1984.438292,1948.686683,2048.006337,1985.062482,1930.686124,1966.342526,1820.422618,1832.351155,1938.177445,1921.432601,1915.167115,1903.594069,1933.865081,1878.074426,1989.080601,1955.749404,1878.326981,1888.645221,1959.096887,1948.623602,2008.159382,1964.531334,1896.379644,1888.987439,1908.596561,1948.222546,1909.602316,1927.211679,1938.448674,1939.379867,1875.197216,1915.744333,1913.803009,1974.384730,1898.530256,1955.228361,1997.963448,2047.897217,1951.270374,1944.719332,1994.483386,1997.281286,1981.179223,1900.057336,1903.919378,2010.527814,1968.806455,1923.047833,1927.666523,1951.700428,2020.615386,2023.354079,1999.616132,1926.656392,1945.392625,1981.746548,1957.723715,1978.267198,1991.479569
8.17,0.292,277.640417,277.846037,280.309002,296.181214,279.185043,275.786618,286.464390,288.192699,271.420206,260.010372,277.303774,235.821147,284.148270,213.177631,217.761100,282.736405,233.026808,291.798804,242.745384,257.400044,274.436520,236.746963,231.635996,284.307074,215.225155,251.699378,237.639484,238.389426,245.642997,256.544900,243.423349,239.214368,240.469371,245.569182,238.049000,230.310402,230.487442,236.248911,247.487726,242.745629,243.639144,247.089414,244.166259,256.027919,247.739130,238.992284,243.398806,223.504096,224.505223,241.028534,234.674967,233.703710,234.793959,235.210813,228.089936,244.856982,237.925041,231.576092,231.025186,238.075526,238.676479,242.324268,238.128657,232.522986,227.812984,229.356006,236.679642,231.432227,232.476362,232.126198,233.588791,224.031408,229.735685,228.313043,238.513291,226.701167,233.740276,239.898266,245.601312,234.430951,233.715449,239.916828,239.161485,239.556523,226.337933,226.904145,242.712529,235.680677,231.025354,231.651423,234.927164,242.648193,242.688335,240.530657,231.155675,234.493089,237.739131,234.970232,237.048386,239.376546
8.17,0.414,481.808685,481.905613,486.783349,515.285850,484.663560,478.381276,498.421776,500.618625,470.137220,452.067306,481.095913,408.854947,493.693944,369.425224,377.636937,490.997957,404.922605,508.011702,423.055480,449.414494,477.067872,411.836918,403.226428,496.525015,372.656904,439.459547,414.132626,415.387495,429.109282,448.019717,425.463642,417.671589,420.587335,428.697188,415.105977,401.912982,402.599616,412.933279,432.758329,425.169683,426.810319,432.737095,427.325027,449.182200,434.385165,419.040044,426.951896,391.334146,393.439607,422.503345,411.939723,410.632346,412.133885,413.624829,400.704550,430.536458,418.585074,406.338436,405.683436,418.841093,419.747380,427.405906,419.708866,408.738360,401.019544,404.285410,416.698852,407.734355,410.108306,409.621047,411.767845,395.070185,405.281300,402.885885,421.008450,399.717977,412.996706,424.033983,434.403115,413.397120,412.400331,423.563878,422.380371,422.774767,399.729095,400.813999,428.710820,416.686275,407.748842,408.888351,414.915658,428.803437,428.937447,424.957321,408.184387,413.990520,420.129248,415.076381,419.020393,422.936813
