R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,174.418,172.913,177.85,172.125,179.693,172.589,173.708,173.581,167.084,177.766,169.48,169.393,174.062,176.034,176.524,180.881,169.012,174.144,167.718,167.474,180.977,169.167,171.314,177.293,181.364,169.024,178.637,180.612,175.793,172.476,178.49,179.51,166.726,180.983,178.719,167.458,169.016,168.642,178.159,179.32,177.548,167.761,177.182,181.237,178.781,175.427,176.491,168.704,176.317,171.069,168.32,168.248,177.421,176.073,167.457,169.33,180.885,172.825,177.996,171.7,169.053,181.824,174.068,173.242,169.06,178.54,167.188,169.317,180.965,179.465,179.317,176.544,176.784,167.983,167.473,178.01,182.261,180.572,168.481,174.456,172.955,168.581,170.166,174.299,178.686,175.273,167.845,168.915,181.945,169.264,174.716,173.878,175.304,179.924,181.248,166.967,182.002,168.73,177.289,179.507
1.02261,175.352,173.808,178.833,173.1,180.735,173.57,174.714,174.564,167.995,178.694,170.418,170.355,174.972,177.079,177.385,181.847,169.969,175.156,168.642,168.434,181.896,170.103,172.342,178.198,182.315,169.972,179.699,181.565,176.758,173.422,179.422,180.485,167.639,181.922,179.63,168.383,169.967,169.565,179.159,180.319,178.475,168.667,178.193,182.15,179.774,176.304,177.516,169.655,177.319,172.039,169.258,169.191,178.302,176.984,168.359,170.271,181.812,173.755,178.925,172.72,170.004,182.736,175.106,174.144,170.002,179.565,168.118,170.266,181.951,180.37,180.281,177.378,177.714,168.927,168.386,179.053,183.2,181.541,169.405,175.482,173.982,169.526,171.112,175.286,179.641,176.276,168.76,169.85,182.894,170.202,175.721,174.763,176.316,180.814,182.171,167.873,182.965,169.665,178.298,180.396
1.04573,176.256,174.672,179.788,174.049,181.75,174.526,175.695,175.522,168.877,179.59,171.329,171.291,175.853,178.1,178.212,182.782,170.901,176.144,169.539,169.369,182.782,171.013,173.35,179.07,183.232,170.895,180.736,182.486,177.696,174.34,180.321,181.429,168.526,182.828,180.507,169.281,170.893,170.46,180.132,181.289,179.371,169.545,179.178,183.03,180.739,177.147,178.515,170.58,178.294,172.985,170.169,170.108,179.151,177.865,169.233,171.186,182.707,174.656,179.824,173.718,170.931,183.614,176.121,175.016,170.919,180.564,169.021,171.19,182.906,181.242,181.214,178.175,178.614,169.844,169.271,180.071,184.105,182.478,170.303,176.484,174.987,170.445,172.031,176.248,180.566,177.254,169.648,170.758,183.809,171.114,176.699,175.616,177.3,181.67,183.062,168.752,183.898,170.574,179.281,181.251
1.06937,177.13,175.504,180.712,174.97,182.737,175.453,176.648,176.452,169.73,180.452,172.213,172.198,176.702,179.097,179.003,183.685,171.805,177.105,170.408,170.276,183.632,171.896,174.335,179.908,184.115,171.791,181.746,183.372,178.607,175.228,181.186,182.341,169.384,183.698,181.35,170.151,171.793,171.326,181.074,182.228,180.232,170.393,180.135,183.877,181.673,177.955,179.486,171.477,179.241,173.904,171.053,170.998,179.964,178.712,170.077,172.073,183.566,175.525,180.69,174.691,171.831,184.457,177.111,175.857,171.809,181.533,169.896,172.088,183.829,182.079,182.115,178.934,179.481,170.735,170.128,181.06,184.975,183.382,171.172,177.46,175.968,171.338,172.922,177.182,181.457,178.206,170.507,171.638,184.689,171.997,177.649,176.434,178.257,182.49,183.917,169.602,184.797,171.455,180.235,182.069
1.09355,177.971,176.302,181.603,175.862,183.693,176.35,177.573,177.353,170.551,181.278,173.067,173.076,177.518,180.068,179.755,184.552,172.68,178.038,171.246,171.156,184.444,172.749,175.296,180.707,184.961,172.659,182.726,184.222,179.487,176.084,182.015,183.218,170.211,184.531,182.155,170.991,172.665,172.161,181.985,183.135,181.058,171.21,181.063,184.687,182.575,178.726,180.427,172.344,180.156,174.795,171.908,171.859,180.739,179.525,170.889,172.932,184.387,176.362,181.523,175.639,172.703,185.263,178.075,176.664,172.67,182.472,170.742,172.957,184.718,182.878,182.98,179.651,180.314,171.597,170.953,182.02,185.805,184.251,172.011,178.409,176.924,172.202,173.783,178.086,182.315,179.128,171.335,172.49,185.531,172.849,178.569,177.216,179.184,183.27,184.735,170.42,185.662,172.307,181.158,182.85
1.11827,178.776,177.063,182.46,176.721,184.615,177.215,178.465,178.224,171.339,182.064,173.889,173.922,178.299,181.011,180.467,185.382,173.523,178.942,172.053,172.004,185.216,173.571,176.231,181.467,185.766,173.496,183.676,185.033,180.335,176.906,182.804,184.058,171.004,185.324,182.921,171.798,173.506,172.964,182.861,184.005,181.844,171.994,181.959,185.458,183.442,179.457,181.335,173.18,181.038,175.656,172.732,172.69,181.474,180.299,171.667,173.76,185.167,177.164,182.318,176.56,173.544,186.03,179.01,177.435,173.501,183.377,171.555,173.796,185.569,183.637,183.808,180.324,181.109,172.428,171.746,182.948,186.594,185.081,172.819,179.33,177.853,173.036,174.611,178.958,183.135,180.02,172.13,173.309,186.333,173.667,179.457,177.958,180.078,184.009,185.512,171.204,186.489,173.127,182.049,183.589
1.14355,179.544,177.785,183.279,177.547,185.503,178.045,179.324,179.062,172.091,182.809,174.678,174.733,179.042,181.925,181.135,186.172,174.333,179.814,172.825,172.82,185.945,174.36,177.139,182.184,186.529,174.301,184.592,185.801,181.149,177.692,183.552,184.858,171.763,186.074,183.644,172.57,174.315,173.731,183.701,184.838,182.59,172.742,182.822,186.188,184.271,180.146,182.209,173.981,181.884,176.485,173.523,173.487,182.167,181.034,172.409,174.555,185.904,177.929,183.075,177.452,174.354,186.754,179.916,178.169,174.298,184.246,172.334,174.603,186.38,184.353,184.596,180.951,181.866,173.227,172.503,183.842,187.339,185.87,173.591,180.219,178.753,173.837,175.406,179.797,183.915,180.879,172.889,174.096,187.092,174.451,180.31,178.659,180.938,184.704,186.247,171.952,187.276,173.914,182.904,184.285
1.16941,180.273,178.466,184.058,178.336,186.352,178.839,180.148,179.864,172.804,183.509,175.431,175.507,179.746,182.807,181.757,186.92,175.108,180.652,173.561,173.6,186.628,175.114,178.018,182.856,187.246,175.071,185.473,186.525,181.928,178.439,184.255,185.616,172.484,186.779,184.322,173.306,175.091,174.462,184.502,185.631,183.291,173.453,183.649,186.874,185.061,180.79,183.046,174.745,182.692,177.279,174.279,174.25,182.815,181.728,173.112,175.315,186.594,178.653,183.791,178.312,175.13,187.435,180.789,178.862,175.061,185.078,173.077,175.375,187.15,185.024,185.341,181.527,182.581,173.991,173.223,184.699,188.037,186.616,174.328,181.075,179.624,174.604,176.164,180.599,184.653,181.704,173.61,174.847,187.804,175.197,181.127,179.315,181.761,185.352,186.938,172.662,188.022,174.665,183.722,184.936
1.19584,180.959,179.103,184.796,179.087,187.161,179.593,180.933,180.63,173.477,184.163,176.147,176.243,180.409,183.656,182.332,187.623,175.845,181.454,174.259,174.344,187.263,175.831,178.865,183.479,187.915,175.806,186.316,187.201,182.668,179.146,184.911,186.329,173.165,187.435,184.953,174.003,175.83,175.153,185.263,186.381,183.946,174.123,184.438,187.514,185.809,181.386,183.844,175.472,183.459,178.038,174.997,174.977,183.416,182.376,173.774,176.039,187.236,179.336,184.464,179.14,175.87,188.069,181.629,179.513,175.788,185.868,173.782,176.113,187.875,185.648,186.04,182.051,183.252,174.718,173.903,185.518,188.685,187.316,175.027,181.897,180.462,175.335,176.883,181.364,185.347,182.492,174.292,175.561,188.468,175.903,181.906,179.925,182.545,185.95,187.58,173.332,188.722,175.379,184.501,185.537
1.22288,181.601,179.695,185.488,179.798,187.927,180.306,181.677,181.357,174.107,184.766,176.823,176.937,181.027,184.47,182.855,188.278,176.542,182.218,174.916,175.048,187.846,176.509,179.68,184.052,188.532,176.502,187.119,187.826,183.368,179.809,185.517,186.994,173.803,188.039,185.533,174.658,176.531,175.802,185.979,187.085,184.552,174.751,185.188,188.106,186.512,181.932,184.599,176.157,184.184,178.758,175.677,175.664,183.966,182.978,174.392,176.724,187.826,179.974,185.09,179.934,176.573,188.653,182.433,180.119,176.476,186.616,174.446,176.812,188.552,186.221,186.692,182.519,183.877,175.405,174.542,186.295,189.279,187.966,175.685,182.681,181.266,176.027,177.562,182.088,185.993,183.242,174.931,176.235,189.079,176.567,182.642,180.485,183.288,186.496,188.172,173.959,189.376,176.054,185.237,186.087
