R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,296.241,297.615,281.589,280.032,255.536,276.769,275.997,309.136,267.286,256.903,302.055,215.575,318.562,355.591,298.609,299.266,281.935,307.706,299.15,256.255,294.215,314.911,359.405,269.11,255.566,311.091,239.361,264.752,347.766,261.131,259.606,242.834,277.182,279.581,296.127,274.242,322.648,292.436,287.996,273.429,284.342,283.337,316.451,337.193,286.999,299.97,217.125,260.094,272.109,340.034,309.614,303.406,306.681,305.117,263.407,314.368,274.321,274.771,335.219,320.475,310.016,337.503,313.218,313.128,311.829,250.163,282.432,313.915,277.29,313.633,262.698,258.52,310.104,291.303,280.032,268.962,261.76,270.13,304.003,315.963,327.176,300.222,283.319,301.226,276.527,329.18,259.907,316.027,268.816,245.301,260.059,258.548,245.977,308.58,315.187,270.692,322.008,299.738,287.44,311.196
7.79,0.421,509.533,511.87,487.675,480.941,442.057,480.056,478.997,532.217,463.29,442.269,517.843,371.649,547.355,615.792,513.619,514.643,487.147,530.446,519.208,439.974,504.891,542.418,621.166,464.528,441.714,534.619,413.313,457.73,601.062,448.408,447.602,415.602,481.491,484.993,510.305,473.11,559.169,505.23,495.207,473.404,492.514,491.308,545.08,583.229,497.942,518.68,373.708,451.234,471.105,587.316,537.5,525.448,525.651,522.543,454.4,539.601,472.354,473.418,580.748,552.805,534.979,582.866,540.164,536.75,536.675,431.698,489.575,539.728,481.458,541.817,450.765,445.088,531.939,502.682,484.768,466.677,453.024,468.197,525.105,548.59,564.61,516.378,485.775,519.514,477.621,567.657,447.23,545.528,465.798,419.691,447.062,446.343,422.208,531.767,546.378,469.202,556.41,514.698,493.405,539.846
7.79,0.516,698.356,701.513,671.563,658.654,608.428,661.709,660.506,729.804,638.39,606.88,708.14,511.049,749.468,847.158,703.987,705.184,669.748,727.972,715.789,602.625,690.953,743.891,853.399,638.393,607.702,732.14,568.532,629.679,825.925,614.334,614.789,568.265,664.334,668.568,700.21,649.861,769.925,694.449,678.557,651.755,678.173,677.131,747.57,801.915,686.435,713.264,513.306,622.325,648.594,806.56,741.062,723.352,718.674,714.035,624.285,738.349,648.059,649.807,799.311,758.89,734.707,800.572,741.44,733.804,735.665,593.32,674.521,739.384,664.126,744.491,617.105,610.854,727.537,690.507,667.369,643.449,623.651,645.11,721.582,756.375,775.33,707.712,664.533,713.236,656.656,778.942,613.505,749.198,641.68,573.72,612.832,613.639,578.362,729.519,752.467,646.539,764.634,704.601,675.381,743.927
7.79,0.621,924.767,928.856,893.342,871.737,809.143,880.984,879.707,966.716,849.786,804.972,935.657,679.931,991.288,1124.89,932.282,933.479,889.505,964.986,952.885,797.929,913.697,985.325,1131.71,847.748,807.996,968.533,756.133,836.912,1095.63,813.742,816.147,751.527,885.272,890.183,928.095,862.481,1023.51,921.98,898.305,866.766,901.915,901.458,990.258,1064.51,913.923,947.273,682.212,829.298,862.584,1069.19,986.515,961.673,949.36,942.747,828.867,975.958,859.214,861.913,1061.99,1006.15,974.561,1061.65,982.919,969.179,974.058,788.149,897.622,978.434,884.842,987.836,816.659,810.457,961.245,916.332,887.526,856.949,829.473,858.652,957.66,1006.88,1028.24,937.094,878.597,945.84,872.343,1032.08,813.54,993.587,853.918,758.553,812.039,815.411,766.119,966.586,1000.53,860.63,1014.65,931.929,893.315,989.863
7.79,0.726,1168.24,1173.25,1133.11,1101,1026.32,1118.19,1116.93,1221.38,1078.57,1018.96,1179.65,863.898,1250.65,1423.23,1177.82,1178.74,1126.6,1219.89,1209.02,1008.5,1152.92,1244.59,1430.23,1073.86,1024.84,1222.16,959.741,1060.87,1385.24,1028.95,1033.77,949.289,1124.48,1129.94,1173.24,1091.87,1296.7,1167.18,1134.5,1099.11,1143.54,1144.17,1250.93,1346.84,1159.93,1199.42,866.005,1053.83,1093.85,1350.78,1251.56,1218.79,1196.64,1187.78,1049.91,1230.64,1086.88,1090.72,1344.6,1271.98,1232.7,1342.02,1242.54,1221.29,1230.04,998.912,1138.8,1235.02,1123.84,1249.56,1031.6,1026.24,1211.62,1159.77,1125.47,1088.05,1052.1,1089.7,1211.83,1277.29,1300.23,1183.71,1108.66,1196.18,1105.4,1303.71,1029.57,1256.28,1083.49,957.936,1026.94,1033.79,968.943,1221.26,1267.88,1092.33,1283.54,1175.99,1127.47,1255.29
7.79,0.84,1447.94,1453.9,1409.69,1364.6,1277.11,1391.93,1390.75,1513.75,1342.73,1265.9,1459.35,1077.92,1547.86,1765.13,1459.91,1460.25,1399.66,1512.62,1504.14,1251.18,1427.49,1541.91,1771.93,1334.59,1275.45,1512.88,1195.68,1319.22,1717.13,1277.17,1284.94,1177.54,1400.69,1406.63,1454.85,1356.12,1610.66,1449.24,1405.72,1367.02,1421.93,1424.32,1549.93,1670.75,1443.68,1489.36,1079.67,1313.67,1360.56,1673.02,1556.8,1514.77,1479.97,1468.44,1304.92,1522.35,1349.08,1354.32,1668.93,1577.12,1529.31,1663.37,1540.57,1509.92,1523.63,1242.36,1416.96,1529.22,1399.85,1550.01,1279.07,1275.4,1498.27,1439.97,1399.89,1354.89,1309.08,1356.42,1503.94,1588.58,1612.49,1466.97,1372.95,1483.86,1374.25,1614.92,1278.8,1557.71,1348.45,1187.98,1274.66,1286.12,1203.14,1513.4,1575.27,1359.84,1592.22,1455.97,1396.36,1560.83
7.79,0.944,1715.43,1722.19,1675.11,1616.96,1518.06,1654.65,1653.62,1793.15,1596.42,1503.12,1726.33,1285.11,1831.4,2091.04,1729.72,1729.23,1661.33,1792.4,1786.94,1484.06,1689.91,1825.68,2097.33,1584.77,1516.44,1790.32,1423.19,1567.18,2033.55,1515.53,1526.2,1396.99,1665.92,1672.21,1724.12,1609.46,1910.76,1719.2,1665,1624.02,1688.76,1693.25,1835.4,1979.91,1715.89,1766.74,1286.4,1563.77,1616.43,1979.83,1849.12,1798.19,1750.31,1736.16,1549.77,1800.55,1600.45,1607.07,1978.52,1868.6,1812.9,1969.85,1825.31,1785.1,1803.91,1476.38,1683.78,1810.05,1664.94,1837,1516.33,1514.88,1771.56,1708.36,1663.19,1611.15,1555.86,1612.51,1783.26,1886.58,1910.8,1737.82,1625.81,1758.98,1632.32,1911.64,1518.16,1845.5,1602.8,1409.1,1512.38,1528.73,1428.34,1792.31,1869.21,1616.77,1887.06,1723.41,1653.47,1853.34
7.79,1.054,2010.32,2017.8,1968.57,1895.52,1784.81,1945.15,1944.33,2100.9,1877.12,1765.81,2020.19,1516.31,2143.19,2448.91,2027.17,2025.51,1950.29,2100.59,2099.09,1741.78,1979.09,2137.82,2454.34,1861.43,1783.49,2095.52,1676.03,1841.42,2381.12,1779.43,1793.27,1640.36,1959.3,1965.87,2020.86,1889.39,2241.2,2016.93,1950.75,1908.07,1983.39,1990.65,2149.52,2319.84,2016.71,2072.48,1517,1841.09,1899.28,2316.37,2171.6,2110.85,2047.72,2030.64,1820.73,2106.42,1878.25,1886.37,2318.94,2189.49,2125.37,2306.6,2138.83,2087.59,2112.31,1735.64,1978.67,2119.03,1958.25,2152.85,1778.64,1780.19,2071.96,2004.65,1954.25,1894.66,1828.93,1895.81,2091.04,2215.14,2239.19,2036.38,1904.73,2062.19,1917.8,2237.64,1783.14,2162.12,1884.14,1654.25,1775.41,1797.54,1678.04,2099.2,2193.02,1901.05,2211.56,2017.91,1936.96,2175.9
8.17,0.292,256.528,252.646,242.881,242.292,215.945,236.997,236.443,268.826,227.695,220.216,259.538,184.141,275.369,309.622,257.344,260.592,242.426,266.68,255.931,222.469,254.638,268.786,313.957,227.789,219.832,267.43,207.525,223.927,301.962,221.063,217.849,209.689,237.76,239.723,254.335,234.875,275.169,247.579,247.098,233.742,241.541,242.553,275.494,291.842,246.053,252.65,186.108,224.32,231.299,287.603,265.061,260.616,263.86,262.547,224.506,270.426,237.49,230.801,286.11,282.046,266.927,291.521,274.97,269.18,267.481,210.315,242.264,271.459,238.5,268.36,225.327,217.689,266.176,253.055,240.452,230.438,221.698,231.07,259.52,269.446,285.642,262.739,242.71,258.844,239.782,284.522,219.785,268.641,229.62,211.941,221.498,216.137,212.879,263.343,269.614,232.006,282.346,257.996,250.896,265.501
8.17,0.414,448.492,441.451,427.785,422.793,379.501,417.911,417.224,470.662,400.978,384.989,452,321.805,481.019,545.818,449.882,455.606,425.781,467.521,451.875,387.948,444.083,470.556,552.286,399.417,385.888,467.201,363.838,393.335,531.106,385.292,381.37,364.212,420.028,422.841,445.5,411.697,485.211,434.712,431.644,411.243,425.223,427.589,482.653,513.682,434.184,444.032,324.729,395.607,406.941,505.222,468.274,459.174,459.518,456.815,393.378,471.848,415.545,403.841,504.331,495.086,468.475,512.203,482.445,468.911,467.982,368.523,426.996,474.501,421.189,471.415,392.595,380.434,464.003,444.119,423.13,406.445,389.835,407.006,455.679,476.066,501.657,459.506,422.646,453.87,421.1,499.056,383.951,471.421,404.291,368.006,386.635,378.815,370.955,461.239,475.541,408.723,496.453,450.175,437.741,468.568
