R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,203.1,202.775,201.479,189.641,187.022,188.231,184.417,194.713,183.26,206.576,192.538,187.187,199.562,192.824,205.052,201.565,185.06,196.485,178.022,183.158,207.895,179.995,180.833,203.642,206.813,182.162,190.924,206.004,206.479,195.879,199.696,200.013,178.242,207.047,204.384,180.854,185.441,184.947,192.471,199.138,203.535,179.777,197.226,208.973,196.509,203.172,198.178,189.688,195.257,191.361,180.089,183.669,210.605,199.51,187.649,182.043,208.265,194.522,197.95,190.251,188.069,211.328,187.956,205.647,186.61,194.207,181.713,185.804,202.873,205.003,201.704,207.573,200.58,182.958,181.477,197.797,208.357,204.945,181.667,182.667,190.592,180.799,188.622,194.946,202.547,196.175,185.237,179.703,207.845,193.462,191.031,202.077,193.797,206.094,208.061,180.503,209.437,183.635,197.835,206.68
1.02261,202.791,202.395,201.457,190.204,187.951,189.079,185.624,194.416,184.139,205.978,192.323,187.73,200.005,192.652,205.703,203.688,185.956,196.204,178.44,183.786,209.042,180.708,181.264,203.623,207.04,183.609,192.495,206.234,205.876,195.836,200.056,200.755,178.613,207.251,204.684,181.505,185.043,185.848,195.514,199.547,203.798,180.163,198.036,209.207,197.242,203.482,198.211,189.796,195.29,191.516,180.718,183.963,210.634,199.963,187.507,182.755,208.768,194.267,198.683,191.142,187.989,211.543,189.202,205.625,187.24,195.369,182.307,186.153,203.745,205.582,202.744,207.285,200.639,183.592,182.095,197.777,208.545,205.467,182.315,184.18,190.803,181.735,189.224,195.05,203.194,196.629,185.547,180.398,208.039,193.169,192.34,201.739,194.421,206.666,208.268,181.113,209.655,184.308,198.27,206.914
1.04573,202.415,201.949,201.361,190.706,190.424,190.205,186.422,194.581,184.635,205.582,192.559,188.21,200.021,193.354,205.64,205.466,186.784,196.232,179.139,184.36,209.359,181.373,181.893,203.526,207.176,184.253,194.33,206.261,205.802,194.969,201.358,201.205,179.434,207.363,205.505,182.104,185.128,185.734,196.618,200.749,203.671,180.51,198.406,209.35,197.532,203.391,198.179,189.496,195.62,191.127,181.294,184.509,210.833,201.046,187.335,183.094,208.921,194.682,199.324,191.411,188.2,211.664,190.374,205.342,187.636,195.714,182.844,186.748,204.203,206.061,203.67,207.196,201.127,184.172,182.658,197.54,208.639,205.612,182.91,185.955,190.629,182.618,190.091,195.096,203.106,196.653,186.111,181.043,208.14,192.636,193.06,201.33,195.029,207.136,208.383,181.395,209.781,185.197,198.631,207.057
1.06937,201.969,201.436,201.838,191.474,193.447,190.541,187.353,194.613,185.066,205.209,192.339,188.296,200.317,193.697,205.804,206.797,187.54,195.977,179.817,185.44,209.881,181.986,182.323,203.659,207.469,184.842,194.978,206.152,205.644,194.631,201.535,202.29,179.947,207.132,205.509,182.647,184.941,186.198,196.916,200.902,203.459,181.051,198.698,209.395,197.74,202.9,198.426,190.191,195.871,191.327,181.813,185.179,210.688,201.335,187.45,183.58,209.22,194.673,200.543,192.014,188.362,211.686,191.126,205.24,188.027,195.981,183.32,186.722,204.554,206.433,204.16,206.737,201.797,184.693,183.162,197.525,208.634,205.661,183.448,186.713,190.87,183.359,190.564,195.081,203.57,196.964,187.209,181.636,208.142,192.688,193.076,200.851,194.998,207.228,208.399,181.896,209.808,185.757,198.914,206.844
1.09355,201.228,200.801,201.032,191.558,194.469,190.8,188.39,194.923,185.735,205.117,191.766,188.967,200.189,194.306,206.17,208.149,187.588,195.752,180.528,186.163,210.132,182.543,182.535,203.95,207.4,185.373,195.183,206.098,205.147,194.249,202.581,203.316,180.399,207.046,205.635,183.63,184.685,186.895,197.476,200.909,203.455,181.533,198.906,209.337,198.819,202.961,198.245,190.173,195.344,191.378,182.27,185.993,210.448,201.539,187.512,184.141,209.168,194.313,200.636,192.957,188.174,210.766,191.741,204.418,188.193,196.51,184.013,187.207,204.231,206.145,204.234,206.471,202.744,185.152,183.603,197.909,209.363,205.384,183.425,187.707,191.451,183.978,190.968,195.344,203.619,196.506,187.636,182.171,208.261,192.682,194.339,200.633,195.592,206.949,208.31,182.335,209.508,186.255,199.794,206.794
1.11827,201.195,200.556,200.9,192.112,194.914,190.977,188.999,195.151,186.32,205.03,191.791,189.55,199.302,194.143,206.131,208.841,187.88,195.925,180.946,187.09,210.022,183.04,182.998,203.333,207.221,186.317,195.301,205.677,204.465,194.478,202.547,203.979,180.786,206.848,205.826,184.036,185.033,187.213,198.937,201.236,203.346,181.95,199.359,208.939,199.203,201.991,197.313,189.98,195.096,190.941,182.418,186.034,209.857,201.981,187.516,184.642,209.234,194.459,200.952,193.246,188.24,210.422,192.7,204.16,188.031,196.933,184.641,187.637,204.088,206.03,205.1,206.11,202.796,185.543,183.977,198.292,209.283,205.184,183.61,188.61,191.438,184.449,190.993,195.188,203.865,196.664,188.281,182.646,208.038,192.598,195.255,200.004,195.747,206.84,208.109,182.707,209.323,186.688,199.887,206.635
1.14355,199.801,198.926,200.767,192.622,197.517,191.391,190.068,195.293,186.516,204.832,191.46,189.726,199.05,194.235,205.983,208.662,188.392,195.352,181.295,187.646,209.735,183.473,183.395,203.091,207.156,186.704,195.655,205.656,203.441,194.299,202.706,204.224,181.102,206.298,205.619,184.371,184.808,187.743,200.221,201.385,202.554,182.298,199.047,208.657,199.727,201.249,196.988,189.772,194.768,191.13,182.744,186.112,209.414,202.624,187.459,185.077,208.948,194.572,201.453,192.756,187.901,210.12,193.172,203.733,188.36,197.326,185.435,187.97,204.098,205.537,205.509,205.922,202.514,186.383,184.278,198.178,208.915,204.912,183.969,189.103,191.361,184.853,191.549,195.612,203.696,196.73,188.554,183.054,207.694,192.165,195.667,198.892,195.81,206.616,207.787,183.006,209.017,187.05,199.964,206.359
1.16941,199.158,197.906,200.521,192.723,198.579,191.376,190.388,195.34,186.627,204.244,191.652,189.814,199.017,194.549,205.313,208.698,188.804,195.037,181.57,188.108,209.216,183.835,183.719,202.308,206.828,187.249,196.212,205.252,202.928,193.736,202.731,205.025,181.342,205.63,205.292,184.396,184.534,187.891,200.382,201.107,201.661,182.572,199.601,208.147,199.794,200.726,197.217,189.801,194.679,190.632,182.994,186.503,209.104,201.89,187.061,185.442,208.535,194.59,201.504,192.829,187.926,209.49,193.536,203.068,188.612,198.062,185.592,188.239,203.71,205.195,205.49,205.615,202.589,186.61,184.75,197.326,208.415,204.517,184.253,189.938,191.51,185.185,191.426,195.605,203.54,196.698,189.023,183.391,207.424,192.132,195.645,197.88,195.775,206.272,207.338,183.227,208.585,187.579,199.772,205.958
1.19584,198.049,197.451,199.862,192.825,199.713,191.567,191.516,194.681,186.645,203.273,191.756,190.101,199.492,194.641,204.608,208.62,188.823,194.028,181.766,188.468,208.743,184.123,183.77,201.728,206.16,187.86,196.928,204.715,201.233,193.715,202.799,205.062,181.501,205.063,204.837,184.581,184.528,187.95,200.907,200.898,200.948,182.557,199.392,207.275,199.721,199.503,197.317,189.133,194.795,190.369,183.163,186.603,208.189,202.28,186.881,185.925,208.194,193.287,201.128,192.806,188.067,208.931,194.703,201.736,188.53,198.399,185.926,188.424,203.192,204.724,205.327,204.746,202.608,187.002,184.639,196.596,207.774,203.99,184.458,190.568,191.853,185.645,191.511,195.285,203.541,196.56,188.849,183.652,206.806,191.701,195.518,196.724,195.634,206.28,206.544,183.133,208.016,188.016,199.551,205.425
1.22288,197.778,197.201,199.091,192.631,200.768,191.329,192.164,194.542,186.835,201.956,191.497,189.982,199.217,193.906,204.056,208.157,189.017,193.859,181.876,188.717,208.347,184.329,183.94,200.849,205.45,188.06,196.828,204.236,200.441,193.3,202.835,204.592,181.783,204.134,204.245,185.119,184.078,187.416,201.145,200.448,199.285,182.672,199.359,206.604,199.215,198.527,196.979,188.977,195.074,190.028,183.244,186.609,207.155,201.896,186.878,186.126,207.496,193.136,200.897,192.389,187.871,208.035,194.796,200.479,188.615,198.856,185.89,188.055,202.773,204.356,204.76,204.108,201.915,187.289,184.92,196.258,206.983,203.321,184.367,191.092,191.801,185.808,191.498,194.378,202.749,196.01,189.086,183.83,206.04,191.63,195.279,195.807,195.68,205.651,205.614,183.189,207.494,188.35,199.504,204.55
