R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,206.215,206.074,209.61,198.071,197.43,212.431,212.502,213.098,205.861,188.511,204.775,168.774,212.555,242.42,205.1,206.319,207.45,213.655,223.579,187.303,202.076,217.247,239.016,198.721,193.411,213.209,184.013,199.776,234.508,187.842,191.417,176.269,215.736,211.834,207.394,202.429,230.122,211.106,202.427,208.312,211.48,212.768,215.925,229.328,216.184,216.212,168.78,202.156,208.153,235.404,228.481,220.734,204.621,203.39,195.668,211.422,196.979,199.204,233.251,218.51,217.226,226.632,216.588,209.138,215.878,191.226,212.665,212.972,212.704,219.09,188.693,188.992,207.078,209.005,209.221,210.338,200.836,206.838,216.766,230.674,222.176,208.308,197.162,212.971,201.823,223.994,191.717,221.877,206.598,178.168,190.281,193.32,181.151,212.615,227.066,207.853,221.941,206.078,199.637,225.304
7.79,0.421,344.015,343.738,354.691,329.755,334.033,360.662,361.331,355.806,349.234,315.676,339.496,282.273,353.779,410.125,342.144,344.75,349.731,358.111,379.917,312.284,335.841,363.342,402.885,334.259,326.263,354.863,309.186,337.682,394.853,312.057,321.198,292.137,367.451,359.943,348.218,339.982,389.855,355.768,338.429,352.68,358.64,360.294,361.339,387.171,367.104,364.762,281.445,342.907,352.251,396.652,388.183,373.179,339.244,336.803,328.682,351.32,329.916,333.19,395.335,366.685,364.298,381.571,363.534,346.629,360.232,321.539,360.68,354.812,361.961,369.535,314.132,315.646,344.422,350.912,353.576,357.627,340.062,350.91,364.787,391.705,372.324,347.4,326.982,357.139,339.527,375.97,319.807,372.812,350.451,294.844,317.46,324.459,301.588,356.997,385.474,352.374,374.412,342.776,332.51,382.437
7.79,0.516,468.955,468.546,486.221,449.163,457.77,495.022,496.214,485.233,479.181,430.984,461.66,385.869,481.764,561.721,466.417,470.012,478.586,488.958,521.557,425.536,457.098,495.682,550.955,457.131,446.766,483.285,423.057,462.524,539.939,425.032,438.941,397.29,504.972,494.142,475.558,464.67,534.432,486.729,461.448,483.439,491.802,494.227,493.014,529.919,503.906,499.265,384.262,470.776,482.811,542.257,532.9,511.338,461.261,457.702,449.318,478.085,450.367,454.846,541.833,500.855,497.667,521.642,496.534,471.25,491.104,439.753,494.798,483.396,497.268,505.506,427.808,430.786,468.644,479.574,484.483,491.095,466.153,481.462,498.84,537.68,508.521,473.53,444.791,487.791,464.465,513.395,436.234,509.459,480.758,400.81,432.852,443.676,410.912,487.471,528.714,483.424,512.23,466.684,452.799,524.753
7.79,0.621,621.923,621.334,647.081,595.452,609.068,659.259,661.051,643.67,638.064,572.264,611.309,513.679,638.361,746.395,618.59,623.09,636.077,648.912,694.53,564.278,605.593,657.463,731.333,607.519,594.341,640.468,562.976,615.086,716.937,563.885,583.218,526.418,673.025,658.123,631.023,617.262,710.824,646.707,611.758,643.222,654.342,658.184,653.939,703.99,671.102,663.542,511.123,627.471,642.407,719.55,709.629,680.179,610.664,605.734,597.063,633.198,597.783,603.993,720.314,664.781,660.839,692.435,658.98,623.82,651.241,584.585,658.696,640.76,662.66,671.298,567.073,572.185,620.421,637.017,644.632,654.202,620.271,641.049,662.625,715.987,675.163,627.966,589.256,647.579,617.476,681.049,579.189,676.343,640,531.021,574.329,589.999,545.101,646.629,703.328,643.719,680.276,618.378,599.941,698.497
7.79,0.726,789.66,788.84,823.266,756.031,774.825,839.027,841.432,817.329,812.057,727.434,775.495,655.166,809.911,947.609,785.479,790.633,808.473,823.984,883.603,716.656,768.493,834.501,927.881,772.427,756.307,812.72,717.127,782.11,910.112,716.856,741.656,668.665,856.905,837.552,801.001,784.545,903.389,821.688,776.265,818.086,831.992,837.91,830.007,893.919,854.056,843.157,651.579,799.495,817.128,912.662,902.776,864.883,774.504,768.077,759.204,803.143,759.445,767.799,914.847,844.07,839.559,878.783,836.612,791.079,826.664,743.62,838.044,813.19,843.694,852.244,720.011,727.824,786.488,809.565,820.093,832.714,789.031,815.768,841.77,910.874,857.658,797.319,747.977,822.555,785.354,864.093,736.499,858.758,814.296,674.538,729.801,750.934,692.811,820.45,893.814,819.323,863.679,784.702,761.2,888.329
7.79,0.84,986.322,985.187,1029.33,944.545,968.774,1049.08,1052.12,1020.82,1015.48,909.616,968.205,822.532,1010.88,1181.71,981.17,986.707,1010.07,1028.78,1104.2,895.652,959.638,1041.59,1156.66,965.635,946.192,1014.58,898.574,977.423,1135.33,897.077,927.589,836.346,1071.63,1047.13,999.633,980.518,1127.83,1026.15,968.777,1022.44,1039.31,1048.24,1035.92,1115.25,1067.76,1052.92,817.797,1001.1,1021.39,1137.38,1128.08,1080.65,966.723,958.578,949.35,1002.3,948.957,960.087,1141.23,1053.63,1048.73,1096,1044.2,987.25,1032.11,930.217,1047.57,1015.22,1055.19,1063.21,899.658,910.947,980.856,1011.64,1025.39,1041.26,986.376,1019.99,1051.11,1138.22,1071.22,995.891,934.528,1027.32,982.142,1077.66,921.562,1071.8,1017.98,843.817,912.487,940.048,866.716,1023.34,1115.66,1024.71,1077.51,979.743,950.231,1109.73
7.79,0.944,1178.04,1176.55,1229.67,1128.57,1157.44,1253.09,1256.67,1219.06,1213.18,1087.47,1156.3,987.052,1206.66,1408.14,1171.96,1177.53,1206.07,1227.97,1318.13,1070.51,1146.15,1242.99,1378.06,1153.83,1131.26,1211.28,1076.1,1167.31,1353.63,1073.59,1108.99,1000.73,1280.02,1250.61,1192.65,1171.4,1345.29,1224.77,1156.13,1220.98,1240.44,1252.81,1236.16,1329.69,1275.23,1256.57,981.275,1197.45,1219.9,1354.79,1346.52,1290.18,1154.26,1144.48,1134.74,1196.38,1133.69,1147.74,1360.22,1257.27,1252.26,1306.52,1245.9,1178.58,1232.17,1112.23,1251.04,1212.04,1260.54,1267.73,1075.15,1090.06,1170.06,1208.39,1225.05,1243.77,1178.22,1218.43,1254.48,1358.63,1278.99,1189.49,1116.85,1226.55,1173.91,1284.86,1102.55,1278.67,1215.85,1009.86,1090.98,1124.76,1036.97,1220.27,1330.44,1224.4,1284.8,1169.93,1134.52,1324.35
7.79,1.054,1393.13,1391.16,1453.83,1335.32,1368.67,1481.12,1485.21,1441.3,1434.3,1287.3,1367.54,1173.12,1426.1,1660.15,1386.01,1391.28,1425.38,1450.92,1556.87,1267.14,1355.58,1468.4,1624.64,1364.79,1338.85,1431.84,1275.97,1379.8,1597.11,1272.51,1312.67,1186.2,1512.8,1477.97,1408.54,1385.36,1587.73,1446.83,1365.99,1442.98,1465.01,1481.76,1460.25,1568.77,1507.03,1484.09,1166.26,1417.54,1441.94,1596.88,1590.22,1524.31,1364.8,1353.25,1342.76,1414.01,1340.93,1358.45,1604.03,1485.03,1480.13,1541.32,1471.47,1393.31,1456.32,1316.57,1478.45,1432.68,1490.03,1495.92,1272.46,1291.63,1382.02,1428.85,1448.54,1470.1,1392.89,1440.33,1481.85,1604.51,1511.56,1406.69,1321.89,1449.62,1388.97,1516.2,1306.22,1509.82,1437.09,1197.29,1291.67,1332.36,1228.79,1440.28,1569.75,1447.82,1516.08,1383.34,1341.3,1563.77
8.17,0.292,176.523,173.516,177.699,169.029,163.461,178.511,178.507,183.469,171.839,158.596,174.637,140.405,182.402,209.813,174.912,177.409,175.463,183.126,188.541,159.483,173.011,184.108,207.624,165.544,162.766,181.978,155.602,165.852,202.479,157.079,158.155,149.39,181.468,178.29,175.897,170.609,194.428,176.453,171.539,174.821,176.652,179.174,186.103,196.978,182.282,180.096,141.063,170.509,173.806,198.184,193.263,187.289,174.773,173.772,163.855,180.695,167.69,165.473,197.506,190.099,185.281,194.356,187.788,178.749,183.823,157.906,179.207,182.663,179.434,185.487,159.403,156.931,176.453,178.984,176.603,176.52,166.755,173.432,183.043,194.662,192.375,180.067,167.209,181.007,172.012,192.067,159.894,187.126,172.987,151.229,159.607,159.234,153.607,179.67,192,174.684,192.349,175.736,171.808,190.002
8.17,0.414,298.652,293.243,305.186,285.249,280.291,307.494,308.012,310.85,295.559,269.053,293.381,237.414,307.931,360.743,295.853,300.773,300.038,311.483,325.267,269.472,291.529,312.185,355.619,282.128,278.272,307.13,264.881,284.152,346.292,264.072,268.687,250.667,313.747,307.442,299.541,290.45,334.425,301.481,290.685,300.145,303.84,307.785,316.116,337.786,314.186,308.038,237.841,293.417,298.22,338.826,333.472,321.445,293.685,291.628,278.878,304.465,284.785,280.232,339.921,324.058,315.288,332.262,320.102,300.315,311.052,268.857,308.417,308.667,309.988,317.458,268.793,265.254,297.533,304.982,302.735,304.503,286.226,298.413,312.402,335.661,327.422,304.73,280.896,307.883,293.608,327.231,269.989,318.852,297.562,253.366,269.661,270.497,259.016,305.922,330.997,300.37,329.664,296.303,290.254,327.434
8.17,0.524,427.606,419.712,439.822,407.955,403.551,443.665,444.718,445.412,426.118,385.662,418.779,340.481,440.436,519.668,423.587,430.729,431.417,446.899,469.608,385.466,416.643,447.338,511.353,405.247,400.21,439.321,380.586,408.885,497.874,377.468,385.537,357.64,453.42,443.741,429.727,416.96,482.104,433.344,416.147,432.308,437.868,443.809,453.228,486.13,453.489,443.03,340.643,423.469,429.513,486.812,481.563,463.132,419.206,416.005,400.367,435.118,408.297,401.683,489.907,465.314,452.662,477.48,459.544,428.667,445.438,386.125,444.786,441.716,447.862,456.375,384.207,380.008,425.068,438.049,435.955,439.555,412.239,430.281,448.865,484.669,470.155,436.355,401.065,441.83,422.105,469.582,386.602,457.795,428.939,361.339,385.967,388.398,370.381,438.778,477.446,433.088,474.176,423.583,415.066,472.495
8.17,0.645,587.403,576.533,606.504,560.126,556.21,612.157,613.832,612.118,587.708,530.34,574.292,469.409,604.522,715.43,581.93,591.38,593.931,614.413,648.051,529.28,571.734,614.593,703.139,557.898,551.361,603.135,524.551,563.252,684.915,518.785,530.69,490.675,626.194,612.321,590.555,573.708,664.494,596.456,571.27,595.759,603.456,612.424,622.759,669.116,625.849,610.014,469.238,584.843,592.01,669.175,664.661,638.43,574.796,570.173,551.062,596.963,561.279,552.632,674.812,639.855,622.821,656.596,631.786,587.751,611.924,531.758,613.471,606.517,618.465,627.759,527.384,522.905,582.772,602.861,600.939,606.599,568.215,593.433,617.633,668.982,646.893,599.41,550.317,607.666,581.416,645.258,531.762,629.575,591.426,495.716,530.443,535.165,508.791,602.766,658.115,597.411,652.327,581.32,569.511,651.78
