R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,174.814,174.86,174.804,174.776,174.808,174.821,174.778,174.796,174.514,174.666,174.84,174.572,174.838,174.196,174.165,174.851,174.158,174.767,174.101,174.523,174.17,173.988,173.828,174.576,173.892,174.276,173.763,173.779,175.145,175.347,173.689,173.567,173.804,174.941,177.692,177.486,178.011,175.636,176.115,176.095,174.83,175.166,179.356,177.628,177.626,180.395,179.621,181.104,179.506,179.373,178.005,179.506,180.29,180.455,180.112,180.909,181.137,183.314,182.654,182.088,182.159,181.501,181.856,184.163,183.218,182.988,184.54,184.16,184.434,183.436,183.897,184.417,184.331,185.476,183.749,186.807,185.234,184.617,184.994,192.112,202.766,191.951,185.713,191.97,188.152,190.711,198.979,186.73,202.682,202.216,202.632,202.457,202.846,202.285,202.611,202.638,199.77,200.98,193.192,202.604
1.02261,175.844,175.892,175.834,175.805,175.838,175.851,175.807,175.826,175.53,175.69,175.871,175.591,175.87,175.198,175.165,175.883,175.158,175.796,175.098,175.54,175.184,174.996,174.842,175.596,174.911,175.296,174.774,174.794,176.174,176.381,174.696,174.581,174.819,175.969,178.759,178.554,179.081,176.678,177.16,177.143,175.862,176.203,180.411,178.692,178.698,181.461,180.713,182.185,180.606,180.46,179.083,180.603,181.395,181.561,181.215,182.001,182.208,184.366,183.725,183.134,183.232,182.576,182.958,185.226,184.29,184.093,185.574,185.264,185.543,184.518,184.959,185.524,185.436,186.542,184.83,187.82,186.324,185.685,186.055,193.055,203.744,192.884,186.768,192.897,189.367,191.871,199.907,187.836,203.664,203.168,203.618,203.394,203.814,203.25,203.594,203.625,200.798,201.979,194.25,203.588
1.04573,176.849,176.9,176.838,176.808,176.843,176.857,176.811,176.83,176.519,176.688,176.877,176.585,176.876,176.172,176.138,176.89,176.131,176.798,176.068,176.532,176.172,175.978,175.83,176.59,175.904,176.289,175.758,175.784,177.176,177.39,175.676,175.57,175.808,176.972,179.802,179.597,180.127,177.694,178.179,178.165,176.87,177.215,181.441,179.732,179.745,182.501,181.78,183.24,181.682,181.524,180.138,181.677,182.477,182.644,182.295,183.068,183.252,185.39,184.768,184.152,184.277,183.625,184.036,186.262,185.335,185.172,186.578,186.342,186.627,185.573,185.994,186.606,186.515,187.579,185.884,188.8,187.387,186.726,187.087,193.959,204.68,193.778,187.794,193.785,190.561,193.006,200.791,188.915,204.605,204.078,204.562,204.287,204.74,204.173,204.536,204.57,201.787,202.938,195.275,204.53
1.06937,177.827,177.88,177.815,177.784,177.82,177.835,177.786,177.807,177.481,177.658,177.856,177.55,177.855,177.118,177.082,177.869,177.075,177.774,177.01,177.495,177.132,176.931,176.79,177.556,176.87,177.255,176.715,176.746,178.152,178.372,176.629,176.531,176.769,177.948,180.819,180.614,181.147,178.684,179.172,179.16,177.85,178.199,182.442,180.745,180.766,183.513,182.821,184.268,182.732,182.561,181.166,182.726,183.534,183.7,183.348,184.108,184.268,186.383,185.783,185.14,185.295,184.646,185.088,187.267,186.35,186.224,187.551,187.392,187.683,186.6,186.999,187.66,187.566,188.587,186.91,189.746,188.42,187.737,188.089,194.823,205.572,194.629,188.789,194.631,191.732,194.113,201.629,189.965,205.502,204.941,205.463,205.132,205.621,205.05,205.433,205.471,202.737,203.855,196.265,205.427
1.09355,178.775,178.83,178.763,178.73,178.768,178.783,178.733,178.754,178.413,178.599,178.806,178.486,178.804,178.033,177.995,178.82,177.988,178.72,177.92,178.429,178.062,177.854,177.72,178.492,177.806,178.191,177.642,177.678,179.097,179.325,177.551,177.462,177.7,178.894,181.806,181.603,182.137,179.644,180.135,180.126,178.801,179.155,183.413,181.729,181.759,184.494,183.833,185.266,183.755,183.57,182.167,183.746,184.563,184.729,184.374,185.119,185.254,187.344,186.767,186.097,186.281,185.637,186.111,188.24,187.335,187.247,188.489,188.412,188.71,187.596,187.972,188.685,188.588,189.561,187.905,190.655,189.423,188.715,189.058,195.642,206.416,195.436,189.75,195.432,192.878,195.19,202.419,190.985,206.351,205.755,206.317,205.928,206.454,205.879,206.283,206.325,203.644,204.727,197.217,206.278
1.11827,179.691,179.75,179.679,179.645,179.684,179.7,179.648,179.67,179.312,179.508,179.724,179.389,179.723,178.915,178.875,179.738,178.868,179.634,178.797,179.33,178.959,178.744,178.618,179.396,178.71,179.095,178.536,178.578,180.011,180.246,178.44,178.361,178.599,179.808,182.763,182.561,183.097,180.574,181.068,181.061,179.721,180.079,184.352,182.682,182.721,185.444,184.816,186.232,184.748,184.549,183.137,184.737,185.562,185.728,185.371,186.1,186.208,188.27,187.717,187.018,187.235,186.596,187.103,189.179,188.285,188.238,189.39,189.401,189.705,188.558,188.91,189.677,189.577,190.5,188.866,191.525,190.392,189.659,189.991,196.413,207.208,196.195,190.675,196.184,193.997,196.236,203.156,191.971,207.149,206.516,207.12,206.669,207.234,206.657,207.082,207.129,204.505,205.55,198.13,207.078
1.14355,180.574,180.635,180.561,180.525,180.567,180.583,180.528,180.552,180.177,180.383,180.608,180.257,180.607,179.761,179.719,180.623,179.712,180.514,179.638,180.196,179.822,179.599,179.481,180.265,179.579,179.965,179.396,179.444,180.89,181.133,179.294,179.226,179.464,180.688,183.687,183.486,184.025,181.469,181.966,181.962,180.606,180.969,185.256,183.602,183.651,186.358,185.766,187.164,185.709,185.495,184.074,185.696,186.529,186.695,186.335,187.047,187.127,189.159,188.632,187.902,188.153,187.519,188.062,190.08,189.2,189.196,190.251,190.355,190.666,189.486,189.811,190.636,190.532,191.401,189.792,192.352,191.325,190.566,190.887,197.134,207.946,196.903,191.561,196.884,195.087,197.247,203.836,192.921,207.893,207.221,207.869,207.353,207.959,207.379,207.827,207.878,205.317,206.32,198.999,207.823
1.16941,181.42,181.484,181.407,181.37,181.413,181.43,181.373,181.397,181.004,181.22,181.456,181.089,181.455,180.569,180.525,181.472,180.518,181.358,180.44,181.026,180.648,180.417,180.307,181.098,180.413,180.798,180.218,180.273,181.733,181.983,180.112,180.054,180.292,181.531,184.576,184.376,184.916,182.329,182.828,182.827,181.456,181.823,186.122,184.487,184.546,187.235,186.681,188.06,186.636,186.406,184.977,186.62,187.462,187.628,187.265,187.958,188.008,190.007,189.508,188.746,189.034,188.406,188.985,190.942,190.076,190.118,191.07,191.273,191.591,190.375,190.673,191.557,191.451,192.262,190.679,193.134,192.219,191.433,191.742,197.801,208.626,197.555,192.406,197.529,196.145,198.221,204.457,193.833,208.579,207.866,208.56,207.975,208.625,208.042,208.514,208.57,206.076,207.036,199.822,208.511
1.19584,182.228,182.294,182.214,182.175,182.22,182.238,182.178,182.204,181.791,182.019,182.265,181.881,182.264,181.336,181.291,182.282,181.283,182.162,181.202,181.815,181.434,181.194,181.094,181.891,181.207,181.591,181.001,181.063,182.536,182.795,180.889,180.843,181.081,182.335,185.426,185.228,185.77,183.15,183.652,183.654,182.267,182.639,186.948,185.333,185.403,188.073,187.559,188.917,187.527,187.28,185.843,187.508,188.358,188.524,188.158,188.831,188.849,190.813,190.344,189.548,189.874,189.253,189.871,191.761,190.911,191.001,191.845,192.151,192.476,191.224,191.492,192.44,192.329,193.08,191.526,193.867,193.072,192.258,192.553,198.41,209.243,198.149,193.206,198.115,197.17,199.156,205.014,194.704,209.203,208.447,209.19,208.532,209.228,208.641,209.14,209.2,206.779,207.692,200.596,209.137
1.22288,182.994,183.063,182.979,182.938,182.985,183.004,182.942,182.969,182.536,182.775,183.033,182.63,183.031,182.06,182.012,183.05,182.005,182.925,181.919,182.562,182.177,181.929,181.839,182.641,181.959,182.343,181.742,181.81,183.297,183.565,181.623,181.589,181.827,183.098,186.236,186.04,186.583,183.929,184.434,184.44,183.036,183.413,187.732,186.139,186.22,188.868,188.396,189.731,188.378,188.113,186.669,188.357,189.215,189.381,189.012,189.664,189.648,191.572,191.135,190.305,190.67,190.057,190.716,192.535,191.702,191.843,192.57,192.986,193.319,192.029,192.265,193.28,193.166,193.851,192.329,194.549,193.881,193.037,193.319,198.957,209.794,198.681,193.959,198.639,198.16,200.049,205.503,195.531,209.761,208.96,209.754,209.019,209.764,209.174,209.699,209.765,207.422,208.284,201.318,209.697
