R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,243.154,241.72,246.31,261.928,244.928,241.021,251.525,253.203,236.998,237.606,242.077,218.125,249.297,206.332,210.44,247.329,223.032,257.354,234.969,246.579,247.209,228.134,227.981,263.112,207.048,245.154,233.024,233.394,243.742,250.016,243.595,239.176,244.575,241.467,235.429,233.87,236.28,240.187,246.549,249.803,249.774,251.643,247.419,261.919,255.319,249.605,254.546,238.241,241.045,250.222,251.908,252.91,250.483,256.037,248.893,262.304,259.314,247.752,249.613,259.115,258.43,269.878,265.646,253.84,254.463,260.144,260.678,260.015,265.076,265.283,262.609,257.77,263.088,263.296,270.479,259.083,272.267,275.886,283.107,263.693,265.665,271.229,273.918,269.033,267.173,267.192,273.508,277.144,264.473,264.999,270.033,276.811,277.826,276.071,266.642,268.543,276.267,271.589,276.956,275.917
7.79,0.421,415.782,413.144,421.368,448.594,418.91,412.023,430.896,433.291,404.15,408.001,413.871,373.645,426.592,353.442,360.626,423.083,382.805,441.021,404.094,424.93,422.724,391.702,391.897,452.703,354.157,422,400.636,401.299,419.978,430.257,419.895,411.906,421.929,415.63,405,402.729,407.234,414.073,424.968,431.446,431.355,434.485,426.82,452.622,441.094,431.423,440.083,411.489,416.708,432.317,436.071,438.128,433.358,443.864,431.24,454.333,449.632,428.464,432.127,449.295,447.817,468.953,461.25,439.647,441.573,451.93,452.199,451.329,460.616,461.271,456.16,448.073,457.325,457.869,470.148,450.249,473.797,480.124,492.91,458.163,461.71,471.59,476.491,467.543,464.92,464.961,475.659,482.419,459.691,460.663,469.476,481.657,483.443,480.136,463.625,466.737,480.54,472.289,481.919,479.858
7.79,0.516,567.035,563.267,574.803,612.225,571.371,561.825,588.361,591.086,550.172,558.225,564.371,510.609,582.005,483.207,493.107,577.098,523.824,602.242,553.58,582.801,576.508,536.062,536.79,619.938,483.655,578.351,548.761,549.686,576.014,589.481,576.084,564.808,579.204,569.657,554.929,552.26,558.759,568.2,582.987,592.7,592.546,596.711,585.875,621.884,606.013,593.006,604.958,565.467,572.978,594.057,600.031,603.18,596.089,611.358,593.825,625.302,619.349,589.224,594.677,618.894,616.586,646.842,635.926,605.189,608.677,623.384,623.082,622.182,635.427,636.616,629.132,618.368,631.073,631.999,648.653,621.239,654.209,662.931,680.711,632.001,636.99,650.769,657.713,644.989,641.991,642.059,656.467,666.193,634.281,635.679,647.838,664.95,667.418,662.626,639.851,643.928,663.244,651.805,665.324,662.233
7.79,0.621,746.867,741.696,757.251,806.661,752.644,739.927,775.814,778.596,723.455,737.784,743.297,674.388,766.796,638.723,651.83,760.198,692.705,794.091,732.683,772.026,759.36,708.884,710.465,819.664,638.588,765.615,726.233,727.468,763.129,780.01,763.484,748.188,768.043,754.223,734.606,731.698,740.702,753.234,772.518,786.438,786.209,791.513,776.799,825.106,804.114,787.322,803.169,750.749,761.136,788.471,797.46,802.073,791.987,813.277,789.868,831.095,823.922,782.734,790.497,823.328,819.916,861.527,846.667,804.643,810.387,830.464,829.143,828.373,846.531,848.486,837.965,824.234,841.002,842.468,864.174,827.86,872.25,883.811,907.572,841.916,848.66,867.144,876.592,859.224,856.072,856.183,874.82,888.27,845.186,847.12,863.248,886.343,889.617,882.96,852.771,857.881,883.861,868.619,886.865,882.426
7.79,0.726,938.63,931.91,951.8,1013.7,945.933,929.859,975.893,978.338,907.987,930.315,934.091,850.272,963.806,806.253,822.722,955.387,874.316,998.727,925.251,975.4,954.389,894.618,897.342,1033.42,805.212,966.788,917.074,918.627,964.402,984.458,965.185,945.519,971.422,952.634,927.834,924.941,936.737,952.537,976.414,995.178,994.88,1001.27,982.351,1043.82,1017.47,996.892,1016.83,950.798,964.389,998.048,1010.64,1016.99,1003.48,1031.52,1001.87,1053.15,1044.98,991.662,1002.06,1044.24,1039.54,1093.71,1074.56,1020.14,1028.71,1054.69,1051.9,1051.46,1075.04,1077.95,1063.97,1047.36,1068.37,1070.5,1097.37,1051.7,1108.4,1122.94,1153.06,1069.12,1077.77,1101.3,1113.47,1091.04,1088.05,1088.21,1111.11,1128.73,1073.55,1076.09,1096.39,1125.93,1130.05,1121.32,1083.35,1089.42,1122.55,1103.28,1126.64,1120.63
7.79,0.84,1157.4,1148.87,1173.72,1249.46,1166.42,1146.57,1204.27,1205.93,1118.37,1151.01,1151.75,1052.32,1188.47,999.335,1019.55,1177.97,1083.17,1232.14,1146.57,1208.91,1176.98,1108.06,1112.31,1277.87,996.986,1197.75,1136.45,1138.35,1195.73,1218.91,1197.14,1172.44,1205.42,1180.59,1149.95,1147.35,1162.43,1181.9,1210.78,1235.39,1235.03,1242.52,1218.76,1295.18,1262.89,1238.26,1262.76,1181.51,1198.87,1239.33,1256.39,1264.89,1247.29,1283.29,1246.61,1308.9,1299.94,1232.54,1246.1,1299.03,1292.76,1361.6,1337.51,1268.71,1280.89,1313.72,1308.88,1309.03,1338.94,1343.05,1324.95,1305.37,1331.08,1334.05,1366.56,1310.4,1381.2,1399.07,1436.37,1331.5,1342.32,1371.62,1386.91,1358.65,1356.17,1356.4,1383.86,1406.43,1337.34,1340.61,1365.58,1402.48,1407.52,1396.38,1349.71,1356.73,1398.02,1374.22,1403.44,1395.51
7.79,0.944,1365.37,1355.08,1384.65,1473.14,1375.99,1352.61,1421.46,1422,1318.36,1361.71,1358.68,1245.69,1401.95,1184.75,1208.45,1389.47,1283.25,1453.93,1358.41,1432.12,1388.72,1312.38,1318.26,1510.64,1180.94,1418.55,1346.5,1348.69,1417.12,1442.82,1419.23,1389.74,1429.56,1398.68,1362.58,1360.51,1378.78,1401.69,1435.07,1465.48,1465.09,1473.49,1445.13,1535.63,1497.87,1469.66,1498.39,1402.99,1424.03,1470.56,1492.16,1502.84,1481.21,1524.97,1481.71,1554.04,1544.6,1463.7,1480.36,1543.53,1535.7,1618.72,1589.93,1507.3,1523.24,1562.67,1555.55,1556.44,1592.48,1597.81,1575.64,1553.53,1583.58,1587.43,1625.03,1559.14,1643.33,1664.25,1708.28,1583.55,1596.42,1631.19,1649.46,1615.62,1613.94,1614.23,1645.74,1673.18,1590.81,1594.8,1624.11,1667.97,1673.86,1660.39,1605.66,1613.45,1662.44,1634.41,1669.22,1659.36
7.79,1.054,1593.42,1581.19,1615.9,1717.87,1605.77,1578.61,1659.64,1658.6,1537.74,1593.67,1585.6,1459.18,1635.9,1390.18,1417.58,1621.28,1504.34,1696.97,1592.25,1678.08,1621.11,1537.98,1545.83,1766.2,1384.55,1661.96,1578.43,1580.92,1661.4,1689.38,1664.42,1629.69,1677.08,1639.3,1597.33,1596.1,1617.91,1644.51,1682.55,1719.58,1719.18,1728.42,1695.03,1800.78,1757.23,1725.38,1758.61,1648.13,1673.27,1726.02,1752.88,1766.1,1739.91,1792.32,1742,1824.85,1815.17,1719.4,1739.57,1813.92,1804.32,1903.05,1869.14,1771.28,1791.64,1838.37,1828.4,1830.32,1873.14,1879.91,1853.12,1828.58,1863.22,1868.1,1911,1834.7,1933.52,1957.66,2008.93,1862.54,1877.64,1918.38,1939.9,1899.96,1899.46,1899.8,1935.41,1968.4,1871.43,1876.25,1910.19,1961.61,1968.37,1952.36,1889.03,1897.52,1954.88,1922.3,1963.23,1951.14
8.17,0.292,208.39,207.174,211.223,223.744,209.917,206.554,217.932,216.108,205.801,199.244,207.429,184.294,213.928,174.659,178.284,212.058,188.845,222.358,199.49,205.759,216.27,194.163,192.368,223.348,176.782,208.918,198.567,198.324,206.469,213.374,206.942,203.322,206.72,206.133,200.116,197.846,199.341,203.945,210.854,211.406,212.969,213.839,211.374,224.174,218.247,212.635,216.617,201.169,203.685,213.74,212.545,214.527,213.926,216.999,210.594,223.934,219.966,211.566,212.065,219.563,220.458,228.969,226.095,216.992,215.487,220.431,221.692,221.614,225.882,224.736,222.758,218.138,223.137,222.545,230.838,218.786,231.115,235.169,240.927,223.28,225.545,230.442,231.908,229.659,225.993,226.419,233.355,235.863,225.069,225.567,230.444,235.166,235.915,234.972,227.085,229.204,235.079,231.285,235.659,234.855
8.17,0.414,362.458,360.164,367.609,390.027,365.224,359.132,379.872,376.257,357.148,347.736,360.703,320.707,372.476,303.8,310.282,369.054,329.295,387.795,348.68,360.472,376.459,338.759,335.997,390.917,307.109,365.613,346.964,346.563,361.658,373.432,362.643,355.928,362.54,360.704,349.896,346.251,349.184,357.407,369.559,371.239,373.965,375.421,370.764,394.07,383.499,373.668,380.823,353.143,357.896,375.522,374.061,377.817,376.354,382.474,370.856,394.563,387.829,372.01,373.212,387.104,388.537,404.706,399.327,382.217,380.145,389.384,391.105,391.24,399.268,397.4,393.494,385.512,394.459,393.508,408.241,386.537,409.129,416.441,426.887,394.494,398.678,407.585,410.358,406.049,399.957,400.745,412.928,417.754,397.903,398.839,407.624,416.327,417.679,415.802,401.645,405.288,416.049,409.188,417.238,415.586
8.17,0.524,519.081,515.597,526.678,559.311,523.147,514.191,544.862,539.141,510.532,499.649,516.485,459.982,533.796,435.79,445.216,528.721,473.028,556.39,501.65,519.501,539.354,486.739,483.262,562.563,440.007,526.375,499.077,498.532,521.137,537.561,522.744,512.678,522.95,519.321,503.537,498.735,503.322,515.276,532.711,535.999,539.886,541.877,534.802,569.218,553.871,539.824,550.272,509.933,517.161,542.369,541.068,546.802,544.196,553.868,536.764,571.068,561.722,537.729,539.855,560.661,562.541,587.231,579.109,553.196,550.945,564.874,566.721,567.256,579.423,576.93,570.791,559.527,572.549,571.303,592.612,560.855,594.391,605.103,620.483,572.331,578.579,591.725,595.944,589.323,581.025,582.205,599.662,607.102,577.547,578.968,591.823,604.802,606.782,603.82,583.161,588.277,604.245,594.174,606.165,603.497
8.17,0.645,706.603,701.62,717.178,761.976,712.244,699.823,742.65,734.101,693.731,682.71,702.981,627.798,727.003,595.176,608.107,719.9,646.486,758.466,686.363,711.813,734.336,665.225,661.207,769.201,600.126,720.429,682.726,682.026,713.96,735.51,716.42,702.183,717.198,710.876,689.114,683.227,689.973,706.379,729.976,735.666,740.906,743.451,733.325,781.283,760.261,741.344,755.734,700.258,710.624,744.624,743.99,752.253,748.008,762.365,738.606,785.43,773.239,738.925,742.372,771.774,774.068,809.612,798.044,761.034,759.022,778.835,780.438,781.654,799.047,795.945,786.87,771.904,789.785,788.271,817.343,773.499,820.479,835.288,856.656,789.109,797.907,816.226,822.272,812.697,802.09,803.759,827.351,838.158,796.631,798.667,816.416,834.68,837.413,833.022,804.58,811.34,833.698,819.749,836.604,832.566
