R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,202.252,201.909,202.93,188.815,189.167,190.237,186.756,193.533,185.444,207.293,190.598,188.118,197.98,193.163,204.249,201.214,186.094,196.134,179.818,183.287,206.716,178.903,180.552,204.571,208.396,180.303,192.056,207.853,206.122,195.019,200.509,199.795,180.806,209.177,204.888,181.327,186.423,185.767,192.424,200.863,205.513,181.064,196.505,209.429,198.346,203.925,198.711,191.69,196.875,191.324,181.594,184.497,208.921,197.613,188.465,180.058,208.661,194.276,199.074,189.879,187.431,211.445,187.773,203.596,185.125,195.391,183.583,184.189,205.203,205.82,201.562,207.575,199.436,182.994,182.706,200.153,210.39,207.006,181.865,183.884,189.522,179.582,187.092,194.647,203.265,195.763,184.809,179.351,209.918,192.793,190.96,202.593,193.904,206.421,209.676,182.421,210.156,182.141,197.244,208.127
1.02261,201.916,201.5,202.931,189.358,190.127,191.114,187.994,193.201,186.355,206.703,190.332,188.671,198.387,192.989,204.88,203.333,187.001,195.836,180.261,183.911,207.84,179.591,180.971,204.563,208.648,181.721,193.641,208.114,205.502,194.951,200.878,200.528,181.217,209.418,205.193,181.98,186.037,186.676,195.47,201.299,205.808,181.467,197.298,209.666,199.107,204.243,198.748,191.83,196.933,191.471,182.243,184.799,208.909,198.025,188.331,180.73,209.166,194.006,199.821,190.759,187.329,211.656,189.013,203.525,185.722,196.568,184.203,184.499,206.11,206.408,202.596,207.279,199.465,183.623,183.338,200.175,210.613,207.562,182.511,185.411,189.705,180.493,187.66,194.737,203.92,196.202,185.103,180.033,210.148,192.475,192.265,202.257,194.524,206.993,209.909,183.058,210.383,182.782,197.662,208.383
1.04573,201.511,201.025,202.858,189.837,192.622,192.268,188.827,193.334,186.884,206.314,190.522,189.161,198.362,193.692,204.793,205.104,187.842,195.849,180.985,184.48,208.128,180.23,181.588,204.478,208.811,182.326,195.489,208.172,205.412,194.05,202.189,200.968,182.076,209.568,206.017,182.58,186.133,186.571,196.569,202.525,205.717,181.83,197.647,209.812,199.426,204.16,198.718,191.565,197.288,191.07,182.839,185.354,209.068,199.073,188.168,181.022,209.32,194.409,200.477,191.013,187.519,211.774,190.178,203.188,186.083,196.929,184.767,185.058,206.608,206.897,203.515,207.183,199.925,184.196,183.916,199.982,210.743,207.742,183.102,187.2,189.498,181.351,188.496,194.768,203.839,196.209,185.652,180.665,210.286,191.916,192.978,201.851,195.128,207.464,210.051,183.37,210.517,183.641,198.005,208.55
1.06937,201.036,200.481,203.356,190.584,195.666,192.636,189.793,193.333,187.349,205.949,190.249,189.258,198.619,194.033,204.932,206.426,188.61,195.576,181.688,185.557,208.621,180.816,182.004,204.623,209.129,182.874,196.151,208.096,205.238,193.682,202.376,202.045,182.628,209.377,206.025,183.124,185.956,187.042,196.859,202.706,205.54,182.387,197.917,209.86,199.664,203.678,198.968,192.29,197.565,191.261,183.378,186.031,208.877,199.317,188.29,181.464,209.621,194.385,201.71,191.602,187.66,211.79,190.921,203.032,186.437,197.212,185.271,184.989,206.998,207.279,203.996,206.714,200.568,184.71,184.436,200.009,210.774,207.828,183.636,187.973,189.709,182.063,188.932,194.738,204.311,196.505,186.738,181.244,210.325,191.945,192.984,201.374,195.091,207.555,210.095,183.899,210.552,184.165,198.268,208.361
1.09355,200.262,199.813,202.576,190.642,196.719,192.927,190.863,193.61,188.051,205.864,189.617,189.938,198.446,194.641,205.275,207.769,188.669,195.333,182.424,186.275,208.841,181.344,182.2,204.926,209.088,183.362,196.372,208.076,204.722,193.268,203.432,203.062,183.121,209.331,206.154,184.109,185.711,187.747,197.411,202.741,205.572,182.885,198.102,209.804,200.77,203.746,198.79,192.306,197.065,191.302,183.856,186.854,208.59,199.473,188.359,181.98,209.569,194.009,201.819,192.533,187.446,210.862,191.526,202.146,186.563,197.757,185.991,185.434,206.722,207,204.058,206.439,201.489,185.161,184.892,200.434,211.536,207.589,183.607,188.982,190.262,182.652,189.298,194.987,204.367,196.025,187.148,181.765,210.482,191.914,194.241,201.158,195.679,207.275,210.034,184.366,210.26,184.627,199.132,208.335
1.11827,200.2,199.537,202.468,191.171,197.198,193.137,191.51,193.804,188.67,205.785,189.589,190.531,197.505,194.476,205.209,208.449,188.974,195.489,182.868,187.199,208.695,181.811,182.649,204.321,208.936,184.268,196.505,207.69,204.019,193.47,203.407,203.714,183.55,209.174,206.347,184.515,186.069,188.072,198.868,203.096,205.499,183.318,198.533,209.407,201.184,202.783,197.859,192.147,196.844,190.85,184.024,186.901,207.947,199.869,188.37,182.434,209.636,194.14,202.15,192.805,187.487,210.512,192.475,201.83,186.355,198.196,186.646,185.824,206.623,206.895,204.916,206.068,201.508,185.544,185.281,200.857,211.494,207.429,183.785,189.901,190.215,183.091,189.28,194.813,204.62,196.166,187.778,182.223,210.299,191.804,195.15,200.53,195.827,207.164,209.861,184.767,210.082,185.022,199.203,208.2
1.14355,198.765,197.864,202.359,191.657,199.824,193.584,192.613,193.91,188.903,205.594,189.198,190.718,197.204,194.565,205.032,208.253,189.497,194.893,183.243,187.748,208.37,182.212,183.03,204.091,208.898,184.609,196.874,207.702,202.971,193.259,203.574,203.947,183.908,208.667,206.142,184.85,185.854,188.609,200.147,203.274,204.746,183.683,198.193,209.126,201.737,202.049,197.534,191.974,196.543,191.029,184.371,186.986,207.451,200.469,188.319,182.82,209.349,194.237,202.666,192.293,187.12,210.203,192.936,201.342,186.645,198.605,187.467,186.114,206.676,206.411,205.314,205.869,201.187,186.378,185.597,200.788,211.166,207.197,184.138,190.409,190.103,183.461,189.799,195.222,204.458,196.213,188.032,182.614,209.996,191.342,195.552,199.417,195.882,206.938,209.569,185.095,209.784,185.344,199.258,207.949
1.16941,198.085,196.803,202.137,191.729,200.919,193.603,192.972,193.92,189.05,205.012,189.338,190.815,197.124,194.876,204.329,208.272,189.921,194.557,183.545,188.203,207.81,182.542,183.338,203.319,208.6,185.108,197.445,207.333,202.436,192.659,203.608,204.737,184.192,208.043,205.816,184.874,185.589,188.765,200.299,203.027,203.895,183.973,198.723,208.615,201.835,201.532,197.765,192.037,196.481,190.515,184.643,187.384,207.089,199.672,187.927,183.134,208.935,194.238,202.733,192.347,187.117,209.564,193.287,200.61,186.854,199.357,187.654,186.337,206.336,206.078,205.283,205.551,201.226,186.594,186.084,199.986,210.707,206.842,184.416,191.259,190.217,183.757,189.628,195.197,204.309,196.16,188.483,182.934,209.766,191.281,195.517,198.405,195.838,206.591,209.149,185.347,209.358,185.835,199.041,207.574
1.19584,196.934,196.311,201.502,191.801,202.085,193.828,194.136,193.214,189.106,204.046,189.385,191.111,197.556,194.964,203.589,208.175,189.951,193.52,183.768,188.556,207.295,182.795,183.369,202.75,207.961,185.673,198.176,206.833,200.711,192.605,203.684,204.759,184.396,207.521,205.362,185.056,185.592,188.829,200.815,202.849,203.221,183.974,198.485,207.742,201.795,200.314,197.866,191.406,196.623,190.237,184.832,187.49,206.113,200.012,187.752,183.567,208.593,192.909,202.372,192.303,187.232,208.995,194.445,199.199,186.724,199.709,188.017,186.476,205.866,205.615,205.105,204.668,201.208,186.977,185.988,199.305,210.109,206.356,184.612,191.905,190.526,184.183,189.667,194.856,204.315,195.999,188.285,183.175,209.191,190.818,195.377,197.245,195.688,206.596,208.386,185.284,208.796,186.23,198.793,207.066
1.22288,196.627,196.025,200.757,191.573,203.174,193.626,194.822,193.033,189.333,202.733,189.063,191.001,197.228,194.222,203.001,207.691,190.157,193.329,183.906,188.796,206.855,182.964,183.52,201.882,207.281,185.821,198.091,206.39,199.893,192.153,203.729,204.27,184.721,206.637,204.77,185.594,185.15,188.3,201.041,202.431,201.604,184.104,198.423,207.07,201.323,199.343,197.528,191.286,196.928,189.88,184.934,187.502,205.015,199.567,187.755,183.711,207.891,192.738,202.157,191.862,187.006,208.088,194.522,197.862,186.762,200.182,188.011,186.051,205.495,205.257,204.522,204.016,200.47,187.253,186.285,199.015,209.361,205.73,184.512,192.445,190.436,184.306,189.605,193.924,203.529,195.423,188.501,183.333,208.469,190.717,195.122,196.326,195.724,205.962,207.488,185.37,208.28,186.522,198.719,206.217
