R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,247.901,245.352,263.056,235.785,245.365,267.026,268.865,257.944,257.591,228.214,239.95,199.067,254.992,310.557,246.608,252.358,257.181,262.46,282.821,224.724,240.299,261.645,304.367,242.375,239.195,253.329,223.505,248.408,294.834,218.135,231.073,206.372,274.104,268.336,256.197,246.326,289.846,260.083,245.521,259.772,266.11,264.558,265.327,291.107,272.989,266.143,197.161,253.422,258.153,291.396,289.395,276.099,241.233,238.898,237.856,251.044,240.368,236.571,296.461,273.7,265.091,285.188,270.356,245.716,258.04,231.684,267.747,255.388,270.748,274.369,224.403,223.289,248.382,257.22,259.803,265.47,250.399,259.74,266.28,291.053,274.559,251.768,230.252,259.444,249.391,277.511,225.286,270.771,259.133,206.632,226.033,230.906,214.971,262.35,289.288,259.942,283.15,244.597,241.028,285.163
7.79,0.421,427.266,422.924,456.549,405.845,425.452,464.125,467.595,444.939,447.461,393.853,412.232,344.295,438.956,538.391,425.091,434.788,445.294,453.298,491.814,386.743,413.239,451.527,526.572,419.373,414.402,436.202,386.978,430.451,510.258,375.629,399.451,354.163,477.122,466.46,442.36,425.89,503.214,450.281,423.028,450.693,461.879,459.757,457.818,504.275,474.612,461.146,340.437,440.705,447.9,504.072,503.34,479.091,414.329,409.984,411.307,431.737,414.81,408.634,514.432,472.863,458.357,493.274,467.004,422.022,444.962,400.833,465.081,439.938,471.09,474.831,385.985,385.498,426.875,444.781,450.716,461.576,434.339,451.155,460.844,506.302,474.623,433.875,395.716,448.351,431.735,479.3,388.689,468.277,449.97,354.496,389.548,399.708,369.953,452.944,502.361,451.546,489.976,420.876,414.561,495.635
7.79,0.516,586.159,580.262,629.356,556.396,586.298,640.422,645.464,610.636,617.277,541.133,564.272,474.273,601.538,740.886,583.245,596.246,612.825,622.613,678.661,530.321,566.078,619.793,723.592,577.057,570.821,597.894,533.057,592.858,701.469,515.399,549.435,484.934,658.982,643.693,607.539,585.647,693.454,619.583,580.211,621.136,636.652,634.357,628.343,693.762,654.944,634.823,468.425,608.548,617.323,692.708,694.582,660.147,567.014,560.759,565.783,591.265,569.722,561.65,708.544,649.513,630.055,677.927,641.415,577.468,610.494,551.661,641.433,603.187,650.505,652.983,529.063,529.868,584.341,611.554,621.156,637.084,598.635,622.306,633.874,698.712,652.201,595.134,541.966,616.118,594.232,658.103,533.96,643.677,620.545,485.273,534.692,550.349,507.454,621.927,692.407,622.895,673.683,576.713,567.956,683.637
7.79,0.621,776.82,769.091,837.954,737.067,780.601,853.443,860.478,809.417,822.527,718.584,746.203,632.016,796.172,983.91,773.07,789.793,814.625,825.89,904.205,702.89,749.186,821.598,959.629,767.175,759.785,791.543,709.834,788.836,930.822,683.635,730.356,642.118,878.937,857.856,805.909,778.026,922.516,823.387,768.76,826.821,847.497,845.356,832.794,921.35,872.782,843.928,623.547,811.816,821.817,918.815,925.351,878.347,749.632,740.979,752.041,782.112,756.053,745.922,941.973,861.466,836.396,899.434,850.695,763.272,808.95,733.752,854.367,798.763,867.488,867.032,700.906,703.989,772.616,812.206,826.851,849.265,797.066,829.111,841.961,930.864,865.385,788.553,717.291,817.719,790.171,872.394,708.987,854.322,826.596,642.406,709.342,732.34,672.98,824.666,921.307,829.973,894.268,763.41,751.766,910.386
7.79,0.726,982.075,972.404,1063.74,931.699,991.199,1084.2,1093.48,1023.28,1045,910.585,941.566,804.199,1005.13,1245.01,977.484,997.907,1032.62,1044.71,1148.15,889.202,946.063,1038.58,1212.81,972.865,964.674,999.547,901.99,1000.99,1177.21,865.566,926.285,812.021,1117.39,1089.85,1019.56,985.878,1169.57,1043.36,971.681,1049.4,1075.52,1073.97,1052.55,1166.19,1108.64,1069.6,792.677,1032.64,1043.16,1161.53,1174.81,1114.02,945.625,934.298,953.614,986.899,957.208,945.092,1193.35,1089.41,1058.71,1137.47,1075.8,962.519,1022.3,931.117,1084.85,1008.89,1102.73,1097.51,886.29,892.606,974.547,1028.73,1049.46,1079.25,1012.05,1053.19,1066.29,1181.76,1094.76,996.672,906.005,1034.95,1002.15,1102.52,898.375,1081.04,1049.8,812.191,898.078,929.726,852.066,1042.73,1168.27,1054.39,1131.59,964.092,949.444,1155.4
7.79,0.84,1218.18,1206.3,1324.55,1155.82,1234.85,1350.88,1362.82,1269.08,1302.31,1132.54,1165.86,1004.92,1244.88,1544.36,1212.68,1237.04,1284.06,1296.29,1429.62,1104.24,1172.35,1287.8,1502.73,1210.5,1201.85,1238.31,1125.02,1246.17,1459.75,1075.84,1152.9,1008.47,1393.11,1357.98,1265.35,1225.71,1453.86,1296.85,1205.06,1306.45,1338.7,1338.25,1304.87,1447.33,1381.08,1329.58,989.686,1288.56,1298.85,1439.67,1462.46,1385.67,1170.53,1156.05,1186.59,1221.78,1189.21,1175.03,1482.2,1351.2,1314.49,1410.57,1334.4,1190.96,1267.35,1159.56,1351.06,1250.13,1374.77,1362.45,1100.1,1110.88,1206.08,1278.24,1306.59,1345.2,1260.66,1312.27,1324.5,1470.96,1358.3,1235.96,1123.18,1284.93,1247,1366.43,1117.32,1341.6,1307.82,1008.45,1116.04,1158.31,1059.21,1293.26,1452.58,1313.92,1404.19,1194.66,1176.71,1437.83
7.79,0.944,1444.34,1430.35,1575.2,1370.74,1469.42,1607.27,1621.82,1504.29,1549.89,1346.17,1380.36,1199.65,1473.94,1829.93,1438.01,1465.84,1525.4,1537.08,1699.75,1310.96,1388.97,1526.09,1779.02,1438.99,1430.33,1466.54,1340.46,1481.97,1729.4,1278.22,1371.07,1197.73,1658.3,1615.75,1500.76,1456.06,1726.03,1539.94,1428.57,1553.48,1591.4,1592.38,1546.06,1715.96,1642.85,1578.8,1180.7,1535.28,1544.62,1704.96,1738.35,1646.17,1385.5,1367.96,1410.73,1446.16,1411.99,1396,1758.33,1601.49,1559.41,1671.34,1581.7,1409.13,1501.69,1379.65,1606.84,1480.75,1636.46,1615.93,1305.5,1321.15,1427.2,1517.57,1553.7,1601.03,1499.87,1561.46,1571.84,1748.23,1610.3,1465.06,1331.36,1524.39,1482.39,1618.38,1328.06,1590.83,1555.96,1197.46,1325.65,1378.61,1258.75,1532.88,1724.85,1563.6,1664.8,1415.27,1394.34,1708.64
7.79,1.054,1694.11,1677.8,1852.82,1608.44,1729.71,1891.31,1908.78,1763.78,1824.42,1583.25,1616.94,1417.45,1726.28,2143.82,1686.9,1718.29,1792.43,1802.74,1998.45,1540.18,1628.13,1788.75,2082.46,1692.25,1684.04,1718.09,1580.34,1743.35,2025.96,1502.85,1613.21,1408.08,1952.16,1901.31,1760.69,1711.12,2026.26,1808.63,1675.4,1827.06,1871.04,1873.96,1811.85,2011.74,1932.65,1854.14,1394.26,1809.35,1816.88,1996.58,2043.2,1934.05,1622.48,1601.54,1659.31,1693.33,1658.66,1640.83,2062.49,1877.31,1829.75,1958.31,1854.33,1649.43,1760.04,1624.08,1890.06,1734.96,1926.49,1895.43,1533.09,1554.7,1670.74,1782.2,1827.4,1884.6,1765.17,1837.69,1844.94,2054.48,1888.06,1717.98,1561.51,1788.8,1743.22,1895.64,1561.94,1865.6,1830.99,1407.49,1558.11,1623.34,1480.47,1797.08,2025.3,1840.41,1951.95,1658.7,1634.69,2007.82
8.17,0.292,213.169,206.546,225.075,201.918,204.19,226.226,227.899,223.439,216.482,192.789,204.613,166.152,219.534,271.083,211.136,218.266,218.893,226.364,240.55,192.249,206.395,221.98,266.409,202.513,202.722,216.554,190.518,207.22,256.417,182.138,191.087,175.316,232.844,227.925,218.276,208.451,246.528,218.075,208.53,219.385,223.671,224.536,230.175,252.072,232.276,222.232,165.254,215.976,216.704,245.53,247,236.117,206.179,204.132,199.926,214.814,205.855,196.316,252.668,240.507,227.342,246.153,236.518,210.005,220.123,191.645,227.512,219.818,230.833,233.465,189.892,185.325,211.793,222.018,220.889,224.708,209.074,219.468,225.708,247.669,239.902,219.151,195.25,221.482,214.441,239.116,187.777,228.793,218.517,175.699,189.797,190.175,183.042,222.299,246.553,220.174,247.814,208.914,208.556,242.438
8.17,0.414,373.571,361.861,397.338,353.243,359.807,399.839,403.069,392.052,382.169,337.99,357.25,291.391,384.341,478.485,370.013,382.44,385.353,397.69,425.624,336.151,360.839,389.512,469.223,356.071,356.791,379.208,334.986,364.949,451.704,318.478,335.544,305.467,412.26,402.951,383.226,366.307,435.59,383.856,365.164,386.898,394.695,396.774,404.065,444.44,410.795,391.533,289.358,381.848,382.2,432.178,437.258,416.909,359.961,356.071,351.269,375.693,361.095,344.522,446.225,422.888,399.892,433.27,415.731,366.712,386.018,336.81,401.912,385.095,408.566,410.986,331.797,324.909,370.078,390.532,389.629,397.252,368.589,387.495,397.219,438.496,422.098,384.113,340.948,389.254,377.523,420.2,329.047,402.399,385.662,306.036,332.273,334.358,319.902,390.239,435.735,388.811,436.438,365.426,364.714,428.775
