R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,194.142,193.788,194.84,180.293,180.657,181.76,178.169,185.158,176.816,199.331,182.132,179.574,189.741,184.776,196.198,193.072,177.486,187.839,171.008,174.589,198.737,170.063,171.766,196.529,200.466,171.509,183.636,199.907,198.126,186.69,192.347,191.612,172.028,201.27,196.856,172.566,177.826,177.149,184.015,192.711,197.499,172.295,188.221,201.528,190.119,195.864,190.494,183.258,188.603,182.881,172.842,175.838,201.006,189.363,179.932,171.256,200.738,185.924,190.869,181.39,178.866,203.602,179.218,195.526,176.486,187.073,174.895,175.52,197.179,197.814,193.432,199.621,191.241,174.287,173.989,191.98,202.517,199.036,173.122,175.205,181.022,170.765,178.516,186.307,195.185,187.456,176.16,170.526,202.032,184.395,182.506,194.492,185.541,198.433,201.782,173.696,202.277,173.407,188.983,200.189
1.02261,193.637,193.208,194.682,180.69,181.484,182.502,179.283,184.654,177.592,198.566,181.695,179.981,190,184.436,196.689,195.096,178.259,187.371,171.301,175.069,199.736,170.609,172.034,196.363,200.568,172.809,185.108,200.018,197.33,186.458,192.568,192.206,172.288,201.361,197.011,173.076,177.263,177.923,186.994,193.001,197.645,172.546,188.878,201.616,190.742,196.033,190.372,183.24,188.502,182.87,173.347,175.986,200.837,189.627,179.631,171.785,201.101,185.484,191.478,182.135,178.597,203.663,180.334,195.293,176.938,188.126,175.371,175.676,197.956,198.263,194.336,199.159,191.111,174.771,174.478,191.843,202.59,199.45,173.624,176.617,181.048,171.541,178.939,186.238,195.7,187.749,176.3,171.066,202.112,183.906,183.689,193.988,186.019,198.865,201.866,174.189,202.353,173.904,189.253,200.295
1.04573,193.058,192.556,194.445,181.02,183.893,183.528,179.978,184.627,177.971,198.006,181.726,180.322,189.812,184.996,196.439,196.759,178.961,187.221,171.882,175.49,199.873,171.102,172.504,196.114,200.576,173.266,186.849,199.919,197.076,185.366,193.756,192.498,173.008,201.355,197.7,173.529,177.197,177.648,187.964,194.102,197.39,172.754,189.075,201.606,190.909,195.787,190.179,182.802,188.705,182.292,173.796,176.392,200.84,190.545,179.297,171.92,201.1,185.736,191.992,182.233,178.628,203.625,181.372,194.785,177.145,188.335,175.787,176.087,198.308,198.606,195.122,198.9,191.423,175.197,174.909,191.482,202.565,199.475,174.068,178.298,180.67,172.259,179.636,186.107,195.456,187.592,176.701,171.552,202.094,183.164,184.26,193.408,186.478,199.19,201.853,174.344,202.332,174.624,189.444,200.307
1.06937,192.403,191.831,194.795,181.623,186.866,183.741,180.807,184.459,178.284,197.467,181.277,180.254,189.911,185.182,196.419,197.958,179.586,186.773,172.439,176.434,200.218,171.538,172.765,196.101,200.742,173.664,187.367,199.678,196.734,184.82,193.785,193.443,173.41,200.997,197.544,173.922,176.846,177.967,188.096,194.124,197.045,173.161,189.188,201.494,190.989,195.126,190.272,183.383,188.825,182.321,174.184,176.923,200.482,190.631,179.255,172.207,201.248,185.545,193.099,182.674,178.605,203.481,181.971,194.461,177.343,188.461,176.139,175.847,198.547,198.836,195.454,198.255,191.921,175.56,175.276,191.345,202.435,199.401,174.451,178.929,180.72,172.826,179.918,185.909,195.779,187.732,177.653,171.98,201.973,183.028,184.099,192.752,186.273,199.121,201.736,174.722,202.206,174.997,189.55,199.95
1.09355,191.438,190.976,193.824,181.513,187.784,183.872,181.742,184.576,178.839,197.213,180.456,180.787,189.566,185.641,196.606,199.176,179.477,186.354,173.028,177.005,200.28,171.913,172.797,196.247,200.534,173.997,187.426,199.492,196.037,184.224,194.706,194.325,173.748,200.785,197.512,174.768,176.422,178.525,188.498,193.995,196.912,173.504,189.211,201.272,191.962,195.031,189.92,183.23,188.141,182.194,174.507,177.602,200.022,190.625,179.156,172.569,201.03,184.988,193.044,183.465,178.214,202.362,182.426,193.381,177.302,188.855,176.712,176.137,198.097,198.384,195.352,197.806,192.704,175.855,175.577,191.616,203.056,198.991,174.25,179.8,181.121,173.264,180.126,185.997,195.671,187.069,177.906,172.347,201.97,182.827,185.227,192.362,186.711,198.667,201.509,175.034,201.742,175.304,190.273,199.759
1.11827,191.205,190.521,193.544,181.888,188.108,183.917,182.237,184.606,179.306,196.964,180.254,181.227,188.425,185.299,196.37,199.71,179.619,186.344,173.313,177.786,199.962,172.222,173.087,195.455,200.211,174.76,187.393,198.927,195.143,184.261,194.512,194.829,174.018,200.456,197.543,175.015,176.619,178.688,189.831,194.192,196.668,173.779,189.485,200.696,192.219,193.869,188.79,182.895,187.742,181.557,174.508,177.479,199.192,190.864,178.996,172.865,200.932,184.952,193.216,183.575,178.084,201.834,183.234,192.886,176.915,189.138,177.216,176.366,197.827,198.108,196.068,197.255,192.554,176.078,175.806,191.883,202.846,198.658,174.261,180.576,180.901,173.544,179.935,185.647,195.763,187.043,178.384,172.647,201.615,182.542,185.995,191.545,186.693,198.385,201.164,175.275,201.392,175.538,190.177,199.453
1.14355,189.552,188.622,193.259,182.215,190.645,184.205,183.203,184.541,179.371,196.596,179.677,181.246,187.941,185.217,196.017,199.337,179.985,185.556,173.526,178.179,199.458,172.461,173.305,195.046,200.002,174.937,187.601,198.769,193.892,183.869,194.513,194.897,174.213,199.764,197.161,175.186,176.222,179.069,190.978,194.204,195.722,173.98,188.962,200.237,192.618,192.94,188.282,182.543,187.259,181.567,174.691,177.392,198.511,191.31,178.769,173.089,200.467,184.879,193.577,182.872,177.53,201.347,183.535,192.21,177.04,189.387,177.889,176.491,197.712,197.438,196.308,196.88,192.051,176.764,175.958,191.64,202.339,198.248,174.45,180.927,180.61,173.751,180.297,185.896,195.424,186.918,178.472,172.876,201.133,181.89,186.237,190.225,186.577,197.982,200.693,175.439,200.915,175.696,190.061,199.024
1.16941,188.676,187.352,192.857,182.113,191.6,184.048,183.397,184.376,179.347,195.822,179.644,181.17,187.683,185.363,195.118,199.184,180.247,185.033,173.661,178.472,198.708,172.624,173.446,194.076,199.522,175.276,188.015,198.216,193.165,183.074,194.375,195.539,174.329,198.948,196.652,175.033,175.772,179.052,190.96,193.775,194.67,174.102,189.334,199.538,192.546,192.232,188.345,182.432,187.02,180.86,174.794,177.626,197.965,190.313,178.187,173.236,199.868,184.704,193.472,182.752,177.351,200.516,183.722,191.281,177.079,189.988,177.905,176.545,197.188,196.922,196.102,196.379,191.917,176.81,176.284,190.637,201.695,197.71,174.56,181.628,180.552,173.88,179.944,185.694,195.097,186.688,178.761,173.029,200.724,181.651,186.025,189.005,186.356,197.451,200.088,175.522,200.304,176.026,189.662,198.464
1.19584,187.31,186.667,192.025,182.009,192.626,184.102,184.421,183.469,179.225,194.65,179.514,181.296,187.952,185.276,194.178,198.909,180.098,183.785,173.712,178.657,198.001,172.706,173.3,193.313,198.688,175.68,188.592,197.525,191.208,182.84,194.277,195.385,174.36,198.234,196.007,175.043,175.596,178.94,191.315,193.414,193.799,173.924,188.91,198.463,192.327,190.799,188.272,181.601,186.988,180.394,174.811,177.557,196.782,190.487,177.827,173.504,199.34,183.154,192.923,182.528,177.29,199.755,184.74,189.648,176.766,190.175,178.101,176.509,196.527,196.269,195.742,195.291,191.721,177.026,176.005,189.758,200.903,197.033,174.584,182.116,180.693,174.14,179.805,185.164,194.928,186.345,178.378,173.099,199.957,180.994,185.702,187.631,186.023,197.281,199.127,175.278,199.55,176.255,189.228,197.765
1.22288,186.813,186.191,191.076,181.593,193.571,183.713,184.948,183.101,179.279,193.116,179,181.002,187.433,184.329,193.393,198.233,180.13,183.406,173.673,178.725,197.37,172.7,173.274,192.237,197.809,175.651,188.324,196.89,190.184,182.192,194.144,194.703,174.515,197.145,195.218,175.416,174.958,178.213,191.37,192.804,191.95,173.877,188.667,197.591,191.661,189.616,187.743,181.296,187.123,179.844,174.735,177.388,195.471,189.848,177.649,173.471,198.439,182.796,192.522,181.891,176.875,198.641,184.638,188.087,176.623,190.483,177.914,175.889,195.967,195.72,194.962,194.44,190.781,177.13,176.13,189.278,199.955,196.209,174.299,182.493,180.418,174.086,179.56,184.021,193.937,185.569,178.42,173.081,199.035,180.709,185.259,186.502,185.88,196.449,198.023,175.186,198.84,176.375,188.973,196.711
