R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,195.988,194.028,208.47,186.421,194.742,211.929,213.436,203.892,204.482,180.642,189.599,157.594,201.483,245.67,194.95,199.513,203.733,207.558,224.378,177.758,189.914,206.943,240.617,192.045,189.575,200.23,177.005,197.057,233.127,172.489,183.039,163.16,217.685,212.928,202.739,195.074,229.69,206.075,194.231,206.104,211.153,209.772,209.74,230.287,216.556,210.955,156.025,201.014,204.856,230.781,229.497,218.719,190.589,188.734,188.4,198.371,190.179,187.272,234.858,216.343,209.684,225.541,213.757,194.128,204.024,183.679,212.363,201.833,214.882,217.244,177.485,176.718,196.29,203.503,205.921,210.831,198.742,206.138,210.851,230.773,217,198.997,181.983,205.276,197.403,219.457,178.283,214.352,205.695,163.34,178.856,182.954,170.032,207.608,229.344,206.249,223.961,193.331,190.528,226.087
7.79,0.421,337.389,334.04,361.389,320.484,337.245,367.92,370.756,351.293,354.768,311.356,325.327,272.19,346.432,425.448,335.64,343.339,352.331,358.06,389.735,305.532,326.198,356.698,415.831,331.868,328.026,344.359,306.079,341.038,403.02,296.64,316.003,279.642,378.471,369.704,349.639,336.862,398.319,356.339,334.248,357.147,366.048,364.111,361.489,398.478,376.06,365.074,269.04,349.144,354.992,398.756,398.708,379.089,326.945,323.498,325.374,340.742,327.8,323.065,407.077,373.354,362.133,389.666,368.823,333.012,351.397,317.366,368.441,347.271,373.449,375.531,304.898,304.694,336.939,351.486,356.812,366.135,344.303,357.617,364.479,400.987,374.702,342.536,312.369,354.322,341.33,378.6,307.195,370.264,356.743,279.86,307.85,316.282,292.241,358.004,397.815,357.841,387.128,332.258,327.31,392.506
7.79,0.516,462.622,458.061,497.921,439.138,464.473,507.403,511.516,481.88,489.129,427.546,445.079,374.71,474.505,585.206,460.275,470.603,484.631,491.559,537.525,418.733,446.614,489.37,571.159,456.388,451.589,471.764,421.382,469.441,553.79,406.783,434.396,382.681,522.453,509.905,479.946,462.97,548.629,490.05,458.2,491.947,504.283,502.119,495.894,547.956,518.678,502.29,369.956,481.855,489,547.703,549.923,522.092,447.194,442.235,447.322,466.406,449.981,443.78,560.407,512.593,497.536,535.279,506.33,455.435,481.873,436.525,507.882,475.893,515.41,516.164,417.688,418.554,460.989,483.037,491.479,505.079,474.27,493.014,501.064,553.097,514.655,469.617,427.583,486.654,469.561,519.585,421.762,508.685,491.706,382.887,422.314,435.216,400.635,491.31,548.04,493.363,532.031,455.043,448.193,541.115
7.79,0.621,612.878,606.882,662.706,581.514,618.127,675.904,681.635,638.528,651.487,567.513,588.36,499.101,627.813,776.928,609.852,623.149,643.968,651.82,715.892,554.773,590.866,648.461,757.238,606.488,600.832,624.333,560.89,624.348,734.623,539.335,577.176,506.515,696.559,679.286,636.416,614.803,729.583,650.977,606.867,654.582,671.011,668.864,657.029,727.473,690.926,667.459,492.242,642.544,650.709,726.208,732.361,694.407,591.004,584.148,594.328,616.727,596.924,589.124,744.767,679.651,660.241,709.939,671.319,601.753,638.283,580.348,676.214,629.971,687.065,685.111,553.134,555.848,609.297,641.296,653.973,673.02,631.2,656.58,665.295,736.594,682.659,622.03,565.686,645.654,624.161,688.536,559.769,674.892,654.702,506.662,560.023,578.863,531.101,651.221,728.951,657.108,706.013,602.128,593.034,720.321
7.79,0.726,774.621,767.095,841.037,734.878,784.619,858.391,865.94,807.048,827.421,718.93,742.206,634.848,792.395,982.898,770.909,787.165,816.066,824.321,908.773,701.629,745.955,819.497,956.827,768.845,762.618,788.199,712.509,791.999,928.87,682.656,731.763,640.356,885.262,862.733,804.914,778.816,924.712,824.635,766.846,830.533,851.281,849.492,830.216,920.581,877.388,845.674,625.545,817.071,825.697,917.788,929.541,880.493,745.336,736.367,753.389,778.015,755.538,746.184,943.272,859.305,835.523,897.615,848.777,758.647,806.416,736.193,858.385,795.502,873.124,866.994,699.235,704.541,768.349,812.055,829.796,855.007,801.175,833.766,842.316,934.867,863.417,786.018,714.32,816.959,791.394,869.953,709.069,853.754,831.224,640.388,708.814,734.619,672.237,823.197,924.107,834.526,893.187,760.215,748.792,913.925
7.79,0.84,960.661,951.384,1047,911.457,977.193,1069.24,1078.95,1000.72,1030.85,893.942,918.823,793.066,981.214,1219.03,956.204,975.613,1014.52,1022.63,1131.27,871.11,924.198,1015.91,1185.36,956.372,949.862,976.281,888.461,985.699,1151.61,848.284,910.521,795.095,1103.41,1074.7,998.736,968.033,1149.22,1024.7,950.813,1033.7,1059.28,1058.25,1029.05,1142.3,1092.72,1050.93,780.795,1019.3,1027.79,1137.3,1156.86,1094.94,922.422,910.967,937.194,962.996,938.455,927.471,1171.33,1065.63,1037.16,1112.92,1052.63,938.518,999.505,916.538,1068.74,985.529,1088.25,1076.05,867.72,876.579,950.702,1008.81,1032.84,1065.4,997.681,1038.58,1046.03,1163.37,1071.08,974.558,885.355,1014.07,984.54,1077.99,881.642,1059.27,1035.23,794.949,880.623,914.95,835.464,1020.75,1148.72,1039.65,1108.17,941.828,927.853,1137.05
7.79,0.944,1138.84,1127.89,1244.9,1080.78,1162.54,1271.91,1283.72,1186.04,1226.53,1062.36,1087.71,946.533,1161.6,1444.26,1133.7,1155.91,1204.98,1212.41,1344.76,1034.01,1094.82,1203.69,1403.14,1136.65,1130.2,1156.05,1058.39,1171.94,1364.16,1007.67,1082.58,944.148,1313.16,1278.43,1184.34,1149.73,1364.11,1216.52,1126.98,1228.88,1258.96,1258.95,1219.11,1354.13,1299.58,1247.64,931.3,1214.22,1221.99,1346.62,1374.84,1300.57,1091.68,1077.81,1113.98,1139.69,1114.08,1101.66,1389.3,1262.88,1230.22,1318.48,1247.56,1110.29,1184.13,1090.24,1270.82,1167.18,1295.13,1276.02,1029.55,1042.28,1124.84,1197.52,1227.93,1267.74,1186.71,1235.53,1241.14,1382.4,1269.65,1155.06,1049.29,1202.85,1170.19,1276.58,1047.71,1255.82,1231.37,943.789,1045.82,1088.7,992.684,1209.66,1363.8,1236.94,1313.68,1115.59,1099.31,1350.95
7.79,1.054,1335.61,1322.8,1464.06,1268.02,1368.14,1496.37,1510.55,1390.48,1443.45,1249.23,1273.98,1118.15,1360.32,1691.81,1329.75,1354.82,1415.67,1421.78,1580.77,1214.62,1283.18,1410.64,1642.29,1336.42,1330.41,1354.17,1247.57,1378.33,1597.91,1184.56,1273.5,1109.8,1545.54,1504.07,1389.25,1350.89,1601.09,1428.5,1321.5,1445,1479.85,1481.27,1428.53,1587.35,1528.53,1464.91,1099.54,1430.7,1437.06,1576.67,1615.66,1527.75,1278.25,1261.69,1310.02,1334.32,1308.51,1294.6,1629.36,1480.24,1443.29,1544.67,1462.44,1299.48,1387.66,1283.11,1494.52,1367.38,1524.37,1496.48,1208.85,1226.29,1316.63,1406.15,1443.97,1491.96,1396.29,1453.79,1456.52,1624.27,1488.49,1354.31,1230.51,1411.27,1375.89,1495.1,1231.99,1472.47,1448.7,1109.16,1228.99,1281.67,1167.36,1417.92,1601.08,1455.61,1540.1,1307.3,1288.65,1587.21
8.17,0.292,168.385,163.165,178.025,159.5,161.662,179.121,180.472,176.49,171.429,152.367,161.588,131.291,173.373,214.217,166.766,172.421,173.103,178.834,190.417,151.895,163.014,175.383,210.446,160.151,160.349,171.037,150.609,164.01,202.571,143.863,151.077,138.481,184.441,180.44,172.509,164.806,195.007,172.476,164.782,173.677,177.081,177.654,181.817,199.185,183.846,175.809,130.561,170.909,171.567,194.181,195.463,186.719,162.819,161.202,158.071,169.644,162.668,155.155,199.838,189.976,179.62,194.479,186.848,165.838,173.884,151.604,180.057,173.609,182.758,184.586,150.024,146.439,167.27,175.437,174.732,178.004,165.538,173.767,178.45,195.968,189.484,173.102,154.205,175.02,169.486,188.916,148.377,180.865,173.043,138.773,149.976,150.368,144.607,175.695,195.089,174.292,195.812,165.004,164.739,191.824
8.17,0.414,294.718,285.487,313.894,278.677,284.489,316.191,318.792,309.296,302.244,266.77,281.764,229.928,303.149,377.682,291.889,301.738,304.358,313.805,336.513,265.243,284.635,307.356,370.228,281.215,281.847,299.126,264.468,288.467,356.434,251.212,264.926,240.96,326.161,318.608,302.491,289.237,344.144,303.199,288.183,305.899,312.082,313.54,318.788,350.782,324.748,309.343,228.292,301.793,302.202,341.369,345.614,329.292,283.895,280.826,277.362,296.318,284.978,271.922,352.503,333.648,315.565,341.906,328.037,289.216,304.548,266.076,317.688,303.764,323.083,324.539,261.789,256.385,291.906,308.221,307.827,314.291,291.453,306.415,313.655,346.549,332.999,303.032,268.922,307.215,298.014,331.58,259.653,317.702,305.015,241.391,262.208,264.007,252.394,308.034,344.372,307.397,344.455,288.249,287.726,338.853
