R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,176.777,175.346,179.648,174.408,181.176,174.266,175.325,176.046,168.831,179.621,172.12,171.25,176.678,177.932,178.929,183.071,171.017,176.474,169.589,169.589,183.266,171.618,173.287,179.159,182.94,171.59,180.274,182.196,177.916,174.791,180.375,181.422,168.385,182.563,180.798,169.536,171.029,170.78,180.241,180.901,179.272,169.713,179.595,183.428,180.487,177.493,178.235,170.423,177.96,173.31,170.201,170.307,179.973,178.648,169.499,171.979,182.803,175.038,180.047,174.132,171.397,184.136,176.417,175.897,171.547,180.202,169.054,171.899,182.483,181.554,181.28,178.627,179.246,170.229,169.438,179.449,183.721,182.088,170.702,176.37,175.298,171.071,172.658,176.539,180.635,177.638,170.085,171.22,183.403,171.492,176.746,175.89,177.234,182.079,183.135,168.753,184.186,171.264,179.492,181.435
1.02261,177.756,176.287,180.669,175.431,182.255,175.284,176.367,177.066,169.78,180.595,173.104,172.257,177.628,178.971,179.836,184.085,172.014,177.523,170.539,170.596,184.237,172.59,174.306,180.11,183.931,172.577,181.375,183.19,178.881,175.787,181.353,182.445,169.332,183.539,181.755,170.504,171.996,171.742,181.289,181.938,180.238,170.651,180.645,184.36,181.516,178.411,179.303,171.411,179.001,174.308,171.157,171.275,180.907,179.612,170.445,172.96,183.778,176.014,180.997,175.18,172.376,185.075,177.491,176.847,172.526,181.269,170.018,172.884,183.504,182.499,182.293,179.512,180.226,171.208,170.387,180.526,184.699,183.094,171.661,177.416,176.336,172.055,173.653,177.566,181.632,178.675,171.048,172.187,184.389,172.483,177.797,176.822,178.292,183.016,184.092,169.696,185.185,172.243,180.55,182.354
1.04573,178.706,177.198,181.663,176.428,183.309,176.276,177.383,178.06,170.701,181.54,174.062,173.24,178.548,179.984,180.71,185.069,172.986,178.548,171.463,171.58,185.176,173.535,175.3,181.029,184.891,173.539,182.453,184.153,179.816,176.757,182.301,183.441,170.252,184.483,182.679,171.446,172.938,172.677,182.309,182.948,181.175,171.562,181.669,185.257,182.517,179.297,180.347,172.373,180.016,175.281,172.086,172.217,181.808,180.546,171.364,173.915,184.721,176.963,181.915,176.204,173.329,185.979,178.542,177.767,173.479,182.31,170.957,173.843,184.495,183.412,183.277,180.362,181.177,172.162,171.31,181.579,185.645,184.07,172.593,178.437,177.351,173.012,174.623,178.568,182.6,179.686,171.985,173.127,185.344,173.448,178.823,177.723,179.325,183.92,185.016,170.613,186.154,173.197,181.582,183.239
1.06937,179.626,178.077,182.626,177.399,184.335,177.241,178.374,179.026,171.594,182.451,174.993,174.195,179.436,180.97,181.548,186.021,173.931,179.547,172.358,172.538,186.081,174.452,176.269,181.914,185.818,174.474,183.505,185.083,180.72,177.698,183.215,184.406,171.143,185.393,183.57,172.36,173.851,173.583,183.301,183.928,182.078,172.444,182.665,186.118,183.488,180.148,181.365,173.308,181.003,176.227,172.987,173.131,182.675,181.448,172.254,174.842,185.63,177.882,182.799,177.203,174.255,186.847,179.568,178.656,174.404,183.324,171.867,174.774,185.455,184.289,184.23,181.176,182.096,173.089,172.204,182.604,186.556,185.014,173.496,179.432,178.339,173.943,175.565,179.542,183.536,180.67,172.894,174.039,186.264,174.386,179.823,178.591,180.332,184.787,185.904,171.501,187.088,174.122,182.587,184.087
1.09355,180.513,178.922,183.558,178.341,185.332,178.176,179.335,179.963,172.456,183.328,175.894,175.123,180.29,181.927,182.347,186.94,174.848,180.518,173.222,173.469,186.949,175.339,177.209,182.763,186.709,175.379,184.53,185.978,181.591,178.609,184.095,185.338,172.004,186.266,184.424,173.245,174.733,174.459,184.263,184.876,182.946,173.293,183.631,186.939,184.427,180.962,182.354,174.214,181.96,177.143,173.856,174.016,183.504,182.315,173.113,175.739,186.502,178.769,183.647,178.175,175.151,187.676,180.567,179.511,175.299,184.308,172.748,175.675,186.382,185.129,185.15,181.949,182.981,173.986,173.067,183.602,187.43,185.924,174.368,180.399,179.299,174.844,176.478,180.487,184.438,181.624,173.772,174.921,187.148,175.295,180.794,179.424,181.31,185.616,186.755,172.358,187.988,175.018,183.562,184.897
1.11827,181.364,179.731,184.455,179.252,186.298,179.08,180.266,180.868,173.285,184.168,176.763,176.02,181.107,182.852,183.106,187.821,175.733,181.458,174.053,174.37,187.777,176.194,178.12,183.573,187.561,176.253,185.525,186.835,182.425,179.487,184.938,186.235,172.832,187.101,185.239,174.098,175.584,175.301,185.192,185.79,183.777,174.109,184.566,187.719,185.332,181.736,183.313,175.089,182.885,178.027,174.693,174.868,184.294,183.145,173.939,176.605,187.335,179.622,184.456,179.118,176.015,188.463,181.538,180.33,176.162,185.26,173.597,176.545,187.272,185.929,186.034,182.68,183.83,174.852,173.897,184.568,188.264,186.797,175.208,181.334,180.229,175.714,177.359,181.4,185.304,182.546,174.619,175.77,187.994,176.172,181.735,180.219,182.257,186.404,187.565,173.181,188.849,175.883,184.506,185.664
1.14355,182.179,180.5,185.316,180.13,187.23,179.95,181.165,181.739,174.079,184.967,177.597,176.884,181.885,183.743,183.821,188.664,176.586,182.366,174.849,175.24,188.563,177.014,178.999,184.343,188.373,177.093,186.489,187.652,183.221,180.329,185.74,187.095,173.625,187.893,186.012,174.916,176.399,176.109,186.086,186.668,184.567,174.889,185.466,188.455,186.201,182.468,184.239,175.93,183.775,178.877,175.495,175.686,185.042,183.936,174.729,177.436,188.126,180.437,185.224,180.03,176.845,189.206,182.478,181.11,176.991,186.179,174.412,177.382,188.124,186.686,186.88,183.365,184.64,175.685,174.692,185.502,189.056,187.631,176.012,182.237,181.128,176.551,178.206,182.278,186.131,183.435,175.43,176.584,188.797,177.015,182.643,180.973,183.172,187.148,188.332,173.969,189.67,176.713,185.415,186.386
1.16941,182.953,181.227,186.137,180.972,188.125,180.784,182.028,182.573,174.835,185.724,178.396,177.714,182.622,184.599,184.49,189.465,177.403,183.239,175.608,176.077,189.305,177.797,179.843,185.068,189.141,177.898,187.418,188.426,183.976,181.134,186.499,187.914,174.381,188.641,186.741,175.699,177.178,176.879,186.942,187.506,185.314,175.63,186.329,189.143,187.03,183.155,185.131,176.735,184.629,179.691,176.259,176.467,185.744,184.684,175.482,178.231,188.872,181.214,185.947,180.909,177.639,189.901,183.386,181.849,177.784,187.061,175.191,178.182,188.934,187.398,187.685,184.002,185.408,176.482,175.449,186.4,189.802,188.422,176.779,183.106,181.992,177.351,179.017,183.12,186.917,184.287,176.205,177.361,189.556,177.822,183.516,181.684,184.052,187.846,189.054,174.72,190.448,177.507,186.289,187.061
1.19584,183.685,181.91,186.917,181.777,188.982,181.58,182.854,183.369,175.551,186.436,179.156,178.506,183.314,185.417,185.109,190.222,178.182,184.076,176.326,176.877,189.999,178.54,180.652,185.746,189.862,178.665,188.312,189.154,184.687,181.899,187.213,188.691,175.097,189.342,187.422,176.442,177.917,177.609,187.758,188.303,186.015,176.33,187.154,189.781,187.817,183.794,185.985,177.502,185.443,180.467,176.983,177.21,186.398,185.388,176.193,178.988,189.572,181.949,186.624,181.753,178.394,190.547,184.258,182.544,178.538,187.904,175.93,178.944,189.701,188.06,188.447,184.588,186.133,177.241,176.166,187.261,190.501,189.169,177.506,183.936,182.82,178.114,179.789,183.924,187.658,185.101,176.94,178.098,190.268,178.591,184.351,182.349,184.895,188.494,189.726,175.43,191.179,178.263,187.124,187.686
1.22288,184.371,182.546,187.652,182.541,189.798,182.334,183.64,184.123,176.225,187.099,179.874,179.259,183.959,186.194,185.675,190.932,178.922,184.873,177.001,177.64,190.642,179.242,181.422,186.374,190.534,179.391,189.166,189.833,185.352,182.621,187.878,189.422,175.77,189.992,188.053,177.144,178.614,178.296,188.531,189.056,186.668,176.986,187.937,190.365,188.559,184.382,186.799,178.228,186.215,181.201,177.665,177.91,187.002,186.044,176.862,179.703,190.22,182.64,187.251,182.559,179.108,191.138,185.093,183.192,179.251,188.706,176.628,179.664,190.421,188.671,189.162,185.118,186.81,177.959,176.84,188.082,191.148,189.868,178.191,184.728,183.609,178.835,180.521,184.686,188.352,185.874,177.633,178.793,190.929,179.32,185.146,182.965,185.698,189.089,190.346,176.097,191.861,178.977,187.918,188.256
