R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,296.884,297.102,278.712,278.286,248.267,270.926,270.092,312.182,260.078,251.92,303.017,209.592,322.117,360.658,299.926,299.835,277.893,309.33,296.373,251.69,294.905,315.47,365.005,263.88,249.628,312.719,234.155,257.987,353.019,258.358,254.436,238.677,271.08,274.606,294.361,269.562,323.401,288.595,285.217,267.043,278.588,280.004,319.558,341.574,283.448,296.75,211.46,254.912,265.395,339.916,309.261,303.206,308.605,306.755,257.926,316.645,271.542,271.326,337.209,324.807,311.983,341.681,316.046,315.42,313.118,243.649,277.752,316.69,272.513,313.056,258.799,254.603,311.001,291.267,275.914,261.976,254.498,263.688,302.504,316.595,332.481,302.358,282.309,301.021,274.998,331.846,255.598,315.479,261.869,241.359,255.618,253.495,241.352,307.441,314.63,264.591,325.305,299.977,286.797,311.102
7.79,0.421,510.639,510.987,482.693,477.942,429.482,469.923,468.749,537.461,450.796,433.689,519.491,361.335,553.463,624.567,515.885,515.62,480.162,533.245,514.387,432.136,506.075,543.381,630.845,455.5,431.451,537.416,404.325,446.036,610.141,443.647,438.688,408.488,470.892,476.364,507.261,465.036,560.475,498.594,490.429,462.346,482.548,485.53,550.433,590.805,491.781,513.112,363.957,442.243,459.482,587.112,536.888,525.102,528.948,525.349,444.946,543.511,467.568,467.483,584.195,560.277,538.373,590.081,545.041,540.679,538.893,420.457,481.463,544.5,473.164,540.82,444.075,438.344,533.478,502.62,477.64,454.555,440.456,457.032,522.517,549.688,573.765,520.052,484.042,519.161,474.98,572.256,439.814,544.583,453.76,412.947,439.427,437.62,414.269,529.805,545.413,458.628,562.108,515.109,492.302,539.683
7.79,0.516,699.872,700.303,664.702,654.548,591.121,647.741,646.375,736.995,621.175,595.107,710.393,496.866,757.832,859.23,707.093,706.522,660.145,731.813,709.143,591.89,692.573,745.212,866.697,625.986,593.581,735.971,556.168,613.592,838.4,607.811,602.546,558.538,649.71,656.673,696.034,638.771,771.723,685.328,672.009,636.532,664.45,669.167,754.911,812.332,677.942,705.607,499.912,609.925,632.591,806.28,740.218,722.875,723.181,717.869,611.296,743.698,641.494,641.661,804.055,769.147,739.367,810.482,748.134,739.175,738.706,577.87,663.344,745.921,652.684,743.121,607.946,601.598,729.642,690.422,657.556,626.736,606.348,629.726,718.025,757.889,787.902,712.747,662.163,712.75,653.025,785.252,603.332,747.9,625.096,564.5,602.366,601.645,567.488,726.828,751.138,631.968,772.464,705.163,673.871,743.702
7.79,0.621,926.774,927.254,884.215,866.303,786.127,862.388,860.886,976.241,826.87,789.356,938.635,661.061,1002.35,1140.92,936.395,935.251,876.752,970.078,944.037,783.714,915.84,987.075,1149.35,831.273,789.221,973.6,739.689,815.53,1112.18,805.102,799.894,738.664,865.784,874.345,922.56,847.763,1025.9,909.87,889.637,846.52,883.665,890.856,999.983,1078.34,902.616,937.104,664.411,812.775,841.302,1068.82,985.391,961.038,955.313,947.809,811.621,983.029,850.509,851.108,1068.3,1019.75,980.743,1074.79,991.793,976.273,978.084,767.626,882.748,987.084,869.598,986.017,804.539,798.177,964.027,916.22,874.475,834.69,806.46,838.175,952.939,1008.89,1044.92,943.761,875.464,945.196,867.519,1040.44,800.05,991.865,831.85,746.363,798.171,799.474,751.714,963.02,998.758,841.235,1025.04,932.673,891.319,989.564
7.79,0.726,1170.77,1171.23,1121.53,1094.13,997.123,1094.59,1093.03,1233.41,1049.48,999.195,1183.41,839.923,1264.61,1443.51,1183.01,1180.98,1110.45,1226.33,1197.8,990.539,1155.62,1246.8,1452.52,1052.99,1001.03,1228.55,938.869,1033.77,1406.17,1018.03,1013.18,933.04,1099.73,1109.84,1166.24,1073.24,1299.73,1151.85,1123.55,1073.44,1120.4,1130.72,1263.21,1364.34,1145.57,1186.54,843.409,1032.84,1066.86,1350.31,1250.14,1217.99,1204.14,1194.16,1028.06,1239.56,1075.87,1077.05,1352.58,1289.17,1240.52,1358.63,1253.76,1230.23,1235.13,972.901,1119.93,1245.93,1104.47,1247.26,1016.29,1010.69,1215.12,1159.63,1108.92,1059.79,1022.91,1063.72,1205.86,1279.85,1321.32,1192.13,1104.7,1195.37,1099.29,1314.28,1012.5,1254.11,1055.49,942.542,1009.4,1013.58,950.725,1216.75,1265.64,1067.71,1296.69,1176.92,1124.95,1254.91
7.79,0.84,1451.08,1451.39,1395.29,1356.09,1240.78,1362.54,1361,1528.66,1306.52,1241.35,1463.99,1048,1565.14,1790.28,1466.35,1463.02,1379.59,1520.6,1490.18,1228.89,1430.83,1544.65,1799.54,1308.65,1245.82,1520.8,1169.68,1285.52,1743.06,1263.61,1259.35,1157.38,1369.86,1381.61,1446.18,1332.98,1614.42,1430.21,1392.15,1335.09,1393.16,1407.57,1565.15,1692.45,1425.81,1473.38,1051.49,1287.5,1326.99,1672.44,1555.02,1513.77,1489.25,1476.32,1277.77,1533.38,1335.42,1337.34,1678.83,1598.43,1539.01,1683.96,1554.48,1520.97,1529.93,1210.01,1393.48,1542.74,1375.73,1547.16,1260.08,1256.07,1502.6,1439.79,1379.31,1319.7,1272.76,1324.07,1496.53,1591.76,1638.63,1477.41,1368.06,1482.85,1366.65,1628,1257.6,1555.01,1313.6,1168.89,1252.89,1260.99,1180.52,1507.81,1572.49,1329.2,1608.52,1457.13,1393.24,1560.36
7.79,0.944,1719.15,1719.22,1658,1606.88,1474.87,1619.73,1618.24,1810.81,1553.37,1473.96,1731.83,1249.45,1851.84,2120.84,1737.35,1732.51,1637.51,1801.86,1770.35,1457.63,1693.88,1828.92,2130.01,1553.97,1481.2,1799.69,1392.24,1527.14,2064.27,1499.44,1495.8,1373.08,1629.25,1642.46,1713.84,1582,1915.23,1696.62,1648.93,1586.08,1654.58,1673.33,1853.43,2005.63,1694.66,1747.78,1252.83,1532.61,1576.55,1979.14,1847.02,1797,1761.29,1745.48,1517.53,1813.6,1584.24,1586.92,1990.26,1893.86,1824.4,1994.23,1841.79,1798.17,1811.37,1437.93,1655.88,1826.05,1636.26,1833.62,1493.83,1491.92,1776.69,1708.15,1638.73,1569.3,1512.7,1574.06,1774.47,1890.35,1941.78,1750.19,1620.01,1757.78,1623.29,1927.12,1492.99,1842.3,1561.38,1386.45,1486.56,1498.85,1401.48,1785.7,1865.91,1580.33,1906.38,1724.78,1649.78,1852.78
7.79,1.054,2014.68,2014.32,1948.46,1883.7,1734.04,1904.09,1902.73,2121.6,1826.5,1731.55,2026.62,1474.23,2167.11,2483.8,2036.11,2029.36,1922.33,2111.67,2079.6,1710.75,1983.74,2141.62,2492.58,1825.26,1742.05,2106.48,1639.58,1794.37,2417.08,1760.54,1757.56,1612.28,1916.17,1930.89,2008.81,1857.15,2246.43,1990.44,1931.92,1863.5,1943.25,1967.24,2170.63,2349.98,1991.75,2050.23,1477.41,1804.41,1852.41,2315.57,2169.13,2109.46,2060.57,2041.54,1782.84,2121.68,1859.22,1862.72,2332.7,2219.08,2138.85,2335.15,2158.14,2102.87,2121.05,1690.45,1945.88,2137.77,1924.51,2148.89,1752.25,1753.21,2077.96,2004.4,1925.51,1845.45,1778.19,1850.6,2080.73,2219.57,2275.5,2050.87,1897.94,2060.79,1907.19,2255.76,1753.57,2158.37,1835.45,1627.67,1745.09,1762.4,1646.49,2091.45,2189.14,1858.21,2234.21,2019.52,1932.63,2175.25
8.17,0.292,258.545,253.838,241.732,242.256,210.369,233.027,232.362,272.685,222.359,217.178,261.913,179.772,279.713,314.418,259.993,262.414,240.232,269.416,254.936,219.635,256.702,270.782,319.197,224.624,215.706,270.255,203.975,219.08,307.059,220.336,214.754,207.352,233.462,236.63,254.269,232.145,277.197,245.773,246.112,229.233,237.831,241.119,279.329,296.451,244.318,251.432,182.137,220.836,226.518,288.872,266.143,261.839,267.019,265.458,221.033,273.788,236.478,229.437,289.055,286.661,269.978,296.078,278.477,272.593,270.036,205.639,239.471,275.191,235.506,269.312,223.309,215.873,268.398,254.381,238.239,225.157,216.257,226.49,259.749,271.364,290.903,265.86,243.448,260.148,239.854,288.008,217.548,269.692,224.507,209.849,219.019,213.206,210.064,263.864,270.517,227.772,286.18,259.73,251.693,266.856
8.17,0.414,452.019,443.534,425.76,422.73,369.701,410.911,410.024,477.418,391.58,379.679,456.136,314.169,488.606,554.273,454.512,458.791,421.927,472.316,450.118,383.006,447.682,474.05,561.504,393.866,378.646,472.137,357.614,384.821,540.072,384.025,375.952,360.153,412.435,417.385,445.384,406.911,488.787,431.542,429.921,403.31,418.693,425.061,489.371,521.795,431.122,441.89,317.801,389.463,398.529,507.452,470.185,461.329,465.019,461.879,387.293,477.714,413.774,401.454,509.523,503.186,473.829,520.21,488.599,474.856,472.452,360.329,422.074,481.025,415.9,473.088,389.078,377.26,467.877,446.446,419.235,397.13,380.266,398.939,456.08,479.453,510.898,464.964,423.931,456.158,421.226,505.172,380.042,473.265,395.287,364.374,382.306,373.678,366.05,462.152,477.134,401.264,503.195,453.2,439.131,470.959
