R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,195.103,194.727,195.399,181.033,180.951,182.073,178.379,186.001,177.032,200.105,183.053,180.079,190.716,185.272,197.172,193.934,177.873,188.572,171.16,175.1,199.866,170.588,172.117,197.22,201.102,172.207,184.144,200.476,198.954,187.554,193.012,192.485,172.122,201.79,197.593,172.971,178.156,177.529,184.682,193.223,197.985,172.551,189.028,202.266,190.553,196.538,191.233,183.6,189.077,183.458,173.046,176.197,202.216,190.427,180.401,171.943,201.594,186.653,191.355,181.984,179.495,204.426,179.779,196.714,177.227,187.623,175.113,176.235,197.623,198.484,194.302,200.544,192.185,174.76,174.291,192.374,203.094,199.558,173.526,175.475,181.698,171.35,179.325,187.029,195.887,188.175,176.777,170.952,202.593,185.224,183.178,195.232,186.243,199.206,202.356,173.908,203.005,174.087,189.825,200.777
1.02261,194.633,194.18,195.264,181.469,181.803,182.839,179.519,185.524,177.83,199.364,182.649,180.515,191.021,184.947,197.713,196.025,178.675,188.128,171.464,175.611,200.93,171.168,172.405,197.082,201.234,173.564,185.661,200.613,198.183,187.356,193.265,193.127,172.389,201.904,197.782,173.507,177.598,178.333,187.737,193.539,198.154,172.817,189.731,202.387,191.203,196.739,191.141,183.597,188.996,183.472,173.569,176.363,202.097,190.743,180.115,172.513,201.999,186.238,191.994,182.767,179.249,204.524,180.938,196.53,177.72,188.714,175.605,176.426,198.428,198.967,195.259,200.116,192.094,175.273,174.801,192.253,203.193,200,174.054,176.921,181.754,172.167,179.79,186.991,196.441,188.503,176.946,171.52,202.698,184.763,184.41,194.753,186.759,199.677,202.466,174.418,203.114,174.624,190.136,200.91
1.04573,194.088,193.56,195.049,181.839,184.263,183.895,180.234,185.536,178.226,198.831,182.722,180.885,190.875,185.539,197.504,197.754,179.407,188.009,172.061,176.063,201.121,171.695,172.9,196.861,201.271,174.064,187.453,200.539,197.963,186.283,194.501,193.463,173.126,201.923,198.514,173.988,177.545,178.071,188.755,194.679,197.918,173.04,189.968,202.411,191.392,196.52,190.979,183.168,189.223,182.91,174.035,176.792,202.156,191.725,179.796,172.682,202.037,186.527,192.537,182.894,179.308,204.523,182.02,196.067,177.965,188.952,176.038,176.877,198.805,199.345,196.097,199.895,192.454,175.729,175.253,191.904,203.194,200.05,174.525,178.643,181.399,172.928,180.538,186.89,196.225,188.378,177.383,172.036,202.706,184.045,185.022,194.198,187.258,200.042,202.479,174.585,203.126,175.39,190.369,200.95
1.06937,193.468,192.866,195.43,182.489,187.297,184.127,181.087,185.404,178.554,198.32,182.307,180.84,191.022,185.751,197.531,199.015,180.062,187.588,172.636,177.05,201.527,172.166,173.182,196.88,201.469,174.504,188.005,200.322,197.654,185.768,194.563,194.466,173.539,201.584,198.392,174.408,177.203,178.413,188.925,194.727,197.592,173.467,190.122,202.333,191.494,195.881,191.108,183.774,189.367,182.967,174.44,177.35,201.85,191.865,179.775,173.009,202.228,186.367,193.683,183.371,179.314,204.417,182.658,195.794,178.202,189.107,176.407,176.666,199.069,199.611,196.477,199.284,193.006,176.121,175.643,191.784,203.09,199.999,174.935,179.299,181.482,173.536,180.866,186.723,196.587,188.554,178.384,172.494,202.61,183.944,184.892,193.566,187.083,200.009,202.388,174.98,203.034,175.804,190.517,200.616
1.09355,192.532,192.041,194.473,182.415,188.247,184.277,182.05,185.564,179.13,198.1,181.513,181.408,190.719,186.242,197.77,200.299,179.971,187.196,173.245,177.659,201.647,172.576,173.232,197.062,201.29,174.881,188.093,200.161,196.986,185.201,195.532,195.408,173.889,201.395,198.396,175.293,176.786,179.001,189.37,194.621,197.48,173.829,190.186,202.144,192.503,195.818,190.787,183.635,188.696,182.865,174.779,178.06,201.441,191.913,179.696,173.414,202.05,185.835,193.653,184.208,178.946,203.322,183.15,194.752,178.198,189.535,177.002,176.998,198.635,199.186,196.418,198.873,193.85,176.447,175.965,192.077,203.748,199.609,174.75,180.202,181.925,174.014,181.119,186.848,196.512,187.914,178.674,172.89,202.634,183.779,186.075,193.206,187.565,199.587,202.186,175.309,202.599,176.152,191.295,200.451
1.11827,192.342,191.624,194.216,182.837,188.597,184.34,182.567,185.637,179.617,197.885,181.353,181.883,189.605,185.92,197.58,200.891,180.138,187.223,173.545,178.485,201.384,172.921,173.547,196.293,200.995,175.7,188.088,199.617,196.119,185.281,195.37,195.968,174.169,201.088,198.466,175.567,177.002,179.188,190.765,194.848,197.258,174.123,190.508,201.598,192.788,194.671,189.674,183.311,188.314,182.244,174.792,177.954,200.658,192.212,179.555,173.753,201.995,185.835,193.854,184.352,178.845,202.828,184.006,194.307,177.841,189.852,177.527,177.27,198.385,198.941,197.192,198.359,193.747,176.699,176.214,192.368,203.565,199.298,174.783,181.01,181.734,174.333,180.967,186.528,196.642,187.925,179.195,173.221,202.303,183.53,186.894,192.411,187.584,199.341,201.866,175.566,202.281,176.429,191.241,200.17
1.14355,190.706,189.736,193.956,183.212,191.197,184.651,183.563,185.616,179.697,197.551,180.81,181.93,189.164,185.864,197.273,200.563,180.533,186.458,173.771,178.917,200.932,173.196,173.79,195.914,200.817,175.923,188.33,199.487,194.888,184.926,195.409,196.088,174.374,200.414,198.118,175.765,176.613,179.597,191.974,194.889,196.323,174.343,190.019,201.17,193.218,193.761,189.195,182.97,187.848,182.284,174.991,177.885,200.028,192.727,179.348,174.02,201.569,185.799,194.248,183.668,178.312,202.377,184.347,193.679,178.009,190.136,178.227,177.436,198.292,198.297,197.486,198.026,193.287,177.427,176.386,192.142,203.082,198.91,174.998,181.385,181.474,174.579,181.381,186.821,196.336,187.836,179.32,173.479,201.844,182.907,187.18,191.105,187.504,198.973,201.419,175.745,201.836,176.629,191.169,199.766
1.16941,189.862,188.487,193.576,183.151,192.191,184.51,183.776,185.493,179.686,196.806,180.825,181.882,188.953,186.04,196.411,200.461,180.824,185.963,173.919,179.248,200.231,173.395,173.955,194.965,200.365,176.313,188.783,198.957,194.192,184.158,195.307,196.793,174.499,199.614,197.642,175.633,176.17,179.603,191.998,194.483,195.28,174.484,190.444,200.501,193.17,193.077,189.299,182.875,187.629,181.593,175.108,178.145,199.538,191.77,178.778,174.211,201.008,185.66,194.17,183.58,178.162,201.577,184.572,192.793,178.09,190.781,178.257,177.533,197.785,197.809,197.327,197.565,193.204,177.503,176.738,191.145,202.46,198.392,175.134,182.12,181.451,174.746,181.067,186.654,196.043,187.641,179.652,173.661,201.46,182.706,187.004,189.9,187.319,198.476,200.836,175.843,201.255,177.007,190.81,199.23
1.19584,188.517,187.836,192.761,183.089,193.261,184.585,184.835,184.614,179.576,195.654,180.743,182.042,189.283,185.98,195.509,200.236,180.697,184.727,173.982,179.471,199.577,173.512,173.826,194.226,199.554,176.772,189.405,198.286,192.241,183.966,195.248,196.691,174.537,198.917,197.029,175.669,176.006,179.511,192.406,194.146,194.42,174.317,190.06,199.449,192.974,191.652,189.266,182.047,187.623,181.149,175.138,178.097,198.399,192.012,178.436,174.529,200.519,184.116,193.642,183.386,178.134,200.849,185.649,191.189,177.813,191.006,178.472,177.538,197.14,197.183,197.014,196.508,193.06,177.754,176.472,190.271,201.689,197.734,175.183,182.639,181.634,175.051,180.973,186.155,195.911,187.331,179.297,173.76,200.712,182.079,186.716,188.537,187.02,198.347,199.891,175.606,200.529,177.285,190.418,198.552
1.22288,188.061,187.4,191.825,182.709,194.25,184.208,185.391,184.286,179.645,194.134,180.269,181.772,188.809,185.044,194.764,199.604,180.754,184.38,173.952,179.575,199,173.54,173.822,193.169,198.696,176.789,189.166,197.672,191.24,183.35,195.154,196.051,174.703,197.839,196.268,176.078,175.371,178.791,192.508,193.556,192.565,174.286,189.861,198.604,192.324,190.483,188.768,181.754,187.788,180.617,175.073,177.947,197.129,191.423,178.28,174.539,199.652,183.792,193.265,182.772,177.745,199.761,185.584,189.657,177.712,191.356,178.296,176.945,196.596,196.664,196.272,195.692,192.156,177.891,176.62,189.804,200.759,196.926,174.916,183.046,181.393,175.034,180.772,185.027,194.944,186.581,179.38,173.769,199.808,181.834,186.307,187.422,186.916,197.545,198.801,175.525,199.849,177.452,190.208,197.514
