R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,178.234,177.391,190.06,170.347,179.542,194.594,195.479,184.273,188.072,165.761,172.375,147.156,181.307,218.352,176.86,180.078,186.105,187.34,204.792,162.858,172.747,188.598,212.494,176.905,174.152,182.303,163.314,181.148,208.005,159.455,168.981,150.173,199.473,194.652,183.689,179.468,208.216,188.419,176.999,189.712,193.064,192.543,188.433,205.526,197.928,193.685,145.877,184.452,189.1,210.093,208.834,198.962,172.332,170.779,173.34,179.409,173.465,173.214,211.596,192.07,190.412,201.299,191.179,175.878,186.25,170.488,193.996,182.331,196.26,196.518,163.017,163.825,177.074,184.745,188.722,193.855,183.193,189.364,192.503,210.038,193.365,179.799,166.569,187.162,179.737,197.331,165.551,195.833,189.312,150.653,165.045,170.07,156.401,188.008,207.781,189.561,199.337,175.89,172.406,205.567
7.79,0.421,310.723,309.111,332.38,296.691,313.517,340.54,342.115,321.504,328.87,288.848,299.92,257.169,315.792,381.57,308.264,313.642,324.925,326.799,358.486,283.408,300.809,328.877,370.809,308.749,304.162,317.737,285.418,316.178,363.296,277.883,294.755,260.986,349.326,340.576,320.03,313.235,364.057,328.805,308.103,331.601,337.271,337.133,328.606,358.918,346.46,338.279,254.755,323.044,330.565,366.515,365.681,347.99,299.73,296.903,302.437,312.305,302.383,302.251,369.684,335.101,332.557,351.171,333.511,306.002,324.882,297.566,339.293,317.754,343.625,342.808,283.633,285.842,307.836,322.599,330.001,339.231,320.014,331.169,336.094,367.883,337.707,313.506,289.896,326.679,313.999,344.114,288.827,341.816,331.007,261.896,287.557,297.135,272.25,327.478,363.23,331.631,347.859,306.277,299.991,359.728
7.79,0.516,430.172,427.782,461.032,410.58,434.52,472.511,474.706,445.266,456.136,399.936,414.687,357.153,436.824,528.517,426.712,433.868,450.188,452.476,497.368,392.078,416.171,455.208,513.142,427.792,421.709,439.733,396.101,438.033,503.152,384.885,408.35,360.92,484.892,472.49,442.732,433.996,504.601,455.341,426.059,459.771,467.365,468.008,454.86,497.058,480.767,468.681,353.65,448.654,458.381,507.124,507.422,482.597,414.299,410.288,419.016,431.847,418.668,418.79,512.043,463.954,460.826,486.004,461.733,423.026,449.835,412.42,470.58,439.714,476.947,474.476,392.324,396.185,425.271,447.057,457.709,470.693,443.595,459.353,465.56,510.544,467.905,434.068,401.007,452.514,435.361,476.169,400.275,473.339,459.058,362.254,398.122,412.132,376.833,452.876,503.389,460.123,481.583,423.672,414.815,498.95
7.79,0.621,575.625,572.193,617.911,549.323,582.042,633.428,636.357,595.949,611.312,535.436,554.261,480,583.941,706.821,570.926,580.05,602.734,605.355,666.523,524.544,556.608,608.779,685.687,572.92,565.205,588.137,531.623,586.476,672.986,515.588,546.942,482.92,650.212,633.295,591.849,581.188,675.456,609.261,569.443,615.963,625.681,627.739,608.366,664.815,644.498,627.329,475.128,602.204,614.175,677.573,680.035,646.541,553.56,548.09,561.196,577.119,560.367,560.937,684.849,620.607,617.008,649.637,617.63,565.248,601.876,552.625,630.566,588.04,639.566,634.372,524.769,531.018,567.8,598.723,613.443,631,594.238,615.65,623.057,684.277,626.352,580.884,536.34,605.698,583.445,636.476,536.413,633.207,615.159,484.809,532.993,552.668,504.535,605.096,673.752,616.871,644.008,566.479,554.488,668.421
7.79,0.726,734.618,729.928,789.508,701.122,743.444,809.383,813.078,760.585,781.03,683.896,706.676,615.754,744.42,900.615,728.541,739.574,769.404,772.193,851.191,669.639,710.127,776.242,873.086,731.73,722.466,750.154,680.708,748.739,857.815,659.064,698.78,616.88,830.968,809.077,754.44,742.217,861.585,777.193,725.89,786.695,798.438,802.588,775.797,847.393,823.467,800.404,609.361,770.628,784.517,862.709,868.427,825.578,705.548,698.479,716.882,735.567,715.4,716.598,872.776,791.425,787.599,827.635,787.65,720.416,767.868,706.315,805.399,749.922,817.429,808.457,669.78,679.028,723.063,764.575,783.803,806.308,758.997,786.591,794.888,873.87,799.292,741.373,684.408,772.999,745.629,810.957,685.804,807.451,785.852,619.422,680.79,706.888,644.715,770.829,859.318,788.395,820.884,722.435,707.053,853.31
7.79,0.84,919.985,913.691,989.565,878.304,931.706,1014.42,1018.95,952.414,978.867,857.398,884.263,775.678,931.152,1125.11,912.274,925.28,963.557,966.35,1066.02,839.218,889.165,970.983,1090.08,917.026,906.211,938.818,855.549,937.85,1072.24,827.06,876.17,773.878,1041.55,1013.85,943.527,930.064,1077.68,972.54,907.995,985.628,999.388,1006.54,970.552,1059.22,1031.93,1001.68,767.51,967.481,983.041,1077.11,1087.51,1033.96,882.545,873.626,898.666,919.941,896.316,898.367,1090.6,990.045,986.252,1034.08,985.381,901.049,961.134,885.952,1009.02,938.371,1024.72,1010.55,839.192,852.291,903.544,957.953,982.44,1010.61,951.098,985.849,994.759,1094.3,1000.53,928.492,857.258,967.826,935.001,1013.47,860.628,1009.93,984.791,777.23,853.558,887.303,808.893,963.287,1074.74,988.431,1026.25,904.13,884.868,1068.25
7.79,0.944,1099.74,1091.76,1183.48,1050.34,1114.29,1213.03,1218.33,1138.31,1170.59,1026.04,1056.41,932.287,1111.89,1341.35,1090.42,1105.12,1151.63,1154.27,1273.76,1004.1,1062.87,1159.33,1299.01,1096.81,1084.72,1121.56,1026.03,1121.12,1279.1,990.663,1048.51,926.97,1245.47,1212.17,1126.43,1112.29,1286.27,1161.5,1084.33,1178.35,1193.73,1204.28,1158.97,1263.56,1233.77,1196.32,922.42,1158.73,1175.41,1283.58,1299.29,1235.61,1054.04,1043.35,1075.18,1098.42,1071.91,1074.88,1300.52,1182.12,1178.62,1233.19,1176.63,1076,1148.29,1060.55,1206.18,1120.84,1225.55,1205.64,1003.85,1020.95,1078.1,1145.45,1175,1208.55,1137.33,1178.94,1188.08,1307.34,1195.27,1109.96,1025.12,1156.51,1118.86,1208.95,1030.77,1205.6,1177.55,931.152,1021.54,1062.78,968.846,1149.18,1282.66,1182.37,1224.54,1080.22,1057.29,1275.98
7.79,1.054,1300.67,1290.63,1400.03,1242.9,1318.34,1434.67,1440.74,1345.93,1384.63,1214.99,1248.78,1109.01,1313.54,1581.28,1289.49,1305.86,1361.56,1363.87,1505.18,1188.93,1257.14,1369.27,1530.82,1297.82,1284.56,1325.59,1217.57,1325.78,1509.03,1174.31,1241.46,1099.1,1472.95,1433.41,1330.35,1316.03,1518.2,1372.12,1281.15,1393.45,1410.27,1425.16,1369.06,1490.69,1458.91,1413.17,1097.29,1372.77,1390.17,1512.7,1535.11,1460.41,1245.59,1232.96,1272.7,1297.59,1268.36,1272.4,1533.56,1396.16,1393.28,1454.48,1389.83,1271.33,1357.17,1256.12,1426.12,1324.5,1449.67,1422.67,1188.34,1210.17,1272.72,1354.97,1390.06,1429.46,1345.34,1394.53,1403.55,1544.48,1412.4,1312.81,1213.06,1367.08,1324.57,1426.42,1221.61,1423.49,1392.74,1104.26,1209.81,1259.45,1148.5,1356.11,1513.84,1398.99,1445.17,1276.95,1250.03,1507.22
8.17,0.292,151.166,147.486,159.98,143.885,147.193,162.321,163.059,157.382,155.674,137.931,145.257,120.734,154.105,188.079,149.316,153.641,156.1,159.3,171.513,137.295,146.427,158.128,183.673,145.718,145.271,153.97,136.804,148.917,178.53,131.292,137.755,125.69,166.713,162.701,154.4,149.761,174.586,155.856,148.464,157.925,159.928,160.828,161.229,175.458,165.73,159.637,120.229,154.447,156.491,175.231,175.472,167.57,145.505,144.209,143.571,151.688,146.362,141.856,177.898,166.214,160.998,171.44,164.818,148.603,156.968,139.039,162.273,154.913,164.524,165.026,136.087,134.052,149.253,157.016,158.004,161.55,150.711,157.56,161.036,175.975,166.346,154.265,139.451,157.612,152,167.931,136.113,163.501,157.279,126.243,136.681,138.086,131.132,157.35,174.53,158.076,171.921,148.365,147.134,172.119
8.17,0.414,268.161,261.445,284.762,254.923,261.4,289.033,290.388,279.501,276.833,244.391,257.078,214.272,273.164,334.743,264.809,272.308,277.288,282.847,305.649,242.957,259.43,280.576,326.394,258.661,257.961,273.117,243.05,264.362,317.523,232.638,244.336,222.029,297.135,289.687,273.693,265.883,310.82,276.711,262.845,280.778,284.207,286.552,286.214,312.008,295.282,283.701,213.248,275.211,278.28,311.192,312.904,298.41,257.457,255.041,254.746,268.72,259.535,251.765,316.461,295.277,286.252,304.495,292.717,263.075,278.661,246.767,288.811,274.749,293.2,292.969,240.763,237.814,263.988,279.094,281.115,287.614,267.77,280.28,286.087,313.884,295.869,273.753,246.846,279.977,270.244,298.105,241.481,290.419,279.689,223.08,242.162,245.322,232.055,278.84,310.648,281.328,305.461,262.835,260.473,306.655
8.17,0.524,390.905,380.947,416.111,371.365,381.476,422.438,424.444,407.694,404.284,356.164,374.122,313.139,397.854,488.498,385.96,396.579,404.56,412.441,446.839,353.718,377.875,408.925,475.752,377.37,376.48,398.051,355.075,385.634,463.27,339.219,356.408,323.04,434.539,423.348,398.616,387.886,453.941,403.527,382.546,409.933,414.708,419.069,417.241,455.197,431.719,413.994,311.503,402.65,406.382,453.512,457.617,436.07,374.58,370.943,371.578,391.238,378.299,367.354,461.782,430.609,417.871,443.845,426.812,382.862,406.351,360.128,421.934,400.345,428.78,427.01,350.48,347.056,383.863,407.408,410.667,420.321,390.852,409.393,417.333,459.137,431.923,399.118,359.421,408.462,394.675,434.418,352.377,423.541,408.428,324.655,352.939,358.35,338,405.939,453.6,411.084,445.397,382.75,379.111,448.196
8.17,0.645,542.1,528.132,578.214,514.867,529.71,587.068,589.859,565.578,561.547,494.146,518.092,436.248,551.136,677.086,535.191,549.353,561.371,571.89,620.89,490.287,523.734,566.763,658.71,523.906,522.881,551.82,493.929,535.191,642.218,471.118,494.944,447.834,604.137,588.244,552.154,538.38,630.004,559.646,529.693,569.19,575.395,582.801,578.341,631.033,600.08,574.461,433.802,560.375,564.433,628.019,636.009,605.769,518.568,513.403,515.819,541.839,524.696,510.191,640.215,596.944,580.053,614.833,591.638,530.112,563.561,500.338,586.101,554.837,596.172,591.633,485.773,482.322,530.981,565.623,570.548,584.088,542.746,568.705,578.87,638.225,599.411,553.501,498.179,566.723,548.337,601.728,489.624,587.257,567.233,450.189,489.762,498.366,468.91,561.958,629.401,571.279,617.195,530.303,525.011,622.581
8.17,0.718,640.818,624.239,684.143,608.641,626.664,694.629,697.915,668.616,664.32,584.457,612.028,517.459,651.039,799.579,632.631,648.934,663.736,675.85,734.46,579.605,618.98,669.643,777.447,619.757,618.696,652.144,585.096,632.925,758.593,557.654,585.703,529.652,714.934,695.949,652.201,636.749,744.683,661.489,625.631,673.205,680.208,689.883,683.313,745.404,710.052,679.153,514.462,663.696,667.714,741.405,752.39,716.524,612.47,606.304,610.195,640.009,620.357,603.724,756.247,705.266,685.907,726.004,698.996,626.12,666.136,592.231,693.3,655.575,705.56,698.776,574.269,571.083,626.773,668.965,675.036,691.088,642.048,672.805,684.207,755.067,708.617,654.267,588.891,670.009,648.847,710.56,579.643,693.938,670.983,532.511,579.362,590.244,554.705,663.506,743.882,676.002,728.942,626.582,620.18,736.313
