R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,196.677988,196.727953,196.667350,196.637295,196.671870,196.685522,196.639925,196.659381,196.354517,196.518767,196.705949,196.417681,196.704442,196.012173,195.977930,196.718063,195.971184,196.627952,195.908907,196.364195,195.983593,195.787729,195.615021,196.421665,195.684157,196.098448,195.544387,195.561428,197.035353,197.252555,195.464853,195.333028,195.588462,196.814909,199.778522,199.556769,200.121310,197.564487,198.080335,198.059547,196.695260,197.058196,201.567494,199.709649,199.707425,202.684003,201.853094,203.444743,201.729063,201.585787,200.114861,201.728679,202.570787,202.748842,202.380328,203.236071,203.480889,205.814728,205.107596,204.500304,204.577205,203.870562,204.251419,206.723707,205.712317,205.465866,207.127932,206.720899,207.013826,205.945668,206.439004,206.995977,206.903850,208.128942,206.280481,209.552743,207.870913,207.209995,207.613697,215.211193,226.516327,215.040554,208.382783,215.060257,210.989412,213.718948,222.507378,209.470385,226.427570,225.934993,226.374180,226.189655,226.600495,226.007365,226.352669,226.381179,223.345274,224.626434,216.361292,226.345085
1.0031058,196.846330,196.896619,196.835641,196.805404,196.840181,196.853914,196.808044,196.827622,196.520710,196.686135,196.874473,196.584360,196.872966,196.176197,196.141730,196.886669,196.134964,196.796000,196.072312,196.530621,196.149457,195.952659,195.780787,196.588436,195.850673,196.265112,195.709718,195.727457,197.203467,197.421604,195.629575,195.498852,195.754391,196.983010,199.952683,199.730978,200.295962,197.734622,198.250984,198.230519,196.863956,197.227544,201.740135,199.883345,199.882202,202.858288,202.030975,203.621292,201.908145,201.763129,200.290695,201.907488,202.750861,202.928979,202.560005,203.414184,203.655943,205.987401,205.282865,204.671967,204.752669,204.046339,204.431253,206.898160,205.887827,205.646071,207.298169,206.901171,207.194971,206.122677,206.613312,207.176828,207.084307,208.303951,206.457444,209.720188,208.049302,207.385244,207.787870,215.369393,226.681076,215.197226,208.556240,215.216173,211.186363,213.908259,222.664304,209.651321,226.592933,226.095963,226.540067,226.348459,226.763904,226.170181,226.518112,226.547117,223.516677,224.793941,216.536122,226.510598
1.0062213,197.014196,197.064799,197.003436,196.973027,197.008007,197.021821,196.975676,196.995376,196.686407,196.853028,197.042511,196.750543,197.041004,196.339703,196.305014,197.054798,196.298238,196.963551,196.235200,196.696540,196.314814,196.117083,195.946058,196.754710,196.016703,196.431280,195.874552,195.892980,197.371096,197.590166,195.793801,195.664178,195.919832,197.150625,200.126379,199.904722,200.470148,197.904271,198.421156,198.401015,197.032166,197.396407,201.912280,200.056585,200.056514,203.032077,202.208390,203.797356,202.086782,201.940005,200.466064,202.085852,202.930489,203.108661,202.739227,203.591821,203.830501,206.159537,205.457619,204.843105,204.927617,204.221631,204.610622,207.072088,206.062831,205.825790,207.467829,207.080968,207.375641,206.299180,206.787095,207.357185,207.264278,208.478434,206.633901,209.887025,208.227186,207.559956,207.961497,215.526855,226.845039,215.353151,208.729141,215.371331,211.382921,214.097096,222.820402,209.831762,226.757510,226.256115,226.705168,226.506427,226.926506,226.332211,226.682768,226.712278,223.687374,224.960702,216.710326,226.675325
1.0093465,197.181565,197.232493,197.170734,197.140142,197.175335,197.189230,197.142812,197.162634,196.851596,197.019404,197.210063,196.916220,197.208556,196.502683,196.467781,197.222431,196.460984,197.130616,196.397561,196.861952,196.479674,196.280989,196.110821,196.920487,196.182226,196.596962,196.038879,196.058015,197.538218,197.758232,195.957510,195.829008,196.084767,197.317744,200.299589,200.077989,200.643858,198.073424,198.590843,198.571025,197.199889,197.564794,202.083930,200.229339,200.230350,203.205370,202.385350,203.972934,202.264963,202.116415,200.640977,202.263760,203.109663,203.287888,202.917993,203.768982,204.004554,206.331128,205.631867,205.013696,205.102069,204.396426,204.789516,207.245480,206.237320,206.005034,207.636924,207.260270,207.555816,206.475167,206.960331,207.537067,207.443765,208.652361,206.809843,210.053236,208.404544,207.734143,208.134579,215.683579,227.008205,215.508318,208.901476,215.525721,211.579075,214.285458,222.975682,210.011687,226.921290,226.415440,226.869481,226.663536,227.088302,226.493423,226.846628,226.876652,223.857355,225.126706,216.883914,226.839255
1.0124814,197.348427,197.399690,197.337535,197.306771,197.342167,197.356153,197.309441,197.329384,197.016269,197.185282,197.377118,197.081389,197.375601,196.665145,196.630009,197.389577,196.623193,197.297174,196.559394,197.026857,196.644017,196.444388,196.275077,197.085748,196.347252,196.762126,196.202699,196.222534,197.704843,197.925811,196.120712,195.993330,196.249185,197.484355,200.472323,200.250780,200.817082,198.242090,198.760032,198.740537,197.367116,197.732673,202.255063,200.401607,200.403720,203.378147,202.561824,204.148006,202.442679,202.292360,200.815404,202.441193,203.288371,203.466648,203.096294,203.945658,204.178100,206.502172,205.805578,205.183740,205.275995,204.570706,204.967934,207.418326,206.411272,206.183793,207.805431,207.439076,207.735505,206.650638,207.133031,207.716442,207.622745,208.825732,206.985258,210.218820,208.581376,207.907794,208.307114,215.839535,227.170563,215.662707,209.073244,215.679333,211.774825,214.473315,223.130124,210.191097,227.084272,226.573937,227.032997,226.819808,227.249280,226.653817,227.009700,227.040229,224.026609,225.291943,217.056876,227.002388
1.015626,197.514792,197.566379,197.503829,197.472883,197.508491,197.522559,197.475573,197.495637,197.180413,197.350653,197.543665,197.246040,197.542148,196.827059,196.791710,197.556205,196.784873,197.463225,196.720679,197.191245,196.807842,196.607249,196.438816,197.250500,196.511760,196.926772,196.365991,196.386534,197.870951,198.092873,196.283376,196.157135,196.413095,197.650459,200.644570,200.423084,200.989820,198.410259,198.928725,198.909553,197.533835,197.900055,202.425678,200.573377,200.576602,203.550417,202.737832,204.322581,202.619928,202.467818,200.989365,202.618169,203.466622,203.644943,203.274128,204.121847,204.351130,206.672659,205.978773,205.353238,205.449404,204.744469,205.145866,207.590614,206.584698,206.362055,207.973351,207.617376,207.914688,206.825593,207.305184,207.895322,207.801219,208.998546,207.160157,210.383776,208.757692,208.080878,208.479082,215.994732,227.332094,215.816337,209.244445,215.832176,211.970160,214.660687,223.283718,210.369970,227.246447,226.731576,227.195706,226.975202,227.409419,226.813374,227.171944,227.202998,224.195136,225.456402,217.229191,227.164713
1.0187804,197.680640,197.732552,197.669616,197.638477,197.674309,197.688458,197.641188,197.661374,197.344041,197.515498,197.709696,197.410175,197.708189,196.988446,196.952864,197.722327,196.946017,197.628769,196.881438,197.355106,196.971141,196.769594,196.602037,197.414726,196.675752,197.090901,196.528767,196.550018,198.036552,198.259428,196.445523,196.320422,196.576488,197.816046,200.816321,200.594903,201.162071,198.577921,199.096901,199.078073,197.700047,198.066931,202.595768,200.744662,200.748999,203.722160,202.913354,204.496650,202.796712,202.642790,201.162840,202.794660,203.644389,203.822763,203.451488,204.297541,204.523643,206.842580,206.151431,205.522179,205.622288,204.917726,205.323312,207.762347,206.757578,206.539822,208.140675,207.795171,208.093365,207.000022,207.476781,208.073686,207.979188,209.170804,207.334521,210.548086,208.933462,208.253426,208.650484,216.149152,227.492807,215.969169,209.415061,215.984220,212.165081,214.847545,223.436453,210.548328,227.407795,226.888378,227.357608,227.129727,227.568732,226.972103,227.333382,227.364950,224.362917,225.620085,217.400870,227.326211
1.0219446,197.845981,197.898228,197.834887,197.803565,197.839600,197.853840,197.806276,197.826604,197.507142,197.679825,197.875219,197.573772,197.873702,197.149285,197.113481,197.887942,197.106603,197.793785,197.041628,197.518440,197.133912,196.931390,196.764731,197.578425,196.839226,197.254514,196.691005,196.712984,198.201626,198.425466,196.607132,196.483183,196.739343,197.981117,200.987576,200.766215,201.333817,198.745077,199.264580,199.246075,197.865753,198.233290,202.765341,200.915441,200.920900,203.893388,203.088380,204.670204,202.973010,202.817277,201.335829,202.970675,203.821690,204.000116,203.628371,204.472739,204.695631,207.011944,206.323544,205.690553,205.794625,205.090447,205.500253,207.933523,206.929922,206.717083,208.307401,207.972450,208.271538,207.173906,207.647822,208.251545,208.156642,209.342486,207.508348,210.711758,209.108696,208.425397,208.821310,216.302793,227.652684,216.121222,209.585090,216.135477,212.359579,215.033908,223.588341,210.726141,227.568315,227.044322,227.518682,227.283375,227.727187,227.129985,227.493992,227.526075,224.529961,225.782960,217.571893,227.486891
1.0251186,198.010795,198.063366,197.999630,197.968126,198.004373,198.018704,197.970856,197.991296,197.669695,197.843615,198.040216,197.736842,198.038699,197.309567,197.273529,198.053030,197.266641,197.958285,197.201281,197.681246,197.296145,197.092660,196.926888,197.741586,197.002173,197.417589,196.852705,196.875413,198.366172,198.590977,196.768194,196.645416,196.901682,198.145660,201.158324,200.937031,201.505066,198.911715,199.431733,199.413571,198.030932,198.399131,202.934368,201.085703,201.092305,204.064079,203.262920,204.843231,203.148832,202.991267,201.508311,203.146214,203.998504,204.176974,203.804769,204.647421,204.867082,207.180722,206.495110,205.858351,205.966436,205.262641,205.676698,208.104133,207.101719,206.893838,208.473521,208.149202,208.449194,207.347262,207.818286,208.428888,208.333579,209.513582,207.681629,210.874763,209.283374,208.596812,208.991559,216.455656,227.811722,216.272477,209.754532,216.285914,212.553653,215.219745,223.739350,210.903417,227.728008,227.199388,227.678919,227.436135,227.884795,227.287019,227.653775,227.686383,224.696238,225.945048,217.742259,227.646745
1.0283024,198.175072,198.227987,198.163845,198.132148,198.168619,198.183031,198.134889,198.155461,197.831711,198.006877,198.204695,197.899364,198.203178,197.469291,197.433030,198.217590,197.426121,198.122247,197.360355,197.843494,197.457831,197.253361,197.088497,197.904219,197.164582,197.580126,197.013867,197.037304,198.530181,198.755970,196.928717,196.807111,197.063472,198.309675,201.328565,201.107339,201.675797,199.077826,199.598357,199.580540,198.195582,198.564455,203.102867,201.255457,201.263202,204.234233,203.436954,205.015741,203.324157,203.164750,201.680306,203.321246,204.174823,204.353336,203.980680,204.821596,205.037986,207.348922,206.666119,206.025581,206.137689,205.434299,205.852636,208.274156,207.272949,207.070067,208.639023,208.325429,208.626324,207.520062,207.988183,208.605694,208.509980,209.684100,207.854353,211.037120,209.457505,208.767650,209.161221,216.607710,227.969902,216.422913,209.923367,216.435543,212.747291,215.405067,223.889489,211.080138,227.886843,227.353575,227.838318,227.587985,228.041544,227.443184,227.812699,227.845842,224.861757,226.106318,217.911948,227.805739
