R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,308.909038,306.822663,312.680987,334.825235,311.111066,306.280922,319.592814,324.178263,306.044333,303.996070,307.412297,274.223808,315.920964,258.070774,264.817516,313.586276,284.925237,327.512891,300.314092,312.203672,320.029563,290.157022,289.628294,337.561816,259.573638,313.253201,296.517334,296.904586,310.655193,319.062114,310.255540,304.663574,311.081192,307.848108,299.623938,296.846895,299.502666,305.101040,313.821531,318.456328,318.539238,321.444029,314.933615,333.938131,324.897818,317.630547,325.254435,300.985069,305.136144,318.462503,320.770715,321.858769,317.929033,325.482357,316.673966,333.659385,329.932409,314.218717,317.188036,329.585817,327.799203,342.488325,337.098594,321.585761,322.527724,329.756846,330.460148,328.994982,335.230828,335.998236,332.660704,325.933493,333.018396,333.937894,341.831198,328.369822,345.460431,348.145319,358.531506,335.137094,336.058265,344.618437,348.252864,340.780025,339.354247,337.751299,346.427145,352.079547,333.377204,335.101815,340.385149,352.099737,352.467693,350.661981,336.053668,338.691482,349.554471,342.670011,350.909304,349.920077
7.79,0.421,527.286387,523.475034,534.009426,572.674861,531.192988,522.623331,546.718189,553.843169,521.212557,520.414315,524.622753,468.218848,539.724025,440.654391,452.425163,535.537965,487.642584,560.511057,515.221473,536.442885,546.715550,496.992390,496.486013,579.741606,442.763723,538.131263,508.666055,509.293342,534.066436,548.082084,533.624559,523.546336,535.420766,528.800477,514.289559,509.945256,514.957615,524.790174,539.844055,548.783243,548.932005,553.811243,542.218386,576.124085,560.267279,547.859577,561.201420,518.708648,526.313334,549.073039,554.026179,556.358879,548.898005,563.039827,547.459656,576.823226,570.915657,542.370087,547.995508,570.336376,566.888060,593.923127,584.167844,555.939974,558.555868,571.715163,572.163445,569.961348,581.427695,583.085510,576.708828,565.409277,577.752276,579.603215,593.088498,569.594036,600.095600,604.799785,623.164634,581.222782,583.065347,598.128553,604.694300,591.179721,589.359596,586.654509,601.379812,611.825965,578.524025,581.550411,590.917028,611.570835,612.297857,608.919868,583.412975,587.778448,607.168671,595.042967,609.671863,607.667366
7.79,0.516,718.541976,713.124380,727.941399,781.151766,723.983691,712.045956,746.119235,754.972241,709.159684,710.743544,714.822666,638.712488,735.872445,601.416766,617.610420,729.992616,666.193141,765.063270,704.884545,734.520740,745.388946,679.291295,678.994162,793.164863,603.810551,736.744742,695.940419,696.747783,731.620517,750.255335,731.282790,717.086020,734.100416,724.017067,703.877217,698.397004,705.673332,719.286838,739.853883,752.992292,753.222786,759.731116,743.559557,790.975835,769.073062,752.266592,770.658741,712.022218,722.854652,753.706028,761.422434,765.088950,754.236114,774.645878,752.982930,793.151727,785.602605,745.195894,753.368325,784.826532,779.773877,818.391255,804.621810,764.607065,769.160248,787.830981,787.666389,785.008681,801.388022,803.969948,794.632907,779.522167,796.497904,799.282928,817.591417,785.203892,827.900758,834.414372,859.927805,801.038590,803.823223,824.692213,833.934497,814.895153,813.020487,809.399895,829.285889,844.241185,797.724847,801.911919,814.961878,843.588519,844.669510,839.799366,804.680763,810.455025,837.568389,820.770781,841.157866,838.116738
7.79,0.621,945.777124,938.375277,958.414088,1028.747143,953.063706,937.077946,983.435334,993.758103,932.045373,937.679279,940.783218,842.209534,968.998008,793.787860,815.191561,961.052430,879.578996,1008.423155,931.760390,971.476697,981.537226,897.225825,897.359127,1047.747356,796.265507,974.341515,920.048622,921.030736,968.208754,991.959385,968.149288,948.923369,972.335373,957.681718,930.808112,924.239048,934.376518,952.510708,979.515846,998.013646,998.379036,1006.683251,985.019914,1048.763581,1019.692958,997.831784,1022.187133,944.418640,959.250164,999.430044,1010.832606,1016.329172,1001.201715,1029.465965,1000.506083,1053.331878,1044.124436,989.167820,1000.545991,1043.121319,1036.049354,1089.049143,1070.381311,1015.866272,1023.164240,1048.637967,1047.349470,1044.366930,1066.860643,1070.662046,1057.538627,1038.159342,1060.602898,1064.600445,1088.512466,1045.554179,1103.047007,1111.734965,1145.797440,1066.274948,1070.312224,1098.113407,1110.596431,1084.858663,1083.199255,1078.561066,1104.377333,1124.944966,1062.471742,1068.045923,1085.533782,1123.653267,1125.186245,1118.453551,1071.991994,1079.313510,1115.744938,1093.384345,1120.695945,1116.283412
7.79,0.726,1187.790903,1178.208455,1203.908595,1292.094483,1197.046234,1176.740264,1236.555081,1247.726068,1169.062334,1180.265051,1181.427972,1060.272002,1217.310723,1000.648733,1027.493016,1207.123113,1108.445020,1267.820860,1175.173260,1225.549243,1233.146916,1130.998136,1131.782706,1319.714555,1002.933302,1229.146104,1160.632303,1161.747718,1222.239082,1250.956249,1222.660488,1197.979240,1228.459431,1208.472508,1174.448466,1167.030883,1180.377326,1203.317369,1236.981518,1261.543190,1262.107677,1272.133114,1244.633373,1325.900577,1289.297917,1262.305811,1292.900273,1195.020744,1214.257507,1263.952107,1279.684645,1287.402881,1267.505174,1304.497991,1267.766467,1333.741693,1323.110133,1252.307290,1267.258215,1321.871112,1312.559237,1381.423779,1357.457665,1287.095722,1297.775375,1330.719853,1327.790372,1324.729042,1353.991217,1359.200896,1341.773858,1318.197228,1346.366109,1351.754494,1381.446664,1327.315201,1400.779491,1411.790098,1454.923657,1353.063182,1358.579641,1393.734600,1409.690932,1376.762773,1375.635253,1370.006181,1401.855813,1428.640773,1349.036464,1356.087863,1378.328660,1426.467332,1428.506887,1419.720054,1361.390334,1370.200820,1416.611757,1388.374301,1423.083996,1417.062484
7.79,0.84,1463.455488,1451.334300,1483.545130,1591.521997,1474.941599,1449.739925,1525.172347,1536.546111,1438.778661,1457.463657,1455.529332,1310.215948,1500.125266,1238.619725,1271.508883,1487.355626,1370.916193,1563.373246,1454.279201,1516.564777,1519.867964,1399.083394,1400.793487,1630.081487,1240.408263,1521.100051,1436.667822,1437.873656,1513.628239,1547.469259,1514.793189,1483.843117,1522.569815,1496.077682,1453.990234,1445.934783,1463.073034,1491.445597,1532.436689,1564.216079,1565.074701,1576.839442,1542.761623,1643.983499,1598.972928,1566.438278,1603.972733,1483.619748,1507.990820,1568.020677,1589.051295,1599.571879,1574.070144,1621.290471,1575.771086,1656.291600,1644.390462,1555.321301,1574.464309,1642.885986,1630.966157,1718.326837,1688.299896,1599.607744,1614.563530,1656.196992,1650.950983,1648.091410,1685.277643,1692.175812,1669.598639,1641.638918,1676.185782,1683.245717,1719.297320,1652.594822,1744.366562,1758.007925,1811.363074,1683.850241,1691.193107,1734.642973,1754.539773,1713.441747,1713.218741,1706.562466,1744.952251,1779.032972,1679.889983,1688.619208,1716.265931,1775.634092,1778.265763,1767.097972,1695.560813,1705.895261,1763.647637,1728.811363,1771.918921,1763.921321
7.79,0.944,1725.039051,1710.468396,1748.887832,1875.075367,1738.622004,1708.818228,1799.263638,1810.146019,1694.582454,1721.254945,1715.630334,1548.884291,1768.438958,1466.699871,1505.167469,1753.203278,1621.641083,1843.824238,1720.771239,1794.042310,1792.087054,1655.134098,1657.874391,1924.940005,1467.787390,1799.607130,1700.400419,1701.632711,1791.884477,1830.096106,1793.932321,1757.016126,1803.696976,1770.683896,1721.054895,1712.689770,1733.526931,1766.997589,1814.678627,1853.546624,1854.750952,1867.955413,1827.733189,1947.795384,1894.999891,1857.498135,1901.440470,1760.244594,1789.569568,1858.920139,1885.268916,1898.682723,1867.748181,1924.866635,1871.106815,1964.991917,1952.195448,1845.694889,1868.896841,1950.439063,1936.018934,2041.217162,2005.456039,1899.210218,1918.564263,1968.569265,1960.735759,1958.337596,2003.201648,2011.755726,1984.091634,1952.348891,1992.795351,2001.509254,2043.378291,1964.925432,2074.109759,2090.216848,2153.126856,2001.191025,2010.386883,2061.605180,2085.203167,2036.420182,2037.314265,2029.773942,2074.048654,2115.227392,1997.586464,2007.902055,2040.649880,2110.456275,2113.655086,2100.214954,2016.474400,2028.098965,2096.540234,2055.553409,2106.573972,2096.579778
7.79,1.054,2011.270932,1993.983922,2039.207056,2184.638994,2027.118219,1992.344360,2099.362378,2108.978873,1974.447457,2010.668292,2000.243849,1811.722187,2061.945567,1718.849623,1763.234550,2044.002899,1897.835543,2150.620613,2014.127974,2098.967667,2090.157069,1937.131852,1941.149879,2247.785051,1718.942825,2105.862884,1990.920538,1992.113403,2098.172431,2140.628800,2101.378960,2057.946656,2113.424587,2072.938653,2015.210823,2006.825664,2031.797297,2070.766970,2125.456508,2172.302138,2173.962639,2188.504385,2141.696665,2282.188906,2221.119969,2178.516571,2229.255224,2065.856358,2100.669287,2179.663147,2212.107474,2228.929689,2191.963623,2260.058606,2197.426924,2305.421060,2291.968926,2166.381181,2194.083358,2289.933556,2272.775039,2397.708190,2355.731134,2230.192568,2254.684579,2313.954701,2302.882006,2301.288866,2354.693006,2365.093750,2331.669326,2296.210239,2342.926794,2353.513011,2401.500474,2310.416275,2438.642246,2457.394746,2530.562971,2351.913971,2363.259590,2422.841328,2450.426113,2393.352806,2395.742387,2387.329967,2437.674724,2486.799027,2349.017714,2361.063282,2399.341777,2480.286403,2484.102487,2468.187428,2371.492128,2384.359673,2464.373593,2416.798380,2476.392008,2464.088689
8.17,0.292,264.011855,262.199388,267.460682,285.062561,265.944322,261.696356,276.314313,275.478649,264.393553,255.586658,262.657576,231.824549,270.410285,217.934047,223.742587,268.182403,241.272250,282.267732,255.243697,261.185962,277.869683,246.877389,244.119878,285.848289,220.636415,266.373195,252.579810,252.431679,263.714831,271.670121,263.829714,259.114448,263.175396,262.306920,254.958607,251.136007,252.757302,259.107760,268.195472,269.759247,271.297338,273.030232,268.864870,285.917231,277.841328,270.375464,276.665265,254.371769,258.192291,271.735865,271.024293,272.944746,271.226941,275.889351,267.868163,284.723380,279.854187,267.960396,269.319727,279.289666,279.371676,290.571025,286.796849,274.496145,273.111907,279.417676,280.883712,280.191980,285.481322,284.654110,282.125779,275.785626,282.411566,282.263490,291.534232,277.273462,293.175697,296.635313,305.099165,283.875377,285.424314,292.848838,294.905252,290.759011,287.096540,286.214644,295.704440,299.448589,283.671816,285.221957,290.350984,299.366009,299.482208,298.440548,286.076254,288.904773,297.261263,291.641735,298.423339,297.754609
8.17,0.414,458.158096,454.767533,464.471013,495.942002,461.677747,453.940215,480.761572,478.533090,457.966089,444.376012,455.686139,401.925845,469.824856,377.667833,388.009914,465.723585,419.250423,491.418433,444.837479,456.024619,483.035925,429.459460,424.958073,499.216653,382.026364,465.079590,440.169025,439.855764,460.678639,474.433795,461.130585,452.417403,460.300777,457.916738,444.592675,438.255592,441.499076,452.887662,468.968002,472.484114,475.262315,478.168237,470.551042,501.620806,487.166282,474.066126,485.305419,445.380468,452.475323,476.330790,475.745980,479.581354,476.084705,485.159182,470.586268,500.634267,492.351646,470.180697,472.929183,491.348233,491.315815,512.502412,505.488008,482.520485,480.759307,492.529024,494.524663,493.638668,503.613615,502.314326,497.328332,486.336623,498.207872,498.087951,514.597633,488.886707,518.013408,524.319977,539.638923,500.587756,503.642709,517.013294,520.828803,513.138077,507.033171,505.582815,522.312110,529.428711,500.667363,503.445799,512.802213,529.034121,529.317297,527.269569,505.165450,510.052719,525.315922,515.186945,527.510298,526.080720
