R_kpc,hybrid_p5,hybrid_p16,hybrid_center,hybrid_p84,hybrid_p95,weight_McGaugh2018_Imig2025,weight_Wang2026_Lian2022,weight_McMillan2017,weight_deSalas2019_B2,center_McGaugh2018_Imig2025,center_Wang2026_Lian2022,center_McMillan2017,center_deSalas2019_B2
1,181.838027,184.895921,189.636842,194.377763,197.435657,1,0,0,0,189.636842,161.433995,155.698533,184.05096
1.0031058,181.865585,184.923942,189.665582,194.407222,197.465579,1,0,0,0,189.665582,161.544726,155.821252,184.116619
1.0062213,181.891639,184.950435,189.692754,194.435073,197.493869,1,0,0,0,189.692754,161.654857,155.943517,184.18109
1.0093465,181.916178,184.975386,189.718345,194.461304,197.520512,1,0,0,0,189.718345,161.764381,156.065323,184.244363
1.0124814,181.939184,184.99878,189.742338,194.485896,197.545492,1,0,0,0,189.742338,161.873292,156.186665,184.306426
1.015626,181.960645,185.020601,189.764719,194.508837,197.568793,1,0,0,0,189.764719,161.981582,156.307536,184.367266
1.0187804,181.980545,185.040836,189.785473,194.53011,197.590401,1,0,0,0,189.785473,162.089249,156.427934,184.426875
1.0219446,181.998872,185.059471,189.804586,194.549701,197.6103,1,0,0,0,189.804586,162.196284,156.547853,184.485241
1.0251186,182.015611,185.076491,189.822042,194.567593,197.628473,1,0,0,0,189.822042,162.302681,156.667288,184.54235
1.0283024,182.030744,185.091879,189.837825,194.583771,197.644906,1,0,0,0,189.837825,162.408433,156.786233,184.598193
1.0314962,182.044261,185.105623,189.851921,194.598219,197.659581,1,0,0,0,189.851921,162.51354,156.904688,184.652759
1.0346999,182.056144,185.117706,189.864314,194.610922,197.672484,1,0,0,0,189.864314,162.61799,157.022645,184.706035
1.0379135,182.066378,185.128112,189.874987,194.621862,197.683596,1,0,0,0,189.874987,162.721777,157.140096,184.758008
1.0411371,182.074949,185.136827,189.883925,194.631023,197.692901,1,0,0,0,189.883925,162.824896,157.25704,184.808669
1.0443707,182.08184,185.143834,189.891112,194.63839,197.700384,1,0,0,0,189.891112,162.92734,157.37347,184.858003
1.0476144,182.087036,185.149118,189.896531,194.643944,197.706026,1,0,0,0,189.896531,163.029105,157.489384,184.906001
1.0508681,182.090522,185.152662,189.900166,194.64767,197.70981,1,0,0,0,189.900166,163.130181,157.604771,184.952648
1.0541319,182.092281,185.154451,189.902001,194.649551,197.711721,1,0,0,0,189.902001,163.230562,157.71963,184.997932
1.0574059,182.092297,185.154467,189.902017,194.649567,197.711737,1,0,0,0,189.902017,163.330245,157.833957,185.041842
1.0606901,182.090554,185.152695,189.9002,194.647705,197.709846,1,0,0,0,189.9002,163.429222,157.947746,185.084365
1.0639844,182.087035,185.149117,189.89653,194.643943,197.706025,1,0,0,0,189.89653,163.527483,158.060987,185.125487
1.067289,182.081724,185.143716,189.890991,194.638266,197.700258,1,0,0,0,189.890991,163.625025,158.173681,185.165196
1.0706038,182.074604,185.136477,189.883566,194.630655,197.692528,1,0,0,0,189.883566,163.721838,158.285817,185.203478
1.0739289,182.065659,185.127381,189.874237,194.621093,197.682815,1,0,0,0,189.874237,163.817917,158.397393,185.240322
1.0772644,182.05487,185.11641,189.862985,194.60956,197.6711,1,0,0,0,189.862985,163.913258,158.508405,185.275714
1.0806102,182.04222,185.103548,189.849793,194.596038,197.657366,1,0,0,0,189.849793,164.007849,158.618844,185.309639
1.0839664,182.027693,185.088777,189.834643,194.580509,197.641593,1,0,0,0,189.834643,164.101685,158.728706,185.342086
1.0873331,182.01127,185.072077,189.817515,194.562953,197.62376,1,0,0,0,189.817515,164.194762,158.837988,185.37304
1.0907102,181.992933,185.053432,189.798392,194.543352,197.603851,1,0,0,0,189.798392,164.287068,158.94668,185.402487
1.0940978,181.972664,185.032823,189.777254,194.521685,197.581844,1,0,0,0,189.777254,164.378598,159.054778,185.430414
1.0974959,181.950445,185.01023,189.754082,194.497934,197.557719,1,0,0,0,189.754082,164.469344,159.162276,185.456806
1.1009045,181.926259,184.985637,189.728858,194.472079,197.531457,1,0,0,0,189.728858,164.559299,159.269166,185.481649
1.1043238,181.900084,184.959022,189.701561,194.4441,197.503038,1,0,0,0,189.701561,164.648458,159.375449,185.50493
1.1077536,181.871905,184.930369,189.672173,194.413977,197.472441,1,0,0,0,189.672173,164.736808,159.48111,185.526633
1.1111941,181.841699,184.899655,189.640672,194.381689,197.439645,1,0,0,0,189.640672,164.824347,159.586151,185.546744
1.1146453,181.809449,184.866862,189.607038,194.347214,197.404627,1,0,0,0,189.607038,164.911066,159.690562,185.565249
1.1181073,181.775134,184.831971,189.571252,194.310533,197.36737,1,0,0,0,189.571252,164.996958,159.794341,185.582133
1.1215799,181.738736,184.794961,189.533293,194.271625,197.32785,1,0,0,0,189.533293,165.082011,159.897474,185.597379
1.1250634,181.700235,184.755812,189.49314,194.230469,197.286045,1,0,0,0,189.49314,165.166224,159.999963,185.610974
1.1285577,181.659608,184.714502,189.450771,194.18704,197.241934,1,0,0,0,189.450771,165.249584,160.101798,185.622902
1.1320628,181.616838,184.671013,189.406167,194.141321,197.195496,1,0,0,0,189.406167,165.332084,160.202972,185.633147
1.1355788,181.571904,184.625322,189.359305,194.093288,197.146706,1,0,0,0,189.359305,165.413717,160.30348,185.641694
1.1391058,181.524782,184.577408,189.310162,194.042916,197.095542,1,0,0,0,189.310162,165.494477,160.403319,185.648527
1.1426436,181.475454,184.527251,189.258719,193.990187,197.041984,1,0,0,0,189.258719,165.57435,160.502474,185.65363
1.1461925,181.423897,184.474827,189.204951,193.935075,196.986005,1,0,0,0,189.204951,165.653334,160.600948,185.656987
1.1497524,181.370091,184.420116,189.148837,193.877558,196.927583,1,0,0,0,189.148837,165.731419,160.698729,185.658581
1.1533234,181.314012,184.363094,189.090353,193.817612,196.866694,1,0,0,0,189.090353,165.808596,160.795814,185.658397
1.1569054,181.25564,184.30374,189.029477,193.755214,196.803314,1,0,0,0,189.029477,165.884855,160.892192,185.656418
1.1604986,181.194951,184.24203,188.966185,193.69034,196.737419,1,0,0,0,188.966185,165.960191,160.987861,185.652626
1.1641029,181.131924,184.177944,188.900455,193.622966,196.668986,1,0,0,0,188.900455,166.034592,161.08281,185.647005
1.1677185,181.066532,184.111453,188.832259,193.553065,196.597986,1,0,0,0,188.832259,166.108054,161.177037,185.639538
1.1713452,180.998758,184.042539,188.761578,193.480617,196.524398,1,0,0,0,188.761578,166.180562,161.270529,185.630207
1.1749833,180.928573,183.971173,188.688383,193.405593,196.448193,1,0,0,0,188.688383,166.252115,161.363287,185.618994
1.1786326,180.855958,183.897337,188.612653,193.327969,196.369348,1,0,0,0,188.612653,166.322697,161.455297,185.605883
1.1822932,180.780886,183.821003,188.534362,193.247721,196.287838,1,0,0,0,188.534362,166.392302,161.546554,185.590855
1.1859653,180.703333,183.742145,188.453482,193.164819,196.203631,1,0,0,0,188.453482,166.460923,161.637055,185.573892
1.1896487,180.623275,183.660741,188.369991,193.079241,196.116707,1,0,0,0,188.369991,166.528548,161.726787,185.554976
1.1933436,180.540686,183.576763,188.28386,192.990957,196.027034,1,0,0,0,188.28386,166.59517,161.815748,185.534088
1.1970499,180.455544,183.490189,188.195066,192.899943,195.934588,1,0,0,0,188.195066,166.660777,161.903926,185.511211
1.2007678,180.367818,183.400989,188.103578,192.806167,195.839338,1,0,0,0,188.103578,166.725363,161.991318,185.486323
1.2044972,180.277488,183.309139,188.009373,192.709607,195.741258,1,0,0,0,188.009373,166.788916,162.077914,185.459408
1.2082381,180.184527,183.214614,187.912425,192.610236,195.640323,1,0,0,0,187.912425,166.851427,162.163705,185.430445
1.2119908,180.088901,183.117381,187.812698,192.508015,195.536495,1,0,0,0,187.812698,166.91289,162.24869,185.399414
1.215755,179.990594,183.017421,187.710175,192.402929,195.429756,1,0,0,0,187.710175,166.97329,162.332855,185.366298
1.219531,179.88957,182.914698,187.604818,192.294938,195.320066,1,0,0,0,187.604818,167.032621,162.416197,185.331074
1.2233186,179.785809,182.809192,187.496607,192.184022,195.207405,1,0,0,0,187.496607,167.090871,162.498703,185.293724
1.2271181,179.679276,182.700867,187.385505,192.070143,195.091734,1,0,0,0,187.385505,167.148032,162.580372,185.254226
1.2309293,179.569949,182.589702,187.271489,191.953276,194.973029,1,0,0,0,187.271489,167.204092,162.66119,185.21256
1.2347524,179.457795,182.475662,187.154525,191.833388,194.851255,1,0,0,0,187.154525,167.259044,162.741154,185.168706
1.2385874,179.342786,182.358718,187.034583,191.710448,194.72638,1,0,0,0,187.034583,167.312875,162.820254,185.122641
1.2424342,179.224896,182.238846,186.911637,191.584428,194.598378,1,0,0,0,186.911637,167.365575,162.89848,185.074346
1.2462931,179.104088,182.116007,186.785648,191.455289,194.467208,1,0,0,0,186.785648,167.417136,162.975829,185.023797
1.2501639,178.985551,181.995476,186.662027,191.328578,194.338503,1,0,0,0,186.662027,167.467818,163.053993,184.975972
1.2540467,178.982726,181.992604,186.659081,191.325558,194.335436,1,0,0,0,186.659081,167.523566,163.170047,185.039633
1.2579416,178.978145,181.987945,186.654303,191.320661,194.330461,1,0,0,0,186.654303,167.578199,163.285527,185.10208
1.2618485,178.971791,181.981485,186.647677,191.313869,194.323563,1,0,0,0,186.647677,167.631704,163.400424,185.163301
1.2657676,178.963649,181.973206,186.639186,191.305166,194.314723,1,0,0,0,186.639186,167.684075,163.514739,185.223286
1.2696989,178.953702,181.963092,186.628812,191.294532,194.303922,1,0,0,0,186.628812,167.735299,163.628462,185.282023
1.2736424,178.941932,181.951124,186.616537,191.28195,194.291142,1,0,0,0,186.616537,167.785366,163.741589,185.339501
1.2775982,178.928322,181.937284,186.602343,191.267402,194.276364,1,0,0,0,186.602343,167.834265,163.854114,185.395708
1.2815662,178.912854,181.921557,186.586212,191.250867,194.25957,1,0,0,0,186.586212,167.881986,163.966028,185.450632
