R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,171.867,173.134,171.892,171.88,172.572,172.546,171.863,172.575,172.89,172.614,173.033,173.024,173.404,173.234,173.193,173.627,173.29,172.608,173.217,173.28,173.896,173.466,173.975,173.683,174.221,174.201,173.767,174.081,174.301,174.379,173.703,174.01,174.223,174.249,174.914,175.13,175.007,174.628,174.441,174.663,174.459,174.442,175.413,174.652,175.028,175.798,175.435,176.071,175.637,175.207,175.197,175.488,175.55,175.589,175.436,175.71,175.725,176.694,176.371,176.035,176.088,175.733,175.908,176.902,176.429,176.332,176.944,176.845,176.942,176.401,176.578,176.851,176.793,177.238,176.452,177.564,177.081,176.776,176.915,177.71,178.182,177.673,177.197,177.601,177.765,177.942,177.843,177.615,178.646,178.083,178.168,178.279,178.769,178.118,178.712,179.06,178.642,178.074,178.033,178.837
1.02261,172.79,174.056,172.817,172.804,173.48,173.457,172.786,173.494,173.821,173.533,173.937,173.956,174.321,174.163,174.122,174.535,174.214,173.537,174.146,174.207,174.818,174.403,174.915,174.595,175.161,175.117,174.712,175.017,175.218,175.299,174.636,174.963,175.152,175.171,175.843,176.07,175.938,175.565,175.365,175.599,175.399,175.378,176.341,175.58,175.973,176.735,176.381,177.02,176.599,176.15,176.154,176.447,176.505,176.544,176.391,176.66,176.666,177.637,177.32,176.968,177.034,176.676,176.866,177.854,177.379,177.297,177.881,177.814,177.915,177.356,177.526,177.823,177.762,178.194,177.407,178.511,178.048,177.728,177.865,178.655,179.137,178.617,178.148,178.54,178.75,178.92,178.782,178.583,179.595,179.037,179.134,179.229,179.701,179.073,179.678,180.018,179.631,179.037,178.999,179.791
1.04573,173.682,174.947,173.713,173.697,174.356,174.337,173.678,174.381,174.721,174.421,174.808,174.858,175.206,175.06,175.02,175.411,175.107,174.435,175.044,175.104,175.709,175.31,175.826,175.474,176.071,176.002,175.628,175.923,176.103,176.187,175.539,175.886,176.049,176.061,176.74,176.98,176.838,176.47,176.257,176.503,176.309,176.283,177.237,176.476,176.888,177.641,177.296,177.937,177.532,177.062,177.082,177.375,177.43,177.468,177.316,177.579,177.576,178.549,178.237,177.869,177.949,177.589,177.795,178.774,178.299,178.231,178.787,178.753,178.858,178.28,178.442,178.765,178.702,179.12,178.332,179.427,178.985,178.65,178.784,179.569,180.059,179.529,179.067,179.447,179.706,179.868,179.689,179.521,180.513,179.96,180.07,180.148,180.6,179.997,180.613,180.945,180.591,179.969,179.934,180.713
1.06937,174.543,175.805,174.576,174.557,175.199,175.183,174.538,175.236,175.589,175.276,175.645,175.728,176.058,175.925,175.886,176.252,175.967,175.301,175.909,175.967,176.567,176.185,176.704,176.32,176.948,176.853,176.512,176.796,176.953,177.041,176.41,176.777,176.913,176.918,177.603,177.857,177.704,177.343,177.116,177.374,177.186,177.155,178.1,177.339,177.77,178.514,178.178,178.821,178.433,177.942,177.978,178.272,178.323,178.36,178.209,178.465,178.452,179.427,179.122,178.736,178.831,178.468,178.69,179.662,179.185,179.134,179.658,179.66,179.769,179.171,179.325,179.675,179.609,180.012,179.224,180.309,179.889,179.538,179.67,180.448,180.948,180.407,179.954,180.32,180.629,180.784,180.561,180.425,181.396,180.849,180.972,181.032,181.464,180.888,181.515,181.837,181.518,180.868,180.836,181.6
1.09355,175.368,176.627,175.404,175.383,176.005,175.994,175.363,176.055,176.423,176.095,176.446,176.563,176.874,176.755,176.717,177.057,176.792,176.133,176.74,176.796,177.388,177.025,177.547,177.129,177.791,177.668,177.362,177.634,177.768,177.858,177.245,177.634,177.742,177.738,178.43,178.699,178.534,178.18,177.938,178.21,178.028,177.992,178.926,178.166,178.617,179.35,179.025,179.67,179.299,178.786,178.839,179.134,179.18,179.217,179.067,179.316,179.293,180.27,179.971,179.567,179.677,179.311,179.552,180.514,180.035,180.002,180.492,180.532,180.646,180.027,180.173,180.551,180.482,180.868,180.08,181.154,180.759,180.391,180.52,181.291,181.801,181.248,180.804,181.156,181.519,181.665,181.397,181.295,182.242,181.702,181.839,181.88,182.289,181.742,182.381,182.693,182.412,181.731,181.703,182.451
1.11827,176.156,177.412,176.195,176.172,176.773,176.766,176.151,176.836,177.219,176.877,177.207,177.361,177.652,177.547,177.51,177.822,177.578,176.927,177.532,177.587,178.171,177.828,178.353,177.899,178.595,178.443,178.174,178.434,178.543,178.637,178.042,178.455,178.532,178.52,179.219,179.502,179.326,178.979,178.722,179.008,178.833,178.791,179.714,178.954,179.426,180.148,179.834,180.481,180.129,179.592,179.664,179.959,180.001,180.037,179.888,180.13,180.096,181.073,180.782,180.359,180.485,180.117,180.376,181.327,180.847,180.832,181.288,181.368,181.486,180.845,180.982,181.389,181.318,181.687,180.899,181.961,181.591,181.205,181.332,182.095,182.615,182.05,181.616,181.952,182.373,182.509,182.192,182.128,183.049,182.516,182.667,182.689,183.074,182.558,183.209,183.511,183.268,182.556,182.532,183.263
1.14355,176.904,178.155,176.946,176.921,177.499,177.497,176.899,177.576,177.975,177.618,177.927,178.118,178.388,178.299,178.263,178.546,178.324,177.681,178.285,178.337,178.912,178.591,179.119,178.627,179.36,179.177,178.948,179.194,179.277,179.374,178.799,179.237,179.282,179.26,179.967,180.265,180.077,179.738,179.465,179.765,179.597,179.55,180.459,179.701,180.195,180.905,180.603,181.251,180.919,180.358,180.449,180.744,180.782,180.817,180.669,180.903,180.858,181.835,181.552,181.109,181.252,180.881,181.16,182.1,181.619,181.623,182.041,182.163,182.287,181.623,181.75,182.189,182.115,182.464,181.678,182.726,182.384,181.979,182.103,182.857,183.388,182.811,182.386,182.706,183.187,183.314,182.946,182.92,183.814,183.289,183.455,183.456,183.816,183.333,183.996,184.286,184.086,183.34,183.321,184.033
1.16941,177.61,178.856,177.656,177.627,178.181,178.184,177.605,178.273,178.689,178.316,178.601,178.834,179.08,179.007,178.972,179.224,179.027,178.393,178.994,179.044,179.61,179.311,179.842,179.311,180.082,179.866,179.679,179.91,179.965,180.067,179.514,179.977,179.987,179.956,180.67,180.985,180.783,180.453,180.163,180.479,180.319,180.265,181.16,180.404,180.922,181.617,181.329,181.978,181.668,181.081,181.192,181.487,181.52,181.554,181.407,181.633,181.576,182.553,182.279,181.814,181.975,181.602,181.902,182.829,182.347,182.372,182.749,182.917,183.045,182.358,182.474,182.946,182.869,183.198,182.413,183.447,183.133,182.709,182.829,183.575,184.116,183.526,183.113,183.415,183.96,184.076,183.654,183.669,184.534,184.017,184.2,184.178,184.511,184.063,184.739,185.017,184.861,184.081,184.066,184.758
1.19584,178.27,179.509,178.319,178.288,178.816,178.824,178.265,178.924,179.356,178.967,179.227,179.503,179.725,179.67,179.636,179.855,179.683,179.058,179.658,179.705,180.261,179.986,180.52,179.946,180.759,180.507,180.365,180.581,180.606,180.712,180.182,180.672,180.646,180.604,181.326,181.658,181.443,181.122,180.814,181.146,180.994,180.934,181.814,181.059,181.602,182.283,182.008,182.658,182.371,181.757,181.889,182.185,182.213,182.246,182.101,182.317,182.247,183.224,182.958,182.472,182.652,182.277,182.598,183.512,183.029,183.076,183.41,183.625,183.758,183.046,183.152,183.658,183.578,183.885,183.103,184.12,183.838,183.393,183.509,184.244,184.796,184.193,183.793,184.075,184.688,184.793,184.313,184.372,185.206,184.698,184.898,184.853,185.156,184.746,185.435,185.7,185.592,184.774,184.764,185.435
1.22288,178.882,180.113,178.934,178.9,179.401,179.414,178.876,179.525,179.975,179.568,179.803,180.124,180.319,180.283,180.251,180.434,180.289,179.676,180.272,180.316,180.861,180.612,181.149,180.531,181.386,181.098,181.003,181.203,181.196,181.306,180.801,181.32,181.255,181.202,181.931,182.282,182.052,181.741,181.414,181.763,181.62,181.553,182.416,181.665,182.233,182.898,182.638,183.288,183.026,182.384,182.539,182.835,182.857,182.889,182.745,182.952,182.868,183.844,183.588,183.079,183.279,182.901,183.245,184.144,183.661,183.731,184.019,184.285,184.424,183.686,183.779,184.322,184.239,184.523,183.743,184.742,184.493,184.026,184.139,184.863,185.426,184.81,184.422,184.684,185.368,185.462,184.921,185.027,185.826,185.328,185.547,185.476,185.748,185.378,186.081,186.332,186.274,185.418,185.413,186.061
1.25053,179.441,180.664,179.497,179.459,179.931,179.949,179.435,180.073,180.542,180.116,180.323,180.692,180.86,180.843,180.813,180.958,180.842,180.24,180.833,180.874,181.408,181.186,181.726,181.061,181.96,181.633,181.59,181.771,181.732,181.845,181.367,181.916,181.81,181.746,182.482,182.852,182.607,182.308,181.96,182.327,182.194,182.12,182.964,182.216,182.811,183.459,183.215,183.866,183.63,182.958,183.137,183.432,183.449,183.479,183.337,183.534,183.436,184.41,184.165,183.631,183.853,183.472,183.84,184.723,184.239,184.334,184.574,184.892,185.037,184.272,184.353,184.934,184.847,185.107,184.33,185.309,185.096,184.607,184.715,185.426,186.002,185.371,184.998,185.238,185.997,186.078,185.473,185.628,186.391,185.904,186.142,186.044,186.284,185.956,186.674,186.909,186.905,186.009,186.009,186.632
1.2788,179.93,181.151,179.99,179.95,180.399,180.423,179.925,180.555,181.04,180.599,180.786,181.192,181.339,181.337,181.307,181.425,181.329,180.736,181.327,181.367,181.892,181.691,182.234,181.532,182.469,182.11,182.105,182.274,182.207,182.326,181.866,182.439,182.301,182.229,182.973,183.358,183.1,182.808,182.445,182.826,182.699,182.62,183.453,182.705,183.323,183.958,183.726,184.379,184.162,183.466,183.663,183.959,183.972,184.001,183.859,184.05,183.939,184.916,184.678,184.123,184.363,183.978,184.366,185.239,184.752,184.866,185.07,185.431,185.58,184.79,184.863,185.475,185.386,185.626,184.85,185.816,185.63,185.122,185.228,185.931,186.518,185.873,185.51,185.734,186.553,186.625,185.97,186.161,186.9,186.419,186.673,186.554,186.768,186.473,187.204,187.429,187.464,186.536,186.539,187.144
1.30771,180.36,181.578,180.423,180.38,180.805,180.834,180.354,180.976,181.478,181.021,181.186,181.632,181.757,181.769,181.74,181.829,181.755,181.171,181.76,181.799,182.315,182.136,182.683,181.94,182.917,182.525,182.56,182.716,182.621,182.745,182.303,182.904,182.73,182.65,183.403,183.803,183.531,183.248,182.868,183.264,183.145,183.06,183.88,183.132,183.775,184.396,184.177,184.831,184.635,183.914,184.13,184.426,184.435,184.462,184.321,184.505,184.38,185.359,185.13,184.553,184.811,184.422,184.831,185.693,185.204,185.338,185.504,185.909,186.063,185.248,185.311,185.956,185.864,186.084,185.309,186.261,186.103,185.576,185.679,186.373,186.971,186.314,185.962,186.168,187.05,187.112,186.403,186.634,187.346,186.873,187.143,187.001,187.189,186.927,187.672,187.887,187.964,187.001,187.008,187.593
1.33728,180.725,181.939,180.791,180.746,181.145,181.18,180.719,181.332,181.851,181.378,181.519,182.007,182.108,182.137,182.109,182.167,182.116,181.542,182.128,182.166,182.673,182.516,183.067,182.282,183.3,182.873,182.952,183.093,182.968,183.097,182.676,183.304,183.094,183.005,183.766,184.183,183.896,183.622,183.226,183.636,183.525,183.435,184.241,183.494,184.162,184.768,184.563,185.217,185.044,184.297,184.533,184.829,184.833,184.859,184.718,184.895,184.756,185.737,185.516,184.916,185.195,184.801,185.232,186.083,185.591,185.746,185.871,186.323,186.482,185.641,185.694,186.373,186.278,186.476,185.704,186.639,186.511,185.965,186.064,186.749,187.359,186.687,186.347,186.534,187.483,187.535,186.769,187.042,187.725,187.259,187.548,187.381,187.541,187.316,188.075,188.279,188.4,187.401,187.411,187.976
