R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,192.155,194.417,192.062,192.01,193.957,193.797,192.086,193.497,193.6,193.203,194.733,193.051,195.059,194.568,194.553,195.493,194.846,193.006,194.073,193.886,195.498,193.766,194.122,195.445,195.198,195.646,194.229,194.685,196.125,196.024,194.824,194.142,195.421,195.996,196.777,196.329,196.606,195.772,195.744,195.577,195.56,195.061,197.315,196.445,195.737,197.368,196.484,197.42,196.382,196.622,195.612,195.975,196.386,196.05,196.31,196.526,197.54,198.892,198.252,198.114,197.56,197.225,196.692,198.875,198.102,197.317,199.144,197.503,197.551,197.778,198.275,197.692,197.489,198.641,197.675,199.968,198.641,198.198,198.677,199.958,200.422,200.22,198.998,200.458,198.413,198.761,200.464,198.985,201.157,200.253,200.054,200.167,201.795,200.553,200.994,201.854,199.409,199.97,199.389,201.288
1.02261,192.491,194.767,192.397,192.343,194.272,194.104,192.42,193.807,193.935,193.548,195.069,193.443,195.382,194.841,194.815,195.826,195.106,193.334,194.367,194.232,195.816,194.129,194.508,195.756,195.552,195.978,194.556,195.057,196.426,196.351,195.089,194.478,195.722,196.305,197.102,196.678,196.925,196.098,196.095,195.914,195.848,195.422,197.639,196.714,196.095,197.705,196.815,197.763,196.701,196.93,195.936,196.303,196.719,196.4,196.601,196.878,197.792,199.207,198.543,198.394,197.886,197.487,197.004,199.189,198.383,197.605,199.458,197.866,197.896,198.047,198.57,198.005,197.821,198.959,197.985,200.241,198.887,198.504,198.954,200.267,200.73,200.496,199.295,200.729,198.744,199.116,200.767,199.264,201.493,200.56,200.361,200.503,202.102,200.811,201.298,202.163,199.76,200.272,199.696,201.579
1.04573,192.75,195.039,192.654,192.6,194.509,194.333,192.677,194.039,194.192,193.815,195.325,193.756,195.626,195.036,194.999,196.08,195.288,193.586,194.584,194.499,196.054,194.415,194.814,195.987,195.826,196.23,194.806,195.349,196.646,196.598,195.275,194.736,195.943,196.534,197.346,196.947,197.163,196.344,196.365,196.17,196.058,195.703,197.882,196.904,196.373,197.959,197.066,198.024,196.94,197.159,196.182,196.551,196.972,196.67,196.813,197.149,197.964,199.441,198.754,198.593,198.129,197.669,197.236,199.422,198.582,197.814,199.689,198.147,198.159,198.236,198.783,198.238,198.073,199.194,198.214,200.431,199.053,198.727,199.15,200.493,200.955,200.689,199.51,200.918,198.995,199.389,200.986,199.464,201.742,200.784,200.587,200.753,202.326,200.987,201.518,202.388,200.027,200.491,199.921,201.785
1.06937,192.928,195.226,192.83,192.774,194.662,194.48,192.852,194.188,194.367,193.997,195.496,193.986,195.785,195.147,195.1,196.248,195.387,193.755,194.717,194.682,196.208,194.615,195.036,196.132,196.017,196.397,194.974,195.556,196.78,196.759,195.378,194.911,196.079,196.677,197.504,197.131,197.315,196.505,196.548,196.34,196.183,195.898,198.039,197.009,196.565,198.126,197.231,198.199,197.096,197.302,196.343,196.714,197.139,196.853,196.942,197.334,198.05,199.586,198.879,198.705,198.286,197.764,197.382,199.568,198.695,197.939,199.832,198.342,198.336,198.339,198.909,198.386,198.237,199.341,198.356,200.534,199.136,198.864,199.259,200.63,201.091,200.794,199.638,201.018,199.159,199.574,201.114,199.577,201.9,200.919,200.725,200.911,202.46,201.075,201.65,202.523,200.205,200.623,200.058,201.901
1.09355,193.017,195.323,192.917,192.861,194.726,194.538,192.938,194.249,194.453,194.089,195.576,194.126,195.854,195.171,195.114,196.325,195.398,193.835,194.761,194.774,196.272,194.726,195.167,196.186,196.116,196.474,195.053,195.672,196.823,196.829,195.393,194.998,196.124,196.73,197.57,197.222,197.374,196.575,196.638,196.417,196.219,196,198.104,197.024,196.665,198.2,197.305,198.281,197.162,197.356,196.414,196.785,197.216,196.944,196.981,197.426,198.045,199.639,198.912,198.724,198.351,197.769,197.436,199.621,198.715,197.972,199.88,198.442,198.42,198.351,198.942,198.443,198.309,199.394,198.406,200.543,199.128,198.907,199.275,200.672,201.132,200.804,199.672,201.024,199.23,199.665,201.146,199.599,201.961,200.958,200.769,200.972,202.499,201.069,201.687,202.563,200.288,200.66,200.099,201.921
1.11827,193.013,195.324,192.911,192.853,194.695,194.501,192.931,194.215,194.444,194.086,195.559,194.169,195.827,195.1,195.033,196.304,195.314,193.82,194.711,194.77,196.238,194.741,195.2,196.143,196.119,196.453,195.036,195.691,196.768,196.801,195.313,194.989,196.073,196.686,197.539,197.216,197.335,196.548,196.629,196.395,196.159,196.004,198.071,196.942,196.667,198.173,197.28,198.263,197.132,197.312,196.388,196.76,197.194,196.936,196.924,197.419,197.942,199.592,198.847,198.644,198.315,197.675,197.391,199.574,198.637,197.909,199.828,198.443,198.405,198.264,198.876,198.401,198.282,199.346,198.356,200.452,199.024,198.85,199.192,200.612,201.072,200.714,199.606,200.929,199.202,199.654,201.076,199.522,201.917,200.896,200.712,200.929,202.435,200.962,201.623,202.501,200.268,200.597,200.04,201.837
1.14355,192.907,195.222,192.803,192.744,194.562,194.362,192.823,194.079,194.333,193.98,195.438,194.108,195.697,194.928,194.852,196.179,195.129,193.704,194.558,194.662,196.101,194.651,195.129,195.996,196.018,196.327,194.918,195.605,196.608,196.668,195.131,194.878,195.918,196.537,197.402,197.104,197.191,196.416,196.514,196.268,195.996,195.902,197.932,196.757,196.564,198.039,197.149,198.14,196.997,197.164,196.258,196.629,197.068,196.822,196.763,197.306,197.735,199.437,198.676,198.458,198.174,197.477,197.242,199.421,198.453,197.74,199.668,198.337,198.282,198.073,198.704,198.254,198.149,199.19,198.199,200.254,198.815,198.686,199.001,200.443,200.903,200.516,199.432,200.726,199.067,199.536,200.896,199.338,201.763,200.724,200.548,200.774,202.262,200.748,201.449,202.33,200.14,200.426,199.872,201.643
1.16941,192.694,195.011,192.588,192.528,194.319,194.115,192.607,193.835,194.114,193.764,195.207,193.937,195.457,194.648,194.564,195.942,194.836,193.48,194.296,194.444,195.853,194.452,194.945,195.737,195.807,196.09,194.69,195.408,196.336,196.423,194.841,194.657,195.651,196.277,197.152,196.879,196.933,196.172,196.285,196.028,195.723,195.688,197.68,196.461,196.347,197.791,196.906,197.902,196.752,196.905,196.017,196.387,196.829,196.595,196.492,197.079,197.417,199.168,198.393,198.159,197.919,197.168,196.979,199.153,198.156,197.46,199.392,198.115,198.046,197.769,198.418,197.994,197.902,198.918,197.929,199.941,198.496,198.408,198.698,200.158,200.617,200.202,199.144,200.407,198.819,199.301,200.599,199.041,201.489,200.436,200.268,200.5,201.972,200.419,201.16,202.041,199.894,200.139,199.588,201.331
1.19584,192.366,194.681,192.257,192.196,193.96,193.752,192.276,193.475,193.779,193.43,194.857,193.646,195.098,194.254,194.161,195.587,194.429,193.139,193.919,194.108,195.486,194.133,194.641,195.359,195.476,195.735,194.346,195.09,195.944,196.059,194.435,194.32,195.266,195.898,196.783,196.534,196.556,195.81,195.936,195.668,195.333,195.352,197.308,196.047,196.01,197.421,196.542,197.543,196.387,196.527,195.657,196.025,196.471,196.246,196.101,196.73,196.98,198.777,197.99,197.739,197.542,196.739,196.595,198.764,197.738,197.059,198.993,197.771,197.688,197.345,198.011,197.614,197.534,198.523,197.538,199.505,198.056,198.008,198.272,199.748,200.207,199.765,198.732,199.965,198.448,198.942,200.176,198.623,201.09,200.023,199.864,200.1,201.556,199.967,200.745,201.627,199.523,199.729,199.18,200.893
1.22288,191.913,194.225,191.802,191.74,193.475,193.265,191.82,192.991,193.318,192.971,194.38,193.227,194.614,193.736,193.636,195.104,193.897,192.673,193.417,193.644,194.992,193.688,194.208,194.854,195.018,195.251,193.876,194.643,195.424,195.566,193.905,193.856,194.754,195.391,196.284,196.058,196.048,195.319,195.458,195.178,194.816,194.887,196.806,195.506,195.543,196.92,196.049,197.052,195.895,196.02,195.168,195.534,195.983,195.767,195.583,196.251,196.415,198.254,197.457,197.188,197.034,196.182,196.082,198.243,197.191,196.53,198.462,197.295,197.198,196.792,197.472,197.103,197.034,197.995,197.015,198.937,197.489,197.476,197.716,199.206,199.664,199.195,198.189,199.391,197.946,198.45,199.62,198.073,200.554,199.477,199.327,199.563,201.006,199.383,200.197,201.078,199.018,199.185,198.639,200.32
