R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,190.923,189.529,194.62,196.617,189.452,193.949,196.868,192.706,188.314,192.787,193.03,192.32,191.911,191.367,192.233,192.951,193.45,195.04,195.451,196.374,194.133,193.058,194.524,196.539,191.377,197.573,193.998,194.414,197.638,198.371,197.588,195.958,197.964,195.993,194.751,194.448,195.107,195.936,197.642,199.519,199.377,199.995,197.719,202.872,200.518,199.028,200.884,194.95,196.374,198.658,200.561,200.619,198.937,201.933,199.75,202.354,202.555,197.967,199.09,202.431,201.327,205.935,204.016,199.757,200.866,202.791,202.105,201.952,203.61,204.383,203.346,202.323,203.567,203.645,204.877,202.577,205.251,206.454,208.598,203.906,204.406,205.496,206.098,204.355,202.765,203.997,206.088,208.884,203.836,204.015,205.566,211.004,207.453,208.069,204.215,204.671,206.756,206.58,210.977,209.205
7.79,0.421,334.769,332.107,341.185,344.685,332.183,340.003,345.146,337.733,330.157,337.932,338.376,337.134,336.409,335.431,336.976,338.253,339.112,341.963,342.652,344.227,340.279,338.413,340.954,344.529,335.392,346.37,340.101,340.802,346.479,347.716,346.46,343.521,347.079,343.63,341.389,340.819,341.998,343.54,346.572,349.809,349.595,350.663,346.646,355.713,351.583,348.958,352.159,341.754,344.283,348.327,351.641,351.759,348.835,354.138,350.242,354.799,355.176,347.081,349.053,354.962,353.061,361.222,357.775,350.253,352.211,355.608,354.39,354.146,357.066,358.438,356.627,354.836,357.003,357.117,359.347,355.23,359.952,362.156,365.901,357.548,358.424,360.366,361.419,358.411,355.603,357.759,361.462,366.403,357.467,357.811,360.524,370.133,363.887,364.923,358.158,358.92,362.668,362.381,370.144,367.027
7.79,0.516,465.304,461.401,474.096,478.925,461.723,472.452,479.59,469.223,458.891,469.555,470.194,468.474,467.471,466.089,468.251,470.038,471.204,475.21,476.123,478.253,472.785,470.227,473.7,478.687,465.978,481.254,472.599,473.537,481.399,483.06,481.445,477.303,482.257,477.507,474.341,473.509,475.164,477.389,481.623,486.03,485.773,487.232,481.657,494.215,488.506,484.862,489.228,474.856,478.381,484.015,488.56,488.743,484.735,492.105,486.653,492.941,493.482,482.256,484.979,493.192,490.606,501.958,497.111,486.671,489.383,494.094,492.401,492.089,496.135,498.045,495.553,493.081,496.058,496.189,499.347,493.568,500.127,503.272,508.427,496.758,497.969,500.679,502.133,498.031,494.127,497.103,502.26,509.118,496.689,497.195,500.938,514.282,505.638,507.024,497.672,498.686,503.956,503.585,514.358,510.038
7.79,0.621,625.108,619.61,636.682,643.077,620.339,634.478,644.005,630.053,616.533,630.576,631.466,629.171,627.846,625.956,628.865,631.277,632.787,638.207,639.357,642.122,634.845,631.473,636.025,642.723,625.73,646.161,634.678,635.879,646.339,648.483,646.503,640.889,647.515,641.241,636.937,635.764,637.994,641.086,646.775,652.523,652.241,654.156,646.72,663.437,655.852,650.985,656.702,637.621,642.347,649.901,655.88,656.144,650.876,660.716,653.38,661.721,662.464,647.507,651.115,662.084,658.715,673.886,667.333,653.412,657.011,663.293,661.034,660.657,666.041,668.59,665.302,662.018,665.953,666.082,670.396,662.582,671.341,675.661,682.479,666.8,668.407,672.049,673.976,668.612,663.382,667.333,674.24,683.384,666.771,667.485,672.449,690.258,678.761,680.536,668.116,669.407,676.524,676.077,690.44,684.684
7.79,0.726,800.301,792.979,814.761,822.793,794.273,811.952,824.025,806.203,789.422,806.964,808.141,805.237,803.58,801.127,804.845,807.926,809.784,816.739,818.107,821.512,812.327,808.109,813.765,822.3,800.747,826.667,812.218,813.671,826.875,829.503,827.216,819.998,828.405,820.544,814.995,813.432,816.279,820.351,827.605,834.714,834.437,836.818,827.406,848.527,838.963,832.793,839.898,815.859,821.87,831.48,838.94,839.302,832.738,845.197,835.833,846.333,847.298,828.394,832.929,846.824,842.667,861.901,853.504,835.892,840.418,848.367,845.505,845.084,851.882,855.108,850.989,846.854,851.786,851.891,857.48,847.454,858.56,864.184,872.737,852.748,854.776,859.413,861.839,855.186,848.541,853.518,862.295,873.863,852.791,853.746,859.997,882.545,868.034,870.193,854.544,856.095,865.216,864.709,882.878,875.597
7.79,0.84,1005.45,995.936,1023.08,1032.93,997.997,1019.58,1034.53,1012.27,991.954,1013.33,1014.88,1011.27,1009.26,1006.12,1010.77,1014.63,1016.84,1025.58,1027.13,1031.23,1019.91,1014.75,1021.6,1032.24,1005.54,1037.65,1019.9,1021.61,1037.87,1041.03,1038.47,1029.4,1039.81,1030.22,1023.22,1021.18,1024.72,1029.97,1039.02,1047.57,1047.34,1050.23,1038.6,1064.66,1052.88,1045.23,1053.84,1024.25,1031.72,1043.69,1052.75,1053.23,1045.27,1060.66,1048.98,1061.9,1063.11,1039.79,1045.35,1062.54,1057.54,1081.35,1070.84,1049.09,1054.62,1064.45,1060.92,1060.46,1068.84,1072.82,1067.79,1062.7,1068.74,1068.78,1075.88,1063.29,1077.04,1084.21,1094.69,1069.78,1072.28,1078.05,1081.03,1072.99,1064.72,1070.85,1081.76,1096.04,1069.93,1071.18,1078.87,1106.75,1088.86,1091.42,1072.16,1073.98,1085.38,1084.85,1107.28,1098.28
7.79,0.944,1205.12,1193.45,1225.67,1237.17,1196.34,1221.49,1239.16,1212.66,1189.17,1214.04,1215.96,1211.67,1209.37,1205.55,1211.07,1215.69,1218.2,1228.63,1230.32,1235.04,1221.74,1215.71,1223.61,1236.27,1204.74,1242.64,1221.84,1223.77,1242.87,1246.49,1243.75,1232.91,1245.19,1234.03,1225.65,1223.09,1227.3,1233.71,1244.47,1254.28,1254.13,1257.49,1243.78,1274.44,1260.6,1251.55,1261.53,1226.78,1235.63,1249.84,1260.33,1260.92,1251.7,1269.83,1255.95,1271.13,1272.57,1245.14,1251.63,1271.9,1266.18,1294.24,1281.71,1256.13,1262.57,1274.13,1269.99,1269.53,1279.37,1284.05,1278.2,1272.21,1279.26,1279.22,1287.79,1272.73,1288.97,1297.65,1309.88,1280.33,1283.25,1290.11,1293.61,1284.33,1274.5,1281.71,1294.63,1311.42,1280.61,1282.14,1291.18,1324.02,1303.01,1305.89,1283.3,1285.34,1298.89,1298.38,1324.77,1314.16
7.79,1.054,1428.77,1414.64,1452.36,1465.62,1418.55,1447.45,1468.05,1436.92,1410.16,1438.67,1441.04,1436,1433.4,1428.79,1435.27,1440.74,1443.52,1455.84,1457.6,1462.95,1447.56,1440.6,1449.58,1464.45,1427.72,1471.84,1447.8,1449.93,1472.04,1476.17,1473.29,1460.51,1474.79,1462,1452.08,1448.96,1453.87,1461.6,1474.23,1485.3,1485.28,1489.12,1473.18,1508.78,1492.74,1482.15,1493.55,1453.3,1463.64,1480.3,1492.27,1492.98,1482.48,1503.51,1487.24,1504.83,1506.5,1474.71,1482.17,1505.72,1499.29,1531.91,1517.21,1487.51,1494.89,1508.32,1503.52,1503.08,1514.48,1519.89,1513.19,1506.23,1514.37,1514.18,1524.42,1506.64,1525.54,1535.91,1550.02,1515.41,1518.79,1526.81,1530.86,1520.32,1508.79,1517.15,1532.26,1551.72,1515.86,1517.72,1528.19,1566.34,1541.98,1545.2,1519.07,1521.31,1537.19,1536.74,1567.36,1555
8.17,0.292,160.904,159.837,164.205,165.587,159.552,163.364,166.2,162.08,158.65,161.993,162.777,161.832,162.012,160.965,161.818,162.638,162.784,164.376,164.438,165.277,163.7,162.517,163.5,165.645,161.262,166.375,163.378,163.659,166.256,167.202,166.304,164.932,166.447,165.173,164.016,163.557,164.013,164.962,166.628,167.775,167.905,168.323,166.603,170.997,169.004,167.534,169.057,163.877,165.065,167.404,168.479,168.62,167.602,169.709,167.78,170.452,170.257,166.784,167.452,170.105,169.553,173.091,171.659,168.343,168.73,170.37,170.009,170.004,171.362,171.686,170.926,169.923,171.089,170.922,172.539,169.963,172.465,173.753,175.462,171.232,171.817,172.721,173.112,172.031,170.168,171.419,173.52,175.475,171.424,171.507,173.023,177.437,174.479,175.05,171.836,172.253,173.629,173.799,177.21,175.646
8.17,0.414,287.291,285.186,293.166,295.624,284.848,291.631,296.776,289.227,283.2,289.112,290.584,288.855,289.217,287.262,288.828,290.338,290.56,293.495,293.553,295.027,292.205,290.075,291.791,295.719,287.767,297.044,291.66,292.134,296.809,298.491,296.959,294.424,297.169,294.923,292.775,291.896,292.731,294.534,297.584,299.554,299.836,300.567,297.475,305.394,301.811,299.143,301.823,292.511,294.667,298.941,300.802,301.079,299.306,303.1,299.565,304.395,304.036,297.788,298.968,303.765,302.836,309.233,306.594,300.618,301.281,304.241,303.606,303.622,306.068,306.638,305.291,303.478,305.568,305.23,308.243,303.49,308.028,310.454,313.499,305.771,306.834,308.481,309.174,307.306,303.895,306.159,309.994,313.498,306.172,306.34,309.072,317.049,311.73,312.714,306.937,307.661,310.174,310.529,316.676,313.853
8.17,0.524,420.91,417.598,429.425,432.985,417.325,427.152,434.731,423.516,414.883,423.399,425.627,423.063,423.638,420.692,423.019,425.275,425.545,429.93,429.946,432.059,427.946,424.831,427.276,433.106,421.391,435.055,427.191,427.847,434.687,437.121,434.988,431.195,435.232,432.007,428.783,427.429,428.668,431.426,435.953,438.716,439.19,440.235,435.711,447.311,442.073,438.141,441.987,428.375,431.554,437.888,440.521,440.948,438.431,443.985,438.733,445.825,445.289,436.152,437.85,444.897,443.618,453.012,449.078,440.322,441.249,445.593,444.679,444.736,448.314,449.134,447.193,444.529,447.576,447.03,451.57,444.471,451.153,454.835,459.255,447.802,449.366,451.804,452.806,450.171,445.106,448.431,454.111,459.222,448.456,448.728,452.727,464.44,456.661,458.047,449.607,450.629,454.355,454.937,463.939,459.795
8.17,0.645,586.538,581.627,598.176,603.038,581.567,594.996,605.536,589.798,578.15,589.715,592.903,589.308,590.167,585.975,589.239,592.426,592.715,598.902,598.818,601.673,596.017,591.719,594.992,603.169,586.879,605.872,595.037,595.886,605.327,608.651,605.861,600.502,606.102,601.744,597.176,595.203,596.934,600.92,607.268,610.907,611.65,613.058,606.808,622.846,615.619,610.142,615.346,596.564,600.992,609.861,613.359,613.983,610.62,618.289,610.925,620.752,619.995,607.387,609.691,619.458,617.813,630.831,625.29,613.187,614.401,620.413,619.178,619.304,624.241,625.35,622.717,619.02,623.213,622.382,628.845,618.827,628.115,633.397,639.444,623.42,625.591,628.998,630.365,626.867,619.768,624.376,632.32,639.35,624.418,624.828,630.356,646.585,635.85,637.684,626.052,627.41,632.623,633.521,645.958,640.215
8.17,0.718,695.124,689.121,708.718,714.392,689.27,704.952,717.39,698.721,685.222,698.676,702.501,698.237,699.292,694.277,698.149,701.945,702.226,709.589,709.414,712.726,706.095,701.047,704.822,714.517,695.297,717.7,704.985,705.946,717.033,720.915,717.742,711.362,717.96,712.907,707.457,705.066,707.115,711.92,719.449,723.598,724.535,726.167,718.819,737.679,729.19,722.718,728.762,706.7,711.929,722.438,726.453,727.207,723.335,732.346,723.615,735.184,734.283,719.475,722.155,733.656,731.806,747.133,740.548,726.318,727.697,734.772,733.339,733.52,739.318,740.607,737.545,733.189,738.104,737.074,744.802,732.883,743.838,750.179,757.248,738.274,740.83,744.864,746.46,742.446,734.03,739.455,748.859,757.102,739.508,740.016,746.516,765.622,753.013,755.114,741.461,743.019,749.191,750.313,764.933,758.167
8.17,0.795,816.055,808.81,831.744,838.288,809.236,827.332,841.842,819.947,804.495,819.96,824.498,819.494,820.778,814.843,819.381,823.853,824.106,832.77,832.47,836.269,828.587,822.726,827.021,838.388,815.978,842.089,827.343,828.414,841.279,845.763,842.201,834.691,842.372,836.59,830.162,827.296,829.692,835.419,844.247,848.911,850.073,851.943,843.404,865.324,855.468,847.908,854.84,829.227,835.331,847.644,852.188,853.084,848.687,859.148,848.915,862.38,861.318,844.133,847.208,860.592,858.547,876.376,868.64,852.11,853.649,861.876,860.237,860.485,867.211,868.69,865.177,860.101,865.796,864.532,873.671,859.65,872.419,879.947,888.111,865.903,868.876,873.596,875.439,870.895,861.026,867.341,878.347,887.892,867.408,868.028,875.582,897.808,883.174,885.549,869.712,871.478,878.694,880.083,897.061,889.183
8.17,0.921,1027.52,1018.05,1046.68,1054.65,1019.07,1041.16,1059.18,1031.76,1013.14,1031.9,1037.69,1031.41,1033.11,1025.57,1031.24,1036.9,1037.05,1047.96,1047.39,1051.99,1042.55,1035.33,1040.44,1054.68,1026.87,1059.24,1041.1,1042.33,1058.17,1063.66,1059.5,1050.04,1059.55,1052.6,1044.48,1040.76,1043.74,1051.1,1062.15,1067.59,1069.17,1071.43,1060.89,1087.95,1075.8,1066.38,1074.76,1043.19,1050.78,1066.19,1071.55,1072.69,1067.47,1080.36,1067.55,1084.21,1082.87,1061.71,1065.43,1081.98,1079.66,1101.7,1091.99,1071.6,1073.37,1083.53,1081.56,1081.95,1090.22,1092.01,1087.77,1081.47,1088.46,1086.77,1098.37,1080.72,1096.55,1106.16,1116.14,1088.42,1092.09,1097.98,1100.24,1094.86,1082.5,1090.32,1104.06,1115.77,1090.41,1091.23,1100.56,1128.03,1110.01,1112.81,1093.32,1095.41,1104.4,1106.29,1127.22,1117.45
8.17,1.055,1269.39,1257.34,1292.22,1301.71,1259.15,1285.47,1307.36,1273.77,1251.9,1274.11,1281.33,1273.62,1275.81,1266.43,1273.37,1280.37,1280.34,1293.78,1292.82,1298.25,1286.94,1278.23,1284.15,1301.59,1267.88,1307.08,1285.28,1286.66,1305.69,1312.25,1307.53,1295.89,1307.37,1299.25,1289.23,1284.5,1288.12,1297.35,1310.89,1317.03,1319.12,1321.79,1309.07,1341.71,1327.07,1315.6,1325.49,1287.46,1296.69,1315.53,1321.67,1323.09,1317.06,1332.56,1316.91,1337.05,1335.38,1309.95,1314.32,1334.32,1331.8,1358.39,1346.47,1321.93,1323.88,1336.13,1333.83,1334.39,1344.32,1346.42,1341.44,1333.8,1342.19,1339.97,1354.36,1332.65,1351.82,1363.82,1375.72,1341.91,1346.33,1353.52,1356.22,1350.04,1334.89,1344.34,1361.11,1375.13,1344.46,1345.52,1356.78,1389.95,1368.26,1371.47,1348.05,1350.47,1361.39,1363.91,1389.09,1377.25
8.66,0.289,137.089,135.82,139.93,140.532,135.836,138.795,141.767,137.177,135.162,136.954,138.597,137.326,138.343,136.481,137.47,138.46,138.153,139.979,139.594,140.222,139.46,138.067,138.44,140.983,137.116,141.501,139.045,139.075,141.137,142.288,141.476,140.182,141.273,140.797,139.507,138.776,139.09,140.47,142.254,142.421,143.027,143.097,142.058,145.772,144.173,142.662,143.657,139.221,140.214,142.821,142.794,143.198,143.055,144.221,142.314,145.319,144.605,142.286,142.377,144.413,144.675,147.251,146.196,143.759,143.251,144.7,144.722,145.001,146.132,145.853,145.39,144.366,145.499,144.962,147.391,144.014,146.622,148.349,149.527,145.288,146.135,146.878,146.935,146.856,144.452,145.845,148.221,149.25,146.094,146.108,147.664,151.24,148.825,149.275,146.668,146.971,147.731,148.363,150.847,149.505
