R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,205.531,203.965,210.043,212.031,203.738,208.987,212.729,207.419,202.577,207.256,208.069,207.066,207.091,205.99,207.134,207.96,208.449,210.474,210.846,211.902,209.659,208.149,209.695,212.33,206.324,213.495,209.384,209.756,213.466,214.55,213.494,211.683,213.844,211.752,210.207,209.828,210.555,211.679,213.752,215.684,215.75,216.269,213.936,219.874,217.239,215.413,217.483,210.598,212.211,215.054,216.829,217.123,215.469,218.527,215.97,219.446,219.325,214.328,215.4,219.098,218.165,223.214,221.261,216.479,217.385,219.675,218.975,218.984,220.936,221.479,220.267,219.044,220.599,220.527,222.42,219.186,222.616,224.148,226.483,220.849,221.704,222.884,223.394,221.752,219.62,221.209,223.842,226.746,221.125,221.28,223.228,229.325,225.238,226.102,221.674,222.21,224.373,224.278,229.117,227.108
7.79,0.421,355.826,352.777,363.699,367.217,352.711,361.864,368.417,359.081,350.691,358.859,360.175,358.592,358.521,356.725,358.771,360.09,361.093,364.632,365.401,367.136,363.152,360.571,363.35,367.887,357.247,370.061,362.857,363.46,370.088,371.832,370.236,366.972,370.876,367.03,364.268,363.679,365.026,367.052,370.637,374.149,374.282,375.131,370.999,381.496,376.888,373.757,377.337,365.299,368.188,373.057,376.322,376.912,373.924,379.457,374.913,380.916,380.827,371.892,373.828,380.425,378.751,387.853,384.334,375.769,377.508,381.614,380.245,380.339,383.858,384.854,382.643,380.592,383.29,383.219,386.474,380.82,386.939,389.621,393.733,383.701,385.26,387.334,388.204,385.325,381.741,384.493,389.049,394.369,384.287,384.617,388.016,398.903,391.638,393.144,385.338,386.182,390.295,389.975,398.673,395.177
7.79,0.516,489.812,485.292,500.648,505.535,485.538,498.127,507.173,494.248,482.767,494.004,495.714,493.705,493.495,491.147,494.016,495.705,497.238,502.115,503.297,505.572,500.02,496.522,500.426,506.61,491.805,509.746,499.804,500.585,509.862,512.113,510.172,505.573,511.079,505.59,501.718,500.98,502.915,505.773,510.672,515.648,515.852,516.961,511.212,525.797,519.447,515.193,520.086,503.494,507.546,514.156,518.818,519.71,515.499,523.31,516.971,525.172,525.173,512.658,515.386,524.61,522.266,535.087,530.134,518.121,520.673,526.436,524.401,524.614,529.574,530.99,527.848,525.111,528.808,528.764,533.201,525.402,533.964,537.667,543.363,529.344,531.562,534.432,535.607,531.636,526.84,530.607,536.839,544.42,530.262,530.779,535.46,550.694,540.557,542.631,531.809,532.872,538.882,538.283,550.514,545.711
7.79,0.621,651.341,644.911,665.676,672.195,645.705,662.34,674.351,657.138,642.054,656.899,659.027,656.605,656.178,653.237,657.107,659.166,661.404,667.868,669.597,672.448,665.014,660.461,665.731,673.83,654.028,678.175,664.992,665.955,678.437,681.21,678.998,672.767,680.231,672.703,667.483,666.607,669.276,673.157,679.59,686.363,686.666,688.046,680.36,699.844,691.434,685.88,692.305,670.327,675.794,684.412,690.803,692.097,686.395,696.993,688.492,699.256,699.425,682.577,686.269,698.665,695.515,712.878,706.178,689.979,693.567,701.349,698.446,698.85,705.57,707.503,703.208,699.71,704.579,704.591,710.405,700.059,711.583,716.496,724.079,705.242,708.277,712.093,713.615,708.355,702.203,707.157,715.346,725.73,706.611,707.384,713.581,734.073,720.474,723.222,708.801,710.07,718.504,717.492,734.026,727.685
7.79,0.726,825.965,817.337,843.965,852.209,818.908,839.768,854.909,833.148,814.349,832.947,835.462,832.71,831.998,828.504,833.456,835.823,838.891,847.025,849.396,852.779,843.342,837.715,844.454,854.527,829.404,860.223,843.641,844.758,860.683,863.915,861.58,853.577,863.167,853.389,846.713,845.737,849.221,854.222,862.24,870.972,871.4,873.022,863.273,887.97,877.401,870.517,878.524,850.896,857.893,868.558,876.852,878.622,871.307,884.932,874.117,887.53,887.944,866.438,871.172,886.971,882.96,905.251,896.662,875.951,880.71,890.677,886.768,887.433,896.068,898.561,892.999,888.76,894.845,894.946,902.182,889.148,903.869,910.053,919.63,895.614,899.556,904.369,906.237,899.633,892.144,898.33,908.54,922.018,897.533,898.614,906.402,932.545,915.236,918.697,900.464,901.882,913.072,911.53,932.722,924.775
7.79,0.84,1027.47,1016.19,1049.55,1059.73,1018.84,1044.39,1063.04,1036.15,1013.28,1036.03,1038.92,1035.91,1034.82,1030.78,1036.98,1039.6,1043.69,1053.69,1056.85,1060.75,1049.05,1042.26,1050.68,1062.91,1031.77,1070.2,1049.83,1051.09,1070.93,1074.59,1072.28,1062.24,1074.27,1061.87,1053.53,1052.49,1056.93,1063.23,1072.99,1083.98,1084.58,1086.42,1074.34,1104.93,1091.96,1083.62,1093.37,1059.44,1068.19,1081.08,1091.59,1093.94,1084.78,1101.89,1088.44,1104.77,1105.53,1078.71,1084.64,1104.31,1099.33,1127.28,1116.53,1090.66,1096.81,1109.29,1104.15,1105.18,1116.02,1119.16,1112.12,1107.12,1114.54,1114.77,1123.57,1107.52,1125.91,1133.51,1145.33,1115.4,1120.41,1126.34,1128.57,1120.48,1111.59,1119.14,1131.57,1148.66,1118.01,1119.48,1129.05,1161.63,1140.1,1144.37,1121.85,1123.36,1137.85,1135.61,1162.15,1152.42
7.79,0.944,1220.95,1207.03,1246.82,1258.79,1210.86,1240.74,1262.68,1230.98,1204.4,1230.96,1234.15,1231.01,1229.52,1225.04,1232.42,1235.19,1240.32,1252.06,1256.01,1260.31,1246.5,1238.66,1248.67,1262.87,1226.09,1271.71,1247.84,1249.18,1272.74,1276.69,1274.58,1262.59,1276.95,1262.02,1252.09,1251.03,1256.4,1263.95,1275.29,1288.46,1289.22,1291.23,1276.96,1313.08,1297.88,1288.24,1299.57,1259.81,1270.23,1285.11,1297.76,1300.71,1289.79,1310.22,1294.31,1313.29,1314.44,1282.59,1289.65,1312.97,1307.08,1340.44,1327.64,1296.87,1304.39,1319.26,1312.89,1314.31,1327.27,1331.01,1322.54,1316.9,1325.56,1325.93,1336.16,1317.3,1339.16,1348.08,1361.98,1326.47,1332.51,1339.48,1342.03,1332.56,1322.47,1331.26,1345.71,1366.3,1329.79,1331.66,1342.88,1381.55,1356.04,1361.05,1334.53,1336.06,1353.82,1350.84,1382.47,1371.09
7.79,1.054,1435.06,1418.13,1464.95,1478.84,1423.42,1457.89,1483.34,1446.48,1416.03,1446.59,1450.05,1446.88,1444.91,1440.02,1448.7,1451.55,1457.89,1471.47,1476.34,1480.99,1464.9,1455.99,1467.72,1483.97,1441.11,1494.54,1466.97,1468.36,1495.94,1500.13,1498.38,1484.28,1501.17,1483.43,1471.77,1470.75,1477.14,1486.08,1499.08,1514.63,1515.61,1517.73,1501.11,1543.19,1525.63,1514.63,1527.62,1481.65,1493.9,1510.84,1525.86,1529.5,1516.67,1540.73,1522.14,1543.9,1545.54,1508.24,1516.53,1543.8,1536.94,1576.2,1561.18,1525.08,1534.13,1551.62,1543.84,1545.76,1561.03,1565.43,1555.38,1549.11,1559.07,1559.63,1571.36,1549.48,1575.15,1585.46,1601.59,1560.01,1567.2,1575.27,1578.15,1567.23,1555.96,1566.05,1582.62,1607.08,1564.17,1566.5,1579.49,1624.77,1594.93,1600.77,1569.95,1571.43,1592.89,1589.01,1626.2,1613.08
8.17,0.292,175.463,174.153,179.509,180.774,173.801,178.238,181.928,176.561,172.898,176.227,177.704,176.422,177.154,175.427,176.586,177.544,177.617,179.685,179.642,180.576,179.105,177.458,178.433,181.265,176.088,182.105,178.643,178.841,181.862,183.175,182.042,180.477,182.106,180.821,179.329,178.745,179.255,180.579,182.642,183.699,184.108,184.38,182.685,187.791,185.56,183.747,185.407,179.361,180.721,183.672,184.472,184.884,184.015,186.075,183.76,187.34,186.769,183.029,183.568,186.512,186.242,190.117,188.677,184.951,185.013,186.999,186.672,186.87,188.497,188.518,187.624,186.419,187.887,187.524,189.915,186.291,189.567,191.258,193.093,187.892,188.864,189.844,190.103,189.26,186.774,188.403,191.09,193.05,188.515,188.57,190.492,195.48,192.052,192.839,189.126,189.6,190.996,191.312,195.066,193.285
8.17,0.414,308.908,306.299,316.15,318.443,305.945,313.876,320.507,310.825,304.339,310.276,312.853,310.69,311.923,308.918,311.039,312.658,312.904,316.615,316.632,318.212,315.534,312.624,314.427,319.458,310.061,321.078,314.859,315.171,320.702,322.936,321.113,318.225,321.246,318.797,316.067,315.077,316.053,318.486,322.156,324.15,324.907,325.34,322.267,331.514,327.516,324.315,327.252,316.415,318.909,324.124,325.675,326.482,324.861,328.697,324.478,330.849,329.917,323.063,324.07,329.45,328.948,336.112,333.449,326.608,326.83,330.476,329.777,330.204,333.21,333.271,331.596,329.508,332.125,331.51,335.771,329.255,335.237,338.283,341.592,332.105,333.911,335.675,336.114,334.614,330.261,333.167,337.955,341.658,333.324,333.47,336.917,346.041,339.799,341.206,334.502,335.273,338.042,338.489,345.406,342.229
