R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,174.61,175.794,174.676,174.661,175.248,175.282,174.736,175.184,175.449,175.203,175.815,175.565,176.09,175.709,175.691,176.295,175.796,175.265,175.719,175.856,176.468,175.942,176.361,176.32,176.655,176.757,176.189,176.52,176.768,176.949,176.14,176.369,176.595,176.765,177.327,177.407,177.289,176.983,176.964,177.005,176.831,176.855,177.813,177.126,177.407,178.061,177.696,178.187,177.738,177.549,177.351,177.617,177.769,177.739,177.521,177.966,177.879,178.841,178.484,178.197,178.302,177.903,178.012,179.008,178.446,178.307,179.059,178.869,178.92,178.39,178.636,178.759,178.748,179.123,178.55,179.452,178.966,178.84,178.967,179.651,180.081,179.638,179.174,179.634,179.526,179.764,179.882,179.458,180.548,179.966,180.065,180.191,180.713,180.016,180.538,180.954,180.329,179.966,179.847,180.602
1.02261,175.611,176.792,175.68,175.663,176.233,176.272,175.741,176.177,176.453,176.196,176.799,176.569,177.083,176.708,176.691,177.28,176.792,176.269,176.72,176.856,177.463,176.949,177.369,177.308,177.664,177.746,177.202,177.525,177.756,177.943,177.142,177.388,177.591,177.759,178.325,178.411,178.285,177.987,177.96,178.007,177.838,177.859,178.809,178.124,178.419,179.063,178.706,179.197,178.759,178.559,178.368,178.636,178.787,178.755,178.535,178.98,178.881,179.845,179.493,179.192,179.311,178.907,179.03,180.02,179.453,179.328,180.057,179.894,179.949,179.401,179.643,179.785,179.772,180.133,179.565,180.453,179.987,179.851,179.976,180.651,181.09,180.638,180.181,180.631,180.56,180.793,180.88,180.478,181.551,180.974,181.084,181.196,181.701,181.025,181.556,181.966,181.365,180.983,180.865,181.606
1.04573,176.585,177.762,176.659,176.639,177.19,177.234,176.718,177.142,177.429,177.162,177.754,177.546,178.049,177.679,177.663,178.236,177.76,177.246,177.692,177.83,178.431,177.929,178.351,178.266,178.647,178.708,178.19,178.504,178.715,178.908,178.118,178.381,178.559,178.725,179.294,179.389,179.254,178.962,178.928,178.981,178.819,178.836,179.778,179.095,179.405,180.037,179.688,180.177,179.754,179.54,179.36,179.627,179.777,179.742,179.522,179.966,179.855,180.821,180.473,180.158,180.292,179.885,180.021,181.003,180.433,180.32,181.026,180.893,180.95,180.384,180.621,180.783,180.77,181.115,180.552,181.425,180.98,180.834,180.956,181.624,182.069,181.609,181.16,181.6,181.568,181.795,181.848,181.471,182.526,181.953,182.077,182.173,182.659,182.006,182.545,182.95,182.375,181.971,181.854,182.581
1.06937,177.531,178.704,177.608,177.585,178.117,178.166,177.667,178.079,178.377,178.098,178.68,178.496,178.986,178.622,178.608,179.162,178.699,178.195,178.636,178.774,179.37,178.882,179.303,179.196,179.6,179.64,179.149,179.453,179.644,179.844,179.065,179.345,179.498,179.661,180.233,180.338,180.192,179.909,179.866,179.926,179.77,179.784,180.716,180.035,180.361,180.981,180.641,181.127,180.72,180.494,180.323,180.59,180.739,180.701,180.48,180.922,180.799,181.767,181.425,181.093,181.243,180.832,180.981,181.957,181.383,181.285,181.964,181.863,181.923,181.337,181.568,181.753,181.738,182.066,181.51,182.367,181.942,181.787,181.907,182.564,183.018,182.549,182.109,182.537,182.545,182.768,182.785,182.432,183.47,182.901,183.038,183.117,183.585,182.957,183.504,183.901,183.354,182.93,182.813,183.524
1.09355,178.446,179.614,178.527,178.503,179.013,179.068,178.587,178.985,179.295,179.003,179.574,179.414,179.891,179.533,179.521,180.056,179.606,179.114,179.549,179.688,180.276,179.803,180.225,180.092,180.523,180.54,180.078,180.372,180.541,180.746,179.98,180.279,180.405,180.565,181.14,181.255,181.098,180.823,180.772,180.839,180.69,180.7,181.622,180.944,181.286,181.892,181.562,182.046,181.655,181.415,181.254,181.522,181.669,181.629,181.406,181.847,181.711,182.681,182.343,181.996,182.162,181.747,181.912,182.878,182.299,182.217,182.869,182.801,182.864,182.259,182.484,182.691,182.675,182.984,182.435,183.275,182.874,182.708,182.824,183.472,183.934,183.456,183.024,183.441,183.493,183.708,183.689,183.363,184.379,183.817,183.967,184.028,184.476,183.874,184.431,184.82,184.303,183.855,183.739,184.434
1.11827,179.329,180.492,179.414,179.388,179.875,179.936,179.474,179.856,180.18,179.875,180.433,180.3,180.763,180.411,180.401,180.915,180.48,180,180.428,180.568,181.149,180.691,181.113,180.955,181.411,181.405,180.973,181.256,181.403,181.615,180.862,181.181,181.278,181.435,182.014,182.137,181.969,181.704,181.644,181.718,181.577,181.583,182.494,181.819,182.177,182.769,182.45,182.931,182.557,182.302,182.153,182.42,182.566,182.523,182.299,182.739,182.589,183.559,183.228,182.864,183.047,182.628,182.809,183.764,183.181,183.115,183.739,183.707,183.772,183.146,183.365,183.594,183.578,183.869,183.326,184.148,183.771,183.593,183.708,184.344,184.814,184.327,183.905,184.309,184.407,184.615,184.556,184.259,185.253,184.697,184.861,184.904,185.33,184.756,185.322,185.704,185.216,184.746,184.631,185.308
1.14355,180.177,181.332,180.267,180.238,180.7,180.768,180.326,180.692,181.029,180.711,181.256,181.15,181.598,181.254,181.245,181.738,181.318,180.851,181.272,181.412,181.985,181.545,181.966,181.781,182.265,182.233,181.835,182.105,182.228,182.447,181.708,182.048,182.115,182.268,182.851,182.984,182.805,182.55,182.48,182.561,182.428,182.43,183.328,182.657,183.033,183.609,183.301,183.778,183.423,183.153,183.016,183.282,183.428,183.381,183.156,183.594,183.43,184.4,184.075,183.694,183.895,183.472,183.669,184.615,184.027,183.978,184.57,184.575,184.644,183.996,184.209,184.463,184.446,184.715,184.182,184.983,184.633,184.443,184.554,185.178,185.657,185.16,184.748,185.138,185.284,185.486,185.386,185.118,186.088,185.539,185.718,185.742,186.145,185.601,186.176,186.549,186.095,185.599,185.486,186.143
1.16941,180.989,182.136,181.083,181.051,181.486,181.561,181.142,181.491,181.842,181.51,182.039,181.964,182.394,182.058,182.051,182.521,182.118,181.665,182.078,182.219,182.783,182.36,182.781,182.568,183.08,183.022,182.659,182.915,183.013,183.241,182.517,182.878,182.913,183.062,183.648,183.792,183.6,183.356,183.276,183.366,183.241,183.239,184.123,183.456,183.851,184.409,184.114,184.587,184.253,183.967,183.842,184.107,184.251,184.201,183.974,184.411,184.232,185.202,184.884,184.484,184.704,184.277,184.492,185.425,184.834,184.802,185.361,185.406,185.478,184.808,185.012,185.293,185.274,185.522,184.997,185.778,185.454,185.253,185.359,185.972,186.459,185.952,185.551,185.927,186.124,186.317,186.174,185.938,186.883,186.34,186.537,186.539,186.917,186.405,186.99,187.354,186.934,186.413,186.301,186.937
1.19584,181.76,182.899,181.859,181.825,182.232,182.314,181.919,182.249,182.613,182.267,182.781,182.736,183.15,182.822,182.817,183.263,182.877,182.438,182.844,182.985,183.54,183.135,183.556,183.312,183.856,183.769,183.443,183.686,183.756,183.992,183.284,183.668,183.669,183.814,184.403,184.558,184.354,184.121,184.031,184.129,184.013,184.006,184.876,184.212,184.628,185.168,184.886,185.354,185.04,184.738,184.626,184.891,185.034,184.98,184.752,185.187,184.991,185.961,185.65,185.231,185.471,185.04,185.273,186.194,185.598,185.586,186.11,186.196,186.27,185.577,185.775,186.082,186.062,186.286,185.773,186.529,186.235,186.021,186.123,186.721,187.218,186.701,186.313,186.671,186.923,187.108,186.917,186.716,187.633,187.099,187.312,187.293,187.643,187.166,187.76,188.115,187.733,187.183,187.073,187.687
1.22288,182.49,183.618,182.594,182.556,182.934,183.023,182.653,182.963,183.342,182.981,183.479,183.466,183.861,183.542,183.54,183.96,183.592,183.17,183.566,183.707,184.252,183.868,184.288,184.013,184.588,184.472,184.184,184.413,184.454,184.698,184.008,184.416,184.381,184.522,185.114,185.281,185.062,184.842,184.741,184.847,184.741,184.729,185.583,184.926,185.361,185.882,185.613,186.076,185.785,185.466,185.368,185.632,185.773,185.715,185.486,185.919,185.706,186.675,186.371,185.933,186.194,185.758,186.01,186.917,186.318,186.326,186.812,186.942,187.021,186.303,186.491,186.828,186.807,187.006,186.503,187.233,186.971,186.743,186.842,187.425,187.93,187.404,187.028,187.37,187.678,187.855,187.615,187.45,188.337,187.811,188.043,187.999,188.322,187.88,188.485,188.83,188.487,187.909,187.801,188.391
