draw_id,draw_label,alpha,mu
1,b1,1.3414921,0.27106814
2,b2,1.4009117,0.26310782
3,b3,1.306977,0.27712339
4,b4,1.2988685,0.27896607
5,b5,1.3485095,0.26922823
6,b6,1.3185705,0.27631154
7,b7,1.2814868,0.28548046
8,b8,1.3467217,0.26559486
9,b9,1.3667879,0.25817324
10,b10,1.346361,0.26459273
11,b11,1.3295103,0.27923557
12,b12,1.3380409,0.26077899
13,b13,1.3284893,0.27175381
14,b14,1.3406315,0.25739356
15,b15,1.3219631,0.26014154
16,b16,1.3210633,0.27353897
17,b17,1.3096962,0.26286994
18,b18,1.2898669,0.27208106
19,b19,1.2812118,0.26500929
20,b20,1.2900269,0.26912453
21,b21,1.3014237,0.26829932
22,b22,1.319121,0.25866522
23,b23,1.3116792,0.2550359
24,b24,1.2712566,0.27691323
25,b25,1.3499195,0.25391724
26,b26,1.2552454,0.27388788
27,b27,1.2957028,0.25695796
28,b28,1.2993418,0.25941945
29,b29,1.2483313,0.26953495
30,b30,1.2555199,0.27480261
31,b31,1.2366151,0.26556653
32,b32,1.2750105,0.25513465
33,b33,1.2358856,0.26331941
34,b34,1.2605222,0.26965073
35,b35,1.2903125,0.26066637
36,b36,1.2954459,0.25096816
37,b37,1.2763919,0.25414407
38,b38,1.2540948,0.25920026
39,b39,1.2326538,0.27304562
40,b40,1.2226488,0.26280909
41,b41,1.2131131,0.26426302
42,b42,1.2198956,0.2670795
43,b43,1.2357653,0.26603927
44,b44,1.1765976,0.27705998
45,b45,1.205648,0.26572304
46,b46,1.213722,0.25945656
47,b47,1.2100234,0.25892117
48,b48,1.2621294,0.24430079
49,b49,1.2485052,0.24285274
50,b50,1.2199858,0.26206272
51,b51,1.2112793,0.25067258
52,b52,1.1975369,0.25046614
53,b53,1.2060899,0.25476272
54,b54,1.176689,0.25458725
55,b55,1.2015478,0.24747185
56,b56,1.176984,0.26177591
57,b57,1.1659295,0.25777208
58,b58,1.2159279,0.25184136
59,b59,1.2118866,0.24972373
60,b60,1.1677473,0.25947054
61,b61,1.1745064,0.25992797
62,b62,1.1171803,0.26441202
63,b63,1.1434101,0.25520919
64,b64,1.1904992,0.25126074
65,b65,1.1781221,0.24721194
66,b66,1.1577979,0.24515928
67,b67,1.1647679,0.25692981
68,b68,1.165777,0.24708766
69,b69,1.1432833,0.24644901
70,b70,1.1316595,0.25018779
71,b71,1.1460459,0.25391855
72,b72,1.1588407,0.24036014
73,b73,1.1479569,0.24491832
74,b74,1.1416327,0.24304683
75,b75,1.1183679,0.2582878
76,b76,1.1553966,0.24290577
77,b77,1.1198836,0.24408275
78,b78,1.0959578,0.25969446
79,b79,1.0818143,0.26161156
80,b80,1.1458551,0.24801613
81,b81,1.1335194,0.24596276
82,b82,1.1183635,0.25271529
83,b83,1.1238151,0.25201215
84,b84,1.1170557,0.25727598
85,b85,1.150831,0.23127822
86,b86,1.1365498,0.23763314
87,b87,1.0978935,0.26038268
88,b88,1.0755387,0.24711964
89,b89,1.1299702,0.24714574
90,b90,1.1220193,0.24561881
91,b91,1.111853,0.24663709
92,b92,1.0486676,0.25797851
93,b93,1.0776854,0.25845226
94,b94,1.0796391,0.25195142
95,b95,1.1195025,0.24127665
96,b96,1.127114,0.24650919
97,b97,1.0959749,0.23262086
98,b98,1.0919042,0.24877811
99,b99,1.0457763,0.2494395
100,b100,1.0537372,0.24685872
