R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,241.996,242.206,246.06,248.544,240.332,245.708,248.489,244.711,238.858,244.593,245.098,243.411,243.167,242.189,242.754,244.364,244.07,245.739,245.779,247.597,245.09,243.689,245.295,247.597,242.412,248.219,243.91,244.82,247.854,249.371,246.876,245.714,247.401,245.96,245.053,244.441,244.833,245.099,247.181,248.888,248.286,249.51,247.264,252.142,249.601,247.8,250.049,243.595,244.713,247.523,249.102,248.705,246.955,249.662,247.526,250.79,250.406,246.064,247.272,250.438,249.135,253.006,251.174,247.308,248.176,249.683,249.809,248.939,250.178,250.964,250.342,248.725,250.19,250.101,251.388,249.296,251.302,252.57,254.853,250.942,251.032,252.147,253.008,250.75,248.601,249.985,252.416,254.218,250.196,249.946,251.494,256.468,253.268,253.78,249.821,251.102,251.564,251.976,255.695,253.813
7.79,0.421,405.001,404.202,412.325,416.688,402.095,411.605,416.915,409.307,399.159,409.157,410.452,407.226,407.078,405.06,406.325,409.265,408.756,412.02,412.116,415.081,410.643,407.919,410.683,415.467,405.185,416.751,408.626,410.129,416.172,418.636,414.657,411.926,415.514,412.795,410.667,409.401,410.418,411.301,415.346,418.213,417.357,419.359,415.319,424.565,419.7,416.474,420.25,408.432,410.5,415.934,418.564,418.117,415.086,420.16,416.018,422.084,421.575,413.351,415.444,421.641,419.347,426.903,423.188,415.829,417.485,420.309,420.589,418.953,421.384,422.974,421.763,418.646,421.334,421.253,424.013,419.68,423.62,426.422,430.518,422.67,422.971,425.203,426.561,422.935,418.441,421.071,426.111,429.347,421.672,421.359,424.111,433.741,427.878,428.568,421.104,423.221,424.347,425.329,432.402,429.077
7.79,0.516,548.959,546.936,559.213,565.249,544.952,558.149,565.825,554.527,540.591,554.368,556.51,551.788,551.825,548.763,550.721,554.923,554.181,558.976,559.096,563.032,556.873,552.885,556.644,563.88,548.714,565.793,554.09,556.106,565.021,568.285,563.061,558.741,564.191,560.323,556.944,555.014,556.684,558.235,564.164,567.982,566.949,569.62,563.967,577.27,570.215,565.691,570.766,554.046,556.971,564.918,568.399,567.971,563.829,571.084,565.035,573.714,573.116,561.29,564.156,573.23,570.059,581.08,575.529,564.927,567.306,571.327,571.805,569.423,572.967,575.337,573.594,569.035,572.845,572.781,577.021,570.49,576.244,580.608,586.33,574.708,575.226,578.532,580.293,575.557,568.727,572.528,580.147,584.619,573.564,573.222,577.045,591.055,582.784,583.548,572.822,575.669,577.417,579.022,589.2,584.585
7.79,0.621,723.082,719.352,736.84,744.871,717.772,735.356,745.936,730.011,711.602,729.861,733.148,726.512,726.867,722.439,725.27,731.074,729.979,736.699,736.81,741.879,733.667,728.095,733.003,743.376,722.112,746.054,729.928,732.553,745.032,749.229,742.557,736.181,743.984,738.765,733.768,730.96,733.473,735.917,744.217,749.075,747.868,751.328,743.751,762.003,752.242,746.14,752.707,730.043,733.99,745.095,749.493,749.123,743.699,753.595,745.175,757.077,756.378,740.157,743.926,756.562,752.361,767.633,759.764,745.205,748.445,753.897,754.69,751.353,756.246,759.592,757.232,750.842,756.024,755.973,762.14,752.812,760.778,767.184,774.852,758.525,759.305,763.97,766.177,760.214,750.366,755.615,766.534,772.407,757.26,756.894,761.986,781.393,770.241,771.007,756.287,760.01,762.469,764.941,778.889,772.735
7.79,0.726,913.779,908.031,931.228,941.377,907.095,929.309,943.018,922.02,898.912,921.902,926.509,917.732,918.499,912.526,916.32,923.901,922.368,931.204,931.263,937.519,927.132,919.828,925.914,939.774,911.84,943.274,922.346,925.609,941.967,947.139,938.952,930.278,940.671,934.053,927.24,923.427,926.883,930.347,941.266,947.132,945.769,950.063,940.448,964.014,951.315,943.522,951.613,922.597,927.619,942.197,947.474,947.197,940.454,953.17,942.158,957.558,956.75,935.807,940.519,957.025,951.753,971.608,961.172,942.365,946.513,953.472,954.677,950.269,956.597,961.019,958.025,949.612,956.263,956.216,964.55,952.123,962.459,971.182,980.904,959.445,960.501,966.657,969.319,962.133,948.903,955.726,970.321,977.597,958.092,957.705,964.128,989.37,975.175,975.869,956.848,961.507,964.679,968.182,986.155,978.374
7.79,0.84,1136.25,1128.01,1157.85,1170.39,1128.02,1155.44,1172.75,1145.82,1117.45,1145.75,1152.01,1140.64,1141.99,1134.12,1139.04,1148.76,1146.62,1157.95,1157.88,1165.47,1152.64,1143.3,1150.66,1168.68,1132.96,1173.1,1146.6,1150.59,1171.43,1177.71,1167.8,1156.39,1169.82,1161.68,1152.7,1147.64,1152.22,1156.93,1170.94,1177.81,1176.31,1181.54,1169.64,1199.28,1183.18,1173.44,1183.18,1146.92,1153.13,1171.82,1177.95,1177.8,1169.63,1185.54,1171.51,1190.98,1190.03,1163.7,1169.44,1190.43,1183.97,1209.06,1195.61,1171.96,1177.11,1185.74,1187.53,1181.82,1189.77,1195.45,1191.78,1180.95,1189.29,1189.24,1200.19,1184.09,1197.11,1208.65,1220.68,1193.26,1194.61,1202.53,1205.67,1197.22,1179.91,1188.56,1207.55,1216.27,1191.84,1191.43,1199.34,1231.3,1213.7,1214.21,1190.25,1195.99,1199.87,1204.7,1227.23,1217.61
7.79,0.944,1352.44,1341.71,1377.95,1392.71,1342.77,1375.08,1395.81,1363.14,1329.84,1363.11,1371.07,1357.12,1359.13,1349.34,1355.35,1367.18,1364.38,1378.13,1377.88,1386.74,1371.63,1360.29,1368.78,1390.91,1347.68,1396.19,1364.32,1369,1394.15,1401.46,1389.93,1375.83,1392.18,1382.69,1371.58,1365.24,1370.92,1376.86,1393.91,1401.59,1399.98,1406.11,1392.09,1427.47,1408.1,1396.5,1407.74,1364.61,1371.93,1394.63,1401.42,1401.41,1391.97,1410.88,1393.92,1417.34,1416.23,1384.79,1391.48,1416.76,1409.22,1439.27,1422.87,1394.66,1400.72,1410.89,1413.35,1406.33,1415.78,1422.67,1418.41,1405.22,1415.15,1415.08,1428.64,1408.92,1424.5,1438.85,1453.01,1419.87,1421.5,1431.13,1434.69,1425.14,1403.77,1414.19,1437.5,1447.47,1418.42,1417.98,1427.28,1465.64,1444.87,1445.11,1416.44,1423.25,1427.69,1433.91,1460.7,1449.38
7.79,1.054,1594.93,1581.35,1624.6,1641.79,1583.69,1621.25,1645.74,1606.7,1568.17,1606.75,1616.66,1599.78,1602.58,1590.62,1597.83,1612.07,1608.42,1624.88,1624.36,1634.58,1617.01,1603.46,1613.14,1639.89,1588.36,1646.07,1608.3,1613.72,1643.58,1652.04,1638.7,1621.61,1641.21,1630.31,1616.8,1609.04,1615.94,1623.27,1643.68,1652.13,1650.43,1657.54,1641.23,1682.86,1659.91,1646.25,1659.07,1608.47,1616.96,1644.13,1651.53,1651.69,1640.93,1663.04,1642.89,1670.62,1669.29,1632.36,1640.04,1670,1661.34,1696.75,1677.11,1643.95,1650.94,1662.77,1666.01,1657.53,1668.61,1676.82,1671.97,1656.12,1667.83,1667.67,1684.19,1660.47,1678.76,1696.28,1712.78,1673.34,1675.25,1686.77,1690.78,1680.11,1654.16,1666.53,1694.69,1705.86,1671.9,1671.42,1682.18,1727.5,1703.35,1703.25,1669.47,1677.4,1682.37,1690.21,1721.61,1708.43
8.17,0.292,206.232,206.667,209.838,211.581,204.71,209.245,211.956,208.206,203.585,207.919,208.954,207.182,207.543,206.093,206.677,208.251,207.7,209.343,209.068,210.686,208.938,207.477,208.556,210.905,206.644,211.255,207.711,208.405,210.749,212.413,210.003,209.108,210.264,209.498,208.675,207.962,208.147,208.598,210.556,211.528,211.28,212.202,210.558,214.637,212.54,210.802,212.661,207.098,208.009,210.769,211.523,211.276,210.242,212.016,210.163,213.408,212.661,209.514,210.221,212.634,211.959,214.754,213.475,210.586,210.698,211.966,212.309,211.727,212.7,212.973,212.583,211.099,212.451,212.116,213.78,211.388,213.31,214.616,216.418,212.93,213.18,214.069,214.673,213.171,210.867,212.244,214.583,215.645,212.558,212.257,213.785,217.692,215.065,215.575,212.336,213.465,213.398,214.061,216.811,215.162
8.17,0.414,350.121,349.807,356.794,359.927,347.389,355.619,360.916,353.235,345.044,352.77,355.025,351.591,352.512,349.607,350.922,353.856,352.876,356.151,355.675,358.372,355.208,352.322,354.207,359.135,350.363,359.95,353.051,354.208,359.095,361.908,357.947,355.697,358.357,356.806,354.815,353.352,353.993,355.207,359.097,360.717,360.464,361.984,358.942,366.926,362.776,359.582,362.767,352.295,354.034,359.477,360.693,360.489,358.674,362.163,358.454,364.624,363.422,357.205,358.448,363.38,362.176,367.908,365.144,359.419,359.728,362.184,362.853,361.716,363.714,364.384,363.57,360.644,363.187,362.649,366.13,361.185,365.051,367.944,371.265,364.056,364.654,366.501,367.443,365.066,360.239,362.916,367.847,369.825,363.695,363.267,366.06,373.928,368.968,369.695,363.386,365.296,365.469,366.904,372.36,369.367
8.17,0.524,497.448,495.967,507.362,511.941,493.461,505.552,513.688,501.565,489.707,500.937,504.634,499.33,500.957,496.388,498.55,502.993,501.514,506.627,505.915,509.681,505.032,500.561,503.251,511.144,497.268,512.497,501.89,503.512,511.272,515.239,509.756,505.862,510.286,507.901,504.506,502.168,503.387,505.544,511.608,513.81,513.618,515.729,511.211,523.466,517.041,512.296,516.791,501.045,503.666,512.114,513.713,513.626,511.04,516.398,510.608,519.973,518.318,508.736,510.512,518.278,516.538,525.551,521.062,512.217,512.744,516.479,517.555,515.778,518.907,520.055,518.79,514.237,518.068,517.319,522.901,515.043,521.056,525.836,530.76,519.341,520.341,523.285,524.529,521.373,513.619,517.729,525.662,528.553,519.093,518.568,522.684,534.961,527.515,528.375,518.702,521.407,521.869,524.242,532.659,528.257
8.17,0.645,677.607,674.414,691.436,697.753,672.108,688.85,700.514,682.748,666.53,681.946,687.557,679.839,682.436,675.714,678.96,685.334,683.167,690.616,689.57,694.593,688.163,681.685,685.293,697.023,676.665,699.04,683.789,685.955,697.349,702.685,695.41,689.348,696.05,692.69,687.448,683.947,685.943,689.357,698.196,700.984,700.917,703.72,697.426,714.966,705.687,699.032,705.034,682.812,686.499,698.771,700.701,700.813,697.352,705.006,696.584,709.942,707.739,693.982,696.378,707.714,705.357,718.466,711.74,699.034,699.817,705.096,706.759,704.141,708.661,710.43,708.641,702.002,707.42,706.406,714.726,703.13,711.8,719.082,725.934,709.19,710.689,715.039,716.607,712.631,701.077,706.978,718.8,722.702,709.156,708.52,714.231,732.026,721.572,722.491,708.641,712.308,713.085,716.741,728.805,722.701
8.17,0.718,795.238,790.829,811.555,818.979,788.778,808.476,822.427,800.951,781.981,800.045,806.954,797.621,800.892,792.724,796.687,804.347,801.695,810.688,809.398,815.216,807.652,799.859,804.024,818.309,793.685,820.755,802.466,804.981,818.749,824.955,816.545,809.028,817.239,813.283,806.799,802.506,805.028,809.293,819.971,823.064,823.1,826.343,818.921,839.873,828.735,820.841,827.771,801.381,805.744,820.54,822.618,822.874,818.885,828.012,817.862,833.823,831.261,814.81,817.59,831.259,828.524,844.287,836.073,820.872,821.807,828.067,830.158,826.966,832.377,834.561,832.454,824.427,830.873,829.679,839.83,825.76,836.141,845.114,853.193,832.961,834.775,840.059,841.816,837.373,823.272,830.342,844.761,849.253,833.086,832.383,839.107,860.49,848.124,849.036,832.479,836.767,837.713,842.259,856.666,849.477
