R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,169.309,169.355,169.288,169.339,169.17,169.287,169.451,169.093,169.032,169.097,169.461,168.968,169.302,169.258,169.067,169.739,169.466,169.025,169.119,169.339,170.392,169.066,170.378,170.007,170.926,170.957,169.358,170.763,171.275,171.236,170.304,169.507,171.235,171.089,172.218,172.694,172.561,171.853,171.4,171.976,171.634,171.509,173.144,171.944,172.522,173.948,173.34,174.487,173.782,172.872,172.872,173.587,173.554,173.74,173.583,173.839,174.075,175.543,175.069,174.581,174.525,174.13,174.411,175.954,175.363,175.261,176.103,175.945,176.209,175.422,175.586,176.158,176.003,176.9,175.355,177.455,176.692,175.976,176.264,177.615,178.453,177.598,176.752,177.393,177.848,178.069,177.8,177.651,179.023,178.332,178.426,178.695,179.096,178.449,179.226,179.397,179.055,178.316,178.296,179.388
1.02261,170.215,170.262,170.193,170.246,170.069,170.192,170.364,169.988,169.925,169.993,170.374,169.859,170.199,170.152,169.958,170.632,170.355,169.918,170.011,170.236,171.278,169.961,171.294,170.891,171.845,171.833,170.259,171.676,172.152,172.116,171.212,170.412,172.135,171.974,173.115,173.616,173.465,172.767,172.29,172.89,172.556,172.424,174.041,172.842,173.454,174.864,174.274,175.423,174.746,173.799,173.823,174.546,174.504,174.691,174.536,174.78,175.001,176.468,176.006,175.491,175.458,175.061,175.371,176.896,176.305,176.232,177.02,176.922,177.195,176.375,176.524,177.143,176.984,177.856,176.308,178.392,177.669,176.924,177.21,178.549,179.404,178.531,177.698,178.314,178.858,179.066,178.722,178.63,179.972,179.283,179.398,179.641,180.024,179.403,180.192,180.362,180.052,179.284,179.267,180.35
1.04573,171.091,171.14,171.068,171.124,170.938,171.067,171.247,170.854,170.787,170.859,171.258,170.719,171.065,171.016,170.819,171.495,171.212,170.78,170.871,171.101,172.131,170.825,172.179,171.743,172.734,172.676,171.13,172.559,172.997,172.963,172.09,171.287,173.004,172.826,173.979,174.507,174.338,173.65,173.147,173.773,173.448,173.308,174.906,173.709,174.355,175.748,175.176,176.328,175.681,174.695,174.745,175.476,175.424,175.613,175.459,175.691,175.895,177.362,176.913,176.369,176.36,175.961,176.301,177.807,177.217,177.175,177.904,177.871,178.153,177.298,177.431,178.099,177.935,178.781,177.231,179.298,178.617,177.842,178.124,179.452,180.323,179.43,178.613,179.202,179.841,180.034,179.61,179.58,180.889,180.202,180.341,180.555,180.919,180.326,181.127,181.296,181.019,180.22,180.207,181.281
1.06937,171.935,171.985,171.911,171.97,171.774,171.91,172.099,171.686,171.616,171.692,172.109,171.547,171.899,171.846,171.646,172.324,172.037,171.609,171.699,171.935,172.951,171.657,173.032,172.562,173.59,173.485,171.968,173.41,173.807,173.775,172.935,172.129,173.84,173.644,174.81,175.365,175.176,174.5,173.97,174.623,174.308,174.159,175.736,174.541,175.224,176.599,176.047,177.2,176.585,175.558,175.636,176.375,176.312,176.503,176.35,176.57,176.755,178.221,177.786,177.212,177.228,176.827,177.2,178.685,178.096,178.086,178.753,178.789,179.08,178.188,178.304,179.024,178.856,179.674,178.122,180.17,179.533,178.726,179.005,180.319,181.208,180.295,179.495,180.054,180.793,180.97,180.463,180.497,181.771,181.087,181.25,181.434,181.778,181.214,182.028,182.195,181.954,181.123,181.115,182.178
1.09355,172.744,172.796,172.719,172.782,172.576,172.718,172.916,172.484,172.41,172.49,172.927,172.339,172.697,172.642,172.438,173.118,172.825,172.403,172.491,172.733,173.734,172.454,173.85,173.344,174.412,174.256,172.772,174.225,174.58,174.551,173.746,172.937,174.639,174.425,175.604,176.187,175.979,175.315,174.756,175.438,175.133,174.976,176.529,175.337,176.059,177.413,176.882,178.037,177.456,176.386,176.494,177.24,177.166,177.36,177.208,177.414,177.58,179.044,178.623,178.018,178.061,177.659,178.065,179.527,178.939,178.963,179.565,179.673,179.973,179.043,179.141,179.916,179.743,180.531,178.978,181.004,180.416,179.575,179.85,181.15,182.056,181.123,180.34,180.869,181.713,181.873,181.277,181.38,182.616,181.936,182.125,182.276,182.599,182.066,182.893,183.059,182.856,181.991,181.987,183.038
1.11827,173.517,173.571,173.491,173.556,173.34,173.49,173.697,173.244,173.166,173.25,173.708,173.093,173.458,173.4,173.193,173.874,173.576,173.16,173.246,173.493,174.478,173.214,174.632,174.088,175.197,174.987,173.538,175.004,175.312,175.286,174.519,173.708,175.4,175.167,176.358,176.972,176.742,176.092,175.503,176.215,175.921,175.755,177.283,176.094,176.857,178.188,177.68,178.836,178.291,177.176,177.315,178.069,177.984,178.18,178.03,178.221,178.367,179.828,179.423,178.784,178.857,178.452,178.894,180.331,179.744,179.805,180.337,180.521,180.832,179.862,179.94,180.773,180.595,181.35,179.796,181.799,181.262,180.386,180.657,181.94,182.865,181.91,181.148,181.643,182.599,182.74,182.051,182.226,183.422,182.745,182.962,183.079,183.378,182.879,183.719,183.884,183.721,182.821,182.821,183.859
1.14355,174.249,174.306,174.222,174.291,174.065,174.222,174.438,173.964,173.882,173.97,174.45,173.807,174.179,174.117,173.907,174.59,174.286,173.876,173.96,174.213,175.18,173.933,175.374,174.789,175.943,175.676,174.264,175.742,176.002,175.979,175.252,174.44,176.12,175.867,177.071,177.717,177.464,176.828,176.208,176.951,176.669,176.493,177.993,176.809,177.614,178.922,178.438,179.594,179.088,177.926,178.098,178.861,178.763,178.961,178.813,178.989,179.112,180.569,180.181,179.508,179.611,179.204,179.685,181.093,180.509,180.608,181.066,181.331,181.652,180.64,180.698,181.591,181.408,182.128,180.575,182.552,182.069,181.156,181.423,182.688,183.633,182.655,181.914,182.373,183.446,183.569,182.781,183.032,184.186,183.512,183.758,183.839,184.114,183.651,184.504,184.668,184.548,183.61,183.616,184.639
1.16941,174.94,174.998,174.912,174.985,174.747,174.911,175.138,174.641,174.555,174.648,175.15,174.478,174.857,174.791,174.578,175.262,174.952,174.549,174.631,174.891,175.838,174.61,176.074,175.447,176.646,176.319,174.948,176.438,176.646,176.626,175.943,175.129,176.796,176.522,177.738,178.418,178.141,177.521,176.868,177.644,177.374,177.189,178.659,177.48,178.33,179.611,179.153,180.309,179.844,178.634,178.84,179.611,179.501,179.7,179.554,179.713,179.814,181.266,180.896,180.187,180.322,179.913,180.434,181.812,181.23,181.37,181.748,182.1,182.432,181.376,181.412,182.369,182.181,182.863,181.311,183.259,182.834,181.883,182.145,183.391,184.355,183.355,182.636,183.057,184.255,184.356,183.464,183.797,184.904,184.235,184.512,184.553,184.803,184.378,185.245,185.407,185.332,184.356,184.367,185.374
1.19584,175.586,175.646,175.556,175.633,175.383,175.556,175.793,175.273,175.182,175.28,175.806,175.103,175.489,175.42,175.203,175.887,175.571,175.176,175.255,175.522,176.448,175.24,176.729,176.057,177.304,176.913,175.586,177.088,177.241,177.224,176.588,175.772,177.425,177.128,178.358,179.073,178.771,178.168,177.479,178.29,178.035,177.838,179.275,178.103,179,180.253,179.822,180.977,180.557,179.295,179.538,180.317,180.193,180.395,180.251,180.393,180.468,181.915,181.565,180.816,180.986,180.576,181.138,182.484,181.905,182.088,182.382,182.825,183.168,182.066,182.079,183.104,182.91,183.552,182.002,183.919,183.555,182.564,182.82,184.045,185.03,184.005,183.31,183.691,185.02,185.1,184.098,184.516,185.573,184.91,185.219,185.22,185.441,185.057,185.939,186.098,186.072,185.056,185.072,186.062
1.22288,176.183,176.245,176.152,176.233,175.97,176.152,176.401,175.855,175.759,175.863,176.414,175.678,176.072,175.999,175.778,176.463,176.14,175.754,175.831,176.104,177.008,175.822,177.335,176.616,177.913,177.455,176.176,177.69,177.784,177.771,177.184,176.367,178.004,177.683,178.927,179.679,179.349,178.765,178.04,178.887,178.646,178.439,179.84,178.675,179.622,180.844,180.442,181.596,181.223,179.907,180.189,180.977,180.839,181.042,180.901,181.023,181.073,182.513,182.183,181.394,181.6,181.189,181.795,183.106,182.53,182.759,182.963,183.502,183.858,182.707,182.696,183.791,183.591,184.191,182.644,184.526,184.228,183.194,183.446,184.647,185.653,184.603,183.935,184.273,185.74,185.797,184.678,185.188,186.191,185.534,185.877,185.834,186.026,185.685,186.582,186.739,186.764,185.705,185.727,186.699
1.25053,176.728,176.794,176.696,176.781,176.506,176.696,176.957,176.385,176.284,176.393,176.97,176.201,176.602,176.525,176.3,176.986,176.657,176.279,176.353,176.634,177.513,176.351,177.89,177.122,178.471,177.941,176.713,178.239,178.271,178.262,177.727,176.91,178.529,178.183,179.441,180.231,179.874,179.309,178.546,179.431,179.206,178.987,180.35,179.192,180.192,181.38,181.01,182.162,181.839,180.466,180.79,181.585,181.432,181.638,181.499,181.602,181.623,183.056,182.748,181.917,182.161,181.748,182.401,183.674,183.102,183.38,183.489,184.13,184.497,183.296,183.259,184.429,184.223,184.777,183.233,185.079,184.85,183.772,184.017,185.193,186.222,185.145,184.505,184.798,186.41,186.443,185.202,185.807,186.753,186.103,186.482,186.393,186.553,186.259,187.171,187.326,187.405,186.301,186.329,187.281
1.2788,177.225,177.292,177.192,177.282,176.99,177.192,177.467,176.863,176.756,176.872,177.48,176.671,177.082,176.997,176.77,177.461,177.12,176.752,176.822,177.11,177.972,176.829,178.388,177.581,178.972,178.386,177.2,178.732,178.714,178.712,178.211,177.404,178.999,178.637,179.908,180.727,180.346,179.796,179.005,179.917,179.703,179.477,180.814,179.659,180.701,181.863,181.518,182.667,182.382,180.967,181.32,182.122,181.958,182.164,182.025,182.118,182.113,183.544,183.253,182.386,182.663,182.245,182.934,184.182,183.608,183.923,183.964,184.683,185.059,183.814,183.76,184.987,184.777,185.294,183.755,185.571,185.394,184.284,184.525,185.683,186.73,185.632,185.013,185.27,186.995,187.009,185.674,186.35,187.258,186.609,187.018,186.893,187.03,186.769,187.694,187.852,187.97,186.83,186.86,187.797
