R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,181.446,178.399,181.512,185.521,180.91,183.868,182.342,182.366,179.333,183.334,181.801,181.78,179.15,181.292,181.047,181.917,182.517,182.265,183.303,183.674,182.006,180.643,182.563,183.673,179.955,185.667,179.917,182.075,186.725,184.704,184.107,180.332,186.116,183.57,182.974,182.189,183.934,182.809,184.11,186.247,183.988,185.362,184.596,186.501,183.785,185.055,184.735,182.044,181.116,183.241,184.593,184.27,182.053,186.328,183.857,184.92,188.276,182.58,183.675,189.995,185.05,190.832,185.606,182.34,185.1,184.229,187.515,182.401,182.657,187.601,187.688,182.571,183.85,186.213,185.96,186.932,184.703,189.176,189.878,188.443,185.939,189.449,189.048,187.563,180.713,182.131,189.651,186.17,185.517,185.262,184.047,188.794,189.983,188.27,183.094,184.745,185,185.738,186.497,186.709
1.02261,182.672,179.588,182.743,186.783,182.113,185.113,183.602,183.576,180.51,184.548,183.049,182.976,180.335,182.476,182.228,183.122,183.704,183.474,184.493,184.885,183.189,181.824,183.754,184.874,181.13,186.853,181.085,183.263,187.895,185.892,185.292,181.497,187.283,184.747,184.14,183.351,185.088,183.979,185.291,187.42,185.169,186.55,185.76,187.68,184.973,186.21,185.909,183.176,182.269,184.415,185.76,185.435,183.216,187.486,185.007,186.093,189.404,183.697,184.813,191.106,186.205,191.942,186.759,183.46,186.223,185.367,188.636,183.544,183.8,188.711,188.809,183.704,184.993,187.315,187.102,188.019,185.824,190.29,190.985,189.537,187.042,190.537,190.151,188.663,181.815,183.243,190.745,187.278,186.615,186.358,185.158,189.879,191.057,189.362,184.173,185.849,186.122,186.85,187.595,187.799
1.04573,183.857,180.74,183.934,188.005,183.277,186.318,184.82,184.748,181.646,185.722,184.258,184.132,181.481,183.621,183.371,184.288,184.85,184.642,185.643,186.055,184.33,182.965,184.906,186.033,182.266,187.997,182.215,184.413,189.024,187.038,186.439,182.624,188.41,185.882,185.265,184.474,186.204,185.109,186.429,188.555,186.313,187.699,186.884,188.82,186.123,187.326,187.043,184.271,183.388,185.55,186.891,186.566,184.341,188.609,186.121,187.229,190.495,184.778,185.915,192.179,187.322,193.016,187.877,184.543,187.311,186.473,189.719,184.654,184.911,189.787,189.893,184.803,186.101,188.381,188.208,189.07,186.912,191.369,192.055,190.595,188.109,191.587,191.218,189.724,182.886,184.322,191.801,188.353,187.676,187.418,186.236,190.928,192.095,190.419,185.218,186.918,187.209,187.925,188.657,188.855
1.06937,185.001,181.85,185.084,189.186,184.4,187.481,185.998,185.876,182.741,186.855,185.424,185.248,182.586,184.723,184.471,185.41,185.955,185.768,186.752,187.184,185.43,184.065,186.018,187.15,183.363,189.098,183.304,185.523,190.111,188.141,187.545,183.71,189.498,186.975,186.35,185.557,187.278,186.2,187.526,189.649,187.417,188.808,187.965,189.917,187.233,188.402,188.139,185.328,184.47,186.645,187.985,187.659,185.429,189.695,187.198,188.327,191.547,185.818,186.977,193.212,188.399,194.051,188.958,185.588,188.361,187.542,190.761,185.727,185.986,190.825,190.939,185.868,187.174,189.412,189.277,190.084,187.963,192.41,193.088,191.613,189.138,192.599,192.249,190.745,183.924,185.366,192.817,189.391,188.697,188.439,187.276,191.939,193.093,191.437,186.226,187.948,188.262,188.964,189.684,189.873
1.09355,186.126,182.942,186.214,190.347,185.503,188.624,187.157,186.985,183.816,187.966,186.573,186.341,183.671,185.805,185.55,186.513,187.037,186.873,187.837,188.291,186.506,185.144,187.107,188.244,184.438,190.175,184.372,186.611,191.173,189.221,188.629,184.775,190.559,188.044,187.41,186.615,188.328,187.267,188.598,190.719,188.498,189.894,189.022,190.99,188.321,189.452,189.21,186.36,185.529,187.717,189.055,188.727,186.493,190.756,188.25,189.399,192.571,186.832,188.013,194.217,189.451,195.06,190.012,186.607,189.383,188.584,191.775,186.775,187.035,191.834,191.956,186.906,188.22,190.412,190.319,191.067,188.987,193.423,194.092,192.602,190.136,193.58,193.249,191.737,184.935,186.383,193.801,190.401,189.689,189.432,188.288,192.918,194.059,192.426,187.203,188.949,189.287,189.974,190.681,190.86
1.11827,187.289,184.072,187.386,191.545,186.639,189.805,188.362,188.125,184.92,189.108,187.766,187.464,184.791,186.914,186.657,187.65,188.146,188.012,188.949,189.427,187.613,186.251,188.221,189.369,185.54,191.275,185.464,187.724,192.252,190.326,189.732,185.861,191.636,189.138,188.492,187.693,189.392,188.352,189.695,191.803,189.596,190.998,190.098,192.08,189.428,190.514,190.294,187.4,186.596,188.806,190.133,189.803,187.57,191.821,189.308,190.484,193.597,187.854,189.057,195.22,190.513,196.064,191.071,187.631,190.405,189.627,192.791,187.827,188.086,192.84,192.971,187.944,189.268,191.405,191.363,192.042,190.006,194.431,195.09,193.582,191.129,194.552,194.243,192.724,185.938,187.394,194.78,191.401,190.676,190.416,189.296,193.887,195.013,193.404,188.172,189.946,190.303,190.977,191.667,191.835
1.14355,188.401,185.152,188.505,192.692,187.726,190.935,189.516,189.216,185.976,190.2,188.907,188.537,185.861,187.972,187.713,188.736,189.205,189.099,190.01,190.513,188.667,187.307,189.286,190.441,186.594,192.325,186.508,188.787,193.281,191.38,190.786,186.9,192.663,190.181,189.525,188.722,190.408,189.389,190.74,192.839,190.646,192.052,191.123,193.12,190.486,191.528,191.332,188.393,187.62,189.848,191.166,190.835,188.601,192.842,190.32,191.523,194.576,188.826,190.053,196.176,191.527,197.024,192.085,188.608,191.381,190.626,193.758,188.835,189.094,193.8,193.941,188.938,190.27,192.354,192.361,192.97,190.981,195.394,196.042,194.516,192.076,195.477,195.192,193.663,186.898,188.362,195.71,192.357,191.616,191.354,190.258,194.809,195.921,194.337,189.095,190.897,191.277,191.934,192.609,192.766
1.16941,189.462,186.18,189.573,193.788,188.76,192.012,190.617,190.254,186.98,191.24,189.997,189.558,186.879,188.979,188.718,189.769,190.212,190.133,191.019,191.548,189.669,188.313,190.3,191.461,187.596,193.32,187.501,189.8,194.256,192.38,191.791,187.888,193.64,191.171,190.503,189.7,191.371,190.375,191.732,193.824,191.646,193.057,192.095,194.109,191.495,192.49,192.319,189.337,188.596,190.84,192.152,191.819,189.585,193.815,191.285,192.51,195.506,189.749,190.999,197.082,192.491,197.936,193.053,189.536,192.309,191.579,194.672,189.797,190.056,194.715,194.862,189.887,191.229,193.255,193.311,193.849,191.91,196.31,196.947,195.401,192.973,196.355,196.093,194.551,187.817,189.285,196.59,193.269,192.506,192.244,191.174,195.683,196.778,195.222,189.971,191.798,192.205,192.845,193.505,193.648
1.19584,190.468,187.155,190.586,194.829,189.74,193.035,191.663,191.238,187.929,192.226,191.032,190.525,187.842,189.933,189.67,190.746,191.163,191.114,191.974,192.527,190.615,189.264,191.262,192.425,188.547,194.258,188.44,190.759,195.175,193.322,192.742,188.823,194.563,192.104,191.428,190.625,192.281,191.308,192.668,194.756,192.595,194.009,193.011,195.042,192.451,193.399,193.254,190.228,189.524,191.778,193.088,192.754,190.516,194.738,192.201,193.448,196.385,190.618,191.895,197.935,193.402,198.799,193.97,190.412,193.186,192.483,195.534,190.71,190.97,195.58,195.732,190.788,192.138,194.106,194.212,194.677,192.791,197.176,197.802,196.234,193.82,197.179,196.943,195.384,188.689,190.161,197.417,194.132,193.342,193.082,192.039,196.506,197.581,196.055,190.796,192.648,193.085,193.706,194.351,194.48
1.22288,191.418,188.074,191.542,195.813,190.663,194.001,192.653,192.165,188.821,193.156,192.01,191.434,188.749,190.83,190.564,191.666,192.058,192.037,192.874,193.45,191.503,190.16,192.169,193.33,189.441,195.138,189.325,191.664,196.037,194.207,193.639,189.703,195.431,192.98,192.294,191.496,193.133,192.185,193.547,195.634,193.487,194.905,193.869,195.919,193.352,194.252,194.134,191.066,190.4,192.661,193.972,193.638,191.396,195.61,193.065,194.33,197.21,191.432,192.734,198.733,194.259,199.609,194.836,191.233,194.009,193.337,196.339,191.571,191.834,196.393,196.548,191.639,192.996,194.905,195.059,195.45,193.622,197.988,198.605,197.012,194.61,197.948,197.741,196.163,189.514,190.987,198.186,194.945,194.125,193.866,192.852,197.273,198.329,196.836,191.567,193.444,193.914,194.512,195.145,195.259
