R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,172.214,179.675,193.848,199.155,164.068,189.234,205.598,182.17,161.042,178.815,190.331,180.305,177.377,176.43,178.614,183.236,181.562,186.253,185.591,191.802,184.654,180.973,183.501,190.957,177.879,191.917,180.116,182.7,190.262,195.111,187.379,184.513,188.215,185.377,182.376,180.256,180.61,181.969,188.317,191.869,190.676,193.76,188.272,201.283,194.332,188.749,194.645,175.666,178.4,188.563,190.215,189.845,186.452,191.582,185.071,197.341,194.176,182.545,185.114,193.619,191.783,201.254,196.86,185.683,186.004,190.242,192.086,189.619,192.968,193.606,192.063,185.634,191.157,189.059,197.248,185.998,193.911,199.621,205.899,192.119,193.227,196.766,199.028,193.758,183.675,189.113,199.043,197.725,190.491,189.416,194.974,203.322,199.058,200.822,188.961,193.719,198.749,195.163,199.552,200.346
7.79,0.421,300.265,312.16,337.889,347.562,285.92,330.065,358.609,317.399,280.502,311.67,331.824,314.218,309.007,307.471,311.343,319.328,316.535,324.846,323.831,334.542,321.958,315.51,320.062,333.165,309.8,335.03,314.2,318.647,332.207,340.495,327.235,322.049,328.738,323.515,318.07,314.428,315.208,317.682,328.824,335.211,333.133,338.467,328.798,351.792,339.566,329.819,340.103,306.835,311.694,329.4,332.479,331.979,325.832,335.153,323.63,345.077,339.668,318.869,323.501,338.695,335.339,352.503,344.522,324.507,325.467,333.037,336.02,331.736,337.795,339.099,336.196,325.062,334.69,331.173,345.35,325.723,339.754,349.748,360.84,336.374,338.401,344.643,348.584,339.26,321.953,331.346,348.661,346.853,333.669,331.902,341.53,356.661,348.995,351.963,331.104,339.259,348.481,342.085,350.009,351.214
7.79,0.516,415.864,431.101,467.514,481.234,395.987,456.969,496.253,439.188,388.393,431.429,459.238,434.885,427.633,425.617,431.012,441.921,438.203,449.774,448.514,463.128,445.703,436.796,443.202,461.337,428.63,464.095,435.186,441.242,460.272,471.505,453.492,446.165,455.603,448.145,440.435,435.479,436.721,440.235,455.636,464.612,461.761,469.049,455.654,487.593,470.673,457.253,471.398,425.459,432.234,456.578,461.006,460.471,451.793,464.984,448.96,478.523,471.187,442.057,448.582,469.847,465.083,489.35,478.048,449.988,451.702,462.301,466.172,460.307,468.862,470.838,466.63,451.392,464.636,459.935,479.35,452.319,471.868,485.661,501.067,466.952,469.846,478.503,483.918,470.965,447.433,460.265,484.086,482.094,463.38,461.058,474.244,495.639,484.858,488.83,459.963,471.036,484.176,475.233,486.41,487.884
7.79,0.621,556.969,575.58,625.096,643.785,530.494,611.443,663.413,587.437,520.262,577.344,614.252,581.855,572.191,569.617,576.847,591.176,586.414,601.911,600.42,619.573,596.4,584.567,593.218,617.359,573.35,621.263,582.704,590.619,616.284,630.915,607.41,597.459,610.253,600.036,589.536,583.052,584.921,589.729,610.197,622.303,618.554,628.114,610.292,652.931,630.425,612.664,631.35,570.386,579.466,611.645,617.735,617.245,605.486,623.412,601.984,641.166,631.601,592.401,601.221,629.821,623.344,656.31,640.931,603.126,605.906,620.172,624.979,617.272,628.882,631.728,625.874,605.836,623.348,617.306,642.881,607.073,633.268,651.578,672.143,626.395,630.377,641.915,649.062,631.78,601.036,617.885,649.387,647.421,621.896,618.971,636.33,665.406,650.831,655.923,617.537,631.973,649.956,637.943,653.093,654.787
7.79,0.726,711.244,732.721,796.523,820.623,677.794,779.736,844.977,749.012,664.732,736.551,783.022,742.151,729.952,726.824,736.024,753.867,748.097,767.78,766.133,789.946,760.715,745.8,756.877,787.357,731.217,792.579,743.8,753.612,786.433,804.512,775.424,762.614,779.059,765.787,752.236,744.198,746.826,753.06,778.858,794.349,789.68,801.567,779.075,833.078,804.684,782.388,805.807,729.052,740.599,780.947,788.884,788.552,773.45,796.531,769.35,818.628,806.791,756.775,768.071,804.544,796.212,838.66,818.84,770.538,774.647,792.87,798.508,788.917,803.862,807.699,799.989,774.995,796.969,789.602,821.583,776.554,809.873,832.927,858.976,800.766,805.976,820.554,829.497,807.637,769.531,790.527,830.053,828.422,795.421,791.933,813.631,851.078,832.392,838.59,790.168,808.02,831.34,816.03,835.505,837.318
7.79,0.84,891.769,915.818,996.047,1026.35,850.466,975.863,1055.92,937.434,834.183,922.406,979.637,929.207,914.245,910.445,921.887,943.622,936.761,961.209,959.433,988.362,952.376,933.98,947.804,985.444,915.497,992.225,931.947,943.819,984.795,1006.64,971.46,955.363,975.98,959.2,942.115,932.361,935.921,943.834,975.625,994.932,989.273,1003.7,975.998,1042.8,1007.81,980.45,1009.11,914.701,929.041,978.504,988.535,988.483,969.589,998.559,964.868,1025.46,1011.11,948.827,962.931,1008.34,997.917,1051.25,1026.31,966.074,971.82,994.552,1001,989.36,1008.13,1013.13,1003.24,972.779,999.724,990.926,1030.05,974.672,1016.09,1044.48,1076.71,1004.32,1010.99,1028.98,1039.91,1012.93,966.765,992.336,1040.8,1039.8,998.173,994.11,1020.62,1067.7,1044.3,1051.66,992.007,1013.57,1043.06,1024.01,1048.45,1050.28
7.79,0.944,1067.48,1093.39,1189.24,1225.4,1018.84,1165.98,1259.79,1120.23,999.52,1102.88,1170.18,1110.79,1093.35,1088.85,1102.41,1127.73,1119.88,1148.84,1146.97,1180.56,1138.33,1116.67,1133.07,1177.42,1094.46,1185.72,1114.71,1128.44,1177.11,1202.39,1161.67,1142.45,1167.01,1146.91,1126.43,1115.1,1119.59,1129.14,1166.53,1189.39,1182.85,1199.58,1167.06,1245.82,1204.7,1172.64,1206.11,1095.33,1112.29,1170.2,1182.18,1182.49,1160.04,1194.57,1154.76,1225.89,1209.23,1135.42,1152.15,1205.95,1193.6,1257.26,1227.46,1155.98,1163.35,1190.34,1197.45,1183.96,1206.37,1212.47,1200.48,1165,1196.55,1186.46,1232.23,1167.17,1216.23,1249.6,1287.61,1201.85,1209.95,1231.11,1243.85,1212.14,1158.64,1188.4,1245.16,1244.95,1195.08,1190.54,1221.5,1277.72,1249.87,1258.22,1188.15,1213.07,1248.43,1225.89,1255.03,1256.78
7.79,1.054,1264.3,1291.64,1404.54,1447.06,1207.79,1378.06,1486.52,1324.33,1185.2,1304.59,1382.71,1313.67,1293.71,1288.38,1304.24,1333.35,1324.46,1358.31,1356.38,1394.85,1346.01,1320.83,1339.98,1391.56,1294.53,1401.55,1319.06,1334.71,1391.7,1420.59,1374.1,1351.46,1380.29,1356.59,1332.38,1319.38,1324.95,1336.33,1379.7,1406.37,1398.95,1418.06,1380.43,1472,1424.36,1387.3,1425.83,1297.61,1317.39,1384.3,1398.37,1399.17,1372.9,1413.43,1367.04,1449.43,1430.32,1344.11,1363.66,1426.51,1412.1,1487.03,1451.91,1368.28,1377.5,1409.1,1416.82,1401.43,1427.81,1435.09,1420.77,1380.02,1416.45,1405.02,1457.88,1382.45,1439.8,1478.51,1522.7,1422.46,1432.19,1456.74,1471.38,1434.65,1373.5,1407.68,1473.22,1474.09,1415.2,1410.18,1445.86,1512.08,1479.36,1488.7,1407.56,1435.93,1477.74,1451.43,1485.69,1487.27
8.17,0.292,146.819,154.774,166.535,167.668,139.051,159.784,176.886,153.753,137.016,150.398,163.055,152.468,154.073,149.044,151.178,155.895,153.387,158.927,156.941,162.29,158.259,153.238,154.505,163.13,151.325,163.294,153.193,154.877,160.896,166.906,158.591,156.517,158.506,158.132,154.897,152.059,152.028,154.143,160.789,161.684,161.722,164.062,160.408,171.716,165.705,159.535,164.772,147.728,149.892,160.457,159.278,159.245,158.028,160.423,154.74,167.471,162.703,154.678,155.681,162.038,161.948,168.288,165.442,157.36,155.383,158.91,161.359,159.7,162.273,161.47,160.644,154.682,159.807,157.085,166.097,154.32,161.791,167.5,172.394,160.074,161.588,164.415,165.957,162.809,152.436,157.869,167.322,164.483,159.494,158.246,163.713,169.427,166.356,168.045,158.379,162.713,165.785,163.321,166.463,167.439
8.17,0.414,260.545,273.921,295.614,298.011,246.567,283.786,314.265,272.675,242.818,266.742,289.487,270.458,273.23,264.33,268.224,276.612,272.191,282.168,278.72,288.207,280.89,271.945,274.267,289.745,268.308,290.18,271.969,274.938,285.943,296.534,281.895,278.031,281.767,280.891,274.957,269.934,269.984,273.877,285.789,287.513,287.606,291.719,285.149,305.541,294.755,283.765,293.055,262.516,266.445,285.322,283.309,283.406,281.118,285.618,275.301,298.139,289.682,275.002,276.875,288.481,288.289,300.069,294.762,279.938,276.623,283.073,287.316,284.403,289.164,287.794,286.173,275.554,284.737,279.919,296.097,274.869,288.475,298.786,307.614,285.17,288.002,293.101,295.822,290.191,271.772,281.451,298.416,293.639,284.32,282.161,291.923,302.528,296.886,299.811,282.434,290.073,295.86,291.382,297.18,298.78
