R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,170.929,177.535,192.428,198.328,162.967,188.305,203.975,181.341,159.824,178.156,188.74,179.518,175.7,175.69,177.841,182.125,180.935,185.389,185.149,191.191,183.644,180.163,182.968,190.183,176.646,191.426,179.301,181.953,190.036,194.408,187.08,183.888,188.134,184.694,181.588,179.584,180.241,181.435,187.691,191.772,190.333,193.49,187.687,201.019,193.812,188.435,194.36,175.108,177.867,187.983,190.177,189.757,185.891,191.668,185.016,197.069,194.401,181.859,184.766,193.922,191.54,201.657,196.908,185.006,186.005,190.24,192.104,189.186,192.656,193.874,192.243,185.44,191.063,189.197,197.268,186.135,193.952,199.914,206.215,192.313,193.171,197.03,199.3,193.817,183.208,188.737,199.25,197.843,190.322,189.344,194.713,203.506,199.286,201.02,188.54,193.387,198.684,195.152,199.668,200.407
7.79,0.421,297.735,307.947,335.092,345.933,283.752,328.237,355.413,315.767,278.105,310.374,328.692,312.667,305.705,306.014,309.823,317.14,315.302,323.144,322.961,333.338,319.969,313.915,319.013,331.641,307.372,334.063,312.595,317.177,331.763,339.11,326.645,320.818,328.578,322.169,316.519,313.103,314.482,316.631,327.591,335.02,332.458,337.937,327.647,351.272,338.541,329.2,339.542,305.736,310.643,328.258,332.404,331.804,324.728,335.323,323.522,344.54,340.111,317.517,322.817,339.292,334.86,353.297,344.616,323.175,325.468,333.032,336.056,330.884,337.18,339.626,336.552,324.679,334.505,331.445,345.39,325.993,339.836,350.326,361.463,336.755,338.29,345.163,349.121,339.376,321.033,330.606,349.069,347.086,333.336,331.76,341.015,357.023,349.444,352.352,330.273,338.604,348.355,342.061,350.239,351.334
7.79,0.516,412.065,424.774,463.313,478.787,392.732,454.223,491.454,436.737,384.792,429.482,454.535,432.557,422.674,423.428,428.729,438.635,436.35,447.219,447.207,461.32,442.716,434.401,441.626,459.047,424.983,462.642,432.775,439.034,459.605,469.426,452.607,444.316,455.364,446.124,438.105,433.49,435.63,438.656,453.784,464.325,460.747,468.253,453.926,486.812,469.134,456.323,470.555,423.809,430.655,454.864,460.894,460.208,450.133,465.239,448.797,477.717,471.853,440.026,447.554,470.743,464.364,490.543,478.19,447.987,451.703,462.294,466.226,459.026,467.939,471.63,467.164,450.816,464.359,460.344,479.41,452.725,471.991,486.529,502.003,467.524,469.68,479.285,484.725,471.139,446.049,459.152,484.699,482.445,462.879,460.845,473.47,496.183,485.533,489.414,458.714,470.052,483.985,475.198,486.756,488.065
7.79,0.621,551.469,566.419,619.015,640.242,525.781,607.468,656.466,583.888,515.047,574.525,607.444,578.484,565.011,566.448,573.542,586.418,583.732,598.212,598.529,616.956,592.075,581.099,590.936,614.044,568.069,619.159,579.213,587.423,615.318,627.905,606.129,594.781,609.907,597.109,586.163,580.172,583.341,587.442,607.516,621.888,617.086,626.962,607.79,651.8,628.195,611.317,630.131,567.997,577.18,609.163,617.572,616.865,603.083,623.782,601.749,639.999,632.566,589.46,599.732,631.119,622.303,658.037,641.136,600.227,605.908,620.162,625.058,615.417,627.545,632.875,626.648,605.002,622.946,617.899,642.968,607.662,633.446,652.835,673.499,627.224,630.137,643.047,650.231,632.032,599.03,616.272,650.276,647.929,621.171,618.662,635.209,666.194,651.808,656.771,615.728,630.548,649.681,637.893,653.594,655.051
7.79,0.726,703.731,720.205,788.217,815.784,671.354,774.306,835.489,744.163,657.607,732.7,773.722,737.546,720.143,722.494,731.508,747.368,744.432,762.726,763.549,786.37,754.808,741.061,753.759,782.828,724,789.705,739.03,749.245,785.114,800.401,773.672,758.956,778.586,761.788,747.627,740.262,744.668,749.936,775.196,793.783,787.675,799.992,775.657,831.534,801.638,780.548,804.14,725.787,737.475,777.556,788.662,788.033,770.166,797.037,769.029,817.033,808.11,752.755,766.037,806.318,794.789,841.021,819.12,766.576,774.651,792.857,798.615,786.382,802.034,809.268,801.047,773.855,796.421,790.413,821.702,777.36,810.118,834.645,860.829,801.9,805.647,822.102,831.095,807.983,766.787,788.322,831.268,829.118,794.43,791.511,812.098,852.157,833.728,839.749,787.693,806.071,830.964,815.962,836.191,837.678
7.79,0.84,881.717,899.071,984.935,1019.88,841.85,968.599,1043.23,930.948,824.649,917.254,967.197,923.045,901.121,904.651,915.845,934.925,931.858,954.448,955.976,983.579,944.471,927.639,943.632,979.385,905.84,988.38,925.564,937.975,983.029,1001.14,969.117,950.468,975.348,953.85,935.948,927.093,933.034,939.653,970.725,994.175,986.589,1001.59,971.424,1040.73,1003.74,977.989,1006.88,910.33,924.858,973.966,988.24,987.789,965.193,999.237,964.44,1023.32,1012.88,943.445,960.209,1010.71,996.013,1054.41,1026.69,960.77,971.826,994.535,1001.15,985.966,1005.69,1015.23,1004.66,971.253,998.991,992.013,1030.22,975.752,1016.42,1046.78,1079.19,1005.84,1010.55,1031.05,1042.05,1013.39,963.085,989.381,1042.43,1040.74,996.846,993.545,1018.57,1069.15,1046.09,1053.21,988.692,1010.96,1042.55,1023.92,1049.37,1050.76
7.79,0.944,1054.79,1072.25,1175.21,1217.24,1007.96,1156.81,1243.77,1112.04,987.484,1096.38,1154.48,1103.01,1076.79,1081.54,1094.79,1116.76,1113.69,1140.3,1142.6,1174.53,1128.36,1108.67,1127.8,1169.77,1082.27,1180.87,1106.66,1121.07,1174.88,1195.45,1158.72,1136.27,1166.21,1140.16,1118.65,1108.45,1115.95,1123.87,1160.34,1188.44,1179.46,1196.92,1161.29,1243.21,1199.56,1169.53,1203.29,1089.81,1107,1164.47,1181.81,1181.62,1154.49,1195.42,1154.22,1223.19,1211.46,1128.63,1148.72,1208.95,1191.2,1261.25,1227.94,1149.28,1163.36,1190.32,1197.64,1179.67,1203.28,1215.12,1202.27,1163.07,1195.62,1187.83,1232.43,1168.54,1216.65,1252.51,1290.74,1203.77,1209.39,1233.73,1246.56,1212.73,1153.99,1184.67,1247.21,1246.13,1193.41,1189.83,1218.9,1279.55,1252.13,1260.18,1183.96,1209.77,1247.8,1225.78,1256.19,1257.39
7.79,1.054,1248.5,1265.3,1387.07,1436.89,1194.24,1366.65,1466.57,1314.14,1170.2,1296.49,1363.16,1303.98,1273.08,1279.27,1294.74,1319.68,1316.75,1347.68,1350.94,1387.33,1333.58,1310.86,1333.42,1382.04,1279.34,1395.51,1309.02,1325.52,1388.93,1411.94,1370.41,1343.76,1379.3,1348.17,1322.68,1311.1,1320.41,1329.76,1372,1405.18,1394.73,1414.75,1373.24,1468.76,1417.95,1383.42,1422.33,1290.73,1310.81,1377.17,1397.9,1398.08,1365.98,1414.5,1366.37,1446.08,1433.11,1335.64,1359.38,1430.25,1409.11,1492,1452.51,1359.92,1377.51,1409.08,1417.05,1396.08,1423.96,1438.4,1423,1377.62,1415.3,1406.74,1458.13,1384.16,1440.32,1482.13,1526.62,1424.86,1431.5,1460,1474.75,1435.39,1367.68,1403.02,1475.78,1475.56,1413.11,1409.3,1442.63,1514.37,1482.18,1491.15,1402.33,1431.82,1476.95,1451.3,1487.15,1488.03
8.17,0.292,145.659,152.832,165.259,166.927,138.05,158.949,175.441,153.002,135.902,149.802,161.631,151.753,152.552,148.369,150.475,154.889,152.818,158.145,156.54,161.737,157.343,152.5,154.018,162.43,150.193,162.85,152.446,154.196,160.692,166.271,158.32,155.944,158.434,157.511,154.177,151.439,151.691,153.654,160.221,161.598,161.41,163.818,159.875,171.477,165.23,159.248,164.513,147.207,149.392,159.926,159.247,159.167,157.508,160.508,154.694,167.223,162.917,154.036,155.36,162.323,161.726,168.666,165.491,156.724,155.39,158.915,161.381,159.292,161.979,161.731,160.819,154.5,159.724,157.225,166.121,154.459,161.838,167.78,172.697,160.265,161.54,164.672,166.222,162.87,151.957,157.499,167.522,164.608,159.336,158.183,163.465,169.613,166.581,168.241,157.964,162.396,165.728,163.317,166.585,167.505
8.17,0.414,258.213,270.018,293.05,296.523,244.556,282.109,311.361,271.166,240.58,265.544,286.625,269.021,270.175,262.973,266.811,274.592,271.047,280.598,277.915,287.096,279.048,270.461,273.29,288.34,266.033,289.288,270.47,273.569,285.533,295.257,281.35,276.88,281.623,279.644,273.511,268.688,269.306,272.895,284.647,287.34,286.979,291.229,284.078,305.061,293.801,283.188,292.534,261.468,265.44,284.255,283.248,283.25,280.074,285.789,275.209,297.639,290.112,273.711,276.229,289.054,287.844,300.827,294.862,278.66,276.637,283.082,287.36,283.584,288.575,288.317,286.525,275.187,284.57,280.201,296.146,275.149,288.569,299.348,308.221,285.554,287.906,293.617,296.354,290.315,270.809,280.708,298.818,293.891,284.003,282.034,291.424,302.903,297.337,300.205,281.6,289.436,295.745,291.372,297.425,298.912
