R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,173.856,173.945,173.819,173.867,173.697,173.813,174.006,173.591,173.543,173.594,174.031,173.445,173.816,173.691,173.501,174.205,173.879,173.502,173.521,173.77,174.765,173.478,174.689,174.401,175.258,175.254,173.707,175.07,175.517,175.523,174.587,173.797,175.438,175.372,176.424,176.825,176.684,176.031,175.647,176.119,175.801,175.705,177.247,176.097,176.637,177.943,177.37,178.432,177.758,176.965,176.89,177.549,177.556,177.689,177.532,177.814,177.993,179.413,178.952,178.474,178.448,178.018,178.281,179.773,179.171,179.051,179.894,179.724,179.943,179.188,179.379,179.882,179.744,180.557,179.155,181.09,180.35,179.715,179.974,181.255,182.027,181.228,180.439,181.055,181.427,181.648,181.428,181.223,182.566,181.9,181.993,182.216,182.613,181.991,182.731,182.921,182.551,181.876,181.822,182.856
1.02261,174.863,174.954,174.824,174.874,174.696,174.818,175.019,174.586,174.535,174.589,175.046,174.434,174.812,174.682,174.489,175.197,174.865,174.492,174.508,174.764,175.747,174.469,175.698,175.383,176.272,176.226,174.703,176.078,176.489,176.499,175.589,174.795,176.431,176.352,177.415,177.838,177.68,177.038,176.631,177.124,176.814,176.712,178.237,177.088,177.659,178.949,178.392,179.456,178.808,177.982,177.929,178.594,178.593,178.727,178.571,178.843,179.005,180.426,179.977,179.471,179.468,179.034,179.326,180.801,180.198,180.105,180.897,180.785,181.011,180.224,180.401,180.948,180.807,181.595,180.192,182.11,181.408,180.746,181.002,182.272,183.059,182.243,181.468,182.06,182.517,182.724,182.433,182.281,183.596,182.932,183.047,183.242,183.623,183.026,183.777,183.966,183.626,182.923,182.871,183.897
1.04573,175.843,175.938,175.802,175.855,175.669,175.796,176.007,175.553,175.5,175.557,176.034,175.396,175.782,175.646,175.45,176.163,175.823,175.456,175.468,175.73,176.702,175.434,176.681,176.336,177.26,177.17,175.672,177.059,177.433,177.446,176.563,175.767,177.395,177.303,178.378,178.825,178.649,178.016,177.586,178.102,177.801,177.691,179.198,178.05,178.655,179.926,179.387,180.453,179.833,178.972,178.941,179.613,179.604,179.739,179.583,179.845,179.989,181.411,180.973,180.44,180.461,180.023,180.344,181.802,181.197,181.133,181.871,181.82,182.054,181.233,181.396,181.989,181.844,182.605,181.202,183.102,182.439,181.75,182.002,183.261,184.063,183.228,182.469,183.035,183.58,183.773,183.408,183.312,184.598,183.935,184.072,184.239,184.602,184.031,184.794,184.984,184.674,183.943,183.893,184.91
1.06937,176.794,176.893,176.752,176.808,176.612,176.746,176.966,176.492,176.436,176.495,176.994,176.328,176.722,176.581,176.382,177.099,176.751,176.39,176.398,176.667,177.626,176.369,177.635,177.259,178.22,178.081,176.612,178.011,178.344,178.362,177.508,176.709,178.33,178.224,179.31,179.781,179.586,178.965,178.511,179.05,178.758,178.642,180.128,178.981,179.621,180.873,180.353,181.419,180.83,179.932,179.926,180.604,180.587,180.721,180.567,180.818,180.943,182.365,181.94,181.377,181.424,180.982,181.333,182.772,182.167,182.133,182.813,182.827,183.068,182.212,182.36,183.002,182.852,183.585,182.182,184.061,183.441,182.723,182.972,184.217,185.035,184.182,183.439,183.977,184.617,184.795,184.35,184.314,185.568,184.907,185.068,185.205,185.548,185.006,185.781,185.97,185.694,184.932,184.885,185.891
1.09355,177.715,177.818,177.671,177.731,177.525,177.665,177.895,177.399,177.34,177.403,177.924,177.229,177.632,177.484,177.282,178.003,177.647,177.293,177.297,177.573,178.518,177.273,178.558,178.15,179.148,178.96,177.521,178.932,179.223,179.244,178.422,177.621,179.233,179.112,180.209,180.707,180.491,179.883,179.403,179.966,179.685,179.561,181.024,179.88,180.556,181.788,181.288,182.354,181.798,180.861,180.88,181.565,181.539,181.674,181.52,181.76,181.864,183.286,182.874,182.28,182.355,181.908,182.292,183.71,183.104,183.103,183.721,183.804,184.053,183.16,183.291,183.984,183.831,184.533,183.132,184.988,184.413,183.664,183.909,185.141,185.975,185.101,184.377,184.885,185.624,185.786,185.258,185.285,186.504,185.846,186.032,186.136,186.46,185.948,186.735,186.924,186.682,185.89,185.846,186.839
1.11827,178.604,178.71,178.558,178.62,178.404,178.552,178.792,178.273,178.211,178.278,178.822,178.097,178.508,178.354,178.148,178.873,178.51,178.163,178.162,178.445,179.374,178.144,179.448,179.006,180.044,179.802,178.396,179.819,180.065,180.091,179.303,178.499,180.1,179.965,181.073,181.598,181.361,180.766,180.259,180.848,180.578,180.446,181.885,180.743,181.458,182.667,182.188,183.255,182.733,181.756,181.802,182.494,182.459,182.593,182.441,182.668,182.751,184.171,183.774,183.148,183.251,182.8,183.219,184.613,184.007,184.039,184.592,184.748,185.006,184.073,184.188,184.935,184.777,185.446,184.047,185.878,185.351,184.571,184.812,186.027,186.878,185.985,185.279,185.756,186.6,186.745,186.128,186.222,187.404,186.749,186.962,187.032,187.334,186.853,187.654,187.842,187.638,186.812,186.771,187.752
1.14355,179.457,179.567,179.409,179.475,179.248,179.403,179.654,179.112,179.046,179.116,179.685,178.928,179.348,179.187,178.978,179.707,179.335,178.996,178.991,179.281,180.194,178.979,180.303,179.825,180.904,180.607,179.236,180.671,180.869,180.899,180.147,179.342,180.931,180.779,181.9,182.452,182.193,181.613,181.078,181.694,181.435,181.294,182.707,181.569,182.325,183.508,183.053,184.119,183.634,182.615,182.689,183.388,183.343,183.477,183.326,183.541,183.601,185.018,184.637,183.976,184.11,183.655,184.11,185.479,184.874,184.942,185.425,185.658,185.924,184.951,185.047,185.851,185.688,186.322,184.926,186.73,186.254,185.441,185.677,186.875,187.743,186.829,186.145,186.588,187.542,187.668,186.958,187.123,188.265,187.614,187.855,187.888,188.167,187.721,188.535,188.723,188.557,187.697,187.66,188.626
1.16941,180.273,180.387,180.223,180.292,180.055,180.217,180.479,179.912,179.843,179.917,180.512,179.721,180.15,179.982,179.77,180.503,180.122,179.791,179.781,180.079,180.973,179.775,181.12,180.604,181.726,181.37,180.038,181.485,181.631,181.667,180.954,180.147,181.723,181.553,182.686,183.268,182.985,182.421,181.856,182.5,182.254,182.105,183.489,182.354,183.153,184.309,183.879,184.944,184.498,183.435,183.54,184.245,184.189,184.324,184.175,184.375,184.41,185.825,185.461,184.764,184.93,184.471,184.964,186.306,185.701,185.807,186.216,186.53,186.806,185.79,185.867,186.73,186.563,187.159,185.767,187.541,187.12,186.272,186.502,187.682,188.568,187.632,186.97,187.377,188.447,188.555,187.746,187.986,189.085,188.438,188.708,188.703,188.958,188.549,189.375,189.563,189.439,188.543,188.509,189.46
1.19584,181.048,181.166,180.996,181.069,180.82,180.99,181.264,180.671,180.598,180.676,181.298,180.472,180.911,180.736,180.519,181.256,180.866,180.544,180.529,180.835,181.709,180.53,181.897,181.34,182.507,182.089,180.798,182.257,182.349,182.391,181.719,180.91,182.471,182.284,183.428,184.042,183.734,183.187,182.591,183.265,183.031,182.873,184.226,183.096,183.94,185.067,184.663,185.727,185.323,184.213,184.35,185.062,184.995,185.13,184.982,185.167,185.177,186.588,186.242,185.508,185.707,185.244,185.777,187.089,186.485,186.631,186.962,187.362,187.647,186.587,186.644,187.569,187.397,187.953,186.566,188.307,187.944,187.06,187.284,188.443,189.348,188.389,187.752,188.12,189.313,189.4,188.488,188.807,189.86,189.218,189.52,189.473,189.702,189.332,190.172,190.359,190.28,189.346,189.315,190.25
1.22288,181.78,181.903,181.726,181.803,181.541,181.72,182.007,181.386,181.309,181.392,182.042,181.179,181.628,181.445,181.225,181.965,181.566,181.254,181.233,181.548,182.4,181.241,182.63,182.031,183.246,182.761,181.515,182.986,183.021,183.067,182.44,181.631,183.175,182.968,184.125,184.771,184.437,183.908,183.28,183.984,183.765,183.598,184.916,183.793,184.683,185.779,185.403,186.465,186.105,184.948,185.118,185.837,185.758,185.893,185.747,185.916,185.899,187.304,186.978,186.204,186.439,185.972,186.547,187.827,187.224,187.413,187.66,188.152,188.447,187.34,187.375,188.367,188.189,188.702,187.321,189.026,188.725,187.802,188.021,189.157,190.082,189.099,188.488,188.816,190.138,190.204,189.181,189.585,190.589,189.951,190.286,190.196,190.397,190.068,190.923,191.11,191.077,190.104,190.077,190.993
1.25053,182.467,182.594,182.41,182.491,182.217,182.404,182.704,182.054,181.973,182.06,182.74,181.839,182.298,182.107,181.883,182.627,182.218,181.917,181.89,182.213,183.043,181.905,183.316,182.674,183.938,183.383,182.185,183.668,183.642,183.695,183.114,182.304,183.83,183.603,184.772,185.453,185.092,184.582,183.919,184.656,184.452,184.275,185.557,184.44,185.38,186.442,186.096,187.155,186.842,185.634,185.84,186.566,186.475,186.609,186.466,186.618,186.571,187.971,187.665,186.85,187.123,186.652,187.271,188.517,187.915,188.149,188.308,188.896,189.2,188.044,188.057,189.118,188.934,189.403,188.028,189.695,189.46,188.497,188.709,189.821,190.766,189.759,189.175,189.459,190.918,190.961,189.823,190.315,191.266,190.635,191.004,190.869,191.04,190.755,191.625,191.811,191.827,190.813,190.79,191.686
1.2788,183.112,183.244,183.052,183.139,182.848,183.047,183.362,182.678,182.592,182.685,183.4,182.454,182.925,182.722,182.496,183.249,182.825,182.534,182.5,182.832,183.646,182.526,183.953,183.277,184.58,183.97,182.812,184.301,184.225,184.287,183.735,182.936,184.437,184.199,185.381,186.086,185.701,185.206,184.519,185.278,185.085,184.902,186.16,185.044,186.025,187.06,186.737,187.792,187.515,186.271,186.501,187.231,187.133,187.265,187.12,187.265,187.191,188.592,188.301,187.451,187.757,187.277,187.931,189.155,188.549,188.817,188.913,189.574,189.886,188.687,188.685,189.799,189.612,190.043,188.675,190.313,190.126,189.134,189.341,190.437,191.398,190.37,189.808,190.059,191.622,191.648,190.422,190.978,191.895,191.264,191.663,191.49,191.641,191.387,192.27,192.459,192.511,191.463,191.44,192.323
1.30771,183.704,183.842,183.643,183.735,183.428,183.637,183.969,183.249,183.157,183.257,184.008,183.015,183.499,183.284,183.054,183.817,183.376,183.098,183.057,183.398,184.194,183.094,184.538,183.825,185.17,184.501,183.386,184.88,184.753,184.823,184.302,183.514,184.988,184.739,185.933,186.665,186.255,185.776,185.063,185.846,185.665,185.475,186.706,185.593,186.616,187.622,187.323,188.374,188.135,186.853,187.109,187.844,187.737,187.867,187.721,187.858,187.756,189.157,188.881,187.995,188.335,187.847,188.537,189.737,189.127,189.431,189.46,190.2,190.518,189.275,189.258,190.427,190.237,190.627,189.268,190.872,190.737,189.716,189.918,190.995,191.973,190.924,190.384,190.6,192.273,192.282,190.963,191.586,192.466,191.837,192.266,192.054,192.182,191.963,192.858,193.052,193.14,192.057,192.034,192.903
1.33728,184.242,184.384,184.177,184.275,183.95,184.172,184.521,183.764,183.665,183.772,184.561,183.519,184.017,183.788,183.555,184.328,183.87,183.604,183.555,183.906,184.684,183.605,185.065,184.315,185.704,184.973,183.903,185.403,185.22,185.3,184.812,184.037,185.481,185.22,186.427,187.186,186.749,186.288,185.548,186.356,186.187,185.991,187.193,186.082,187.15,188.124,187.852,188.898,188.699,187.378,187.661,188.399,188.285,188.413,188.265,188.394,188.261,189.661,189.403,188.478,188.855,188.357,189.086,190.261,189.647,189.988,189.947,190.769,191.093,189.804,189.771,190.998,190.805,191.152,189.803,191.371,191.291,190.239,190.435,191.492,192.487,191.416,190.901,191.08,192.867,192.858,191.441,192.136,192.976,192.349,192.81,192.557,192.661,192.477,193.385,193.584,193.712,192.592,192.568,193.422
1.36751,184.72,184.867,184.652,184.756,184.413,184.647,185.014,184.217,184.112,184.226,185.055,183.962,184.474,184.23,183.995,184.778,184.302,184.05,183.992,184.354,185.11,184.055,185.532,184.742,186.177,185.379,184.36,185.864,185.623,185.713,185.261,184.499,185.912,185.638,186.857,187.644,187.18,186.737,185.969,186.803,186.647,186.445,187.616,186.507,187.622,188.563,188.318,189.359,189.203,187.841,188.153,188.895,188.771,188.897,188.747,188.868,188.702,190.101,189.861,188.895,189.311,188.804,189.574,190.72,190.102,190.484,190.367,191.277,191.608,190.27,190.22,191.509,191.312,191.613,190.275,191.804,191.783,190.698,190.888,191.923,192.936,191.842,191.354,191.492,193.402,193.373,191.852,192.622,193.421,192.795,193.291,192.993,193.072,192.926,193.848,194.051,194.221,193.063,193.039,193.876
1.39843,185.134,185.287,185.063,185.174,184.811,185.059,185.444,184.606,184.494,184.615,185.487,184.339,184.866,184.607,184.369,185.163,184.668,184.43,184.364,184.736,185.47,184.44,185.935,185.103,186.585,185.718,184.753,186.261,185.956,186.058,185.644,184.897,186.275,185.987,187.22,188.037,187.543,187.121,186.323,187.183,187.042,186.833,187.97,186.865,188.03,188.934,188.719,189.754,189.643,188.237,188.58,189.326,189.193,189.316,189.165,189.276,189.076,190.473,190.252,189.244,189.7,189.184,189.996,191.112,190.491,190.915,190.718,191.72,192.059,190.67,190.601,191.954,191.754,192.006,190.681,192.167,192.208,191.09,191.273,192.284,193.316,192.198,191.738,191.833,193.872,193.822,192.192,193.043,193.795,193.172,193.703,193.359,193.411,193.306,194.242,194.45,194.664,193.465,193.441,194.26
1.43004,185.481,185.64,185.407,185.524,185.141,185.403,185.808,184.926,184.806,184.936,185.852,184.647,185.189,184.914,184.673,185.478,184.962,184.741,184.665,185.048,185.758,184.756,186.269,185.393,186.924,185.984,185.076,186.588,186.217,186.33,185.956,185.225,186.566,186.264,187.51,188.359,187.833,187.433,186.604,187.493,187.367,187.15,188.25,187.15,188.368,189.232,189.049,190.076,190.014,188.564,188.939,189.688,189.545,189.665,189.513,189.614,189.377,190.771,190.572,189.518,190.018,189.491,190.349,191.432,190.807,191.277,190.993,192.094,192.441,190.997,190.909,192.331,192.126,192.326,191.015,192.455,192.563,191.409,191.586,192.57,193.621,192.478,192.049,192.099,194.273,194.202,192.455,193.391,194.094,193.474,194.044,193.65,193.672,193.611,194.561,194.774,195.036,193.795,193.771,194.569
1.46237,185.755,185.92,185.678,185.803,185.397,185.674,186.1,185.171,185.044,185.182,186.146,184.88,185.438,185.147,184.902,185.718,185.182,184.977,184.891,185.286,185.97,184.998,186.529,185.606,187.19,186.171,185.325,186.84,186.399,186.524,186.194,185.481,186.78,186.464,187.724,188.605,188.047,187.67,186.808,187.727,187.618,187.392,188.453,187.358,188.631,189.453,189.304,190.323,190.313,188.814,189.224,189.976,189.823,189.941,189.786,189.877,189.601,190.991,190.814,189.713,190.259,189.722,190.628,191.674,191.046,191.564,191.189,192.393,192.748,191.248,191.14,192.633,192.424,192.569,191.273,192.663,192.842,191.651,191.82,192.776,193.847,192.678,192.282,192.283,194.601,194.507,192.638,193.663,194.314,193.697,194.308,193.861,193.852,193.837,194.802,195.021,195.332,194.047,194.022,194.799
1.49544,185.952,186.123,185.871,186.004,185.575,185.868,186.316,185.338,185.203,185.35,186.364,185.033,185.608,185.299,185.052,185.879,185.32,185.134,185.037,185.444,186.101,185.161,186.71,185.738,187.377,186.276,185.496,187.014,186.497,186.635,186.352,185.658,186.913,186.581,187.855,188.771,188.178,187.826,186.93,187.879,187.788,187.555,188.572,187.484,188.815,189.592,189.478,190.488,190.533,188.985,189.431,190.186,190.022,190.136,189.98,190.059,189.742,191.127,190.974,189.823,190.418,189.87,190.827,191.834,191.202,191.771,191.299,192.614,192.978,191.418,191.287,192.857,192.644,192.728,191.45,192.787,193.041,191.81,191.971,192.897,193.988,192.792,192.431,192.38,194.851,194.732,192.733,193.854,194.448,193.835,194.489,193.986,193.944,193.978,194.959,195.183,195.548,194.216,194.191,194.944
