R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,196.669,196.715,196.647,196.699,196.528,196.646,196.812,196.45,196.388,196.454,196.822,196.324,196.661,196.617,196.424,197.103,196.827,196.381,196.476,196.699,197.764,196.423,197.75,197.374,198.304,198.335,196.718,198.139,198.656,198.617,197.675,196.869,198.616,198.468,199.61,200.091,199.957,199.241,198.783,199.365,199.019,198.893,200.546,199.333,199.917,201.359,200.744,201.903,201.191,200.271,200.271,200.994,200.96,201.148,200.99,201.248,201.487,202.97,202.491,201.998,201.942,201.542,201.826,203.386,202.789,202.685,203.536,203.377,203.643,202.848,203.014,203.592,203.435,204.342,202.78,204.902,204.132,203.408,203.699,205.064,205.911,205.047,204.192,204.84,205.3,205.523,205.251,205.101,206.487,205.789,205.883,206.155,206.56,205.907,206.692,206.864,206.519,205.772,205.752,206.855
1.02261,197.871,197.918,197.849,197.902,197.723,197.848,198.022,197.641,197.578,197.646,198.032,197.511,197.855,197.807,197.611,198.293,198.012,197.57,197.665,197.892,198.946,197.614,198.962,198.555,199.519,199.507,197.915,199.348,199.83,199.793,198.879,198.07,199.812,199.65,200.803,201.31,201.157,200.451,199.969,200.576,200.238,200.105,201.739,200.527,201.146,202.571,201.975,203.136,202.452,201.495,201.519,202.25,202.208,202.397,202.24,202.487,202.71,204.193,203.726,203.205,203.172,202.771,203.084,204.625,204.028,203.954,204.751,204.652,204.927,204.099,204.249,204.875,204.714,205.595,204.031,206.137,205.406,204.654,204.943,206.296,207.16,206.277,205.436,206.058,206.608,206.818,206.47,206.378,207.733,207.037,207.153,207.399,207.786,207.159,207.956,208.127,207.814,207.038,207.021,208.115
1.04573,199.046,199.095,199.023,199.079,198.891,199.022,199.204,198.806,198.738,198.811,199.215,198.67,199.02,198.97,198.771,199.455,199.168,198.731,198.823,199.056,200.098,198.777,200.146,199.705,200.708,200.649,199.085,200.531,200.974,200.939,200.056,199.244,200.981,200.801,201.967,202.5,202.33,201.634,201.125,201.758,201.43,201.288,202.904,201.694,202.347,203.755,203.177,204.341,203.687,202.691,202.741,203.48,203.428,203.619,203.463,203.698,203.904,205.387,204.933,204.383,204.374,203.97,204.314,205.836,205.24,205.198,205.934,205.901,206.186,205.322,205.456,206.132,205.966,206.821,205.254,207.343,206.655,205.872,206.157,207.499,208.379,207.477,206.651,207.246,207.892,208.087,207.659,207.628,208.951,208.257,208.397,208.614,208.981,208.382,209.192,209.362,209.082,208.275,208.262,209.347
1.06937,200.192,200.242,200.167,200.227,200.029,200.166,200.358,199.94,199.869,199.946,200.368,199.799,200.155,200.102,199.899,200.585,200.295,199.862,199.953,200.192,201.219,199.91,201.301,200.826,201.866,201.76,200.225,201.684,202.085,202.053,201.203,200.388,202.119,201.92,203.1,203.661,203.47,202.786,202.25,202.91,202.592,202.441,204.036,202.828,203.518,204.909,204.35,205.516,204.894,203.856,203.935,204.682,204.618,204.811,204.657,204.879,205.066,206.548,206.109,205.528,205.544,205.139,205.516,207.017,206.422,206.412,207.086,207.123,207.417,206.515,206.632,207.36,207.19,208.017,206.448,208.518,207.875,207.059,207.341,208.669,209.567,208.645,207.836,208.401,209.148,209.327,208.815,208.849,210.136,209.445,209.61,209.796,210.143,209.574,210.396,210.565,210.321,209.482,209.473,210.548
1.09355,201.305,201.358,201.28,201.344,201.135,201.279,201.479,201.042,200.967,201.048,201.49,200.895,201.258,201.202,200.996,201.684,201.387,200.96,201.049,201.294,202.307,201.012,202.424,201.912,202.993,202.835,201.334,202.803,203.163,203.133,202.319,201.501,203.222,203.006,204.198,204.788,204.578,203.906,203.341,204.03,203.722,203.563,205.134,203.928,204.659,206.028,205.491,206.659,206.071,204.989,205.098,205.853,205.778,205.974,205.82,206.029,206.197,207.677,207.251,206.64,206.683,206.277,206.687,208.165,207.571,207.595,208.204,208.313,208.616,207.676,207.775,208.558,208.384,209.18,207.61,209.658,209.064,208.214,208.492,209.806,210.722,209.779,208.987,209.522,210.375,210.537,209.934,210.038,211.288,210.6,210.791,210.944,211.27,210.732,211.568,211.735,211.53,210.656,210.652,211.714
1.11827,202.385,202.44,202.359,202.425,202.206,202.358,202.568,202.109,202.03,202.115,202.579,201.956,202.326,202.267,202.058,202.747,202.445,202.024,202.111,202.361,203.358,202.079,203.514,202.963,204.085,203.873,202.407,203.89,204.202,204.175,203.399,202.579,204.291,204.055,205.26,205.881,205.648,204.991,204.395,205.115,204.818,204.65,206.195,204.993,205.764,207.111,206.597,207.766,207.215,206.087,206.228,206.99,206.904,207.103,206.951,207.144,207.292,208.769,208.36,207.713,207.787,207.378,207.825,209.278,208.684,208.746,209.284,209.47,209.784,208.803,208.882,209.725,209.545,210.308,208.737,210.762,210.219,209.333,209.607,210.904,211.839,210.874,210.104,210.604,211.571,211.713,211.017,211.194,212.402,211.718,211.938,212.056,212.358,211.854,212.703,212.869,212.705,211.795,211.795,212.844
1.14355,203.427,203.485,203.4,203.47,203.241,203.4,203.619,203.139,203.056,203.145,203.631,202.98,203.357,203.294,203.081,203.773,203.465,203.05,203.135,203.391,204.37,203.108,204.566,203.974,205.142,204.871,203.443,204.938,205.201,205.178,204.442,203.621,205.321,205.065,206.283,206.936,206.68,206.037,205.41,206.161,205.876,205.698,207.216,206.018,206.832,208.155,207.666,208.835,208.323,207.148,207.322,208.094,207.994,208.195,208.045,208.223,208.347,209.821,209.429,208.748,208.852,208.441,208.927,210.351,209.76,209.86,210.324,210.592,210.916,209.893,209.951,210.855,210.669,211.397,209.827,211.826,211.338,210.415,210.685,211.964,212.919,211.93,211.181,211.645,212.73,212.854,212.058,212.312,213.478,212.797,213.045,213.127,213.405,212.937,213.8,213.965,213.844,212.896,212.902,213.936
1.16941,204.431,204.49,204.403,204.477,204.236,204.402,204.632,204.129,204.041,204.136,204.644,203.964,204.347,204.28,204.065,204.757,204.443,204.035,204.118,204.382,205.34,204.097,205.579,204.944,206.158,205.827,204.439,205.947,206.158,206.137,205.446,204.622,206.31,206.032,207.263,207.951,207.67,207.043,206.382,207.168,206.894,206.707,208.195,207.002,207.862,209.158,208.694,209.864,209.393,208.169,208.378,209.158,209.046,209.248,209.1,209.261,209.363,210.832,210.458,209.74,209.877,209.463,209.99,211.384,210.795,210.937,211.319,211.675,212.011,210.943,210.979,211.947,211.757,212.447,210.877,212.847,212.418,211.456,211.721,212.981,213.956,212.944,212.217,212.643,213.854,213.957,213.055,213.391,214.511,213.834,214.114,214.156,214.409,213.979,214.855,215.019,214.943,213.957,213.968,214.986
1.19584,205.392,205.453,205.362,205.44,205.187,205.362,205.602,205.076,204.983,205.083,205.615,204.903,205.294,205.224,205.005,205.697,205.377,204.977,205.057,205.328,206.265,205.042,206.549,205.869,207.131,206.736,205.392,206.913,207.068,207.05,206.407,205.581,207.254,206.953,208.198,208.922,208.616,208.006,207.309,208.129,207.871,207.672,209.126,207.94,208.848,210.116,209.68,210.848,210.423,209.146,209.392,210.18,210.055,210.259,210.114,210.257,210.333,211.797,211.443,210.685,210.857,210.442,211.011,212.373,211.787,211.972,212.269,212.718,213.064,211.95,211.963,213,212.804,213.453,211.885,213.824,213.456,212.454,212.712,213.951,214.948,213.911,213.208,213.593,214.937,215.018,214.005,214.428,215.497,214.826,215.139,215.14,215.363,214.975,215.867,216.028,216.001,214.974,214.99,215.991
1.22288,206.307,206.37,206.276,206.358,206.092,206.276,206.528,205.975,205.878,205.983,206.541,205.796,206.195,206.121,205.897,206.591,206.264,205.873,205.951,206.227,207.143,205.942,207.474,206.746,208.059,207.595,206.3,207.833,207.928,207.915,207.321,206.494,208.151,207.826,209.085,209.846,209.512,208.921,208.187,209.045,208.801,208.591,210.009,208.83,209.789,211.025,210.619,211.786,211.409,210.077,210.362,211.16,211.02,211.226,211.083,211.206,211.257,212.714,212.38,211.582,211.79,211.374,211.988,213.314,212.731,212.963,213.169,213.715,214.075,212.91,212.899,214.007,213.805,214.412,212.847,214.751,214.449,213.403,213.658,214.873,215.89,214.828,214.153,214.495,215.978,216.036,214.904,215.42,216.435,215.77,216.117,216.074,216.268,215.923,216.83,216.989,217.014,215.943,215.965,216.948
