R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,298.183,317.373,341.79,346.772,281.267,328.832,365.319,314.93,275.944,307.566,335.031,311.521,311.674,303.556,308.131,318.877,313.291,324.264,320.416,332.947,321.863,312.477,315.428,333.043,307.696,333.35,310.775,315.342,328.573,340.612,323.094,317.999,323.515,321.479,314.949,309.204,309.345,313.022,326.91,330.022,329.055,334.62,325.797,349.865,336.643,324.593,335.367,299.229,303.94,325.655,325.013,324.522,320.556,327.36,315.183,340.546,332.276,313.164,316.468,331.102,329.655,344.074,337.328,318.657,316.519,323.874,328.867,324.328,329.859,329.656,327.719,314.946,325.529,320.7,338.335,315.089,329.907,341.726,352.03,326.805,329.172,335.603,339.084,331.523,310.256,321.072,341.059,335.713,324.453,322.142,332.857,345.77,339.31,342.752,321.542,330.696,338.025,332.624,339.525,341.39
7.79,0.421,509.43,539.613,585.193,595.236,480.048,563.521,626.293,538.964,470.608,526.515,573.102,533.391,532.307,519.808,527.91,545.675,537.102,555.977,550.353,571.551,551.643,535.662,541.62,571.692,526.423,573.081,533.378,541.156,565.371,585.335,556.137,546.784,557.289,552.162,540.483,531.212,532.014,538.393,562.16,568.984,567.135,576.578,560.739,603.565,580.372,559.811,578.648,515.539,524.113,561.026,561.368,560.959,552.961,566.25,544.803,588.422,574.892,539.877,546.274,572.794,569.514,596.666,584.297,550.09,547.908,561.374,568.944,561.307,571.73,571.986,567.773,546.099,564.431,556.683,586.457,546.575,573.056,593.2,611.537,566.772,571.228,582.5,588.498,574.77,539.067,557.575,591.877,584.359,563.028,559.385,577.855,601.779,589.883,595.875,558.413,573.804,588.117,578.08,591.031,593.916
7.79,0.516,694.883,733.137,798.821,813.92,654.574,769.883,855.422,735.777,641.44,719.039,781.868,728.502,725.764,710.13,721.415,744.88,734.241,759.975,753.306,781.805,753.881,732.25,741.239,782,718.651,784.763,729.816,740.312,774.765,801.215,762.403,749.061,764.397,755.785,739.404,727.389,729.061,737.824,770.075,780.835,778.151,790.858,768.644,828.415,796.38,768.542,794.492,707.584,719.735,769.576,771.479,771.388,759.329,779.009,749.284,808.713,790.97,741.127,750.552,788.028,782.789,822.144,804.539,755.831,754.349,773.532,782.803,772.599,787.726,788.662,782.022,752.811,777.915,767.922,807.939,753.676,790.787,818.045,843.631,781.235,787.726,803.285,811.444,792.05,744.3,769.421,816.074,807.535,776.48,771.86,797.067,831.381,814.388,822.625,770.616,791.207,812.432,798.012,816.752,820.352
7.79,0.621,915.799,961.938,1052.8,1074.43,862.662,1015.68,1127.69,970.155,845.118,948.545,1029.94,961.1,955.894,937.241,952.366,982.058,969.554,1003.28,995.907,1032.66,995.069,966.925,979.866,1032.96,947.75,1037.77,964.699,978.275,1025.37,1058.97,1009.52,991.232,1012.7,999.21,977.106,962.228,965.213,976.81,1018.85,1034.91,1031.2,1047.58,1017.67,1097.86,1055.34,1019.14,1053.48,938.477,955.03,1019.65,1024.08,1024.63,1007.28,1035.17,995.567,1073.37,1051.09,982.943,996.226,1047.11,1039.23,1093.98,1069.92,1003.29,1003.37,1029.64,1040.33,1027.29,1048.37,1050.37,1040.43,1002.65,1035.69,1023.38,1075.03,1004.06,1054.1,1089.53,1123.83,1040.19,1049.3,1069.93,1080.58,1054.28,993.009,1025.77,1086.72,1077.9,1034.5,1028.93,1061.99,1109.26,1085.94,1096.83,1027.44,1053.84,1084.01,1064.11,1090.15,1094.41
7.79,0.726,1151.83,1204.38,1323.22,1352.26,1085.35,1277.96,1417.22,1220.31,1063.16,1193.82,1293.96,1209.67,1201.36,1180.27,1199.52,1235.14,1221.35,1263.33,1255.82,1300.77,1252.87,1218.07,1235.56,1301.24,1192.58,1308.68,1216.52,1233.16,1294.13,1334.64,1274.87,1251.13,1279.52,1260.04,1231.74,1214.3,1218.99,1233.59,1285.6,1307.96,1303.15,1323.15,1285.01,1387.02,1333.49,1288.82,1331.91,1187.51,1208.88,1288.42,1296.26,1297.81,1274.36,1311.59,1261.52,1358.24,1331.7,1243.5,1261.13,1326.59,1315.59,1387.57,1356.47,1270.16,1272.69,1306.78,1318.28,1302.5,1330.29,1333.68,1319.78,1273.42,1314.69,1300.32,1363.67,1275.49,1339.52,1383.24,1426.84,1320.46,1332.58,1358.52,1371.66,1337.94,1263.31,1303.87,1379.49,1371.41,1314.1,1307.76,1348.95,1410.55,1380.25,1393.92,1306.11,1338.24,1378.64,1352.67,1386.9,1391.62
7.79,0.84,1421.52,1479.34,1630.95,1668.78,1340.28,1577.04,1746.18,1505.73,1312.89,1474.03,1594.32,1493.64,1481.37,1458.29,1482.24,1523.84,1509.31,1560.35,1553.31,1606.94,1547.38,1505.34,1528.32,1607.67,1472.34,1618.54,1505.02,1524.89,1601.94,1649.56,1579.18,1549.1,1585.67,1558.64,1523.23,1503.4,1510.33,1528.3,1591.15,1621.27,1615.22,1639,1591.52,1718.3,1652.49,1598.68,1651.47,1474.39,1501.33,1596.89,1609.32,1612.33,1581.53,1629.91,1568.07,1685.52,1654.73,1543.31,1566.08,1648.3,1633.49,1725.79,1686.58,1577.42,1583.5,1626.72,1638.42,1619.86,1655.62,1660.82,1641.98,1586.47,1636.84,1620.57,1696.42,1589.36,1669.47,1722.13,1776.27,1644.03,1659.8,1691.65,1707.47,1665.28,1576.6,1625.68,1717.27,1711.12,1637.3,1630.34,1680.49,1758.82,1720.4,1737.19,1628.65,1666.73,1719.46,1686.36,1730.27,1735.3
7.79,0.944,1678.2,1739.27,1922.58,1968.98,1583.41,1861,2057.37,1776.97,1551.22,1740.63,1878.91,1763.81,1747.48,1723.16,1751.57,1798.14,1783.54,1842.85,1836.81,1898.04,1827.57,1778.96,1807.38,1899.07,1738.62,1913.56,1780.23,1802.92,1895.41,1949.07,1869.66,1833.48,1878.06,1843.24,1801.08,1779.44,1788.76,1809.88,1882.47,1920.46,1913.26,1940.29,1884.05,2034.14,1956.97,1894.97,1956.69,1749.44,1781.72,1891.55,1908.94,1913.63,1875.55,1934.88,1862.05,1998.38,1964.11,1830.43,1858.22,1956.38,1937.77,2049.86,2002.93,1871.83,1881.9,1933.96,1945.18,1924.32,1967.9,1974.98,1951.09,1887.52,1946.25,1928.55,2015.52,1891.23,1986.67,2047.33,2111.37,1954.73,1974.17,2011.47,2029.65,1979.47,1878.56,1935.34,2041.39,2038.01,1948,1940.71,1999.07,2093.52,2047.27,2066.98,1939.08,1982.31,2047.26,2007.26,2060.62,2065.73
7.79,1.054,1959.89,2022.71,2241.2,2297.11,1850.84,2171.78,2396.61,2074.12,1813.59,2033.08,2189.75,2060.18,2039.13,2014.13,2047.39,2098.6,2084.61,2152.58,2148.21,2217.03,2134.87,2079.44,2114.02,2218.47,2030.87,2237.3,2082.88,2108.37,2217.86,2277.38,2189.23,2146.32,2199.88,2155.93,2106.39,2083.31,2095.48,2120,2202.62,2249.7,2241.29,2271.5,2205.83,2381.1,2291.87,2221.49,2292.63,2053.41,2091.58,2215.98,2239.35,2246.2,2199.87,2271.51,2186.91,2342.97,2305.48,2147.36,2180.76,2296.33,2273.36,2407.55,2352.2,2196.92,2212.01,2273.85,2283.86,2260.9,2313.26,2322.52,2292.75,2221.06,2288.58,2269.74,2368.03,2225.7,2337.94,2406.81,2481.49,2298.45,2322.12,2365.18,2385.72,2326.94,2213.84,2278.64,2399.68,2400.31,2292.12,2284.68,2351.71,2464.01,2409.09,2431.93,2283.32,2331.6,2410.4,2362.71,2426.68,2431.7
8.17,0.292,257.546,275.13,296.434,294.5,241.489,280.371,316.883,268.289,237.932,261.263,289.851,266.177,274.301,259.261,263.758,274.131,267.578,279.943,274.157,284.605,279.176,267.564,268.504,287.85,264.52,287.11,267.692,270.457,281.289,294.78,277.051,273.181,275.941,277.806,270.69,263.922,263.63,268.709,282.914,281.659,282.878,286.925,281.363,302.433,290.988,278.13,287.596,255.131,258.892,280.965,275.703,276.003,275.587,278.004,267.227,293.086,282.336,269.099,269.806,280.978,282.365,291.983,287.654,273.941,268.306,274.57,280.267,277.203,281.594,279.145,278.203,266.407,276.237,270.546,289.312,265.362,279.561,291.306,299.266,276.334,279.482,284.718,286.902,282.937,261.464,272.189,291.259,283.859,275.94,273.469,283.867,292.764,288.175,291.371,273.839,282.062,286.462,282.892,287.898,289.882
8.17,0.414,447.306,476.117,516.483,514.305,418.757,488.701,553.022,466.76,412.263,454.466,504.491,463.34,476.561,451.211,459.406,477.122,466.375,488.154,478.771,496.937,486.641,466.354,468.658,502.592,460.196,502,467.075,471.886,492.153,515.319,484.9,477.56,483.281,485.213,472.298,460.882,460.802,469.877,494.799,493.777,495.829,502.785,492.493,530.793,510.284,487.807,504.648,446.64,453.659,492.267,484.083,485.066,483.471,488.922,469.432,515.168,496.728,471.696,473.463,494.237,496.195,515.022,506.827,480.922,472.044,483.806,493.083,487.901,496.412,492.428,490.054,469.442,486.955,477.269,510.203,467.691,493.739,514.444,528.94,487.161,493.151,502.549,506.335,498.936,461.559,480.506,514.249,502.427,486.882,482.778,501.244,518.264,509.567,515.273,483.556,497.779,506.874,500.021,509.714,512.95
8.17,0.524,640.461,679.165,740.669,738.99,599.103,701.341,793.807,668.992,589.5,651.435,722.951,664.461,682.226,647.106,659.232,684.005,669.526,700.851,688.343,714.142,698.489,669.51,673.6,722.225,659.68,722.247,671.181,678.003,708.585,741.152,698.439,687.242,696.517,697.654,678.6,662.809,663.232,676.454,712.163,712.117,714.978,724.735,709.367,765.857,735.971,703.866,728.262,643.899,654.473,709.633,699.173,701.161,697.833,707.119,678.482,744.452,718.549,680.482,683.644,714.842,717.082,746.454,733.983,694.605,683.123,700.931,713.325,706.158,719.354,714.02,709.727,680.317,705.723,692.224,739.418,677.899,716.627,746.417,767.819,706.048,715.227,728.943,734.294,723.18,670.019,697.317,745.997,730.516,706.196,700.608,727.333,753.454,740.2,748.49,701.895,721.99,736.727,726.191,741.206,745.53
8.17,0.645,872.061,920.633,1008.98,1008.69,815.521,956.467,1081.88,911.442,802.138,887.811,984.264,905.877,928.338,882.469,899.412,932.013,913.751,956.289,940.7,975.204,952.838,913.767,920.391,986.148,899.05,987.417,916.968,926.056,969.586,1012.71,956.253,940.149,954.205,953.446,926.881,906.341,907.697,925.9,974.172,976.093,979.874,992.733,971.116,1049.75,1008.66,965.415,998.732,882.978,898.004,972.324,959.955,963.499,957.545,972.171,932.454,1022.25,987.965,933.41,938.561,982.753,985.003,1028.11,1010.23,953.801,940.036,965.473,980.925,971.64,990.912,984.221,977.128,937.582,972.361,954.658,1018.46,934.433,988.811,1029.24,1059.05,972.828,986.11,1004.99,1012.1,996.386,925.125,962.228,1028.48,1009.66,973.855,966.728,1003.23,1041,1021.96,1033.32,968.733,995.462,1017.82,1002.57,1024.47,1029.86
8.17,0.718,1020.16,1073.96,1180.05,1181.02,954.095,1119.53,1265.41,1066.38,938.294,1039.03,1150.84,1060.32,1085.39,1033.19,1053.24,1090.47,1070.17,1119.69,1102.49,1142.27,1115.52,1070.22,1078.65,1155.01,1052.16,1157.33,1074.6,1085.04,1137.07,1186.51,1121.87,1102.51,1119.86,1117.42,1086.02,1062.72,1064.84,1086.21,1142.24,1145.81,1150.16,1164.84,1139.19,1232.02,1183.86,1133.76,1172.66,1037.14,1055.08,1141.18,1128.02,1132.74,1124.84,1143.23,1096.44,1201.09,1161.79,1096.36,1102.93,1155.6,1157.7,1210.07,1188.62,1120.93,1106.15,1136.61,1153.65,1143.16,1166.52,1159.1,1149.98,1104.23,1144.89,1124.72,1198.79,1100.65,1165.17,1212.21,1247.41,1145.45,1161.48,1183.63,1191.78,1173.08,1090.79,1133.99,1211.2,1190.81,1147.23,1139.25,1181.88,1227.4,1204.54,1217.83,1141.77,1172.49,1200.12,1181.72,1208.25,1214.19
