R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,311.001,341.356,353.49,356.271,289.767,338.181,383.138,319.304,281.271,311.223,355.022,311.362,320.246,299.403,302.741,324.475,307.352,323.517,309.489,327.555,318.499,305.155,301.805,328.931,302.175,322.663,297.24,303.728,312.014,330.934,302.317,297.592,299.274,309.849,302.171,288.175,286.426,291.021,311.552,302.063,301.251,310.294,303.787,321.976,307.616,291.778,300.701,265.947,267.402,297.673,285.593,281.49,283.839,283.672,272.203,300.135,287.104,275.965,276.539,287.543,288.891,292.371,285.082,275.484,267.809,269.095,282.578,272.527,272.148,272.458,276.632,259.011,268.797,261.473,283.105,259.092,265.853,282.228,288.98,270.401,268.056,275.516,279.674,275.462,247.033,257.184,281.242,265.396,264.073,260.429,268.283,275.459,273.567,273.685,256.761,268.122,266.115,266.456,266.837,268.578
7.79,0.421,531.329,580.39,605.224,611.541,494.555,579.543,656.842,546.449,479.694,532.775,607.298,533.118,546.948,512.697,518.676,555.254,526.92,554.696,531.585,562.295,545.878,523.111,518.226,564.633,516.977,554.708,510.148,521.224,536.878,568.704,520.374,511.696,515.532,532.187,518.555,495.084,492.598,500.553,535.75,520.78,519.215,534.663,522.858,555.453,530.329,503.216,518.835,458.197,461.106,512.82,493.281,486.575,489.624,490.681,470.511,518.598,496.736,475.747,477.35,497.439,499.09,507.007,493.801,475.563,463.589,466.426,488.864,471.655,471.702,472.742,479.264,449.112,466.064,453.875,490.724,449.439,461.793,489.917,502.008,468.952,465.171,478.208,485.389,477.575,429.217,446.627,488.07,461.963,458.25,452.223,465.75,479.41,475.59,475.802,445.909,465.229,463.002,463.084,464.498,467.245
7.79,0.516,724.755,788.538,826.164,836.215,674.355,791.772,897.147,745.995,653.825,727.587,828.52,728.13,745.726,700.414,708.795,757.956,720.323,758.223,727.616,769.143,746.003,715.092,709.223,772.345,705.756,759.603,698.03,713.045,735.719,778.45,713.376,700.993,707.122,728.444,709.406,677.92,675.045,685.967,733.898,714.683,712.402,733.366,716.718,762.379,727.712,690.844,712.368,628.882,633.212,703.451,677.909,669.101,672.354,675.046,647.108,712.748,683.438,653.092,655.854,684.358,685.992,698.603,679.931,653.429,638.261,642.701,672.62,649.2,649.909,651.823,660.115,619.111,642.343,626.102,676.051,619.735,637.25,675.614,692.533,646.4,641.472,659.463,669.274,658.112,592.629,616.319,672.946,638.393,631.98,623.993,642.435,662.323,656.596,656.86,615.36,641.496,639.597,639.266,641.894,645.387
7.79,0.621,955.166,1034.63,1088.84,1103.86,888.731,1044.56,1182.7,983.628,861.435,959.822,1091.39,960.609,982.186,924.419,935.707,999.298,951.175,1000.97,961.944,1015.93,984.67,944.268,937.544,1020.2,930.744,1004.5,922.683,942.244,973.697,1028.89,944.604,927.624,936.822,963.063,937.464,896.787,893.701,908.155,970.984,947.235,944.074,971.428,948.923,1010.34,964.34,916.111,944.584,834.093,840.22,932.039,899.873,888.766,891.904,897.024,859.807,946.001,908.197,866.184,870.53,909.359,910.725,929.592,904.213,867.364,848.959,855.491,893.902,863.209,864.954,868.126,878.242,824.582,855.194,834.379,899.545,825.625,849.439,899.831,922.551,860.664,854.482,878.369,891.251,876,790.656,821.657,896.128,852.127,841.985,831.813,855.963,883.694,875.531,875.808,820.439,854.437,853.398,852.43,856.764,860.991
7.79,0.726,1201.35,1295.39,1368.51,1389.3,1118.15,1314.3,1486.35,1237.26,1083.68,1208.01,1371.17,1209.05,1234.4,1164.12,1178.54,1256.83,1198.2,1260.42,1212.99,1279.7,1239.78,1189.53,1182.2,1285.17,1171.18,1266.72,1163.54,1187.74,1228.9,1296.72,1192.89,1170.85,1183.64,1214.46,1181.77,1131.72,1128.68,1146.88,1225.21,1197.15,1193.04,1226.96,1198.2,1276.45,1218.51,1158.53,1194.23,1055.43,1063.55,1177.71,1139.04,1125.72,1128.39,1136.55,1089.5,1197.07,1150.66,1095.79,1102.01,1152.07,1152.91,1179.06,1146.38,1098.07,1076.83,1085.75,1132.73,1094.46,1097.55,1102.28,1114.04,1047.26,1085.57,1060.18,1141.06,1048.81,1079.44,1142.4,1171.29,1092.56,1085.16,1115.29,1131.34,1111.69,1005.87,1044.43,1137.54,1084.16,1069.55,1057.23,1087.25,1123.72,1112.82,1113.04,1042.97,1085.02,1085.35,1083.59,1089.98,1094.82
7.79,0.84,1482.63,1591.13,1686.78,1714.5,1380.78,1621.87,1831.35,1526.64,1338.24,1491.55,1689.45,1492.87,1522.11,1438.34,1456.31,1550.6,1480.7,1556.76,1500.34,1580.92,1531.21,1470.06,1462.3,1587.82,1445.92,1566.65,1439.47,1468.73,1521.21,1602.69,1477.63,1449.69,1466.86,1502.26,1461.43,1401.15,1398.43,1420.88,1516.4,1483.91,1478.75,1519.85,1484,1581.33,1510,1437.06,1480.76,1310.4,1320.84,1459.68,1414.13,1398.53,1400.38,1412.39,1354.24,1485.51,1429.77,1359.98,1368.49,1431.45,1431.5,1466.46,1425.36,1363.71,1339.81,1351.59,1407.8,1361.13,1365.96,1372.65,1386.01,1304.71,1351.58,1321.28,1419.5,1306.91,1345.33,1422.29,1458.13,1360.28,1351.63,1388.78,1408.31,1383.68,1255.32,1302.19,1416.08,1352.72,1332.6,1318.02,1354.47,1401.17,1387.06,1387.13,1300.52,1351.35,1353.67,1350.9,1359.84,1365.19
7.79,0.944,1750.34,1870.7,1988.4,2022.92,1631.26,1913.91,2157.72,1801.64,1581.17,1761.32,1991.02,1762.91,1795.55,1699.59,1720.93,1829.7,1749.73,1838.61,1774.17,1867.3,1808.47,1737.27,1729.32,1875.62,1707.42,1852.21,1702.7,1736.52,1799.89,1893.69,1749.43,1715.82,1737.34,1776.56,1728.01,1658.43,1656.24,1682.67,1794.03,1757.76,1751.6,1799.23,1756.77,1871.99,1788.23,1703.4,1754.43,1554.86,1567.53,1729.02,1677.41,1659.88,1660.72,1676.66,1608.13,1761.24,1697.09,1613,1623.77,1699,1698.15,1741.83,1692.71,1618.23,1592.3,1606.86,1671.39,1616.97,1623.6,1632.3,1646.94,1552.29,1607.06,1572.39,1686.51,1555.13,1600.95,1690.87,1733.21,1617.36,1607.64,1651.33,1674.04,1644.74,1495.76,1550.24,1683.36,1611.14,1585.48,1568.92,1611.25,1667.81,1650.6,1650.47,1548.41,1607.22,1611.73,1607.96,1619.47,1625.15
7.79,1.054,2044.14,2175.56,2317.91,2360.03,1906.77,2233.53,2513.51,2102.92,1848.6,2057.25,2320.41,2059.13,2095.21,1986.57,2011.58,2135.44,2045.09,2147.62,2074.95,2181.12,2112.56,2030.71,2022.71,2191.08,1994.43,2165.57,1992.16,2030.72,2106.08,2212.68,2048.45,2008.59,2035.04,2077.93,2020.93,1941.62,1940.23,1971,2099.14,2059.1,2051.91,2106.37,2056.81,2191.29,2094.25,1996.9,2055.65,1825.01,1840.13,2025.57,1967.75,1948.35,1947.89,1968.36,1888.7,2064.95,1992.05,1892.29,1905.61,1994.23,1992.24,2045.77,1987.88,1899.28,1871.6,1889.26,1962.4,1899.79,1908.54,1919.55,1935.34,1826.59,1889.74,1850.57,1981.48,1830.16,1884.01,1987.76,2037.04,1901.75,1890.98,1941.71,1967.73,1933.45,1762.71,1825.23,1978.81,1897.56,1865.57,1847,1895.47,1962.96,1942.31,1941.88,1823.3,1890.41,1897.62,1892.71,1907.16,1913.06
8.17,0.292,268.806,296.104,306.7,302.678,248.922,288.46,332.491,272.071,242.612,264.419,307.36,266.039,281.952,255.654,259.067,279.014,262.422,279.287,264.647,279.926,276.214,261.19,256.706,284.242,259.699,277.754,255.825,260.326,266.863,286.279,258.904,255.332,254.872,267.584,259.52,245.642,243.723,249.461,269.39,257.347,258.526,265.693,262.009,277.909,265.44,249.455,257.312,226.138,227.093,256.367,241.579,238.625,243.375,240.1,229.98,257.628,243.138,236.475,235.048,243.227,246.729,247.138,242.135,236.048,226.064,227.051,239.966,231.942,231.204,229.57,233.849,217.943,226.97,219.36,241.029,217.051,223.968,239.41,244.452,227.53,226.367,232.557,235.491,233.989,206.8,216.685,239.002,222.895,223.348,219.779,227.492,231.772,230.98,231.258,217.292,227.437,224.014,225.232,224.716,226.55
8.17,0.414,466.862,512.413,534.37,528.587,431.647,502.8,580.261,473.339,420.371,459.956,534.966,463.1,489.854,444.933,451.235,485.621,457.387,487.011,462.163,488.768,481.478,455.244,448.065,496.293,451.809,485.642,446.37,454.209,466.913,500.458,453.139,446.357,446.382,467.359,452.81,428.96,426.005,436.219,471.147,451.156,453.144,465.579,458.616,487.752,465.483,437.514,451.509,395.883,397.937,449.169,424.167,419.375,426.961,422.262,404.001,452.842,427.764,414.511,412.467,427.833,433.572,435.921,426.626,414.398,397.725,400.074,422.181,408.237,407.58,404.976,411.925,384.043,400.107,386.973,425.056,382.544,395.555,422.798,432.058,401.122,399.43,410.48,415.603,412.621,365.062,382.523,421.984,394.521,394.085,387.993,401.699,410.294,408.433,408.966,383.704,401.377,396.378,398.105,397.852,400.884
