R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,142.519,147.99,162.984,166.188,134.872,156.614,173.547,149.571,132.035,147.158,159.395,148.376,146.29,145.273,148.411,151.38,151.207,156.472,156.838,161.074,154.581,150.899,153.511,160.618,146.928,162.329,152.131,153.831,162.365,164.869,159.73,157.161,161.309,156.211,153.804,152.416,153.733,154.744,159.22,165.021,163.567,166.027,160.133,173.023,166.678,162.649,168.33,151.214,154.32,161.366,165.726,166.002,161.082,167.885,162.17,171.457,170.56,157.708,160.944,169.87,166.785,178.161,173.937,161.572,164.263,169.204,168.544,167.044,171.368,172.925,169.976,165.546,170.218,169.7,174.715,166.431,174.545,178.043,184.239,171.367,172.899,175.993,177.874,172.08,165.725,170.044,177.386,181.246,170.117,169.989,174.722,186.969,179.063,181.843,169.638,172.451,179.701,175.932,185.284,184.066
7.79,0.421,242.95,251.082,278.417,284.697,229.65,267.792,296.946,255.325,224.638,251.284,272.068,253.402,249.19,248.109,253.627,258.386,258.584,267.622,268.74,275.864,264.305,258.044,262.942,275.047,250.753,278.428,260.465,263.359,278.719,282.691,274.305,269.588,277.221,267.682,263.318,261.227,263.758,265.538,273.183,283.865,281.29,285.445,274.997,297.865,286.741,279.89,289.813,259.895,265.472,277.385,285.582,286.296,277.26,289.747,279.65,295.638,294.438,271.271,277.189,293.207,287.52,308.276,300.635,278.315,283.681,292.613,290.942,288.478,296.388,299.354,293.819,286.376,294.476,293.872,302.204,288.003,302.497,308.401,319.378,296.518,299.373,304.79,308.025,297.691,287.238,294.625,307.185,314.797,294.532,294.501,302.676,324.794,310.585,315.495,293.95,298.593,312.125,305.1,322.029,319.789
7.79,0.516,330.94,340.676,379.506,388.847,312.693,365.382,405.089,348.056,305.739,342.668,370.66,345.584,339.197,338.433,346.074,352.171,352.975,365.253,367.299,376.817,360.676,352.23,359.329,375.67,341.824,380.739,355.855,359.757,381.384,386.429,375.509,368.774,379.693,365.882,359.709,357.184,360.914,363.378,373.715,389.011,385.429,390.998,376.449,408.315,392.955,383.723,397.387,356.166,364.009,379.992,391.898,393.128,380.22,398.048,384.026,405.793,404.532,371.876,380.304,402.805,394.666,424.179,413.389,381.893,389.974,402.597,399.747,396.526,407.799,412.135,404.104,394.168,405.263,404.744,415.775,396.491,416.803,424.711,439.99,408.107,412.236,419.705,424.104,409.652,395.941,405.951,422.966,434.369,405.586,405.746,416.915,448.135,428.143,434.971,405.061,411.166,430.719,420.578,444.52,441.319
7.79,0.621,435.645,446.49,499.53,512.842,411.606,481.541,533.456,458.411,402.34,451.53,487.658,455.394,446.125,446.134,456.307,463.714,465.542,481.549,484.977,497.15,475.485,464.558,474.455,495.603,450.277,502.895,469.773,474.815,504.104,510.172,496.623,487.378,502.402,483.16,474.765,471.937,477.218,480.497,493.892,514.974,510.185,517.328,497.851,540.546,520.169,508.25,526.325,471.759,482.369,502.908,519.547,521.53,503.792,528.275,509.558,538.001,536.894,492.621,504.162,534.56,523.358,563.727,549.083,506.329,517.998,535.166,530.605,526.603,542.065,548.145,536.934,524.24,538.837,538.594,552.563,527.426,554.817,564.956,585.407,542.639,548.395,558.286,564.024,544.594,527.422,540.443,562.552,578.952,539.619,540.12,554.782,597.166,570.105,579.244,539.327,546.988,574.17,560.085,592.663,588.262
7.79,0.726,547.45,558.552,627.209,645.079,517.416,605.473,669.866,576.205,505.717,567.873,612.06,572.748,560.091,561.384,574.238,582.688,585.961,605.752,610.971,625.717,598.14,584.732,597.794,623.736,566.167,633.632,591.82,597.99,635.609,642.455,626.594,614.57,634.162,608.767,597.948,595.056,602.123,606.261,622.706,650.252,644.181,652.854,628.117,682.392,656.749,642.171,664.854,596.326,609.945,634.944,656.966,659.913,636.812,668.671,644.97,680.22,679.547,622.628,637.603,676.548,661.947,714.291,695.462,640.422,656.295,678.447,671.713,667.034,687.142,695.195,680.372,665.018,683.242,683.493,700.246,669.154,704.212,716.522,742.492,688.058,695.667,708.09,715.183,690.408,670.082,686.152,713.388,735.644,684.677,685.674,703.946,758.509,723.758,735.379,684.835,693.914,729.706,711.175,753.221,747.488
7.79,0.84,675.182,685.632,772.445,795.791,638.556,746.843,824.802,710.695,624.141,700.863,753.516,706.888,690.077,693.299,709.172,718.423,723.711,747.583,755.165,772.549,738.259,722.215,739.054,770.071,698.649,783.159,731.615,738.968,786.186,793.582,775.623,760.355,785.313,752.565,738.95,736.265,745.492,750.589,770.258,805.442,797.925,808.168,777.473,844.895,813.38,796.012,823.814,739.76,756.85,786.473,814.95,819.159,789.765,830.268,800.949,843.577,843.682,772.175,791.158,839.908,821.322,887.644,864.004,794.76,815.783,843.729,834.159,828.889,854.454,864.847,845.699,827.634,849.852,850.875,870.412,832.873,876.752,891.291,923.517,855.806,865.647,880.879,889.426,858.564,835.233,854.588,887.306,916.752,852.202,853.902,876.148,944.784,901.161,915.623,853.09,863.517,909.565,885.743,938.784,931.49
7.79,0.944,796.773,805.789,910.068,938.82,754.137,881.158,971.357,838.624,737.217,827.509,887.512,834.628,813.634,819.093,837.787,847.442,854.97,882.488,892.596,912.206,871.6,853.235,873.795,909.256,824.839,925.562,864.984,873.361,929.742,937.356,917.901,899.497,929.671,889.664,873.378,871.145,882.523,888.511,910.994,953.643,944.778,956.344,920.051,999.855,962.91,943.125,975.645,877.266,897.675,931.251,966.12,971.672,936.167,985.048,950.479,999.736,1000.83,915.388,938.239,996.309,973.862,1053.69,1025.47,942.625,968.83,1002.36,989.782,984.125,1014.99,1027.67,1004.25,983.913,1009.78,1011.72,1033.54,990.21,1042.51,1058.93,1097.04,1016.79,1028.86,1046.67,1056.51,1019.9,994.263,1016.56,1054.12,1090.83,1013.15,1015.64,1041.52,1123.63,1071.52,1088.69,1014.93,1026.39,1082.53,1053.5,1117.12,1108.32
7.79,1.054,930.272,936.883,1060.44,1095.28,881.355,1028.29,1131.15,978.965,861.787,966.596,1033.87,974.917,949.114,957.443,979.168,988.872,999.199,1030.45,1043.62,1065.35,1017.93,997.223,1021.99,1061.89,963.481,1081.91,1011.7,1021.09,1087.51,1095.04,1074.49,1052.61,1088.6,1040.37,1021.16,1019.7,1033.53,1040.47,1065.75,1116.77,1106.47,1119.29,1076.96,1170.16,1127.45,1105.28,1142.8,1029.24,1053.3,1090.71,1132.84,1140.01,1097.7,1155.9,1115.69,1171.78,1174.23,1073.49,1100.63,1168.87,1142.13,1236.93,1203.73,1105.92,1138.09,1177.8,1161.59,1155.71,1192.5,1207.74,1179.45,1156.98,1186.68,1189.81,1213.74,1164.44,1225.97,1244.19,1288.65,1194.81,1209.42,1229.96,1241.11,1198.27,1170.71,1196.01,1238.48,1283.59,1191.33,1194.8,1224.52,1321.42,1259.99,1280.11,1194.3,1206.61,1274.14,1239.24,1314.55,1304.06
8.17,0.292,120.643,127.415,138.622,139.267,113.776,131.667,148.208,125.812,111.887,123.282,135.142,124.956,126.595,122.21,125.124,128.144,127.244,132.387,131.857,135.623,131.419,127.225,128.729,136.311,124.454,137.349,128.356,129.586,136.332,140.225,134.694,132.389,135.271,132.589,129.678,128.015,128.797,130.525,135.434,138.537,138.289,140.017,135.874,147.237,141.652,136.978,141.986,126.555,129.079,136.795,138.272,138.818,136.019,140.176,135.128,145.1,142.553,133.019,134.849,141.794,140.398,148.707,145.838,136.345,136.81,140.971,141.17,140.224,143.698,143.928,141.806,137.528,141.916,140.678,146.802,137.713,145.339,149.129,154.025,142.421,144.211,146.751,148.013,144.246,137.121,141.532,148.815,150.618,142.032,141.663,146.324,155.825,149.413,151.991,141.741,144.322,149.321,146.934,154.255,153.286
8.17,0.414,209.021,219.973,240.971,242.611,196.764,228.877,258.128,218.227,193.323,213.814,234.693,216.844,219.324,212.022,217.287,222.38,221.126,230.259,229.649,236.175,228.494,221.109,224.03,237.385,215.873,239.54,223.371,225.492,237.927,244.534,235.126,230.836,236.283,230.979,225.668,222.925,224.508,227.636,236.264,242.245,241.788,244.746,237.233,257.807,247.811,239.638,248.542,220.939,225.574,239.08,242.148,243.351,238.035,245.912,236.752,254.45,250.181,232.583,236.036,248.792,246.124,261.672,256.348,238.787,240.081,247.782,247.758,246.217,252.727,253.273,249.178,241.73,249.562,247.541,258.285,242.086,256.063,262.75,271.612,250.458,253.853,258.406,260.593,253.763,241.433,249.245,262.143,266.003,249.99,249.475,257.778,275.355,263.562,268.222,249.695,254.103,263.707,259.118,272.68,270.85
