draw_id,draw_label,model_key,model_name,k,source,dof,chi2_radial,chi2_vertical,chi2_total,chi2_nu,chi2_nu_rad,chi2_nu_vert
1,b1,baryonic,Baryonic Newtonian,0,qcopula,196,67211.7000,899.2640,68110.9640,347.5049,342.9168,4.5881
2,b2,baryonic,Baryonic Newtonian,0,qcopula,196,73609.6000,862.4260,74472.0260,379.9593,375.5592,4.4001
3,b3,baryonic,Baryonic Newtonian,0,qcopula,196,66625.0000,567.2130,67192.2130,342.8174,339.9235,2.8939
4,b4,baryonic,Baryonic Newtonian,0,qcopula,196,65665.6000,589.7070,66255.3070,338.0373,335.0286,3.0087
5,b5,baryonic,Baryonic Newtonian,0,qcopula,196,64391.0000,1094.7500,65485.7500,334.1110,328.5255,5.5855
6,b6,baryonic,Baryonic Newtonian,0,qcopula,196,65361.6000,715.7940,66077.3940,337.1296,333.4776,3.6520
7,b7,baryonic,Baryonic Newtonian,0,qcopula,196,70430.0000,414.1360,70844.1360,361.4497,359.3367,2.1129
8,b8,baryonic,Baryonic Newtonian,0,qcopula,196,62026.6000,876.9040,62903.5040,320.9362,316.4622,4.4740
9,b9,baryonic,Baryonic Newtonian,0,qcopula,196,62440.4000,1141.1900,63581.5900,324.3959,318.5735,5.8224
10,b10,baryonic,Baryonic Newtonian,0,qcopula,196,61574.3000,940.8080,62515.1080,318.9546,314.1546,4.8000
11,b11,baryonic,Baryonic Newtonian,0,qcopula,196,71667.1000,632.8680,72299.9680,368.8774,365.6485,3.2289
12,b12,baryonic,Baryonic Newtonian,0,qcopula,196,59386.2000,865.7520,60251.9520,307.4079,302.9908,4.4171
13,b13,baryonic,Baryonic Newtonian,0,qcopula,196,64881.9000,740.9550,65622.8550,334.8105,331.0301,3.7804
14,b14,baryonic,Baryonic Newtonian,0,qcopula,196,57163.8000,923.9990,58087.7990,296.3663,291.6520,4.7143
15,b15,baryonic,Baryonic Newtonian,0,qcopula,196,56600.7000,837.0510,57437.7510,293.0497,288.7791,4.2707
16,b16,baryonic,Baryonic Newtonian,0,qcopula,196,63175.5000,776.5190,63952.0190,326.2858,322.3240,3.9618
17,b17,baryonic,Baryonic Newtonian,0,qcopula,196,56223.5000,802.4110,57025.9110,290.9485,286.8546,4.0939
18,b18,baryonic,Baryonic Newtonian,0,qcopula,196,59476.8000,657.9720,60134.7720,306.8101,303.4531,3.3570
19,b19,baryonic,Baryonic Newtonian,0,qcopula,196,53729.7000,680.6480,54410.3480,277.6038,274.1311,3.4727
20,b20,baryonic,Baryonic Newtonian,0,qcopula,196,56834.1000,630.2230,57464.3230,293.1853,289.9699,3.2154
21,b21,baryonic,Baryonic Newtonian,0,qcopula,196,57780.6000,663.5720,58444.1720,298.1846,294.7990,3.3856
22,b22,baryonic,Baryonic Newtonian,0,qcopula,196,55642.9000,784.0860,56426.9860,287.8928,283.8923,4.0004
23,b23,baryonic,Baryonic Newtonian,0,qcopula,196,52221.1000,769.8610,52990.9610,270.3620,266.4342,3.9279
24,b24,baryonic,Baryonic Newtonian,0,qcopula,196,57899.2000,574.5630,58473.7630,298.3355,295.4041,2.9314
25,b25,baryonic,Baryonic Newtonian,0,qcopula,196,56718.0000,857.8240,57575.8240,293.7542,289.3776,4.3767
26,b26,baryonic,Baryonic Newtonian,0,qcopula,196,54069.5000,545.6470,54615.1470,278.6487,275.8648,2.7839
27,b27,baryonic,Baryonic Newtonian,0,qcopula,196,52227.0000,720.4520,52947.4520,270.1401,266.4643,3.6758
28,b28,baryonic,Baryonic Newtonian,0,qcopula,196,53250.2000,723.1200,53973.3200,275.3741,271.6847,3.6894
29,b29,baryonic,Baryonic Newtonian,0,qcopula,196,50872.1000,577.1140,51449.2140,262.4960,259.5515,2.9445
30,b30,baryonic,Baryonic Newtonian,0,qcopula,196,54797.1000,498.0050,55295.1050,282.1179,279.5770,2.5408
31,b31,baryonic,Baryonic Newtonian,0,qcopula,196,48597.4000,572.9020,49170.3020,250.8689,247.9459,2.9230
32,b32,baryonic,Baryonic Newtonian,0,qcopula,196,48745.1000,634.1540,49379.2540,251.9350,248.6995,3.2355
33,b33,baryonic,Baryonic Newtonian,0,qcopula,196,46703.7000,582.5190,47286.2190,241.2562,238.2842,2.9720
34,b34,baryonic,Baryonic Newtonian,0,qcopula,196,53352.5000,611.9910,53964.4910,275.3290,272.2066,3.1224
35,b35,baryonic,Baryonic Newtonian,0,qcopula,196,52676.0000,713.3970,53389.3970,272.3949,268.7551,3.6398
36,b36,baryonic,Baryonic Newtonian,0,qcopula,196,48137.0000,754.5650,48891.5650,249.4468,245.5969,3.8498
37,b37,baryonic,Baryonic Newtonian,0,qcopula,196,47039.3000,729.7700,47769.0700,243.7197,239.9964,3.7233
38,b38,baryonic,Baryonic Newtonian,0,qcopula,196,47596.2000,643.3510,48239.5510,246.1202,242.8378,3.2824
39,b39,baryonic,Baryonic Newtonian,0,qcopula,196,51520.4000,529.6900,52050.0900,265.5617,262.8592,2.7025
40,b40,baryonic,Baryonic Newtonian,0,qcopula,196,45017.6000,518.8420,45536.4420,232.3288,229.6816,2.6472
41,b41,baryonic,Baryonic Newtonian,0,qcopula,196,45114.7000,481.3750,45596.0750,232.6330,230.1770,2.4560
42,b42,baryonic,Baryonic Newtonian,0,qcopula,196,47061.7000,488.5980,47550.2980,242.6036,240.1107,2.4928
43,b43,baryonic,Baryonic Newtonian,0,qcopula,196,48089.8000,519.0280,48608.8280,248.0042,245.3561,2.6481
44,b44,baryonic,Baryonic Newtonian,0,qcopula,196,45973.0000,341.9230,46314.9230,236.3006,234.5561,1.7445
45,b45,baryonic,Baryonic Newtonian,0,qcopula,196,44885.2000,410.2890,45295.4890,231.0994,229.0061,2.0933
46,b46,baryonic,Baryonic Newtonian,0,qcopula,196,42381.4000,493.9350,42875.3350,218.7517,216.2316,2.5201
47,b47,baryonic,Baryonic Newtonian,0,qcopula,196,41993.6000,442.5220,42436.1220,216.5108,214.2531,2.2578
48,b48,baryonic,Baryonic Newtonian,0,qcopula,196,41023.8000,718.9090,41742.7090,212.9730,209.3051,3.6679
49,b49,baryonic,Baryonic Newtonian,0,qcopula,196,39565.8000,664.6890,40230.4890,205.2576,201.8663,3.3913
50,b50,baryonic,Baryonic Newtonian,0,qcopula,196,44951.6000,488.7820,45440.3820,231.8387,229.3449,2.4938
51,b51,baryonic,Baryonic Newtonian,0,qcopula,196,39030.5000,527.8630,39558.3630,201.8284,199.1352,2.6932
52,b52,baryonic,Baryonic Newtonian,0,qcopula,196,37163.6000,474.5050,37638.1050,192.0311,189.6102,2.4209
53,b53,baryonic,Baryonic Newtonian,0,qcopula,196,40245.4000,478.0510,40723.4510,207.7727,205.3337,2.4390
54,b54,baryonic,Baryonic Newtonian,0,qcopula,196,36763.0000,448.1040,37211.1040,189.8526,187.5663,2.2862
55,b55,baryonic,Baryonic Newtonian,0,qcopula,196,36600.8000,554.9040,37155.7040,189.5699,186.7388,2.8311
56,b56,baryonic,Baryonic Newtonian,0,qcopula,196,39402.8000,344.1460,39746.9460,202.7905,201.0347,1.7558
57,b57,baryonic,Baryonic Newtonian,0,qcopula,196,36421.8000,414.3910,36836.1910,187.9398,185.8255,2.1142
58,b58,baryonic,Baryonic Newtonian,0,qcopula,196,39835.9000,544.5850,40380.4850,206.0229,203.2444,2.7785
59,b59,baryonic,Baryonic Newtonian,0,qcopula,196,38366.4000,543.0720,38909.4720,198.5177,195.7469,2.7708
60,b60,baryonic,Baryonic Newtonian,0,qcopula,196,37145.7000,435.0570,37580.7570,191.7386,189.5189,2.2197
61,b61,baryonic,Baryonic Newtonian,0,qcopula,196,38555.5000,405.2290,38960.7290,198.7792,196.7117,2.0675
62,b62,baryonic,Baryonic Newtonian,0,qcopula,196,33780.1000,304.1340,34084.2340,173.8992,172.3474,1.5517
63,b63,baryonic,Baryonic Newtonian,0,qcopula,196,33317.3000,327.2040,33644.5040,171.6556,169.9862,1.6694
64,b64,baryonic,Baryonic Newtonian,0,qcopula,196,37065.2000,463.1710,37528.3710,191.4713,189.1082,2.3631
65,b65,baryonic,Baryonic Newtonian,0,qcopula,196,33727.0000,496.1850,34223.1850,174.6081,172.0765,2.5316
66,b66,baryonic,Baryonic Newtonian,0,qcopula,196,31173.9000,415.5690,31589.4690,161.1708,159.0505,2.1202
67,b67,baryonic,Baryonic Newtonian,0,qcopula,196,35754.4000,406.4620,36160.8620,184.4942,182.4204,2.0738
68,b68,baryonic,Baryonic Newtonian,0,qcopula,196,32856.6000,390.9150,33247.5150,169.6302,167.6357,1.9945
69,b69,baryonic,Baryonic Newtonian,0,qcopula,196,30326.0000,331.5940,30657.5940,156.4163,154.7245,1.6918
70,b70,baryonic,Baryonic Newtonian,0,qcopula,196,30323.3000,366.2700,30689.5700,156.5794,154.7107,1.8687
71,b71,baryonic,Baryonic Newtonian,0,qcopula,196,33171.8000,398.8940,33570.6940,171.2791,169.2439,2.0352
72,b72,baryonic,Baryonic Newtonian,0,qcopula,196,29943.0000,464.9930,30407.9930,155.1428,152.7704,2.3724
73,b73,baryonic,Baryonic Newtonian,0,qcopula,196,30331.9000,388.6030,30720.5030,156.7373,154.7546,1.9827
74,b74,baryonic,Baryonic Newtonian,0,qcopula,196,28796.0000,428.1520,29224.1520,149.1028,146.9184,2.1844
75,b75,baryonic,Baryonic Newtonian,0,qcopula,196,31973.4000,280.6510,32254.0510,164.5615,163.1296,1.4319
76,b76,baryonic,Baryonic Newtonian,0,qcopula,196,29974.7000,494.2840,30468.9840,155.4540,152.9321,2.5219
77,b77,baryonic,Baryonic Newtonian,0,qcopula,196,27203.1000,328.2590,27531.3590,140.4661,138.7913,1.6748
78,b78,baryonic,Baryonic Newtonian,0,qcopula,196,30062.2000,252.3220,30314.5220,154.6659,153.3786,1.2874
79,b79,baryonic,Baryonic Newtonian,0,qcopula,196,29127.3000,222.5630,29349.8630,149.7442,148.6087,1.1355
80,b80,baryonic,Baryonic Newtonian,0,qcopula,196,30620.1000,409.6440,31029.7440,158.3150,156.2250,2.0900
81,b81,baryonic,Baryonic Newtonian,0,qcopula,196,28633.0000,344.8770,28977.8770,147.8463,146.0867,1.7596
82,b82,baryonic,Baryonic Newtonian,0,qcopula,196,29468.4000,318.1610,29786.5610,151.9723,150.3490,1.6233
83,b83,baryonic,Baryonic Newtonian,0,qcopula,196,29957.3000,330.0100,30287.3100,154.5271,152.8434,1.6837
84,b84,baryonic,Baryonic Newtonian,0,qcopula,196,31180.2000,317.0240,31497.2240,160.7001,159.0827,1.6175
85,b85,baryonic,Baryonic Newtonian,0,qcopula,196,26078.9000,455.4700,26534.3700,135.3794,133.0556,2.3238
86,b86,baryonic,Baryonic Newtonian,0,qcopula,196,26694.5000,369.9960,27064.4960,138.0842,136.1964,1.8877
87,b87,baryonic,Baryonic Newtonian,0,qcopula,196,30032.2000,250.6960,30282.8960,154.5046,153.2255,1.2791
88,b88,baryonic,Baryonic Newtonian,0,qcopula,196,24379.7000,250.3310,24630.0310,125.6634,124.3862,1.2772
89,b89,baryonic,Baryonic Newtonian,0,qcopula,196,28825.7000,351.4390,29177.1390,148.8630,147.0699,1.7931
90,b90,baryonic,Baryonic Newtonian,0,qcopula,196,27747.6000,354.3820,28101.9820,143.3775,141.5694,1.8081
