draw_id,draw_label,delta_sc,xc
1,b1,2.3717789,1.4928628
2,b2,2.5990748,1.414204
3,b3,2.1943796,1.6428545
4,b4,2.1255194,1.6958138
5,b5,2.4689233,1.3722836
6,b6,2.2292276,1.5800794
7,b7,2.1119738,1.8410008
8,b8,2.3300166,1.4285103
9,b9,2.4990569,1.3228965
10,b10,2.33939,1.4145048
11,b11,2.2877202,1.6569914
12,b12,2.3060125,1.4004979
13,b13,2.3201222,1.4884678
14,b14,2.3180916,1.3547122
15,b15,2.2644464,1.3822509
16,b16,2.2915031,1.4803699
17,b17,2.2310014,1.4000236
18,b18,2.1493194,1.5343646
19,b19,2.1084815,1.4508579
20,b20,2.1104649,1.5121674
21,b21,2.1622523,1.4866228
22,b22,2.2247131,1.3940838
23,b23,2.1715431,1.3709148
24,b24,2.0715345,1.5761782
25,b25,2.3225948,1.3407326
26,b26,1.9994552,1.5622776
27,b27,2.1440004,1.392893
28,b28,2.1585672,1.4000853
29,b29,1.9882511,1.4987624
30,b30,1.9929019,1.5849979
31,b31,1.9692013,1.4665114
32,b32,2.048767,1.3990751
33,b33,1.9588281,1.4324262
34,b34,2.0532711,1.4944534
35,b35,2.1490844,1.3965642
36,b36,2.1439039,1.3148324
37,b37,2.0957708,1.3295254
38,b38,2.0295211,1.3927855
39,b39,1.9614695,1.5437007
40,b40,1.8993503,1.4474341
41,b41,1.8747976,1.4745269
42,b42,1.8946631,1.5009419
43,b43,1.9339776,1.4888754
44,b44,1.7503522,1.6351164
45,b45,1.8228536,1.5211697
46,b46,1.8647439,1.4184831
47,b47,1.8372199,1.4316553
48,b48,2.0462657,1.2480215
49,b49,2.000992,1.2486816
50,b50,1.8876541,1.4586649
51,b51,1.8805106,1.3245022
52,b52,1.8192171,1.3316031
53,b53,1.8475583,1.3824466
54,b54,1.7782682,1.3574498
55,b55,1.883973,1.2677604
56,b56,1.7164775,1.486795
57,b57,1.7458103,1.3768433
58,b58,1.9137319,1.3170387
59,b59,1.8958442,1.2983747
60,b60,1.7637955,1.3791829
61,b61,1.7560263,1.4251896
62,b62,1.5937546,1.4548707
63,b63,1.6537836,1.378938
64,b64,1.8298786,1.3194365
65,b65,1.8169538,1.2508378
66,b66,1.7407278,1.2444423
67,b67,1.7388714,1.3668867
68,b68,1.7344243,1.2934632
69,b69,1.6644276,1.2837457
70,b70,1.6742336,1.2756913
71,b71,1.7145802,1.3198123
72,b72,1.7827951,1.1823589
73,b73,1.7138915,1.2435503
74,b74,1.7439689,1.1795758
75,b75,1.5909075,1.4033984
76,b76,1.8040207,1.1679442
77,b77,1.6453528,1.2099695
78,b78,1.5368871,1.4001226
79,b79,1.4921363,1.4161348
80,b80,1.7290003,1.2389568
81,b81,1.6681153,1.2330448
82,b82,1.624526,1.2943265
83,b83,1.6388288,1.29504
84,b84,1.625805,1.3449477
85,b85,1.7813727,1.0832461
86,b86,1.7005146,1.1539965
87,b87,1.5422975,1.3931856
88,b88,1.5388241,1.2115911
89,b89,1.6668496,1.2407365
90,b90,1.6650199,1.2114918
91,b91,1.6044632,1.2484062
92,b92,1.4472611,1.3145954
93,b93,1.5237547,1.3269715
94,b94,1.5165947,1.2771022
95,b95,1.6582983,1.1737603
96,b96,1.6379546,1.247548
97,b97,1.5830884,1.1342074
98,b98,1.5687888,1.2494831
99,b99,1.477435,1.2244222
100,b100,1.4999432,1.214753
