R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,323.627,359.915,366.092,362.463,301.04,344.689,396.839,323.982,292.592,316.362,370.275,315.726,332.391,304.056,309.343,332.56,312.943,332.825,316.687,333.221,326.534,311.835,306.109,336.88,309,328.996,306.012,311.068,318.984,337.255,309.226,305.55,305.53,317.042,309.989,294.423,292.923,298.242,318.209,307.835,307.718,316.354,310.591,327.728,313.95,298.133,306.694,272.609,273.845,304.485,290.692,286.943,290.722,288.558,277.412,306.073,292.18,283.372,282.482,292.562,294.962,296.775,290.107,282.524,272.543,273.042,288.027,277.869,276.8,276.232,281.275,262.298,272.542,264.12,288.469,261.846,268.697,286.898,292.816,273.749,271.552,279.285,282.763,280.808,248.079,259.632,286.275,269.205,268.554,264.09,272.149,281.504,278.515,277.351,259.565,271.455,261.703,270.048,271.911,271.075
7.79,0.421,551.682,610.636,625.375,620.936,512.588,589.378,679.007,553.053,497.803,540.214,632.014,539.209,566.193,519.291,528.652,567.636,535.173,569.248,542.638,570.691,558.313,533.251,524.319,576.883,527.351,564.297,523.925,532.55,547.574,578.27,531.036,524.129,525.075,543.281,530.712,504.614,502.565,511.778,545.97,529.53,529.19,543.898,533.378,564.194,540.096,513.033,528.033,468.539,471.086,523.403,500.925,494.878,500.4,498.012,478.376,527.751,504.39,487.424,486.511,504.982,508.483,513.516,501.425,486.66,470.68,472.185,497.194,479.868,478.737,478.19,486.21,453.746,471.496,457.381,498.964,453.116,465.669,496.957,507.596,473.67,470.19,483.674,489.661,485.785,429.976,449.85,495.752,467.569,464.961,457.528,471.452,489.016,483.085,481.2,449.775,470.015,454.556,468.315,472.59,470.955
7.79,0.516,751.487,828.531,852.44,848.091,697.943,804.163,926.291,753.915,677.524,736.672,861.044,735.361,770.701,708.339,721.346,773.668,730.528,776.915,741.648,779.537,761.885,727.888,716.52,787.929,718.88,771.654,715.802,727.48,749.271,790.476,726.96,716.965,719.164,742.585,724.985,689.974,687.687,700.348,746.888,725.673,725.107,745.023,730.153,773.401,740.158,703.357,724.03,642.097,645.943,717.014,687.408,679.543,686.223,684.158,656.924,724.392,692.988,668.192,667.494,693.739,697.973,706.584,689.486,667.775,647.04,649.665,683.132,659.6,658.692,658.348,668.709,624.536,648.881,629.941,686.479,623.8,641.633,684.379,699.288,651.927,647.451,666.033,674.189,668.488,592.696,619.828,682.606,645.17,640.275,630.355,649.393,674.721,665.935,663.428,619.787,647.217,627.268,645.569,652.35,649.933
7.79,0.621,989.248,1085.87,1122.04,1118.53,918.721,1059.81,1219.82,992.952,891.594,970.705,1132.83,969.024,1013.66,933.757,951.113,1018.71,963.5,1024.28,979.263,1028.48,1004.4,960.015,946.087,1039.48,946.964,1019.23,944.949,960.144,990.368,1043.6,961.428,947.553,951.583,980.61,956.878,911.643,909.293,926.074,987.068,960.648,959.81,985.737,965.621,1023.86,979.774,931.613,958.953,850.488,855.975,948.947,911.311,901.493,909.246,907.99,871.661,960.4,919.732,885.149,884.884,920.657,925.566,939.038,915.809,885.363,859.456,863.59,906.756,875.976,875.564,875.611,888.515,830.627,862.751,838.265,912.328,829.8,854.094,910.37,930.403,866.834,861.3,885.948,896.617,888.692,789.515,825.178,907.878,859.92,851.865,839.114,864.136,899.105,886.744,883.477,825.229,861.014,836.179,859.707,869.755,866.337
7.79,0.726,1243.13,1358.41,1408.83,1406.94,1154.89,1332.57,1531.74,1248.1,1120.68,1220.82,1421.82,1218.74,1272.6,1174.97,1196.92,1280.08,1212.72,1288.47,1233.67,1294.45,1263.5,1208.36,1192.03,1308.22,1190.69,1284.2,1190.45,1209.22,1248.72,1314.2,1213.04,1194.84,1201.15,1235.54,1205.15,1149.47,1147.29,1168.46,1244.51,1213,1211.9,1243.97,1218.28,1292.54,1237.03,1177.09,1211.35,1075.06,1082.36,1198.09,1152.35,1140.7,1149.32,1149.3,1103.3,1214.28,1164.11,1118.75,1119.09,1165.2,1170.66,1189.84,1159.95,1119.84,1088.92,1094.8,1147.9,1109.58,1109.9,1110.51,1125.88,1053.68,1093.96,1063.78,1156.16,1052.78,1084.08,1154.6,1180.06,1099.13,1092.6,1123.67,1136.91,1126.64,1003.07,1047.65,1151.31,1092.66,1080.86,1065.24,1096.48,1142.03,1125.74,1121.62,1047.87,1092.29,1062.69,1091.62,1105.38,1100.83
7.79,0.84,1533.18,1667.47,1735.05,1735.65,1425.28,1643.71,1886.02,1539.42,1383.11,1506.72,1750.42,1504.17,1567.95,1451.07,1478.18,1578.27,1497.81,1590.15,1524.83,1598.2,1559.48,1492.47,1473.71,1615.14,1469.31,1587.25,1471.64,1494.3,1544.55,1623.35,1501.55,1478.27,1487.44,1527.39,1489.34,1422.25,1420.46,1446.63,1539.4,1502.5,1501.13,1539.92,1507.97,1600.34,1532.06,1459.08,1500.97,1333.64,1343.05,1484.01,1429.46,1415.96,1425.37,1427.05,1370.12,1505.89,1445.28,1387.46,1388.61,1446.55,1452.52,1478.61,1441.06,1389.71,1353.54,1361.51,1425.5,1378.81,1380.15,1381.51,1399.46,1311.34,1360.73,1324.3,1437.12,1310.36,1349.69,1436.23,1467.77,1367.1,1359.57,1397.87,1413.9,1401.04,1250.29,1304.83,1431.98,1361.66,1345.32,1326.6,1364.7,1422.49,1401.67,1396.53,1305.32,1359.26,1324.62,1359.58,1377.7,1371.81
7.79,0.944,1809.28,1959.69,2044.18,2047.61,1683.26,1939.32,2221.14,1816.52,1633.69,1778.99,2061.69,1775.99,1848.69,1714.36,1746.26,1861.71,1769.47,1877.1,1802.33,1887.12,1841.15,1763.22,1742.39,1907.07,1734.69,1875.86,1739.92,1766.06,1826.58,1917.45,1776.99,1748.79,1760.86,1805.64,1760.27,1682.8,1681.56,1712.45,1820.67,1778.95,1777.41,1822.26,1784.51,1893.85,1813.71,1728.73,1777.6,1581.54,1592.95,1757.2,1694.62,1679.59,1689.6,1693.08,1625.91,1784.66,1714.48,1644.78,1646.76,1715.91,1722.29,1755.2,1710.37,1648.27,1607.47,1617.49,1691.45,1637.04,1639.45,1641.61,1661.83,1558.95,1616.79,1574.64,1706.46,1557.9,1604.86,1706.36,1743.55,1624.26,1615.91,1660.97,1679.51,1664.32,1488.34,1552.14,1701.2,1620.21,1599.4,1577.87,1622.29,1691.76,1666.65,1660.5,1552.95,1615.64,1576.52,1617.08,1639.42,1632.23
7.79,1.054,2112.43,2278.52,2381.94,2388.85,1967.22,2263.14,2586.53,2120.51,1909.74,2078,2401.68,2074.51,2156.51,2003.92,2040.95,2172.41,2067.97,2191.83,2107.27,2203.93,2150.25,2060.78,2037.9,2227.2,2026.27,2192.74,2035.03,2064.79,2136.53,2240.01,2080.14,2046.47,2061.88,2111.51,2058.13,1969.76,1969.29,2005.32,2129.96,2083.26,2081.6,2132.74,2088.85,2216.43,2123.63,2025.96,2082.16,1855.52,1869.11,2058.08,1987.06,1970.57,1981.13,1986.74,1908.52,2091.78,2011.53,1928.86,1931.78,2013.11,2019.87,2060.44,2007.69,1933.8,1888.3,1900.6,1985.05,1922.46,1926.17,1929.25,1951.75,1833.17,1900.04,1851.81,2003.99,1832.02,1887.28,2004.89,2048.09,1908.64,1899.49,1951.83,1972.97,1955.39,1752.47,1826.13,1998.73,1906.52,1880.68,1856.21,1907.33,1989.56,1959.79,1952.45,1827.41,1899.33,1855.56,1902.18,1929.15,1920.5
8.17,0.292,280.437,313.858,315.969,309.203,261.124,295.674,342.708,278.748,255.211,271.625,318.792,272.398,293.113,262.629,267.462,287.407,269.913,287.418,272.721,286.474,283.534,269.488,263.506,291.574,268.202,284.378,264.89,268.623,274.203,292.457,267.387,264.104,262.979,275.42,267.929,254.345,252.56,258.498,276.909,265.104,266.74,273.174,270.018,284.719,273.127,257.934,265.302,235.841,236.691,264.742,249.711,247.188,252.472,248.143,238.696,265.545,251.251,246.198,244.003,251.305,255.145,254.589,250.211,245.558,234.623,235.024,248.359,240.556,239.394,237.366,242.003,225.716,234.745,226.727,249.316,224.544,231.271,247.308,251.626,235.059,233.974,240.18,242.554,242.572,213.281,223.841,247.148,231.183,231.776,227.753,235.268,241.722,239.641,239.02,224.566,234.614,225.051,232.97,233.69,233.074
8.17,0.414,485.874,541.853,549.259,538.65,451.588,513.97,596.881,483.502,440.965,471.093,553.627,472.71,507.813,455.635,464.468,498.763,469.057,499.903,474.985,498.868,492.971,468.353,458.586,507.775,465.213,495.962,460.973,467.429,478.54,510.007,466.76,460.496,459.356,479.8,466.254,442.916,440.242,450.821,483.067,463.559,466.375,477.501,471.446,498.533,477.818,451.246,464.402,411.73,413.633,462.696,437.305,433.326,441.83,435.32,418.21,465.665,440.946,430.476,427.096,440.94,447.28,447.987,439.811,430.057,411.729,413.098,435.879,422.388,421.031,417.697,425.241,396.737,412.803,398.955,438.65,394.727,407.461,435.731,443.725,413.369,411.861,422.92,427.042,426.742,375.531,394.195,435.36,408.286,407.948,401.083,414.471,427.143,422.722,421.805,395.603,413.076,397.45,410.842,413.1,411.832
