R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,169.747,169.907,169.724,169.799,169.588,169.738,169.913,169.519,169.381,169.53,169.925,169.289,170.565,169.979,169.757,171.079,170.545,169.441,169.841,170.225,171.731,169.909,171.354,171.274,172.293,172.368,170.168,172.151,172.633,172.727,171.073,170.35,172.545,172.486,173.873,174.404,174.159,173.356,172.875,173.46,173.031,172.961,174.93,173.395,174.191,175.811,175.094,176.448,175.026,174.572,173.939,174.848,175.352,175.49,174.966,175.678,175.781,177.693,177.084,176.385,176.454,175.814,176.209,178.166,177.301,177.158,178.26,178.144,178.402,177.3,177.576,178.26,178.107,179.062,177.319,179.71,178.785,178.013,178.317,179.963,180.981,179.897,178.917,179.685,180.148,180.563,180.188,179.913,182.16,180.792,180.97,181.195,182.491,180.89,182.427,183.635,182.086,180.787,180.732,182.51
1.02261,170.665,170.825,170.641,170.72,170.498,170.655,170.839,170.426,170.288,170.438,170.852,170.198,171.467,170.895,170.669,171.978,171.467,170.345,170.754,171.146,172.653,170.83,172.298,172.172,173.253,173.281,171.095,173.105,173.547,173.648,172.005,171.283,173.484,173.41,174.816,175.375,175.109,174.314,173.804,174.417,173.996,173.918,175.876,174.334,175.171,176.779,176.079,177.442,176.029,175.548,174.924,175.846,176.357,176.494,175.962,176.673,176.757,178.68,178.081,177.346,177.443,176.794,177.224,179.173,178.302,178.19,179.236,179.189,179.456,178.31,178.572,179.311,179.153,180.082,178.331,180.713,179.828,179.02,179.321,180.964,182.004,180.894,179.926,180.67,181.232,181.636,181.174,180.961,183.171,181.813,182.018,182.21,183.46,181.914,183.489,184.692,183.21,181.827,181.776,183.532
1.04573,171.554,171.714,171.528,171.611,171.379,171.544,171.736,171.303,171.165,171.316,171.749,171.076,172.339,171.782,171.552,172.845,172.359,171.219,171.638,172.038,173.546,171.721,173.212,173.039,174.184,174.163,171.993,174.03,174.43,174.537,172.908,172.187,174.393,174.303,175.729,176.318,176.028,175.243,174.702,175.344,174.932,174.845,176.792,175.243,176.123,177.718,177.035,178.407,177.006,176.496,175.881,176.816,177.334,177.471,176.93,177.64,177.704,179.637,179.05,178.276,178.403,177.746,178.212,180.151,179.274,179.195,180.182,180.208,180.484,179.293,179.539,180.336,180.173,181.074,179.315,181.686,180.844,179.999,180.297,181.934,182.998,181.86,180.906,181.623,182.291,182.683,182.129,181.982,184.151,182.805,183.038,183.195,184.396,182.91,184.525,185.72,184.31,182.839,182.792,184.525
1.06937,172.41,172.571,172.383,172.471,172.227,172.4,172.601,172.148,172.01,172.162,172.615,171.923,173.178,172.636,172.403,173.679,173.219,172.06,172.489,172.898,174.406,172.58,174.096,173.872,175.084,175.011,172.86,174.924,175.28,175.393,173.779,173.061,175.27,175.163,176.609,177.23,176.916,176.14,175.568,176.24,175.838,175.742,177.674,176.12,177.045,178.625,177.961,179.342,177.952,177.414,176.808,177.757,178.282,178.419,177.869,178.577,178.619,180.563,179.987,179.174,179.332,178.667,179.171,181.099,180.215,180.171,181.095,181.198,181.485,180.245,180.475,181.333,181.164,182.035,180.269,182.628,181.832,180.948,181.243,182.872,183.961,182.795,181.855,182.544,183.322,183.702,183.052,182.974,185.1,183.766,184.029,184.149,185.297,183.875,185.53,186.718,185.384,183.82,183.779,185.486
1.09355,173.233,173.395,173.205,173.298,173.041,173.223,173.433,172.959,172.82,172.973,173.448,172.735,173.981,173.457,173.22,174.478,174.045,172.867,173.306,173.724,175.231,173.405,174.947,174.669,175.952,175.824,173.694,175.786,176.094,176.214,174.616,173.901,176.112,175.988,177.456,178.109,177.77,177.005,176.399,177.103,176.711,176.605,178.522,176.963,177.935,179.499,178.855,180.244,178.868,178.299,177.703,178.666,179.199,179.335,178.776,179.483,179.501,181.455,180.892,180.037,180.228,179.554,180.099,182.014,181.124,181.116,181.974,182.158,182.455,181.165,181.378,182.3,182.125,182.964,181.191,183.535,182.788,181.864,182.155,183.776,184.89,183.695,182.771,183.43,184.325,184.692,183.939,183.936,186.014,184.694,184.989,185.068,186.16,184.807,186.505,187.684,186.431,184.77,184.734,186.412
1.11827,174.02,174.181,173.99,174.088,173.818,174.009,174.229,173.732,173.594,173.747,174.244,173.51,174.747,174.24,174,175.238,174.835,173.636,174.086,174.514,176.019,174.195,175.762,175.427,176.785,176.599,174.492,176.612,176.869,176.997,175.417,174.705,176.918,176.776,178.265,178.953,178.587,177.833,177.193,177.93,177.549,177.433,179.333,177.768,178.79,180.335,179.713,181.111,179.75,179.148,178.564,179.541,180.082,180.217,179.648,180.353,180.347,182.311,181.762,180.862,181.089,180.406,180.994,182.893,181.997,182.029,182.815,183.085,183.393,182.051,182.245,183.235,183.053,183.858,182.078,184.407,183.712,182.745,183.032,184.644,185.784,184.558,183.651,184.278,185.297,185.649,184.789,184.863,186.89,185.586,185.913,185.951,186.983,185.703,187.445,188.614,187.448,185.686,185.655,187.302
1.14355,174.767,174.929,174.737,174.839,174.556,174.757,174.987,174.466,174.328,174.482,175.002,174.246,175.472,174.985,174.74,175.956,175.585,174.366,174.827,175.265,176.768,174.945,176.538,176.144,177.58,177.333,175.251,177.4,177.604,177.739,176.179,175.472,177.685,177.523,179.034,179.759,179.364,178.624,177.947,178.719,178.349,178.222,180.103,178.534,179.608,181.133,180.535,181.941,180.596,179.96,179.388,180.38,180.928,181.063,180.485,181.186,181.154,183.127,182.593,181.648,181.911,181.22,181.852,183.735,182.833,182.906,183.616,183.977,184.297,182.9,183.074,184.135,183.947,184.715,182.929,185.239,184.599,183.588,183.87,185.472,186.639,185.381,184.493,185.086,186.235,186.571,185.598,185.755,187.727,186.44,186.802,186.795,187.763,186.561,188.349,189.507,188.432,186.564,186.539,188.153
1.16941,175.473,175.636,175.441,175.549,175.252,175.463,175.704,175.158,175.02,175.175,175.72,174.94,176.153,175.688,175.439,176.631,176.294,175.053,175.526,175.974,177.474,175.654,177.275,176.817,178.335,178.023,175.969,178.148,178.295,178.438,176.9,176.197,178.411,178.227,179.761,180.524,180.1,179.373,178.657,179.466,179.11,178.971,180.83,179.257,180.386,181.889,181.316,182.73,181.403,180.732,180.173,181.18,181.736,181.87,181.282,181.98,181.921,183.903,183.385,182.391,182.693,181.993,182.672,184.536,183.628,183.745,184.374,184.832,185.164,183.709,183.862,184.998,184.803,185.532,183.74,186.03,185.449,184.391,184.669,186.258,187.454,186.163,185.295,185.851,187.138,187.457,186.364,186.608,188.521,187.253,187.652,187.598,188.497,187.379,189.214,190.36,189.383,187.403,187.385,188.961
1.19584,176.135,176.297,176.101,176.214,175.903,176.124,176.376,175.804,175.667,175.822,176.393,175.589,176.789,176.345,176.092,177.259,176.957,175.694,176.18,176.638,178.134,176.318,177.967,177.443,179.047,178.666,176.643,178.853,178.939,179.09,177.577,176.879,179.091,178.886,180.442,181.245,180.79,180.079,179.322,180.17,179.827,179.676,181.512,179.935,181.122,182.6,182.054,183.476,182.169,181.46,180.915,181.938,182.503,182.636,182.037,182.731,182.643,184.633,184.133,183.088,183.432,182.722,183.451,185.294,184.381,184.544,185.086,185.646,185.991,184.476,184.607,185.821,185.619,186.305,184.509,186.776,186.258,185.151,185.423,186.999,188.224,186.899,186.052,186.569,188.002,188.303,187.083,187.42,189.269,188.022,188.459,188.355,189.181,188.152,190.037,191.17,190.297,188.199,188.187,189.725
1.22288,176.749,176.911,176.714,176.833,176.505,176.737,177.002,176.403,176.266,176.421,177.019,176.19,177.375,176.956,176.698,177.837,177.574,176.288,176.786,177.255,178.746,176.935,178.614,178.018,179.713,179.26,177.27,179.511,179.533,179.693,178.206,177.514,179.723,179.495,181.076,181.921,181.432,180.738,179.938,180.826,180.499,180.334,182.144,180.565,181.812,183.264,182.747,184.176,182.891,182.142,181.613,182.652,183.225,183.357,182.748,183.437,183.319,185.317,184.835,183.736,184.124,183.404,184.186,186.006,185.087,185.299,185.75,186.418,186.776,185.198,185.305,186.601,186.392,187.034,185.233,187.474,187.023,185.865,186.131,187.692,188.948,187.586,186.764,187.239,188.824,189.107,187.754,188.189,189.968,188.744,189.222,189.065,189.813,188.879,190.816,191.934,191.172,188.95,188.946,190.44
