draw_id,draw_label,eps_inf,xc
1,b1,0.32802977,2.175424
2,b2,0.31062408,2.1506402
3,b3,0.3485689,2.3547331
4,b4,0.35386857,2.3715247
5,b5,0.31708616,2.0214241
6,b6,0.34172777,2.2441242
7,b7,0.35993127,2.628257
8,b8,0.32970283,2.0575819
9,b9,0.31461799,1.9616005
10,b10,0.32788555,2.0352905
11,b11,0.33970776,2.4082905
12,b12,0.33194886,2.0134908
13,b13,0.33549629,2.1823139
14,b14,0.33017377,1.9511744
15,b15,0.33598803,1.9778781
16,b16,0.33541455,2.1328484
17,b17,0.33904764,1.9904456
18,b18,0.35015727,2.1665289
19,b19,0.35212657,2.0250669
20,b20,0.35308911,2.1132634
21,b21,0.34914255,2.1104325
22,b22,0.34025309,1.9846076
23,b23,0.34447465,1.9304316
24,b24,0.35910307,2.2013168
25,b25,0.33130822,1.9423614
26,b26,0.36638104,2.1522415
27,b27,0.3491047,1.9644516
28,b28,0.34713459,1.9745046
29,b29,0.36590803,2.0531108
30,b30,0.3683921,2.1903355
31,b31,0.36835736,2.0082
32,b32,0.3591831,1.942697
33,b33,0.36840637,1.9522778
34,b34,0.36024198,2.0825084
35,b35,0.34843416,1.9693152
36,b36,0.3477571,1.849247
37,b37,0.35231918,1.852633
38,b38,0.36140046,1.9298811
39,b39,0.37159604,2.124622
40,b40,0.37591548,1.9549655
41,b41,0.38065,1.9946303
42,b42,0.37768569,2.0303867
43,b43,0.37431902,2.0396488
44,b44,0.39886179,2.1711414
45,b45,0.38880727,2.0491963
46,b46,0.381495,1.9158463
47,b47,0.38470872,1.9209589
48,b48,0.35871006,1.7323538
49,b49,0.36387793,1.7203661
50,b50,0.37995811,1.9852563
51,b51,0.3769956,1.7800097
52,b52,0.38574443,1.776438
53,b53,0.38477015,1.8704332
54,b54,0.39093311,1.7968455
55,b55,0.37674875,1.7056911
56,b56,0.40245932,1.9639686
57,b57,0.39515756,1.8103616
58,b58,0.37622726,1.8006527
59,b59,0.37666204,1.7589901
60,b60,0.39231778,1.8169428
61,b61,0.39635308,1.8939756
62,b62,0.41717647,1.8597168
63,b63,0.40960368,1.7917039
64,b64,0.38746199,1.7826345
65,b65,0.38567726,1.6646136
66,b66,0.3961523,1.6340068
67,b67,0.39724569,1.8024574
68,b68,0.39954493,1.7135184
69,b69,0.40929823,1.6770969
70,b70,0.40487248,1.6518156
71,b71,0.39972236,1.7271055
72,b72,0.39098825,1.564183
73,b73,0.40047154,1.6280462
74,b74,0.39499112,1.5418389
75,b75,0.42011447,1.8095704
76,b76,0.38670763,1.5421718
77,b77,0.41001555,1.5592231
78,b78,0.42759613,1.7805114
79,b79,0.43374625,1.7776013
80,b80,0.39700021,1.6187709
81,b81,0.40719876,1.6006237
82,b82,0.41265217,1.6634218
83,b83,0.40963581,1.6638975
84,b84,0.41428528,1.7417697
85,b85,0.39217869,1.428456
86,b86,0.40350604,1.5068265
87,b87,0.42726601,1.776826
88,b88,0.42551423,1.5239983
89,b89,0.40812401,1.6150551
90,b90,0.40804044,1.5724632
91,b91,0.41828213,1.6108155
92,b92,0.44043676,1.6276559
93,b93,0.42867305,1.6753351
94,b94,0.43032307,1.6103016
95,b95,0.41101214,1.5295986
96,b96,0.41382006,1.6240208
97,b97,0.42084262,1.4454516
98,b98,0.42288957,1.5958982
99,b99,0.43561518,1.5219678
100,b100,0.43216429,1.5178681
