R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,329.783,367.741,373.476,368.626,305.512,350.607,404.755,328.386,296.389,320.202,377.89,319.453,339.364,306.739,312.44,338.153,316.013,338.316,319.837,337.641,331.604,314.914,307.754,342.472,311.925,333.626,308.603,313.726,322.062,342.495,311.809,307.38,306.943,321.225,312.6,294.667,292.973,299.869,322.646,309.137,309.952,318.954,313.799,331.871,316.976,299.055,307.536,270.48,271.397,306.801,288.732,285.086,291.134,286.891,274.238,307.5,290.67,282.718,280.617,291.084,295.366,295.69,288.478,281.517,268.712,268.73,286.641,275.391,273.656,272.046,278.427,257.06,268.26,258.294,287.262,255.933,263.4,284.984,290.536,268.994,266.917,275.366,278.599,278.525,241.493,253.955,284.435,263.415,264.329,259.211,268.039,277.016,274.883,272.908,254.536,267.599,255.473,265.593,266.196,265.332
7.79,0.421,562.175,623.914,637.989,631.494,520.203,599.497,692.553,560.571,504.262,546.771,645.013,545.574,578.071,523.874,533.944,577.183,540.424,578.64,548.036,578.262,566.982,538.518,527.138,586.459,532.344,572.239,528.363,537.099,552.857,587.255,535.471,527.268,527.504,550.448,535.183,505.033,502.65,514.57,553.583,531.771,533.032,548.368,538.889,571.327,545.303,514.621,529.484,464.88,466.877,527.385,497.548,491.675,501.11,495.135,472.903,530.213,501.784,486.298,483.298,502.431,509.18,511.639,498.61,484.925,464.063,464.729,494.801,475.589,473.299,470.944,481.287,444.685,464.089,447.292,496.876,442.884,456.488,493.641,503.644,465.443,462.164,476.887,482.451,481.836,418.561,440.012,492.565,457.513,457.646,449.075,464.331,481.219,476.785,473.491,441.062,463.339,443.734,460.589,462.657,460.978
7.79,0.516,765.78,846.546,869.633,862.512,708.312,817.969,944.769,764.164,686.315,745.614,878.753,744.042,786.87,714.59,728.566,786.68,737.695,789.733,749.026,789.878,773.715,735.076,720.372,801.009,725.686,782.513,721.865,733.694,756.5,802.757,733.031,721.259,722.49,752.382,731.093,690.548,687.802,704.168,757.303,728.743,730.371,751.145,737.696,783.179,747.293,705.534,726.02,637.082,640.17,722.468,682.775,675.144,687.196,680.206,649.409,727.77,689.407,666.649,663.086,690.235,698.928,704,685.615,665.395,637.944,639.406,679.845,653.719,651.21,648.372,661.938,612.065,638.687,616.047,683.606,609.714,628.984,679.812,693.843,640.603,636.399,656.688,664.263,663.053,576.962,606.274,678.217,631.293,630.202,618.709,639.583,663.963,657.25,652.799,607.78,638.024,612.334,634.919,638.639,636.164
7.79,0.621,1008.06,1109.48,1144.67,1137.55,932.37,1078.01,1244.15,1006.45,903.162,982.488,1156.13,980.462,1034.92,941.997,960.632,1035.84,972.953,1041.18,989.004,1042.12,1020,969.496,951.173,1056.73,955.93,1033.57,952.952,968.346,999.923,1059.82,969.457,953.228,955.984,993.547,964.94,912.401,909.445,931.125,1000.83,964.712,966.778,993.837,975.598,1036.81,989.219,934.497,961.587,843.846,848.326,956.165,905.168,895.657,910.535,902.744,861.69,964.879,914.979,883.105,879.041,916.006,926.834,935.605,910.666,882.207,847.374,849.952,902.393,868.166,865.618,862.343,879.518,814.041,849.197,819.775,908.51,811.063,837.256,904.295,923.159,851.777,846.597,873.517,883.415,881.467,768.555,807.133,902.041,841.424,838.463,823.612,851.083,884.769,875.178,869.323,809.241,848.784,816.272,845.523,851.475,847.984
7.79,0.726,1266.77,1387.95,1437.24,1430.87,1172.05,1355.45,1562.3,1265.07,1135.22,1235.64,1451.06,1233.13,1299.3,1185.34,1208.9,1301.61,1224.62,1309.73,1245.94,1311.62,1283.12,1220.29,1198.44,1329.94,1201.96,1302.27,1200.53,1219.55,1260.77,1334.62,1223.17,1201.99,1206.7,1251.84,1215.3,1150.43,1147.48,1174.84,1261.86,1218.13,1220.69,1254.2,1230.87,1308.88,1248.96,1180.73,1214.68,1066.66,1072.69,1207.2,1144.58,1133.31,1150.95,1142.66,1090.68,1219.94,1158.09,1116.16,1111.7,1159.31,1172.27,1185.49,1153.44,1115.85,1073.61,1077.51,1142.37,1099.68,1097.29,1093.68,1114.48,1032.64,1076.78,1040.32,1151.33,1029.01,1062.7,1146.9,1170.87,1080.04,1073.95,1107.91,1120.17,1117.48,976.437,1024.74,1143.9,1069.15,1063.86,1045.56,1079.91,1123.82,1111.05,1103.65,1027.57,1076.78,1037.39,1073.61,1082.15,1077.51
7.79,0.84,1562.34,1703.73,1770.05,1765.17,1446.46,1671.93,1923.65,1560.34,1401.06,1525.01,1786.42,1521.93,1600.84,1463.88,1492.97,1604.81,1512.51,1616.39,1539.99,1619.41,1583.7,1507.21,1481.63,1641.96,1483.22,1609.59,1484.11,1507.06,1559.45,1648.57,1514.09,1487.12,1494.32,1547.54,1501.88,1423.43,1420.7,1454.52,1560.86,1508.85,1512.03,1552.57,1523.55,1620.57,1546.83,1463.59,1505.09,1323.23,1331.05,1495.3,1419.83,1406.79,1427.39,1418.81,1354.45,1512.92,1437.81,1384.25,1379.44,1439.24,1454.51,1473.2,1432.97,1384.76,1334.51,1340.01,1418.64,1366.52,1364.47,1360.58,1385.29,1285.15,1339.35,1295.09,1431.11,1280.77,1323.08,1426.64,1456.34,1343.35,1336.36,1378.26,1393.08,1389.65,1217.09,1276.3,1422.78,1332.37,1324.16,1302.09,1344.09,1399.8,1383.39,1374.16,1280.03,1339.96,1293.09,1337.15,1348.75,1342.75
7.79,0.944,1843.7,2002.31,2085.41,2082.42,1708.27,1972.62,2265.45,1841.22,1654.89,1800.58,2104.1,1796.95,1887.47,1729.49,1763.74,1893.02,1786.83,1908.07,1820.25,1912.15,1869.74,1780.63,1751.76,1938.73,1751.12,1902.26,1754.65,1781.15,1844.2,1947.24,1791.83,1759.26,1769,1829.46,1775.1,1684.19,1681.84,1721.79,1846.05,1786.48,1790.31,1837.23,1802.95,1917.8,1831.19,1734.08,1782.49,1569.19,1578.71,1770.56,1683.2,1668.72,1691.99,1683.3,1607.31,1792.98,1705.62,1640.98,1635.88,1707.25,1724.65,1748.79,1700.76,1642.39,1584.87,1591.95,1683.31,1622.44,1620.83,1616.73,1645,1527.82,1591.39,1539.9,1699.32,1522.72,1573.22,1694.97,1729.98,1596.05,1588.33,1637.66,1654.78,1650.79,1448.83,1518.2,1690.26,1585.37,1574.24,1548.72,1597.78,1664.79,1644.91,1633.89,1522.87,1592.69,1538.99,1590.4,1604.96,1597.65
7.79,1.054,2152.61,2328.06,2429.98,2429.47,1996.45,2302,2638.13,2149.34,1934.52,2103.22,2451.08,2098.99,2201.76,2021.61,2061.38,2208.94,2088.26,2227.99,2128.23,2233.17,2183.64,2081.13,2048.85,2264.18,2045.45,2223.59,2052.27,2082.43,2157.15,2274.81,2097.51,2058.73,2071.42,2139.37,2075.46,1971.4,1969.62,2016.26,2159.65,2092.07,2096.71,2150.26,2110.43,2244.45,2144.1,2032.23,2087.88,1841.02,1852.4,2073.74,1973.66,1957.81,1983.94,1975.26,1886.69,2101.53,2001.13,1924.41,1919.02,2002.94,2022.64,2052.9,1996.41,1926.91,1861.76,1870.59,1975.5,1905.32,1904.29,1900.02,1931.98,1796.56,1870.19,1810.97,1995.6,1790.65,1850.07,1991.51,2032.14,1875.49,1867.07,1924.45,1943.92,1939.49,1705.95,1786.2,1985.88,1865.52,1851.1,1821.91,1878.52,1957.83,1934.23,1921.17,1792,1872.35,1811.39,1870.8,1888.61,1879.81
8.17,0.292,286.812,321.174,322.813,315.238,266.443,301.725,349.611,283.809,260.002,276.335,325.757,276.966,299.928,266.421,271.538,293.272,273.956,293.158,276.795,291.421,288.967,273.518,266.415,297.344,272.059,289.48,268.512,272.293,278.176,297.929,271.002,267.093,265.669,280.238,271.545,256.062,254.149,261.358,281.878,267.668,270.018,276.738,274.057,289.35,276.96,260.154,267.416,235.492,236.033,268.062,249.5,247.04,254.222,248.181,237.386,268.092,251.412,247.037,243.83,251.523,256.884,255.115,250.185,246.039,232.657,232.545,248.595,239.717,237.914,235.033,240.943,222.267,232.256,222.715,249.628,220.472,227.726,247.018,251.013,232.171,231.097,238.064,240.24,241.942,208.161,219.792,246.899,227.106,229.286,224.607,232.816,239.009,237.771,236.294,221.124,232.405,220.286,230.211,229.658,229.002
8.17,0.414,496.919,554.485,561.156,549.162,460.786,524.49,608.904,492.28,449.242,479.261,565.723,480.636,519.621,462.214,471.546,508.941,476.083,509.886,482.081,507.483,502.418,475.358,463.648,517.823,471.903,504.86,467.277,473.816,485.474,519.549,473.069,465.708,464.055,488.193,472.547,445.905,443.011,455.81,491.734,468.042,472.107,483.731,478.497,506.642,484.524,455.129,468.103,411.121,412.483,468.498,436.935,433.067,444.892,435.386,415.914,470.131,441.229,431.943,426.793,441.323,450.329,448.913,439.765,430.898,408.278,408.74,436.293,420.915,418.427,413.591,423.379,390.673,408.426,391.895,439.198,387.569,401.215,435.22,442.644,408.291,406.798,419.193,422.968,425.633,366.515,387.065,434.921,401.087,403.566,395.543,410.15,422.348,419.425,416.994,389.538,409.188,389.035,405.977,405.972,404.636
