draw_id,draw_label,a_eg
1,b1,4223.6115
2,b2,4671.1324
3,b3,4105.2005
4,b4,4050.1783
5,b5,4014.7834
6,b6,4053.575
7,b7,4357.3009
8,b8,3802.8722
9,b9,3841.805
10,b10,3781.4693
11,b11,4522.8245
12,b12,3586.9039
13,b13,3971.003
14,b14,3415.1204
15,b15,3363.1501
16,b16,3874.3115
17,b17,3336.401
18,b18,3575.7933
19,b19,3142.813
20,b20,3371.1172
21,b21,3432.4657
22,b22,3283.9084
23,b23,3029.1659
24,b24,3444.5403
25,b25,3347.9136
26,b26,3157.1582
27,b27,3018.3972
28,b28,3098.0776
29,b29,2926.3493
30,b30,3197.3259
31,b31,2756.8877
32,b32,2759.2685
33,b33,2621.9355
34,b34,3103.3399
35,b35,3051.2468
36,b36,2712.3479
37,b37,2641.0581
38,b38,2679.2392
39,b39,2962.8793
40,b40,2497.9022
41,b41,2498.9626
42,b42,2640.602
43,b43,2709.6507
44,b44,2551.5652
45,b45,2474.3409
46,b46,2306.2306
47,b47,2274.7548
48,b48,2198.4615
49,b49,2096.7452
50,b50,2481.8347
51,b51,2073.0136
52,b52,1945.9118
53,b53,2149.301
54,b54,1924.4346
55,b55,1902.7553
56,b56,2096.6497
57,b57,1901.1581
58,b58,2112.6905
59,b59,2020.1241
60,b60,1951.3911
61,b61,2042.1666
62,b62,1733.8623
63,b63,1693.9718
64,b64,1922.9881
65,b65,1710.33
66,b66,1544.0476
67,b67,1854.8717
68,b68,1650.8685
69,b69,1490.2026
70,b70,1496.3531
71,b71,1683.8263
72,b72,1456.6172
73,b73,1490.518
74,b74,1385.6416
75,b75,1608.9212
76,b76,1457.3584
77,b77,1291.7801
78,b78,1491.5061
79,b79,1434.4883
80,b80,1510.2408
81,b81,1382.4919
82,b82,1444.5791
83,b83,1476.0471
84,b84,1555.0191
85,b85,1196.9968
86,b86,1249.0956
87,b87,1487.4007
88,b88,1126.9085
89,b89,1395.9092
90,b90,1325.556
91,b91,1302.9152
92,b92,1168.8362
93,b93,1323.9871
94,b94,1215.0931
95,b95,1225.6819
96,b96,1357.8096
97,b97,1035.9594
98,b98,1246.1319
99,b99,1057.7881
100,b100,1073.6347
