R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,145.364,151.265,166.26,170.582,138.152,161.463,177.229,154.843,136.192,152.594,162.463,154.559,149.823,151.913,154.064,156.568,156.799,159.787,161.352,165.385,158.36,156.245,159.202,164.01,152.656,165.781,156.311,158.473,165.572,168.02,163.689,160.966,165.089,160.386,158.153,157.693,158.802,159.192,163.31,168.514,167.193,169.369,164.085,175.824,170.01,166.369,171.446,156.305,159.123,165.208,169.497,169.709,164.907,171.52,166.324,174.291,173.953,161.851,165.177,173.373,170.165,180.922,176.808,165.363,168.279,172.705,172.125,170.79,174.685,176.151,173.554,169.484,173.681,173.246,177.679,170.27,177.597,180.88,186.453,174.685,176.03,178.876,180.614,175.418,169.594,173.541,180.173,184.515,173.521,173.489,177.788,189.988,181.668,184.344,173.114,175.52,181.143,178.972,188.631,186.166
7.79,0.421,248.1,256.924,284.355,292.521,235.525,276.421,303.549,264.645,232.023,260.878,277.646,264.298,255.578,259.788,263.599,267.64,268.45,273.604,276.7,283.49,271.108,267.475,272.945,281.162,260.907,284.619,267.887,271.584,284.468,288.378,281.286,276.322,283.901,275.129,271.082,270.531,272.688,273.407,280.462,290.034,287.678,291.362,282.004,302.831,292.625,286.44,295.296,268.797,273.852,284.168,292.152,292.719,283.968,296.036,286.852,300.592,300.305,278.546,284.57,299.272,293.437,312.989,305.564,284.946,290.6,298.59,297.121,294.925,302.043,304.835,299.967,293.099,300.38,299.886,307.277,294.536,307.628,313.204,323.072,302.149,304.649,309.641,312.649,303.369,293.764,300.53,311.875,320.253,300.277,300.404,307.835,329.813,314.891,319.635,299.795,303.76,314.444,310.189,327.685,323.319
7.79,0.516,338.223,348.85,387.907,399.782,320.939,377.436,414.362,361.008,316.04,355.986,378.57,360.693,348.22,354.601,359.911,365.117,366.667,373.691,378.341,387.422,370.254,365.32,373.171,384.289,355.965,389.431,366.201,371.204,389.452,394.449,385.188,378.138,388.971,376.297,370.575,370.089,373.29,374.317,383.881,397.576,394.282,399.227,386.208,415.228,401.123,392.794,404.975,368.436,375.538,389.405,400.926,401.919,389.484,406.646,393.887,412.617,412.551,381.933,390.454,411.104,402.825,430.554,420.084,391.031,399.404,410.684,408.178,405.305,415.442,419.522,412.466,403.265,413.242,412.841,422.65,405.307,423.659,431.166,444.896,415.691,419.3,426.195,430.303,417.314,404.682,413.87,429.238,441.615,413.288,413.658,423.815,454.781,433.816,440.433,412.873,418.078,433.705,427.354,452.107,446.033
7.79,0.621,445.55,457.492,510.962,527.54,422.737,497.735,545.98,475.718,416.158,469.301,498.447,475.539,458.383,467.651,474.767,481.136,483.812,492.996,499.704,511.332,488.453,482.024,492.864,507.287,469.211,514.631,483.64,490.133,514.991,521.05,509.523,499.893,514.788,497.168,489.39,489.141,493.705,495.112,507.541,526.399,521.975,528.328,510.917,549.797,531.065,520.32,536.416,488.01,497.609,515.463,531.465,533.086,516.081,539.562,522.524,547.028,547.417,505.976,517.573,545.464,534.162,571.998,557.805,518.425,530.335,545.661,541.651,538.075,551.97,557.693,547.85,536.046,549.178,549.044,561.501,538.837,563.589,573.272,591.642,552.435,557.455,566.602,571.989,554.508,538.642,550.62,570.588,588.161,549.511,550.278,563.619,605.584,577.246,586.132,549.327,555.842,577.824,568.721,602.415,594.29
7.79,0.726,560.225,572.6,641.957,663.824,531.673,626.117,685.91,598.15,523.302,590.375,626.009,598.235,575.883,588.556,597.609,604.933,609.094,620.475,629.61,643.713,614.785,606.848,621.024,638.755,590.219,648.658,609.447,617.436,649.538,656.442,642.902,630.437,649.842,626.637,616.617,616.817,622.96,624.783,640.089,664.709,659.074,666.801,644.715,694.134,670.536,657.406,677.582,616.75,629.058,650.828,671.892,674.321,652.271,682.728,661.145,691.544,692.649,639.448,654.417,690.145,675.515,724.47,706.234,655.606,671.608,691.362,685.441,681.254,699.312,706.894,693.892,679.547,695.949,696.283,711.261,683.159,714.848,726.677,749.996,700.054,706.681,718.188,724.882,702.571,683.73,698.546,723.142,746.728,696.718,698.033,714.671,768.603,732.26,743.597,696.962,704.66,733.918,721.601,765.098,754.783
7.79,0.84,691.281,703.166,791.033,819.158,656.402,772.564,844.887,737.887,646.013,728.701,771.137,738.399,709.954,726.827,738.085,746.182,752.331,766.087,778.216,794.868,759.134,749.58,767.692,788.933,728.502,801.957,753.509,763.09,803.596,811.154,795.765,780.006,804.704,774.839,762.234,763.154,771.217,773.519,791.89,823.306,816.299,825.443,798.072,859.454,830.418,814.794,839.492,764.833,780.259,806.103,833.204,836.699,808.752,847.358,820.647,857.444,859.609,792.864,811.744,856.465,837.956,899.862,876.977,813.369,834.335,859.228,850.815,846.089,869.033,878.824,862.04,845.072,865.079,866.134,883.65,849.636,889.305,903.378,932.303,870.126,878.687,892.82,900.934,873.115,851.405,869.294,898.836,929.731,866.481,868.552,888.823,956.553,910.992,925.145,867.41,876.216,914.245,897.99,952.875,940.079
7.79,0.944,816.062,826.631,932.34,966.565,775.402,911.685,995.289,870.742,763.133,860.344,908.664,871.776,837.425,858.547,871.892,880.431,888.729,904.606,919.777,938.589,896.506,885.518,907.466,931.79,860.146,947.944,890.89,901.874,950.453,958.352,941.618,922.691,952.526,916.102,901.031,902.821,912.807,915.565,936.633,974.686,966.39,976.735,944.411,1017.05,982.979,965.203,994.059,906.637,925.037,954.374,987.427,992.061,958.409,1004.89,973.387,1015.94,1019.33,939.657,962.296,1015.57,993.316,1067.71,1040.4,964.382,990.31,1020.15,1009.09,1004,1031.69,1043.65,1023.13,1003.93,1027.23,1029.14,1048.75,1009.4,1056.69,1072.69,1106.89,1033.15,1043.63,1060.19,1069.58,1036.55,1012.6,1033.25,1067.17,1105.39,1029.36,1032.26,1055.86,1136.77,1082.41,1099.25,1031.12,1040.75,1087.5,1067.28,1133.12,1117.99
7.79,1.054,953.076,961.329,1086.77,1127.79,906.361,1064.04,1159.29,1016.4,892.088,1004.81,1058.92,1018.13,977.21,1003.25,1018.86,1027.56,1038.49,1056.53,1075.24,1096.13,1047.24,1034.8,1061.04,1088.45,1004.68,1108.2,1041.94,1054.34,1111.82,1119.79,1102.03,1079.61,1115.17,1071.33,1053.56,1056.51,1068.7,1071.95,1095.73,1141.22,1131.53,1143.03,1105.38,1190.2,1150.76,1130.88,1164.12,1063.18,1084.84,1117.57,1157.36,1163.38,1123.39,1178.61,1141.96,1190.44,1195.4,1101.56,1128.35,1190.95,1164.56,1252.78,1220.65,1131,1162.6,1197.89,1183.66,1178.35,1211.33,1225.71,1200.95,1179.6,1206.37,1209.38,1230.94,1186.07,1241.72,1259.62,1299.5,1213.2,1225.89,1245,1255.71,1217.03,1191.16,1214.66,1252.99,1299.61,1209.42,1213.35,1240.46,1335.82,1271.8,1291.61,1212.28,1222.57,1279.27,1254.46,1332.41,1314.76
8.17,0.292,123.511,130.235,142.319,143.053,116.698,135.831,151.961,130.35,115.424,127.961,138.663,130.373,130.094,127.99,130.092,132.578,132.157,135.975,135.973,139.433,135.229,131.914,133.688,139.753,129.347,140.717,132.615,133.767,139.73,143.295,138.529,136.304,138.974,136.467,133.786,132.592,133.279,134.64,139.138,141.928,141.734,143.268,139.526,149.86,144.74,140.573,145.022,131.18,133.463,140.371,141.82,142.261,139.689,143.592,139.032,147.879,145.77,137.058,138.784,145.123,143.776,151.418,148.691,140.116,140.62,144.349,144.553,143.706,146.845,147.102,145.238,141.335,145.268,144.204,149.704,141.53,148.393,151.895,156.305,145.727,147.327,149.653,150.806,147.452,140.976,144.98,151.548,153.912,145.373,145.108,149.334,158.947,152.113,154.59,145.151,147.334,150.94,149.971,157.432,155.307
8.17,0.414,214.272,225.127,247.687,249.526,202.108,236.475,264.935,226.449,199.767,222.281,241.103,226.632,225.73,222.444,226.276,230.489,230.018,236.776,237.086,243.089,235.43,229.595,232.977,243.66,224.769,245.677,231.05,233.074,244.089,250.154,242.029,237.88,242.963,238.03,233.139,231.211,232.607,235.074,242.996,248.367,247.99,250.62,243.846,262.56,253.387,246.101,254.003,229.246,233.436,245.531,248.51,249.494,244.609,251.999,243.724,259.418,255.913,239.822,243.084,254.729,252.16,266.457,261.388,245.52,246.847,253.741,253.772,252.39,258.265,258.852,255.261,248.444,255.467,253.737,263.399,248.807,261.392,267.595,275.573,256.271,259.297,263.475,265.487,259.397,248.172,255.276,266.909,271.714,255.831,255.494,263.028,280.762,268.217,272.713,255.637,259.355,266.463,264.395,278.225,274.37
