R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,191.329,191.693,192.25,193.007,189.489,191.845,194.776,189.459,188.518,189.41,193.799,188.717,190.299,187.589,187.692,190.008,187.807,189.57,187.673,188.987,188.363,187.404,186.196,189.249,186.733,187.913,186.253,186.596,186.867,188.279,186.101,185.289,185.1,187.127,187.807,185.729,186.108,184.685,186.953,184.666,184.777,185.596,189.418,186.883,185.531,188.279,185.947,186.697,183.101,186.186,182.251,182.945,184.631,183.875,182.503,186.344,186.025,189.33,187.839,188.011,187.781,185.72,184.15,189.117,186.474,183.936,189.509,186.235,185.619,185.259,187.708,184.628,185.105,187.207,186.575,188.252,185.785,187.797,188.166,189.233,189.723,189.297,188.266,189.815,185.582,187.724,190.403,187.281,191.128,189.139,189.358,189.715,191.937,189.261,190.167,192.483,187.645,188.983,187.958,189.936
1.02261,192.528,192.9,193.456,194.221,190.666,193.047,196.009,190.634,189.681,190.584,195.027,189.881,191.483,188.741,188.844,191.191,188.96,190.741,188.823,190.154,189.531,188.558,187.344,190.42,187.895,189.078,187.399,187.75,188.021,189.451,187.238,186.428,186.233,188.285,188.982,186.886,187.262,185.824,188.112,185.803,185.913,186.741,190.613,188.04,186.686,189.464,187.106,187.869,184.236,187.347,183.372,184.073,185.779,185.011,183.622,187.51,187.179,190.517,189.024,189.182,188.963,186.87,185.291,190.313,187.641,185.075,190.677,187.409,186.786,186.409,188.889,185.781,186.263,188.377,187.744,189.401,186.947,188.98,189.345,190.385,190.884,190.447,189.438,190.962,186.752,188.921,191.55,188.463,192.272,190.295,190.541,190.863,193.043,190.419,191.35,193.668,188.855,190.156,189.126,191.068
1.04573,193.705,194.083,194.638,195.411,191.82,194.226,197.22,191.783,190.82,191.734,196.232,191.019,192.643,189.869,189.971,192.349,190.089,191.887,189.948,191.296,190.677,189.687,188.468,191.568,189.033,190.219,188.52,188.88,189.15,190.6,188.352,187.543,187.342,189.419,190.135,188.019,188.393,186.939,189.246,186.916,187.024,187.862,191.786,189.173,187.816,190.626,188.242,189.018,185.347,188.484,184.469,185.178,186.903,186.124,184.717,188.652,188.309,191.681,190.187,190.33,190.122,187.995,186.407,191.486,188.783,186.191,191.818,188.561,187.929,187.536,190.047,186.909,187.399,189.524,188.889,190.524,188.087,190.14,190.5,191.513,192.019,191.571,190.586,192.083,187.899,190.094,192.669,189.621,193.389,191.425,191.699,191.984,194.12,191.551,192.508,194.828,190.041,191.307,190.271,192.175
1.06937,194.856,195.242,195.796,196.577,192.947,195.38,198.405,192.907,191.934,192.857,197.411,192.133,193.777,190.971,191.072,193.482,191.191,193.008,191.046,192.412,191.795,190.791,189.567,192.69,190.145,191.334,189.616,189.984,190.253,191.724,189.438,188.631,188.424,190.528,191.261,189.128,189.498,188.029,190.355,188.004,188.11,188.958,192.932,190.279,188.922,191.763,189.352,190.142,186.433,189.596,185.541,186.257,188.002,187.212,185.786,189.768,189.414,192.821,191.325,191.451,191.257,189.096,187.496,192.635,189.901,187.282,192.933,189.688,189.048,188.636,191.179,188.014,188.508,190.646,190.009,191.621,189.201,191.275,191.629,192.613,193.127,192.667,191.709,193.175,189.022,191.244,193.76,190.754,194.477,192.529,192.832,193.078,195.165,192.656,193.64,195.961,191.205,192.429,191.39,193.252
1.09355,195.981,196.374,196.925,197.715,194.046,196.507,199.564,194.003,193.018,193.953,198.565,193.218,194.883,192.044,192.145,194.587,192.265,194.1,192.117,193.501,192.887,191.867,190.638,193.784,191.23,192.421,190.684,191.061,191.328,192.819,190.496,189.692,189.478,191.608,192.362,190.209,190.576,189.09,191.436,189.063,189.167,190.025,194.053,191.358,190,192.874,190.436,191.237,187.492,190.682,186.585,187.308,189.075,188.271,186.827,190.858,190.492,193.932,192.437,192.545,192.363,190.168,188.559,193.756,190.992,188.344,194.02,190.787,190.141,189.709,192.285,189.09,189.59,191.74,191.102,192.689,190.287,192.383,192.732,193.684,194.205,193.734,192.804,194.238,190.118,192.368,194.82,191.861,195.535,193.603,193.938,194.141,196.176,193.731,194.743,197.065,192.344,193.525,192.482,194.298
1.11827,197.074,197.475,198.026,198.824,195.116,197.603,200.695,195.068,194.072,195.018,199.689,194.272,195.959,193.086,193.187,195.663,193.309,195.161,193.156,194.558,193.948,192.912,191.678,194.848,192.285,193.479,191.72,192.107,192.374,193.886,191.522,190.722,190.502,192.659,193.432,191.26,191.623,190.121,192.488,190.091,190.195,191.061,195.144,192.407,191.049,193.954,191.49,192.306,188.52,191.737,187.599,188.33,190.117,189.302,187.838,191.918,191.54,195.014,193.519,193.61,193.441,191.211,189.593,194.848,192.052,189.378,195.075,191.858,191.204,190.753,193.362,190.139,190.645,192.804,192.165,193.724,191.346,193.463,193.805,194.722,195.253,194.768,193.868,195.268,191.186,193.464,195.848,192.939,196.559,194.646,195.013,195.172,197.15,194.775,195.816,198.137,193.455,194.59,193.542,195.311
1.14355,198.137,198.546,199.095,199.901,196.154,198.669,201.793,196.1,195.094,196.051,200.782,195.293,197.003,194.094,194.195,196.706,194.319,196.19,194.162,195.584,194.977,193.924,192.686,195.879,193.308,194.505,192.725,193.121,193.386,194.92,192.516,191.72,191.492,193.678,194.471,192.281,192.639,191.121,193.508,191.089,191.189,192.067,196.205,193.424,192.066,195.005,192.512,193.342,189.518,192.761,188.58,189.319,191.128,190.3,188.817,192.947,192.556,196.064,194.571,194.642,194.489,192.221,190.594,195.91,193.083,190.379,196.097,192.899,192.235,191.765,194.408,191.155,191.666,193.837,193.197,194.727,192.372,194.511,194.846,195.727,196.266,195.768,194.901,196.264,192.223,194.528,196.841,193.986,197.546,195.655,196.056,196.169,198.086,195.786,196.858,199.175,194.538,195.622,194.571,196.288
1.16941,199.167,199.584,200.13,200.946,197.157,199.7,202.859,197.099,196.081,197.05,201.842,196.28,198.013,195.069,195.169,197.714,195.295,197.185,195.133,196.574,195.973,194.902,193.66,196.876,194.298,195.496,193.695,194.101,194.364,195.921,193.475,192.684,192.448,194.662,195.477,193.268,193.621,192.086,194.493,192.051,192.15,193.037,197.232,194.406,193.05,196.022,193.5,194.345,190.481,193.752,189.528,190.274,192.106,191.264,189.761,193.943,193.537,197.08,195.59,195.64,195.502,193.198,191.561,196.939,194.078,191.346,197.083,193.906,193.235,192.743,195.42,192.138,192.655,194.836,194.196,195.693,193.365,195.526,195.854,196.695,197.242,196.732,195.899,197.221,193.227,195.561,197.795,195,198.496,196.627,197.065,197.128,198.98,196.76,197.863,200.178,195.588,196.62,195.566,197.226
1.19584,200.159,200.584,201.128,201.953,198.123,200.694,203.889,198.06,197.03,198.01,202.867,197.229,198.985,196.005,196.105,198.686,196.232,198.141,196.067,197.526,196.93,195.841,194.596,197.836,195.251,196.45,194.626,195.043,195.305,196.885,194.395,193.609,193.366,195.609,196.446,194.217,194.566,193.014,195.441,192.976,193.072,193.97,198.223,195.351,193.997,197.002,194.452,195.312,191.409,194.705,190.44,191.193,193.047,192.191,190.668,194.902,194.481,198.06,196.572,196.601,196.48,194.136,192.491,197.931,195.038,192.277,198.032,194.878,194.198,193.683,196.396,193.085,193.609,195.798,195.158,196.619,194.321,196.504,196.824,197.623,198.18,197.656,196.86,198.139,194.195,196.559,198.709,195.978,199.404,197.561,198.037,198.047,199.829,197.695,198.831,201.14,196.605,197.579,196.523,198.123
1.22288,201.113,201.547,202.088,202.922,199.049,201.65,204.881,198.98,197.94,198.931,203.853,198.137,199.918,196.9,197,199.618,197.129,199.058,196.959,198.439,197.849,196.741,195.492,198.755,196.165,197.365,195.519,195.946,196.206,197.81,195.274,194.495,194.244,196.517,197.376,195.128,195.472,193.902,196.351,193.862,193.956,194.863,199.176,196.257,194.906,197.945,195.366,196.24,192.297,195.62,191.311,192.072,193.948,193.079,191.534,195.823,195.386,199.001,197.517,197.523,197.419,195.036,193.382,198.886,195.959,193.168,198.939,195.812,195.123,194.585,197.334,193.992,194.522,196.721,196.082,197.505,195.239,197.446,197.756,198.51,199.076,198.537,197.781,199.014,195.126,197.52,199.58,196.918,200.269,198.454,198.969,198.923,200.63,198.589,199.759,202.062,197.586,198.499,197.44,198.976
