R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,170.546,170.312,171.165,171.491,169.957,170.908,172.421,170.045,169.724,170.014,171.518,169.907,170.358,169.59,169.675,170.287,169.724,170.35,169.81,170.187,169.918,169.599,169.269,170.338,169.285,169.972,169.338,169.399,169.834,170.227,169.48,169.134,169.165,169.673,171.165,170.499,171.003,168.976,169.773,169.163,169.151,169.365,173.559,170.657,169.982,174.044,171.512,173.827,170.277,170.976,168.846,170.06,170.896,170.927,170.113,172.37,173.231,176.485,175.32,175.129,174.431,173.085,172.045,176.948,175.252,173.163,177.161,175.009,175.008,174.571,176.245,174.646,174.648,177.667,174.917,178.473,176.351,176.698,177.158,178.829,179.917,178.83,177.673,178.708,177.295,178.947,179.305,178.578,181.247,179.678,179.852,180.224,181.732,179.843,181.438,182.861,180.064,179.65,179.532,181.577
1.02261,171.533,171.288,172.183,172.522,170.914,171.913,173.492,171.008,170.668,170.975,172.552,170.865,171.337,170.537,170.625,171.267,170.678,171.328,170.77,171.164,170.894,170.556,170.224,171.325,170.246,170.958,170.295,170.362,170.808,171.221,170.44,170.092,170.123,170.649,172.151,171.472,171.975,169.938,170.758,170.13,170.12,170.34,174.577,171.657,170.973,175.061,172.506,174.832,171.248,171.968,169.806,171.031,171.883,171.907,171.075,173.379,174.23,177.508,176.345,176.142,175.454,174.088,173.039,177.988,176.269,174.16,178.172,176.039,176.037,175.58,177.279,175.662,175.667,178.704,175.943,179.484,177.384,177.743,178.2,179.84,180.942,179.84,178.706,179.709,178.344,180.019,180.31,179.639,182.253,180.703,180.904,181.244,182.699,180.873,182.496,183.911,181.164,180.695,180.584,182.589
1.04573,172.499,172.239,173.178,173.532,171.846,172.896,174.544,171.946,171.587,171.911,173.565,171.797,172.294,171.458,171.551,172.223,171.606,172.283,171.705,172.116,171.848,171.487,171.156,172.29,171.182,171.921,171.227,171.3,171.758,172.194,171.376,171.026,171.055,171.601,173.112,172.42,172.923,170.875,171.719,171.073,171.065,171.291,175.572,172.633,171.941,176.055,173.476,175.812,172.194,172.936,170.741,171.979,172.844,172.864,172.012,174.364,175.204,178.506,177.346,177.13,176.454,175.066,174.008,179.003,177.261,175.133,179.155,177.044,177.04,176.566,178.288,176.652,176.662,179.716,176.944,180.466,178.393,178.764,179.217,180.823,181.939,180.821,179.712,180.684,179.369,181.067,181.285,180.675,183.23,181.698,181.93,182.237,183.635,181.875,183.528,184.935,182.239,181.716,181.609,183.574
1.06937,173.439,173.166,174.151,174.521,172.751,173.856,175.576,172.858,172.479,172.821,174.556,172.703,173.224,172.353,172.45,173.153,172.509,173.213,172.613,173.044,172.775,172.393,172.061,173.23,172.092,172.859,172.133,172.214,172.682,173.142,172.286,171.932,171.962,172.528,174.047,173.343,173.843,171.786,172.656,171.99,171.984,172.218,176.542,173.585,172.885,177.021,174.42,176.764,173.114,173.879,171.65,172.899,173.781,173.794,172.921,175.324,176.151,179.478,178.32,178.09,177.428,176.018,174.95,179.992,178.227,176.078,180.111,178.022,178.018,177.522,179.269,177.615,177.628,180.7,177.921,181.42,179.374,179.758,180.208,181.776,182.907,181.773,180.691,181.628,180.368,182.088,182.231,181.684,184.176,182.665,182.928,183.2,184.538,182.848,184.53,185.929,183.29,182.706,182.607,184.528
1.09355,174.353,174.066,175.1,175.487,173.629,174.791,176.587,173.742,173.342,173.703,175.526,173.582,174.129,173.219,173.321,174.058,173.383,174.116,173.495,173.946,173.676,173.272,172.938,174.144,172.975,173.771,173.011,173.099,173.579,174.065,173.168,172.812,172.84,173.428,174.956,174.236,174.736,172.669,173.566,172.88,172.876,173.117,177.485,174.511,173.802,177.961,175.338,177.686,174.004,174.795,172.53,173.791,174.69,174.696,173.802,176.257,177.07,180.419,179.266,179.021,178.373,176.943,175.864,180.952,179.163,176.993,181.037,178.971,178.967,178.451,180.223,178.549,178.567,181.654,178.868,182.342,180.325,180.725,181.17,182.697,183.843,182.694,181.64,182.54,181.337,183.081,183.144,182.665,185.089,183.6,183.898,184.132,185.404,183.79,185.502,186.893,184.313,183.668,183.576,185.448
1.11827,175.239,174.936,176.024,176.427,174.477,175.699,177.576,174.597,174.173,174.554,176.47,174.43,175.005,174.053,174.162,174.935,174.228,174.99,174.347,174.819,174.55,174.12,173.784,175.031,173.828,174.656,173.858,173.955,174.448,174.961,174.02,173.662,173.69,174.3,175.834,175.099,175.597,173.522,174.449,173.74,173.739,173.987,178.399,175.41,174.691,178.87,176.225,178.579,174.864,175.682,173.38,174.653,175.569,175.568,174.651,177.161,177.958,181.33,180.181,179.922,179.29,177.837,176.749,181.88,180.067,177.878,181.93,179.891,179.886,179.348,181.146,179.453,179.475,182.576,179.785,183.23,181.247,181.662,182.102,183.583,184.745,183.58,182.557,183.419,182.275,184.044,184.024,183.615,185.966,184.502,184.835,185.029,186.233,184.698,186.442,187.822,185.306,184.597,184.512,186.332
1.14355,176.097,175.777,176.92,177.342,175.292,176.58,178.541,175.42,174.973,175.376,177.388,175.247,175.852,174.855,174.97,175.781,175.04,175.836,175.167,175.662,175.393,174.936,174.6,175.888,174.648,175.511,174.675,174.78,175.286,175.827,174.842,174.48,174.507,175.142,176.682,175.931,176.426,174.345,175.303,174.57,174.571,174.829,179.284,176.279,175.551,179.749,177.081,179.439,175.691,176.539,174.197,175.483,176.416,176.407,175.467,178.034,178.814,182.207,181.064,180.79,180.175,178.699,177.602,182.778,180.939,178.73,182.789,180.779,180.772,180.212,182.036,180.323,180.349,183.465,180.671,184.082,182.134,182.566,183.002,184.435,185.612,184.431,183.442,184.261,183.18,184.974,184.868,184.532,186.804,185.368,185.737,185.89,187.02,185.572,187.347,188.714,186.268,185.492,185.415,187.178
1.16941,176.924,176.587,177.788,178.229,176.075,177.431,179.48,176.211,175.738,176.164,178.279,176.031,176.668,175.624,175.745,176.596,175.819,176.65,175.954,176.474,176.204,175.719,175.381,176.714,175.437,176.336,175.459,175.572,176.091,176.664,175.63,175.265,175.291,175.952,177.497,176.729,177.221,175.134,176.124,175.367,175.371,175.637,180.135,177.118,176.38,180.595,177.905,180.263,176.483,177.363,174.982,176.278,177.231,177.213,176.247,178.875,179.635,183.049,181.913,181.623,181.027,179.528,178.42,183.64,181.775,179.546,183.612,181.633,181.624,181.041,182.892,181.157,181.19,184.318,181.523,184.895,182.987,183.437,183.868,185.248,186.44,185.244,184.289,185.065,184.05,185.869,185.673,185.414,187.603,186.195,186.604,186.713,187.765,186.407,188.213,189.569,187.196,186.35,186.281,187.984
1.19584,177.718,177.362,178.626,179.086,176.822,178.251,180.394,176.967,176.466,176.916,179.142,176.779,177.451,176.356,176.484,177.379,176.563,177.43,176.707,177.251,176.982,176.467,176.127,177.509,176.19,177.127,176.206,176.329,176.863,177.467,176.383,176.014,176.039,176.728,178.277,177.49,177.979,175.888,176.913,176.128,176.136,176.411,180.953,177.923,177.174,181.404,178.693,181.05,177.238,178.153,175.73,177.038,178.009,177.982,176.99,179.681,180.419,183.853,182.724,182.419,181.844,180.319,179.201,184.465,182.573,180.325,184.395,182.45,182.439,181.831,183.711,181.953,181.993,185.131,182.338,185.667,183.801,184.272,184.696,186.019,187.228,186.016,185.099,185.828,184.881,186.727,186.437,186.259,188.358,186.981,187.432,187.495,188.463,187.202,189.041,190.382,188.088,187.169,187.108,188.747
1.22288,178.478,178.102,179.432,179.913,177.531,179.038,181.28,177.686,177.157,177.633,179.974,177.49,178.198,177.049,177.185,178.126,177.269,178.175,177.423,177.994,177.725,177.177,176.836,178.268,176.905,177.884,176.917,177.05,177.598,178.237,177.099,176.727,176.751,177.469,179.019,178.213,178.699,176.605,177.667,176.854,176.865,177.15,181.734,178.694,177.934,182.176,179.444,181.797,177.955,178.906,176.439,177.758,178.75,178.713,177.693,180.451,181.165,184.618,183.497,183.176,182.622,181.074,179.944,185.252,183.332,181.063,185.138,183.228,183.215,182.582,184.49,182.709,182.755,185.904,183.115,186.396,184.575,185.068,185.486,186.747,187.971,186.744,185.867,186.547,185.673,187.547,187.157,187.063,189.067,187.725,188.219,188.233,189.113,187.954,189.826,191.152,188.942,187.946,187.894,189.464
