R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,230.218,243.441,261.588,263.245,217.469,250.675,279.601,239.468,214.547,235.439,257.63,238.787,239.744,233.943,237.474,244.037,240.813,248.101,246.623,253.628,246.148,240.351,242.118,253.756,236.169,254.187,240.102,242.717,251.566,258.493,248.923,245.087,249.056,246.9,242.169,238.823,239.635,242.155,250.939,253.372,253.122,256.22,250.198,266.49,257.938,250.214,257.062,234.088,237.572,250.8,251.282,251.538,248.285,253.761,245.776,261.194,256.906,243.142,245.805,255.963,254.465,265.652,260.779,247.331,247.266,252.617,254.58,252.396,256.608,256.821,254.858,247.226,253.868,251.132,262.102,247.047,257.583,265.006,271.614,254.213,256.165,260.394,262.481,257.714,244.994,251.762,264.08,265.465,253.126,252.392,259.193,273.758,263.623,267.011,251.841,256.262,259.979,259.996,270.497,266.851
7.79,0.421,393.702,413.974,447.918,452.059,371.577,429.827,479.268,409.958,366.338,403.233,440.836,409.028,409.647,400.792,407.036,417.835,412.999,425.502,423.649,435.412,422.077,412.173,415.822,435.668,404.341,437.083,412.23,416.679,432.935,444.294,428.5,421.462,429.055,424.262,415.814,410.464,412.262,416.666,431.682,436.831,436.277,441.486,430.744,459.664,444.687,431.576,443.483,403.381,409.68,432.148,433.899,434.666,428.343,438.794,424.692,451.214,444.316,419.258,424.284,442.643,439.606,460.387,451.493,427.002,427.833,437.581,440.286,436.681,444.532,445.274,441.324,428.391,439.9,435.547,454.11,428.193,447.022,459.718,471.458,440.548,444.191,451.602,455.186,446.563,425.228,436.846,457.982,461.606,438.918,437.909,449.646,476.095,457.844,463.83,437.02,444.371,452.156,451.492,470.761,464.331
7.79,0.516,537.178,562.273,611.245,618.171,506.86,587.29,654.293,559.638,499.517,550.689,601.318,558.627,558.462,547.515,556.195,570.394,564.532,581.528,579.705,595.418,576.799,563.378,568.956,595.812,552.064,598.424,563.957,569.956,593.143,608.04,587.228,577.195,588.314,580.683,568.858,561.989,564.848,570.927,591.273,599.26,598.388,605.348,590.34,630.625,609.967,592.298,608.63,553.448,562.337,592.633,595.953,597.341,587.995,603.271,583.697,619.806,610.905,575.379,582.675,608.573,603.976,633.845,621.215,586.479,588.572,602.405,605.394,600.652,611.968,613.353,607.383,589.98,605.736,600.171,625.137,589.815,616.191,633.403,649.764,606.665,611.929,622.156,627.022,614.861,586.376,602.172,630.89,637.104,604.706,603.598,619.618,657.056,631.364,639.685,602.454,612.188,624.226,622.612,650.084,641.166
7.79,0.621,708.144,737.533,805.341,816.133,668.231,774.922,862.131,737.936,658.35,726.516,791.959,736.976,735.424,722.586,734.192,752.065,745.387,767.587,766.159,786.285,761.317,743.845,751.967,786.873,728.156,791.228,745.302,753.055,784.826,803.527,777.278,763.533,779.145,767.651,751.731,743.317,747.626,755.7,782.176,793.951,792.663,801.568,781.428,835.363,807.984,785.132,806.644,733.691,745.747,784.959,790.582,792.884,779.655,801.068,774.951,822.171,811.213,762.814,772.971,808.081,801.444,842.681,825.451,778.105,782.163,801.034,803.975,798.021,813.691,816.009,807.378,784.911,805.633,798.853,831.089,784.828,820.365,842.772,864.682,806.9,814.218,827.777,834.115,817.649,781.177,801.805,839.276,849.181,804.715,803.641,824.651,875.581,840.809,851.937,802.245,814.579,832.327,829.232,866.874,854.981
7.79,0.726,891.003,923.326,1012.07,1027.54,841.141,975.386,1083.16,928.477,828.549,914.64,994.952,927.745,924.247,910.06,924.789,946.116,939.037,966.572,965.966,990.42,958.69,937.088,948.169,991.252,916.521,997.807,939.769,949.266,990.478,1012.74,981.356,963.524,984.214,968.092,947.759,938.016,944.067,954.258,986.961,1003.2,1001.44,1012.23,986.612,1055.1,1020.68,992.623,1019.5,927.989,943.489,991.66,1000.2,1003.68,986.029,1014.36,981.303,1039.92,1027.16,964.701,978.059,1023.16,1014.17,1068.04,1045.78,984.647,991.298,1015.69,1018.14,1011.08,1031.61,1035.09,1023.36,995.837,1021.71,1013.9,1053.42,995.884,1041.31,1069,1096.82,1023.33,1032.97,1050.02,1057.85,1036.73,992.425,1018,1064.4,1078.9,1021.1,1020.24,1046.4,1112.05,1067.42,1081.56,1018.64,1033.45,1057.97,1052.91,1101.76,1086.7
7.79,0.84,1100.26,1134.28,1247.58,1268.86,1039.43,1204.4,1334.48,1146.3,1023.78,1129.94,1226.15,1146.01,1139.86,1124.8,1143.08,1167.83,1160.78,1194.14,1194.87,1223.84,1184.47,1158.38,1173.06,1224.99,1132.08,1234.37,1162.74,1174.08,1226.27,1252.06,1215.55,1192.96,1219.69,1197.81,1172.43,1161.51,1169.73,1182.31,1221.74,1243.46,1241.14,1253.88,1222.06,1307.03,1264.74,1231.14,1263.94,1151.81,1171.27,1229.03,1241.35,1246.36,1223.42,1259.97,1219.09,1290.15,1275.74,1197.04,1214.17,1270.76,1258.91,1327.6,1299.54,1222.45,1232.54,1263.35,1264.79,1256.66,1282.93,1287.9,1272.37,1239.48,1271.03,1262.33,1309.63,1239.71,1296.48,1329.88,1364.4,1273.04,1285.45,1306.4,1315.82,1289.39,1236.91,1267.88,1323.98,1344.36,1270.98,1270.54,1302.37,1385,1329.05,1346.62,1268.79,1286.07,1318.96,1311.3,1373.2,1354.58
7.79,0.944,1299.82,1334.04,1471.11,1498.27,1228.95,1422.35,1572.52,1353.8,1210.44,1335.26,1445.55,1354.09,1345.06,1329.76,1351.37,1378.92,1372.32,1410.95,1413.3,1446.16,1399.64,1369.51,1387.77,1447.64,1337.64,1459.99,1375.71,1388.66,1451.41,1480.06,1439.34,1412.18,1444.83,1417.08,1386.93,1375.19,1385.63,1400.43,1445.91,1473.16,1470.29,1484.67,1447.03,1547.49,1497.93,1459.41,1497.63,1366.5,1389.75,1455.99,1472.29,1478.92,1450.78,1495.37,1447.18,1529.51,1513.92,1419.67,1440.47,1507.99,1493.31,1576.37,1542.77,1450.39,1464.14,1501.12,1501.2,1492.27,1524.12,1530.63,1511.29,1473.68,1510.43,1501.14,1555.33,1474.12,1541.67,1580.19,1620.98,1512.79,1527.93,1552.48,1563.32,1531.87,1472.33,1508.18,1573.02,1599.52,1511.08,1511.19,1548.22,1647.09,1580.34,1601.15,1509.38,1528.69,1570.09,1559.63,1634.12,1612.16
7.79,1.054,1519.37,1552.37,1715.81,1749.75,1437.96,1661.55,1832.51,1581.82,1416.4,1561.11,1685.68,1582.92,1570.39,1555.41,1580.64,1610.74,1605.08,1649.2,1653.68,1690.37,1636.16,1601.85,1624.21,1692.25,1563.79,1708.11,1610.33,1624.87,1699.27,1730.55,1685.94,1653.73,1693.02,1658.46,1623.12,1610.82,1623.82,1641.03,1692.71,1726.33,1722.86,1738.82,1694.92,1812.08,1754.79,1711.29,1755.21,1603.97,1631.36,1706.22,1727.26,1735.85,1701.82,1755.44,1699.41,1793.47,1776.98,1665.65,1690.54,1770,1752.1,1851.15,1811.48,1702.29,1720.46,1764.26,1762.43,1752.82,1790.93,1799.23,1775.51,1733.17,1775.38,1765.71,1826.89,1733.86,1813.19,1856.97,1904.53,1778.1,1796.34,1824.7,1836.99,1800.08,1733.58,1774.51,1848.37,1882.14,1776.98,1777.87,1820.35,1937.04,1858.46,1882.83,1776.07,1797.26,1848.51,1834.65,1923.08,1897.53
8.17,0.292,199.773,212.861,227.62,225.005,187.859,215.115,243.189,205.464,185.959,201.288,223.717,205.446,211.649,201.097,204.673,210.857,207.099,215.132,212.114,218.096,214.114,207.134,207.445,220.183,204.184,219.872,207.822,209.124,216.532,224.398,214.948,211.703,213.989,214.23,209.032,205.07,205.423,209.155,218.087,217.761,218.999,221.013,217.092,231.447,224.008,215.996,221.786,200.915,203.764,217.56,214.757,215.59,215.034,217.258,210.037,226.284,220.101,210.473,211.151,219.019,219.866,227.486,224.368,214.302,211.381,216.041,218.739,217.446,220.909,219.483,218.244,211.033,217.328,213.885,226.168,210.051,220.35,227.996,233.097,216.911,219.467,222.965,224.142,221.909,208.558,215.416,227.578,226.798,217.241,216.293,223.042,234.593,226.166,229.367,216.455,220.38,221.946,223.292,231.282,228.075
8.17,0.414,347.396,368.563,396.778,393.2,326.216,375.251,424.544,357.71,322.699,350.479,389.654,357.898,367.986,350.291,356.769,367.302,361.22,375.359,370.613,380.952,373.512,361.274,362.29,384.623,355.559,384.627,362.864,365.139,379.029,392.453,376.331,370.249,374.906,374.442,365.036,358.383,359.324,365.975,381.646,381.855,383.953,387.389,380.18,406.223,392.902,378.931,389.216,351.942,357.22,381.32,377.119,378.893,377.33,382.084,369.014,397.705,387.198,369.085,370.639,385.238,386.385,401.096,395.187,376.301,371.883,380.569,384.807,382.681,389.299,387.026,384.374,371.793,382.995,377.172,398.687,370.115,388.939,402.422,411.712,382.276,387.072,393.348,395.387,391.175,367.983,380.108,401.583,401.173,383.13,381.653,393.63,415.148,399.607,405.393,382.026,388.744,392.612,394.448,409.516,403.727
8.17,0.524,497.617,525.686,568.939,565.052,466.955,538.627,609.239,512.764,461.697,502.533,558.4,513.307,526.795,502.452,511.976,526.663,518.587,538.889,532.771,547.37,536.17,518.657,520.69,552.645,509.805,553.329,521.414,524.653,545.64,564.387,541.889,532.697,540.164,538.407,524.577,515.422,517.17,526.826,549.263,550.522,553.439,558.229,547.508,585.849,566.446,546.556,561.432,507.27,515.173,549.54,544.408,547.343,544.379,552.242,533.036,574.329,559.717,532.272,534.947,556.831,558.057,580.786,571.783,543.225,537.783,550.852,556.291,553.433,563.584,560.615,556.221,538.308,554.534,546.472,577.223,535.957,563.849,583.227,596.945,553.514,560.771,569.927,572.813,566.419,533.523,550.991,581.892,582.514,555.082,553.21,570.52,602.879,579.685,588.187,553.852,563.247,570.199,572.167,595.05,586.558
8.17,0.645,677.809,712.514,774.963,771.448,635.935,734.749,830.15,698.761,628.526,685.128,760.253,699.895,716.8,685.291,698.513,717.778,707.77,735.276,727.972,747.382,731.499,707.857,711.414,754.545,694.952,756.433,712.277,716.611,746.517,771.151,741.624,728.517,739.738,735.814,716.612,704.777,707.714,720.954,751.251,754.302,758.13,764.399,749.366,802.632,775.968,749.277,769.561,695.315,706.479,752.684,747.005,751.542,746.513,758.628,731.994,788.051,768.94,729.731,733.979,764.926,765.997,799.066,786.136,745.412,739.325,757.877,764.312,760.734,775.409,771.804,765.011,740.978,763.15,752.661,794.104,737.87,776.885,803.152,822.265,761.776,772.139,784.742,788.586,779.446,735.49,759.222,801.15,803.736,764.396,762.224,785.827,831.733,799.063,810.861,763.252,775.601,787.03,788.738,821.51,809.751
8.17,0.718,793.136,831.214,906.406,903.493,744.242,860.234,970.946,817.766,735.442,802.076,889.012,819.359,838.105,802.458,818.045,840.003,829.005,860.981,853.159,875.46,856.53,829.104,833.778,883.805,813.483,886.653,834.713,839.706,875.468,903.58,869.917,854.236,868.03,862.42,839.779,826.409,830.213,845.715,880.863,885.319,889.691,896.82,879.006,941.818,910.571,879.723,903.383,816.502,829.792,883.251,877.514,883.175,876.644,891.718,860.343,925.573,903.83,856.878,862.238,899.091,899.938,939.927,924.403,875.682,869.483,891.627,898.461,894.51,912.201,908.292,899.82,872.054,897.95,886.057,934.077,868.489,914.682,945.218,967.789,896.353,908.766,923.548,927.968,917.023,866.362,893.988,942.756,946.963,899.743,897.472,925.008,979.774,940.946,954.855,898.778,912.861,927.533,928.858,968.163,954.318
8.17,0.795,919.413,960.5,1049.92,1047.94,862.993,997.547,1124.52,948.023,852.669,930.184,1029.59,950.178,970.671,930.855,949.017,973.725,961.84,998.578,990.376,1015.68,993.396,961.952,967.953,1025.3,943.28,1029.33,968.956,974.634,1016.89,1048.57,1010.68,992.142,1008.87,1001.19,974.803,959.902,964.731,982.675,1022.97,1029.15,1034.09,1042.09,1021.23,1094.43,1058.24,1023.02,1050.29,949.817,965.449,1026.57,1020.99,1027.95,1019.65,1038.13,1001.6,1076.61,1052.19,996.637,1003.29,1046.66,1047.17,1094.93,1076.51,1018.92,1012.83,1038.95,1046.03,1041.75,1062.82,1058.66,1048.24,1016.55,1046.44,1033.14,1088.12,1012.51,1066.57,1101.65,1127.99,1044.6,1059.3,1076.44,1081.45,1068.51,1010.83,1042.61,1098.66,1104.92,1048.91,1046.6,1078.36,1142.92,1097.31,1113.52,1048.24,1064.09,1082.59,1083.33,1129.91,1113.8
8.17,0.921,1135.69,1180.38,1294.66,1294.84,1066.81,1232.42,1385.95,1170.98,1053.9,1149.71,1269.3,1174.23,1197.1,1150.99,1173.51,1202.45,1189.5,1234.05,1225.63,1255.69,1227.64,1189.64,1198.13,1267.41,1165.6,1273.79,1199.23,1205.99,1259.49,1296.7,1252.31,1228.82,1250.8,1239.1,1206.36,1189.19,1195.94,1217.97,1266.64,1276.21,1282.04,1291.35,1265.31,1356.09,1311.65,1269.37,1302.6,1179.51,1199.18,1272.68,1267.89,1277.24,1265.61,1290.27,1245.04,1336.12,1307.6,1237.13,1246.15,1300.72,1300.45,1361.89,1338.45,1265.48,1260.1,1293.1,1300.17,1295.49,1322.49,1318.08,1304.12,1266.12,1302.63,1287.19,1353.48,1261.32,1328.81,1371.32,1404.06,1300.38,1319.06,1340.13,1346.09,1329.67,1260.79,1299.4,1367.38,1377.76,1306.41,1304.22,1342.94,1424.42,1367.15,1387.28,1306.47,1325.02,1350.67,1350.04,1409.3,1389.36
8.17,1.055,1377.19,1423.93,1566.41,1569.7,1295.06,1494.18,1675.54,1419.74,1279.31,1394.99,1535.47,1424.4,1449.14,1397.11,1424.41,1457.4,1443.88,1496.66,1488.55,1523.37,1488.92,1444.05,1455.59,1537.34,1413.86,1546.71,1456.78,1464.61,1530.75,1573.34,1522.68,1493.62,1521.73,1504.95,1465.26,1446.04,1455.13,1481.54,1538.98,1552.83,1559.56,1570.09,1538.34,1648.36,1595.04,1545.48,1585.04,1437.72,1461.88,1548.19,1544.94,1557.13,1541.46,1573.41,1518.72,1626.74,1594.31,1507.03,1518.87,1585.94,1584.52,1661.63,1632.53,1542.25,1538.32,1579.05,1585.55,1580.67,1614.44,1609.98,1591.79,1547.33,1590.9,1573.47,1651.51,1541.76,1624.11,1674.4,1714.16,1588.2,1611.4,1636.69,1643.6,1623.28,1543.02,1588.84,1669.34,1685.1,1596.35,1594.5,1640.65,1741.07,1670.81,1695.26,1597.51,1618.64,1653.02,1650.37,1723.99,1699.87
8.66,0.289,173.265,181.542,195.598,190.22,162.036,182.9,208.747,173.42,160.857,169.363,192.353,174.634,185.861,170.876,174.843,180.443,176.308,185.246,181.108,185.552,185.151,177.011,175.943,189.912,174.717,189.541,179.174,178.964,185.628,193.813,185.452,182.247,183.485,185.588,179.4,175.017,175.282,180.81,189.841,186.924,189.904,190.329,188.767,201.364,195.243,187.23,191.359,172.945,175.306,189.462,183.346,185.566,187.651,187.028,180.036,197.36,189.437,183.252,182.004,188.134,191.585,196.709,194.934,187.23,181.91,186.334,189.413,189.438,192.655,189.452,188.555,181.892,187.935,183.778,198.041,179.773,190.863,199.353,202.741,186.384,190.192,193.008,192.848,193.827,179.827,186.889,199.331,196.888,189.219,188.294,194.964,204.538,197.389,200.315,189.454,192.523,192.809,195.266,201.345,198.45
8.66,0.379,266.44,278.788,301.714,293.768,248.791,282.035,322.464,267.004,246.876,260.696,296.465,268.976,286.043,263.111,269.393,277.996,271.784,285.724,279.548,286.448,285.538,272.872,271.437,293.191,269.052,292.855,276.387,276.09,286.887,299.487,286.628,281.462,283.694,286.539,276.789,270.101,270.654,279.282,293.365,289.22,293.811,294.452,291.83,311.904,302.211,289.758,296.287,267.214,271.035,293.064,283.911,287.497,290.439,289.897,278.8,305.898,293.731,283.477,281.723,291.668,296.859,305.499,302.525,289.917,281.958,289.103,293.682,293.777,299.051,294.16,292.537,282.165,291.677,285.292,307.513,278.891,296.548,309.806,315.281,289.28,295.36,299.821,299.576,300.93,279.181,290.254,309.732,306.374,293.803,292.438,302.93,318.455,306.934,311.593,294.289,299.015,299.98,303.561,313.552,308.959
8.66,0.481,385.079,402.105,437.259,426.415,359.102,408.767,467.943,386.415,356.181,377.253,429.293,389.428,413.6,380.87,390.197,402.525,393.86,414.206,405.658,415.668,413.871,395.435,393.728,425.418,389.449,425.341,400.811,400.421,416.86,434.957,416.513,408.69,412.459,415.874,401.473,391.966,393.011,405.621,426.166,420.794,427.402,428.293,424.16,454.168,439.779,421.688,431.357,388.352,394.16,426.215,413.509,418.958,422.729,422.663,406.145,445.813,428.384,412.395,410.161,425.319,432.575,446.281,441.592,422.195,411.154,421.996,428.291,428.532,436.664,429.706,426.959,411.864,425.887,416.738,449.118,407.136,433.51,452.884,461.188,422.42,431.532,438.158,437.803,439.493,407.918,424.17,452.703,448.579,429.197,427.343,442.798,466.454,449.014,455.975,430.113,436.899,439.2,443.994,459.437,452.603
