R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,177.667,177.746,177.634,177.709,177.488,177.637,177.852,177.397,177.353,177.408,177.871,177.265,177.452,177.084,177.069,177.39,177.07,177.31,176.992,177.167,177.021,176.95,176.687,177.156,176.78,176.859,176.685,176.724,176.936,177.045,176.615,176.454,176.414,176.754,178.556,178.044,178.527,176.319,176.704,176.37,176.262,176.408,180.77,177.352,176.989,181.393,178.793,181.438,177.881,178.184,176.311,177.508,178.258,178.328,177.672,179.533,180.624,183.986,182.833,182.535,181.746,180.319,179.393,184.414,182.786,180.689,184.579,182.475,182.461,182.05,183.689,182.201,182.151,185.181,182.233,186.016,183.836,184.012,184.446,186.328,187.38,186.27,185.111,186.116,184.817,186.414,186.647,185.995,188.704,187.148,187.272,187.572,189.124,187.236,188.871,190.264,187.469,187.064,186.921,188.981
1.02261,178.7,178.781,178.666,178.745,178.513,178.669,178.894,178.418,178.372,178.43,178.914,178.281,178.476,178.099,178.083,178.416,178.084,178.327,178.004,178.185,178.046,177.969,177.711,178.177,177.812,177.885,177.705,177.749,177.961,178.077,177.628,177.476,177.431,177.779,179.613,179.099,179.58,177.347,177.732,177.397,177.285,177.434,181.855,178.387,178.033,182.488,179.857,182.537,178.942,179.241,177.349,178.56,179.32,179.388,178.721,180.608,181.704,185.102,183.951,183.632,182.848,181.395,180.467,185.547,183.899,181.78,185.68,183.596,183.583,183.153,184.814,183.317,183.265,186.32,183.342,187.131,184.968,185.142,185.573,187.439,188.507,187.377,186.239,187.212,185.973,187.59,187.742,187.155,189.814,188.275,188.425,188.689,190.192,188.364,190.035,191.42,188.673,188.21,188.073,190.099
1.04573,179.707,179.791,179.671,179.754,179.51,179.675,179.91,179.411,179.363,179.424,179.93,179.271,179.473,179.086,179.069,179.414,179.071,179.317,178.988,179.175,179.044,178.959,178.708,179.171,178.817,178.883,178.698,178.748,178.959,179.083,178.613,178.471,178.422,178.778,180.643,180.127,180.607,178.348,178.734,178.398,178.281,178.432,182.914,179.396,179.051,183.558,180.896,183.611,179.978,180.271,178.361,179.587,180.356,180.423,179.745,181.658,182.759,186.193,185.044,184.704,183.925,182.446,181.515,186.655,184.987,182.847,186.753,184.694,184.68,184.231,185.915,184.408,184.356,187.435,184.426,188.22,186.076,186.249,186.676,188.524,189.608,188.457,187.341,188.281,187.105,188.742,188.809,188.292,190.897,189.376,189.553,189.779,191.229,189.466,191.174,192.551,189.856,189.331,189.201,191.19
1.06937,180.684,180.771,180.647,180.735,180.479,180.651,180.897,180.375,180.324,180.389,180.918,180.23,180.44,180.043,180.025,180.383,180.027,180.277,179.942,180.136,180.014,179.921,179.676,180.135,179.794,179.853,179.662,179.718,179.929,180.06,179.569,179.437,179.383,179.748,181.645,181.128,181.606,179.32,179.706,179.37,179.249,179.402,183.947,180.376,180.041,184.601,181.907,184.659,180.986,181.274,179.346,180.586,181.365,181.43,180.741,182.681,183.786,187.256,186.11,185.748,184.976,183.469,182.535,187.737,186.049,183.886,187.799,185.765,185.752,185.282,186.989,185.473,185.42,188.524,185.483,189.281,187.158,187.329,187.752,189.58,190.68,189.508,188.417,189.32,188.213,189.87,189.847,189.404,191.95,190.449,190.655,190.841,192.234,190.54,192.286,193.653,191.015,190.425,190.302,192.252
1.09355,181.631,181.721,181.592,181.684,181.416,181.597,181.854,181.308,181.254,181.323,181.875,181.158,181.376,180.969,180.95,181.322,180.953,181.206,180.865,181.066,180.952,180.851,180.613,181.069,180.741,180.792,180.595,180.657,180.867,181.006,180.493,180.373,180.314,180.687,182.618,182.1,182.575,180.263,180.648,180.312,180.186,180.342,184.95,181.325,181.001,185.614,182.889,185.678,181.966,182.247,180.301,181.556,182.345,182.408,181.707,183.675,184.784,188.291,187.149,186.762,185.997,184.463,183.527,188.791,187.083,184.897,188.814,186.809,186.795,186.304,188.035,186.51,186.456,189.584,186.512,190.312,188.212,188.382,188.799,190.606,191.723,190.529,189.464,190.328,189.293,190.971,190.853,190.488,192.972,191.491,191.728,191.872,193.203,191.585,193.369,194.726,192.149,191.49,191.374,193.282
1.11827,182.544,182.638,182.504,182.601,182.32,182.509,182.778,182.207,182.15,182.223,182.8,182.052,182.278,181.861,181.84,182.226,181.844,182.1,181.753,181.961,181.857,181.748,181.517,181.968,181.655,181.698,181.494,181.563,181.772,181.92,181.383,181.274,181.21,181.592,183.558,183.039,183.511,181.172,181.557,181.221,181.09,181.248,185.921,182.242,181.929,186.597,183.839,186.666,182.914,183.188,181.224,182.494,183.293,183.353,182.64,184.638,185.75,189.295,188.157,187.745,186.988,185.424,184.487,189.814,188.085,185.877,189.797,187.822,187.809,187.295,189.05,187.517,187.462,190.613,187.509,191.311,189.236,189.404,189.816,191.599,192.733,191.516,190.479,191.302,190.344,192.044,191.825,191.543,193.958,192.501,192.77,192.869,194.136,192.596,194.422,195.766,193.255,192.524,192.416,194.278
1.14355,183.422,183.519,183.38,183.482,183.187,183.386,183.667,183.07,183.01,183.086,183.69,182.91,183.144,182.716,182.694,183.094,182.698,182.958,182.605,182.82,182.726,182.608,182.385,182.832,182.534,182.568,182.357,182.434,182.642,182.798,182.237,182.141,182.071,182.462,184.464,183.944,184.412,182.046,182.431,182.094,181.959,182.119,186.859,183.123,182.822,187.546,184.755,187.62,183.828,184.095,182.112,183.397,184.208,184.265,183.54,185.566,186.681,190.265,189.132,188.694,187.945,186.352,185.413,190.805,189.055,186.823,190.744,188.803,188.79,188.253,190.032,188.491,188.435,191.61,188.474,192.274,190.227,190.393,190.799,192.557,193.708,192.468,191.461,192.24,191.364,193.085,192.76,192.566,194.908,193.477,193.78,193.831,195.028,193.573,195.441,196.772,194.332,193.524,193.425,195.238
1.16941,184.263,184.363,184.218,184.326,184.016,184.225,184.518,183.894,183.831,183.911,184.542,183.728,183.972,183.533,183.508,183.925,183.514,183.777,183.417,183.641,183.557,183.43,183.215,183.657,183.375,183.401,183.182,183.266,183.474,183.639,183.052,182.969,182.894,183.295,185.333,184.812,185.277,182.883,183.267,182.93,182.79,182.953,187.761,183.967,183.679,188.459,185.635,188.54,184.706,184.966,182.964,184.265,185.086,185.141,184.403,186.459,187.577,191.199,190.072,189.607,188.867,187.243,186.303,191.761,189.989,187.735,191.655,189.75,189.737,189.175,190.98,189.43,189.373,192.573,189.404,193.2,191.184,191.348,191.748,193.477,194.646,193.382,192.407,193.139,192.351,194.094,193.656,193.555,195.819,194.415,194.754,194.755,195.877,194.514,196.425,197.741,195.377,194.489,194.399,196.158
1.19584,185.062,185.165,185.016,185.129,184.804,185.023,185.33,184.676,184.609,184.694,185.354,184.505,184.758,184.307,184.281,184.713,184.287,184.554,184.187,184.419,184.347,184.21,184.004,184.44,184.176,184.192,183.966,184.058,184.264,184.439,183.825,183.756,183.675,184.086,186.162,185.641,186.102,183.679,184.062,183.726,183.58,183.745,188.623,184.77,184.496,189.334,186.475,189.42,185.546,185.796,183.776,185.092,185.925,185.976,185.226,187.313,188.433,192.094,190.974,190.48,189.75,188.094,187.154,192.678,190.885,188.607,192.524,190.659,190.646,190.059,191.889,190.332,190.273,193.497,190.295,194.086,192.104,192.265,192.658,194.356,195.544,194.255,193.315,193.996,193.3,195.066,194.509,194.507,196.687,195.313,195.69,195.638,196.68,195.413,197.37,198.669,196.388,195.415,195.335,197.037
1.22288,185.817,185.925,185.769,185.888,185.548,185.777,186.098,185.414,185.344,185.433,186.124,185.237,185.501,185.037,185.009,185.458,185.016,185.286,184.913,185.154,185.093,184.946,184.75,185.179,184.934,184.939,184.706,184.806,185.011,185.196,184.554,184.5,184.413,184.834,186.949,186.428,186.884,184.433,184.814,184.478,184.327,184.495,189.444,185.53,185.272,190.167,187.273,190.261,186.344,186.585,184.546,185.879,186.722,186.771,186.007,188.125,189.248,192.948,191.836,191.311,190.593,188.904,187.963,193.556,191.74,189.439,193.351,191.529,191.516,190.902,192.759,191.194,191.134,194.381,191.146,194.93,192.984,193.142,193.527,195.192,196.399,195.084,194.181,194.809,194.212,196.001,195.318,195.42,197.51,196.169,196.585,196.477,197.434,196.271,198.275,199.556,197.362,196.301,196.231,197.871
