R_kpc,z_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
7.79,0.3,235.29,248.491,267.388,269.309,222.313,256.377,285.776,244.951,219.311,240.882,263.239,244.278,244.969,239.374,242.976,249.527,246.434,253.801,252.461,259.551,251.807,245.943,247.907,259.652,241.583,260.226,245.77,248.438,257.654,264.591,254.958,250.995,255.189,252.728,247.901,244.604,245.502,248.019,256.907,259.665,259.339,262.505,256.249,273.044,264.26,256.444,263.505,239.953,243.566,256.93,257.714,257.992,254.462,260.307,252.129,267.777,263.554,249.22,252.054,262.593,260.893,272.636,267.565,253.584,253.753,259.316,261.159,258.932,263.349,263.688,261.557,253.835,260.615,257.941,268.932,253.735,264.559,272.023,278.892,261.04,263.052,267.388,269.545,264.499,251.706,258.584,271.074,272.802,259.912,259.2,266.136,281.303,270.788,274.275,258.637,263.115,267.212,267.031,278.037,274.307
7.79,0.421,402.435,422.646,457.938,462.55,379.904,439.675,489.955,419.411,374.524,412.617,450.516,418.5,418.652,410.16,416.532,427.306,422.706,435.352,433.748,445.654,431.855,421.829,425.829,445.869,413.677,447.541,422.027,426.567,443.483,454.856,438.957,431.69,439.689,434.346,425.723,420.463,422.418,426.822,442.021,447.751,447.063,452.39,441.234,471.051,455.664,442.391,454.673,413.546,420.076,442.783,445.073,445.885,439.069,450.179,435.732,462.662,455.882,429.805,435.136,454.177,450.782,472.564,463.315,437.865,439.119,449.25,451.734,448.055,456.28,457.246,452.99,439.903,451.656,447.419,466.017,439.844,459.195,471.964,484.169,452.446,456.203,463.802,467.506,458.391,436.934,448.746,470.186,474.432,450.752,449.786,461.762,489.294,470.36,476.523,448.879,456.324,464.801,463.778,483.955,477.376
7.79,0.516,549.129,574.111,624.979,632.566,518.246,600.79,668.954,572.583,510.708,563.54,614.576,571.603,570.788,560.348,569.21,583.368,577.84,595.036,593.565,609.472,590.208,576.617,582.687,609.811,564.852,612.788,577.4,583.523,607.636,622.545,601.601,591.244,602.934,594.529,582.455,575.715,578.798,584.879,605.479,614.28,613.225,620.343,604.76,646.3,625.07,607.181,624.031,567.425,576.638,607.26,611.336,612.796,602.759,618.961,598.902,635.577,626.848,589.891,597.613,624.468,619.373,650.651,637.522,601.438,604.131,618.503,621.175,616.336,628.181,629.88,623.476,605.865,621.959,616.561,641.571,605.894,633.006,650.318,667.326,623.084,628.514,639.003,644.031,631.188,602.544,618.607,647.746,654.844,621.046,620.003,636.354,675.316,648.665,657.233,618.836,628.694,641.716,639.592,668.343,659.218
7.79,0.621,723.927,753.12,823.495,835.18,683.262,792.771,881.522,755.038,673.119,743.497,809.474,754.128,751.706,739.552,751.405,769.212,762.993,785.458,784.512,804.886,779.057,761.359,770.145,805.406,745.059,810.26,763.1,771.014,804.037,822.743,796.335,782.15,798.537,785.991,769.733,761.5,766.117,774.198,801.008,813.884,812.352,821.461,800.552,856.174,828.032,804.892,827.092,752.24,764.734,804.369,811.015,813.425,799.263,821.929,795.159,843.131,832.412,782.084,792.815,829.215,821.908,865.055,847.153,797.984,802.86,822.462,824.964,818.889,835.278,838.02,828.795,806.06,827.234,820.685,852.973,806.238,842.774,865.311,888.088,828.762,836.313,850.221,856.769,839.393,802.728,823.709,861.737,872.85,826.486,825.505,846.956,899.947,863.881,875.342,824.084,836.573,855.667,851.876,891.248,879.079
7.79,0.726,910.878,942.892,1034.94,1051.55,860.066,997.876,1107.59,950.014,847.144,936.028,1017,949.357,944.747,931.442,946.489,967.716,961.235,989.104,989.125,1013.88,981.058,959.172,971.104,1014.63,937.82,1021.83,962.229,971.924,1014.74,1036.99,1005.43,987.036,1008.72,991.243,970.475,960.975,967.426,977.629,1010.75,1028.4,1026.33,1037.37,1010.78,1081.42,1046.03,1017.62,1045.37,951.454,967.513,1016.2,1026.06,1029.69,1010.84,1040.78,1006.9,1066.46,1054.01,989.086,1003.18,1049.93,1040.08,1096.4,1073.29,1009.82,1017.53,1042.87,1044.74,1037.53,1058.99,1063.02,1050.51,1022.67,1049.11,1041.61,1081.18,1023.05,1069.76,1097.61,1126.53,1051.06,1061.01,1078.5,1086.58,1064.32,1019.79,1045.81,1092.91,1108.98,1048.74,1048,1074.72,1143.01,1096.73,1111.29,1046.38,1061.36,1087.63,1081.67,1132.74,1117.34
7.79,0.84,1124.81,1158.36,1275.8,1298.51,1062.81,1232.18,1364.63,1172.9,1046.74,1156.36,1253.35,1172.71,1165.17,1151.23,1169.9,1194.51,1188.22,1221.99,1223.52,1252.84,1212.12,1185.69,1201.43,1253.89,1158.4,1264.1,1190.53,1202.11,1256.31,1282.06,1245.37,1222.07,1250.05,1226.46,1200.54,1189.93,1198.66,1211.26,1251.2,1274.7,1271.99,1285.02,1252,1339.65,1296.17,1262.14,1296.01,1180.92,1201.08,1259.45,1273.43,1278.65,1254.21,1292.78,1250.86,1323.08,1309.09,1227.3,1245.34,1303.99,1291.08,1362.85,1333.72,1253.7,1265.14,1297.13,1297.82,1289.54,1316.97,1322.62,1306.12,1272.85,1305.1,1296.8,1344.14,1273.5,1331.88,1365.47,1401.35,1307.52,1320.33,1341.82,1351.55,1323.7,1270.99,1302.49,1359.44,1381.81,1305.36,1305.09,1337.61,1423.56,1365.53,1383.63,1303.32,1320.8,1355.93,1347.11,1411.81,1392.76
7.79,0.944,1328.8,1362.39,1504.4,1533.28,1256.57,1455.14,1608.08,1385.2,1237.57,1366.45,1477.63,1385.63,1374.94,1360.98,1383.07,1410.42,1404.74,1443.86,1447.18,1480.43,1432.31,1401.78,1421.32,1481.8,1368.73,1495.15,1408.58,1421.8,1486.94,1515.53,1474.64,1446.62,1480.77,1450.97,1420.16,1408.82,1419.87,1434.71,1480.76,1510.14,1506.83,1521.53,1482.48,1586.1,1535.14,1496.14,1535.61,1401,1425.08,1492.02,1510.3,1517.21,1487.27,1534.27,1484.86,1568.54,1553.46,1455.53,1477.43,1547.4,1531.45,1618.2,1583.33,1487.45,1502.83,1541.23,1540.39,1531.28,1564.55,1571.86,1551.34,1513.31,1550.88,1542.08,1596.3,1514.25,1583.73,1622.45,1664.87,1553.72,1569.36,1594.55,1605.74,1572.61,1512.84,1549.31,1615.13,1644.05,1551.93,1552.26,1590.08,1692.91,1623.69,1645.14,1550.43,1569.96,1614.04,1602.19,1680.02,1657.56
7.79,1.054,1553.21,1585.37,1754.64,1790.61,1470.23,1699.83,1873.96,1618.47,1448.11,1597.53,1723.09,1619.75,1605.26,1591.89,1617.68,1647.51,1642.97,1687.64,1693.28,1730.4,1674.33,1639.56,1663.42,1732.16,1600.11,1749.21,1648.76,1663.61,1740.83,1772,1727.24,1694.03,1735.1,1698.08,1661.98,1650.17,1663.91,1681.15,1733.48,1769.62,1765.63,1781.95,1736.4,1857.27,1798.35,1754.32,1799.68,1644.4,1672.78,1748.4,1771.8,1780.73,1744.59,1801.05,1743.59,1839.19,1823.34,1707.68,1733.86,1816.2,1796.81,1900.22,1859.05,1745.75,1765.85,1811.32,1808.38,1798.6,1838.38,1847.63,1822.5,1779.7,1822.86,1813.8,1874.96,1780.98,1862.59,1906.58,1956.04,1826.15,1844.99,1874.09,1886.78,1847.9,1781.2,1822.85,1897.82,1934.47,1824.96,1826.12,1869.53,1990.88,1909.39,1934.5,1824.32,1845.73,1900.19,1884.66,1977.04,1950.9
8.17,0.292,203.966,217.147,232.493,229.995,191.832,219.813,248.396,209.975,189.883,205.734,228.412,209.973,216.061,205.56,209.213,215.416,211.729,219.869,216.924,222.995,218.828,211.751,212.189,225.087,208.672,224.87,212.505,213.843,221.541,229.473,219.922,216.577,219.018,219.059,213.763,209.812,210.221,213.984,223.04,222.926,224.134,226.195,222.104,236.894,229.255,221.128,227.097,205.702,208.655,222.635,220.002,220.867,220.137,222.603,215.205,231.733,225.539,215.488,216.27,224.434,225.168,233.2,229.946,219.468,216.659,221.499,224.136,222.821,226.451,225.077,223.713,216.398,222.833,219.402,231.801,215.454,226.038,233.765,239.072,222.461,225.095,228.681,229.899,227.487,213.982,220.973,233.34,232.776,222.792,221.848,228.747,240.775,232.033,235.331,222.02,226.004,227.828,229.056,237.436,234.154
8.17,0.414,354.738,376.044,405.342,401.978,333.157,383.502,433.711,365.612,329.549,358.267,397.896,365.834,375.72,358.113,364.732,375.299,369.347,383.682,379.071,389.566,381.794,369.379,370.627,393.251,363.425,393.43,371.096,373.433,387.854,401.393,385.097,378.829,383.772,382.942,373.353,366.721,367.767,374.478,390.376,390.969,393.016,396.533,389.019,415.854,402.17,387.992,398.599,360.375,365.844,390.277,386.384,388.223,386.343,391.54,378.146,407.348,396.823,377.935,379.677,394.818,395.763,411.232,405.074,385.432,381.222,390.239,394.36,392.198,399.125,396.946,394.064,381.296,392.752,386.953,408.681,379.687,399.038,412.668,422.332,392.114,397.057,403.492,405.603,401.07,377.603,389.968,411.816,411.809,392.977,391.513,403.761,426.154,410.037,415.999,391.905,398.725,403.075,404.691,420.477,414.553
